model,use_static_covariates,use_covariates,use_features,use_encoders,sample_weight,input_chunk_length,hidden_size,ff_size,num_blocks,dropout,norm_type,batch_size,n_epochs,normalize_before,activation,optimizer,optimizer_kwargs.lr,optimizer_kwargs.weight_decay,WIS_1,WIS_2,WIS_3,WIS,WIS_std,error_flag,error_msg
tsmixer,False,True,False,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0,492.13339949500215,579.6100072886298,507.13468710953777,526.29269796439,38.19521141631951,False,
tsmixer,False,True,False,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.001,564.0249858132028,590.2439927374011,608.8667425031236,587.7119070179092,18.393918910474323,False,
tsmixer,False,True,False,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.0001,530.790528425656,452.3438752082466,499.208335849646,494.1142464945162,32.22764506880864,False,
tsmixer,False,True,False,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0,467.506011167222,446.4245237661391,544.8318502707206,486.2541284013605,42.30539289746701,False,
tsmixer,False,True,False,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0.001,577.4335105164515,483.12107494273226,487.1456455643483,515.9000770078441,43.54171847543272,False,
tsmixer,False,True,False,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0.0001,507.0948820803832,468.97694059766775,502.35408774989594,492.8086368093156,16.962332602253316,False,
tsmixer,False,True,False,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0,473.9029136297376,510.2273149208663,513.1268949135778,499.08570782139395,17.846227117760236,False,
tsmixer,False,True,False,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0.001,471.3416943461058,740.4202014785506,477.15217643690136,562.9713574205192,125.49770148939118,False,
tsmixer,False,True,False,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0.0001,396.44963140358186,436.6778661234902,431.30143260620576,421.47631004442593,17.832133769976533,False,
tsmixer,False,True,False,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0,422.83381559766764,695.3339110006248,491.6105530247814,536.592759874358,115.70544411982452,False,
tsmixer,False,True,False,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0.001,608.1798155716369,470.0761172428155,499.8420132236568,526.0326486793698,59.34430560834553,False,
