location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-01-04,2024-01-07,1,quantile,0.025,13127.571507455345
DE,00+,2024-01-04,2024-01-07,1,quantile,0.1,15941.318006771426
DE,00+,2024-01-04,2024-01-07,1,quantile,0.25,18359.113687615336
DE,00+,2024-01-04,2024-01-07,1,quantile,0.5,20245.55951554946
DE,00+,2024-01-04,2024-01-07,1,quantile,0.75,22023.011121069267
DE,00+,2024-01-04,2024-01-07,1,quantile,0.9,23721.934247598103
DE,00+,2024-01-04,2024-01-07,1,quantile,0.975,25737.950123694136
DE,00+,2024-01-04,2024-01-14,2,quantile,0.025,12606.695307223206
DE,00+,2024-01-04,2024-01-14,2,quantile,0.1,15232.404326789565
DE,00+,2024-01-04,2024-01-14,2,quantile,0.25,17355.747193805404
DE,00+,2024-01-04,2024-01-14,2,quantile,0.5,19276.01336155788
DE,00+,2024-01-04,2024-01-14,2,quantile,0.75,21484.944096158346
DE,00+,2024-01-04,2024-01-14,2,quantile,0.9,23392.466875452363
DE,00+,2024-01-04,2024-01-14,2,quantile,0.975,25595.637020300936
DE,00+,2024-01-04,2024-01-21,3,quantile,0.025,12433.695619438839
DE,00+,2024-01-04,2024-01-21,3,quantile,0.1,14574.509086372287
DE,00+,2024-01-04,2024-01-21,3,quantile,0.25,16894.526074851557
DE,00+,2024-01-04,2024-01-21,3,quantile,0.5,19106.627691537436
DE,00+,2024-01-04,2024-01-21,3,quantile,0.75,21307.088557583265
DE,00+,2024-01-04,2024-01-21,3,quantile,0.9,23296.45541077267
DE,00+,2024-01-04,2024-01-21,3,quantile,0.975,25979.791655127734
DE,00+,2024-01-04,2024-01-28,4,quantile,0.025,12086.927246248557
DE,00+,2024-01-04,2024-01-28,4,quantile,0.1,14094.283119799662
DE,00+,2024-01-04,2024-01-28,4,quantile,0.25,16305.5846832999
DE,00+,2024-01-04,2024-01-28,4,quantile,0.5,18570.42168510649
DE,00+,2024-01-04,2024-01-28,4,quantile,0.75,20949.727012626932
DE,00+,2024-01-04,2024-01-28,4,quantile,0.9,23320.712081112844
DE,00+,2024-01-04,2024-01-28,4,quantile,0.975,26237.363968201444
DE,00-04,2024-01-04,2024-01-07,1,quantile,0.025,2267.6197770165113
DE,00-04,2024-01-04,2024-01-07,1,quantile,0.1,3108.028554804881
DE,00-04,2024-01-04,2024-01-07,1,quantile,0.25,3976.828420319585
DE,00-04,2024-01-04,2024-01-07,1,quantile,0.5,4722.856959854382
DE,00-04,2024-01-04,2024-01-07,1,quantile,0.75,5518.398838178516
DE,00-04,2024-01-04,2024-01-07,1,quantile,0.9,6321.978249736984
DE,00-04,2024-01-04,2024-01-07,1,quantile,0.975,7333.188006777209
DE,00-04,2024-01-04,2024-01-14,2,quantile,0.025,2019.0581508407804
DE,00-04,2024-01-04,2024-01-14,2,quantile,0.1,2894.7790965558706
DE,00-04,2024-01-04,2024-01-14,2,quantile,0.25,3720.242118736162
DE,00-04,2024-01-04,2024-01-14,2,quantile,0.5,4639.995641622852
DE,00-04,2024-01-04,2024-01-14,2,quantile,0.75,5565.711807247295
DE,00-04,2024-01-04,2024-01-14,2,quantile,0.9,6472.568155128935
DE,00-04,2024-01-04,2024-01-14,2,quantile,0.975,7639.003280045304
DE,00-04,2024-01-04,2024-01-21,3,quantile,0.025,1895.1692920258981
DE,00-04,2024-01-04,2024-01-21,3,quantile,0.1,2713.9694964283144
DE,00-04,2024-01-04,2024-01-21,3,quantile,0.25,3644.2429052942484
DE,00-04,2024-01-04,2024-01-21,3,quantile,0.5,4679.344887371312
DE,00-04,2024-01-04,2024-01-21,3,quantile,0.75,5712.832425911719
DE,00-04,2024-01-04,2024-01-21,3,quantile,0.9,6685.196814555181
DE,00-04,2024-01-04,2024-01-21,3,quantile,0.975,7865.178192504376
DE,00-04,2024-01-04,2024-01-28,4,quantile,0.025,1702.1765082323818
DE,00-04,2024-01-04,2024-01-28,4,quantile,0.1,2564.684711128575
DE,00-04,2024-01-04,2024-01-28,4,quantile,0.25,3491.232773182052
DE,00-04,2024-01-04,2024-01-28,4,quantile,0.5,4451.519449421938
DE,00-04,2024-01-04,2024-01-28,4,quantile,0.75,5469.386117915841
DE,00-04,2024-01-04,2024-01-28,4,quantile,0.9,6502.896099466995
DE,00-04,2024-01-04,2024-01-28,4,quantile,0.975,7790.467504133864
DE,05-14,2024-01-04,2024-01-07,1,quantile,0.025,268.9251676646328
DE,05-14,2024-01-04,2024-01-07,1,quantile,0.1,397.9124729112584
DE,05-14,2024-01-04,2024-01-07,1,quantile,0.25,522.9263770656496
DE,05-14,2024-01-04,2024-01-07,1,quantile,0.5,671.8077847471745
DE,05-14,2024-01-04,2024-01-07,1,quantile,0.75,837.3559043344454
DE,05-14,2024-01-04,2024-01-07,1,quantile,0.9,1016.967385520498
DE,05-14,2024-01-04,2024-01-07,1,quantile,0.975,1242.1345782139178
DE,05-14,2024-01-04,2024-01-14,2,quantile,0.025,239.03570457505592
DE,05-14,2024-01-04,2024-01-14,2,quantile,0.1,379.41801324353804
DE,05-14,2024-01-04,2024-01-14,2,quantile,0.25,495.3654614455152
DE,05-14,2024-01-04,2024-01-14,2,quantile,0.5,664.714771141914
DE,05-14,2024-01-04,2024-01-14,2,quantile,0.75,853.0726714395929
DE,05-14,2024-01-04,2024-01-14,2,quantile,0.9,1045.2777738743014
DE,05-14,2024-01-04,2024-01-14,2,quantile,0.975,1288.66570640275
DE,05-14,2024-01-04,2024-01-21,3,quantile,0.025,211.6399649069508
DE,05-14,2024-01-04,2024-01-21,3,quantile,0.1,356.68528047844933
DE,05-14,2024-01-04,2024-01-21,3,quantile,0.25,494.3141080524631
DE,05-14,2024-01-04,2024-01-21,3,quantile,0.5,662.7753765262529
DE,05-14,2024-01-04,2024-01-21,3,quantile,0.75,885.7235950935591
DE,05-14,2024-01-04,2024-01-21,3,quantile,0.9,1099.259819686094
DE,05-14,2024-01-04,2024-01-21,3,quantile,0.975,1368.7222937328572
DE,05-14,2024-01-04,2024-01-28,4,quantile,0.025,187.01191129072384
DE,05-14,2024-01-04,2024-01-28,4,quantile,0.1,330.39895382875574
DE,05-14,2024-01-04,2024-01-28,4,quantile,0.25,480.8508863940867
DE,05-14,2024-01-04,2024-01-28,4,quantile,0.5,675.4029134747128
DE,05-14,2024-01-04,2024-01-28,4,quantile,0.75,903.6573971174905
DE,05-14,2024-01-04,2024-01-28,4,quantile,0.9,1135.918543423133
DE,05-14,2024-01-04,2024-01-28,4,quantile,0.975,1440.5954709625335
DE,15-34,2024-01-04,2024-01-07,1,quantile,0.025,347.5821355204625
DE,15-34,2024-01-04,2024-01-07,1,quantile,0.1,451.2025634316231
DE,15-34,2024-01-04,2024-01-07,1,quantile,0.25,559.8088408449102
DE,15-34,2024-01-04,2024-01-07,1,quantile,0.5,675.7909026964163
DE,15-34,2024-01-04,2024-01-07,1,quantile,0.75,790.5765568380398
DE,15-34,2024-01-04,2024-01-07,1,quantile,0.9,905.6755923110785
DE,15-34,2024-01-04,2024-01-07,1,quantile,0.975,1045.582686990291
DE,15-34,2024-01-04,2024-01-14,2,quantile,0.025,325.5269459672015
DE,15-34,2024-01-04,2024-01-14,2,quantile,0.1,416.6413691558845
DE,15-34,2024-01-04,2024-01-14,2,quantile,0.25,523.0854736018719
DE,15-34,2024-01-04,2024-01-14,2,quantile,0.5,639.8071510256344
DE,15-34,2024-01-04,2024-01-14,2,quantile,0.75,774.5788354002726
DE,15-34,2024-01-04,2024-01-14,2,quantile,0.9,912.093613588948
DE,15-34,2024-01-04,2024-01-14,2,quantile,0.975,1075.510060831614
DE,15-34,2024-01-04,2024-01-21,3,quantile,0.025,289.2989883039412
DE,15-34,2024-01-04,2024-01-21,3,quantile,0.1,385.1480859898153
DE,15-34,2024-01-04,2024-01-21,3,quantile,0.25,486.44643567623297
DE,15-34,2024-01-04,2024-01-21,3,quantile,0.5,630.7738643091521
DE,15-34,2024-01-04,2024-01-21,3,quantile,0.75,786.9769934095906
DE,15-34,2024-01-04,2024-01-21,3,quantile,0.9,943.9306265882313
DE,15-34,2024-01-04,2024-01-21,3,quantile,0.975,1159.3058082969446
DE,15-34,2024-01-04,2024-01-28,4,quantile,0.025,271.6009781552406
DE,15-34,2024-01-04,2024-01-28,4,quantile,0.1,366.10620934485485
DE,15-34,2024-01-04,2024-01-28,4,quantile,0.25,467.3409089016613
DE,15-34,2024-01-04,2024-01-28,4,quantile,0.5,602.4022870359337
DE,15-34,2024-01-04,2024-01-28,4,quantile,0.75,785.3329571437578
DE,15-34,2024-01-04,2024-01-28,4,quantile,0.9,964.7153587538309
DE,15-34,2024-01-04,2024-01-28,4,quantile,0.975,1182.6781541854248
DE,35-59,2024-01-04,2024-01-07,1,quantile,0.025,1234.9589212166538
DE,35-59,2024-01-04,2024-01-07,1,quantile,0.1,1566.1556275185199
DE,35-59,2024-01-04,2024-01-07,1,quantile,0.25,1792.291437332123
DE,35-59,2024-01-04,2024-01-07,1,quantile,0.5,2031.4916834764613
DE,35-59,2024-01-04,2024-01-07,1,quantile,0.75,2294.5002965616686
DE,35-59,2024-01-04,2024-01-07,1,quantile,0.9,2546.1043030409314
DE,35-59,2024-01-04,2024-01-07,1,quantile,0.975,2850.1010726224413
