"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2024-07-04,2024-07-07,1,"quantile",0.025,7400
"DE","00+",2024-07-04,2024-07-07,1,"quantile",0.1,8030
"DE","00+",2024-07-04,2024-07-07,1,"quantile",0.25,8620
"DE","00+",2024-07-04,2024-07-07,1,"quantile",0.5,9320
"DE","00+",2024-07-04,2024-07-07,1,"quantile",0.75,10060
"DE","00+",2024-07-04,2024-07-07,1,"quantile",0.9,10770
"DE","00+",2024-07-04,2024-07-07,1,"quantile",0.975,11610
"DE","00+",2024-07-04,2024-07-07,1,"mean",NA,9371.66164886738
"DE","00+",2024-07-04,2024-07-14,2,"quantile",0.025,6860
"DE","00+",2024-07-04,2024-07-14,2,"quantile",0.1,7510
"DE","00+",2024-07-04,2024-07-14,2,"quantile",0.25,8120
"DE","00+",2024-07-04,2024-07-14,2,"quantile",0.5,8850
"DE","00+",2024-07-04,2024-07-14,2,"quantile",0.75,9620
"DE","00+",2024-07-04,2024-07-14,2,"quantile",0.9,10360
"DE","00+",2024-07-04,2024-07-14,2,"quantile",0.975,11240
"DE","00+",2024-07-04,2024-07-14,2,"mean",NA,8905.64280329625
"DE","00+",2024-07-04,2024-07-21,3,"quantile",0.025,6480
"DE","00+",2024-07-04,2024-07-21,3,"quantile",0.1,7130
"DE","00+",2024-07-04,2024-07-21,3,"quantile",0.25,7750
"DE","00+",2024-07-04,2024-07-21,3,"quantile",0.5,8490
"DE","00+",2024-07-04,2024-07-21,3,"quantile",0.75,9280
"DE","00+",2024-07-04,2024-07-21,3,"quantile",0.9,10040
"DE","00+",2024-07-04,2024-07-21,3,"quantile",0.975,10950
"DE","00+",2024-07-04,2024-07-21,3,"mean",NA,8553.79890325401
"DE","00+",2024-07-04,2024-07-28,4,"quantile",0.025,6190
"DE","00+",2024-07-04,2024-07-28,4,"quantile",0.1,6850
"DE","00+",2024-07-04,2024-07-28,4,"quantile",0.25,7480
"DE","00+",2024-07-04,2024-07-28,4,"quantile",0.5,8230
"DE","00+",2024-07-04,2024-07-28,4,"quantile",0.75,9030
"DE","00+",2024-07-04,2024-07-28,4,"quantile",0.9,9800
"DE","00+",2024-07-04,2024-07-28,4,"quantile",0.975,10720
"DE","00+",2024-07-04,2024-07-28,4,"mean",NA,8292.27982407842
"DE","00-04",2024-07-04,2024-07-07,1,"quantile",0.025,700
"DE","00-04",2024-07-04,2024-07-07,1,"quantile",0.1,820
"DE","00-04",2024-07-04,2024-07-07,1,"quantile",0.25,940
"DE","00-04",2024-07-04,2024-07-07,1,"quantile",0.5,1090
"DE","00-04",2024-07-04,2024-07-07,1,"quantile",0.75,1260
"DE","00-04",2024-07-04,2024-07-07,1,"quantile",0.9,1420
"DE","00-04",2024-07-04,2024-07-07,1,"quantile",0.975,1630
"DE","00-04",2024-07-04,2024-07-07,1,"mean",NA,1116.38046637533
"DE","00-04",2024-07-04,2024-07-14,2,"quantile",0.025,620
"DE","00-04",2024-07-04,2024-07-14,2,"quantile",0.1,760
"DE","00-04",2024-07-04,2024-07-14,2,"quantile",0.25,890
"DE","00-04",2024-07-04,2024-07-14,2,"quantile",0.5,1060
"DE","00-04",2024-07-04,2024-07-14,2,"quantile",0.75,1260
"DE","00-04",2024-07-04,2024-07-14,2,"quantile",0.9,1450
"DE","00-04",2024-07-04,2024-07-14,2,"quantile",0.975,1690
"DE","00-04",2024-07-04,2024-07-14,2,"mean",NA,1092.909261349
"DE","00-04",2024-07-04,2024-07-21,3,"quantile",0.025,560
"DE","00-04",2024-07-04,2024-07-21,3,"quantile",0.1,710
"DE","00-04",2024-07-04,2024-07-21,3,"quantile",0.25,860
"DE","00-04",2024-07-04,2024-07-21,3,"quantile",0.5,1050
"DE","00-04",2024-07-04,2024-07-21,3,"quantile",0.75,1260
"DE","00-04",2024-07-04,2024-07-21,3,"quantile",0.9,1480
"DE","00-04",2024-07-04,2024-07-21,3,"quantile",0.975,1760
"DE","00-04",2024-07-04,2024-07-21,3,"mean",NA,1081.869161583
"DE","00-04",2024-07-04,2024-07-28,4,"quantile",0.025,520
"DE","00-04",2024-07-04,2024-07-28,4,"quantile",0.1,670
"DE","00-04",2024-07-04,2024-07-28,4,"quantile",0.25,830
"DE","00-04",2024-07-04,2024-07-28,4,"quantile",0.5,1040
"DE","00-04",2024-07-04,2024-07-28,4,"quantile",0.75,1290
"DE","00-04",2024-07-04,2024-07-28,4,"quantile",0.9,1530
"DE","00-04",2024-07-04,2024-07-28,4,"quantile",0.975,1850
"DE","00-04",2024-07-04,2024-07-28,4,"mean",NA,1084.31300291906
"DE","05-14",2024-07-04,2024-07-07,1,"quantile",0.025,380
"DE","05-14",2024-07-04,2024-07-07,1,"quantile",0.1,510
"DE","05-14",2024-07-04,2024-07-07,1,"quantile",0.25,640
"DE","05-14",2024-07-04,2024-07-07,1,"quantile",0.5,820
"DE","05-14",2024-07-04,2024-07-07,1,"quantile",0.75,1030
"DE","05-14",2024-07-04,2024-07-07,1,"quantile",0.9,1250
"DE","05-14",2024-07-04,2024-07-07,1,"quantile",0.975,1520
"DE","05-14",2024-07-04,2024-07-07,1,"mean",NA,860.800311021982
"DE","05-14",2024-07-04,2024-07-14,2,"quantile",0.025,320
"DE","05-14",2024-07-04,2024-07-14,2,"quantile",0.1,460
"DE","05-14",2024-07-04,2024-07-14,2,"quantile",0.25,620
"DE","05-14",2024-07-04,2024-07-14,2,"quantile",0.5,830
"DE","05-14",2024-07-04,2024-07-14,2,"quantile",0.75,1090
"DE","05-14",2024-07-04,2024-07-14,2,"quantile",0.9,1360
"DE","05-14",2024-07-04,2024-07-14,2,"quantile",0.975,1720
"DE","05-14",2024-07-04,2024-07-14,2,"mean",NA,885.710489685068
"DE","05-14",2024-07-04,2024-07-21,3,"quantile",0.025,270
"DE","05-14",2024-07-04,2024-07-21,3,"quantile",0.1,420
"DE","05-14",2024-07-04,2024-07-21,3,"quantile",0.25,600
"DE","05-14",2024-07-04,2024-07-21,3,"quantile",0.5,850
"DE","05-14",2024-07-04,2024-07-21,3,"quantile",0.75,1150
"DE","05-14",2024-07-04,2024-07-21,3,"quantile",0.9,1490
"DE","05-14",2024-07-04,2024-07-21,3,"quantile",0.975,1930
"DE","05-14",2024-07-04,2024-07-21,3,"mean",NA,917.710917122752
"DE","05-14",2024-07-04,2024-07-28,4,"quantile",0.025,230
"DE","05-14",2024-07-04,2024-07-28,4,"quantile",0.1,390
"DE","05-14",2024-07-04,2024-07-28,4,"quantile",0.25,580
"DE","05-14",2024-07-04,2024-07-28,4,"quantile",0.5,860
"DE","05-14",2024-07-04,2024-07-28,4,"quantile",0.75,1230
"DE","05-14",2024-07-04,2024-07-28,4,"quantile",0.9,1630
"DE","05-14",2024-07-04,2024-07-28,4,"quantile",0.975,2170
"DE","05-14",2024-07-04,2024-07-28,4,"mean",NA,957.174559576929
"DE","15-34",2024-07-04,2024-07-07,1,"quantile",0.025,470
"DE","15-34",2024-07-04,2024-07-07,1,"quantile",0.1,590
"DE","15-34",2024-07-04,2024-07-07,1,"quantile",0.25,710
"DE","15-34",2024-07-04,2024-07-07,1,"quantile",0.5,860
"DE","15-34",2024-07-04,2024-07-07,1,"quantile",0.75,1040
"DE","15-34",2024-07-04,2024-07-07,1,"quantile",0.9,1220
"DE","15-34",2024-07-04,2024-07-07,1,"quantile",0.975,1440
"DE","15-34",2024-07-04,2024-07-07,1,"mean",NA,893.552854851077
"DE","15-34",2024-07-04,2024-07-14,2,"quantile",0.025,410
"DE","15-34",2024-07-04,2024-07-14,2,"quantile",0.1,540
"DE","15-34",2024-07-04,2024-07-14,2,"quantile",0.25,680
"DE","15-34",2024-07-04,2024-07-14,2,"quantile",0.5,870
"DE","15-34",2024-07-04,2024-07-14,2,"quantile",0.75,1080
"DE","15-34",2024-07-04,2024-07-14,2,"quantile",0.9,1300
"DE","15-34",2024-07-04,2024-07-14,2,"quantile",0.975,1580
"DE","15-34",2024-07-04,2024-07-14,2,"mean",NA,905.589699940931
"DE","15-34",2024-07-04,2024-07-21,3,"quantile",0.025,370
"DE","15-34",2024-07-04,2024-07-21,3,"quantile",0.1,510
"DE","15-34",2024-07-04,2024-07-21,3,"quantile",0.25,670
"DE","15-34",2024-07-04,2024-07-21,3,"quantile",0.5,870
"DE","15-34",2024-07-04,2024-07-21,3,"quantile",0.75,1120
"DE","15-34",2024-07-04,2024-07-21,3,"quantile",0.9,1380
"DE","15-34",2024-07-04,2024-07-21,3,"quantile",0.975,1720
"DE","15-34",2024-07-04,2024-07-21,3,"mean",NA,923.194562676235
"DE","15-34",2024-07-04,2024-07-28,4,"quantile",0.025,330
"DE","15-34",2024-07-04,2024-07-28,4,"quantile",0.1,480
"DE","15-34",2024-07-04,2024-07-28,4,"quantile",0.25,650
"DE","15-34",2024-07-04,2024-07-28,4,"quantile",0.5,890
"DE","15-34",2024-07-04,2024-07-28,4,"quantile",0.75,1170
"DE","15-34",2024-07-04,2024-07-28,4,"quantile",0.9,1470
"DE","15-34",2024-07-04,2024-07-28,4,"quantile",0.975,1870
"DE","15-34",2024-07-04,2024-07-28,4,"mean",NA,946.715240841503
"DE","35-59",2024-07-04,2024-07-07,1,"quantile",0.025,870
"DE","35-59",2024-07-04,2024-07-07,1,"quantile",0.1,1000
"DE","35-59",2024-07-04,2024-07-07,1,"quantile",0.25,1130
"DE","35-59",2024-07-04,2024-07-07,1,"quantile",0.5,1290
"DE","35-59",2024-07-04,2024-07-07,1,"quantile",0.75,1460
"DE","35-59",2024-07-04,2024-07-07,1,"quantile",0.9,1630
"DE","35-59",2024-07-04,2024-07-07,1,"quantile",0.975,1830
"DE","35-59",2024-07-04,2024-07-07,1,"mean",NA,1310.60963911984
"DE","35-59",2024-07-04,2024-07-14,2,"quantile",0.025,790
"DE","35-59",2024-07-04,2024-07-14,2,"quantile",0.1,940
"DE","35-59",2024-07-04,2024-07-14,2,"quantile",0.25,1080
"DE","35-59",2024-07-04,2024-07-14,2,"quantile",0.5,1260
"DE","35-59",2024-07-04,2024-07-14,2,"quantile",0.75,1460
"DE","35-59",2024-07-04,2024-07-14,2,"quantile",0.9,1660
"DE","35-59",2024-07-04,2024-07-14,2,"quantile",0.975,1900
"DE","35-59",2024-07-04,2024-07-14,2,"mean",NA,1288.54390037174
"DE","35-59",2024-07-04,2024-07-21,3,"quantile",0.025,730
"DE","35-59",2024-07-04,2024-07-21,3,"quantile",0.1,880
"DE","35-59",2024-07-04,2024-07-21,3,"quantile",0.25,1040
"DE","35-59",2024-07-04,2024-07-21,3,"quantile",0.5,1240
"DE","35-59",2024-07-04,2024-07-21,3,"quantile",0.75,1470
"DE","35-59",2024-07-04,2024-07-21,3,"quantile",0.9,1690
"DE","35-59",2024-07-04,2024-07-21,3,"quantile",0.975,1970
"DE","35-59",2024-07-04,2024-07-21,3,"mean",NA,1274.53780869607
"DE","35-59",2024-07-04,2024-07-28,4,"quantile",0.025,670
"DE","35-59",2024-07-04,2024-07-28,4,"quantile",0.1,840
"DE","35-59",2024-07-04,2024-07-28,4,"quantile",0.25,1010
"DE","35-59",2024-07-04,2024-07-28,4,"quantile",0.5,1230
"DE","35-59",2024-07-04,2024-07-28,4,"quantile",0.75,1480
"DE","35-59",2024-07-04,2024-07-28,4,"quantile",0.9,1730
"DE","35-59",2024-07-04,2024-07-28,4,"quantile",0.975,2040
"DE","35-59",2024-07-04,2024-07-28,4,"mean",NA,1267.64877933417
"DE","60-79",2024-07-04,2024-07-07,1,"quantile",0.025,1810
"DE","60-79",2024-07-04,2024-07-07,1,"quantile",0.1,2030
"DE","60-79",2024-07-04,2024-07-07,1,"quantile",0.25,2240
"DE","60-79",2024-07-04,2024-07-07,1,"quantile",0.5,2490
"DE","60-79",2024-07-04,2024-07-07,1,"quantile",0.75,2750
"DE","60-79",2024-07-04,2024-07-07,1,"quantile",0.9,3010
"DE","60-79",2024-07-04,2024-07-07,1,"quantile",0.975,3330
"DE","60-79",2024-07-04,2024-07-07,1,"mean",NA,2512.12786761857
"DE","60-79",2024-07-04,2024-07-14,2,"quantile",0.025,1660
"DE","60-79",2024-07-04,2024-07-14,2,"quantile",0.1,1900
"DE","60-79",2024-07-04,2024-07-14,2,"quantile",0.25,2130
"DE","60-79",2024-07-04,2024-07-14,2,"quantile",0.5,2410
"DE","60-79",2024-07-04,2024-07-14,2,"quantile",0.75,2720
"DE","60-79",2024-07-04,2024-07-14,2,"quantile",0.9,3020
"DE","60-79",2024-07-04,2024-07-14,2,"quantile",0.975,3380
"DE","60-79",2024-07-04,2024-07-14,2,"mean",NA,2445.47584620936
"DE","60-79",2024-07-04,2024-07-21,3,"quantile",0.025,1530
"DE","60-79",2024-07-04,2024-07-21,3,"quantile",0.1,1790
"DE","60-79",2024-07-04,2024-07-21,3,"quantile",0.25,2040
"DE","60-79",2024-07-04,2024-07-21,3,"quantile",0.5,2350
"DE","60-79",2024-07-04,2024-07-21,3,"quantile",0.75,2690
"DE","60-79",2024-07-04,2024-07-21,3,"quantile",0.9,3030
"DE","60-79",2024-07-04,2024-07-21,3,"quantile",0.975,3440
"DE","60-79",2024-07-04,2024-07-21,3,"mean",NA,2393.51322995663
"DE","60-79",2024-07-04,2024-07-28,4,"quantile",0.025,1430
