"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2024-02-08,2024-02-11,1,"quantile",0.025,19370
"DE","00+",2024-02-08,2024-02-11,1,"quantile",0.1,21300
"DE","00+",2024-02-08,2024-02-11,1,"quantile",0.25,23150
"DE","00+",2024-02-08,2024-02-11,1,"quantile",0.5,25380
"DE","00+",2024-02-08,2024-02-11,1,"quantile",0.75,27780
"DE","00+",2024-02-08,2024-02-11,1,"quantile",0.9,30110
"DE","00+",2024-02-08,2024-02-11,1,"quantile",0.975,32910
"DE","00+",2024-02-08,2024-02-11,1,"mean",NA,25580.5500218454
"DE","00+",2024-02-08,2024-02-18,2,"quantile",0.025,18020
"DE","00+",2024-02-08,2024-02-18,2,"quantile",0.1,20130
"DE","00+",2024-02-08,2024-02-18,2,"quantile",0.25,22180
"DE","00+",2024-02-08,2024-02-18,2,"quantile",0.5,24640
"DE","00+",2024-02-08,2024-02-18,2,"quantile",0.75,27320
"DE","00+",2024-02-08,2024-02-18,2,"quantile",0.9,29940
"DE","00+",2024-02-08,2024-02-18,2,"quantile",0.975,33090
"DE","00+",2024-02-08,2024-02-18,2,"mean",NA,24885.0006724298
"DE","00+",2024-02-08,2024-02-25,3,"quantile",0.025,16710
"DE","00+",2024-02-08,2024-02-25,3,"quantile",0.1,18920
"DE","00+",2024-02-08,2024-02-25,3,"quantile",0.25,21090
"DE","00+",2024-02-08,2024-02-25,3,"quantile",0.5,23710
"DE","00+",2024-02-08,2024-02-25,3,"quantile",0.75,26580
"DE","00+",2024-02-08,2024-02-25,3,"quantile",0.9,29390
"DE","00+",2024-02-08,2024-02-25,3,"quantile",0.975,32800
"DE","00+",2024-02-08,2024-02-25,3,"mean",NA,23986.1915204323
"DE","00+",2024-02-08,2024-03-03,4,"quantile",0.025,15390
"DE","00+",2024-02-08,2024-03-03,4,"quantile",0.1,17650
"DE","00+",2024-02-08,2024-03-03,4,"quantile",0.25,19870
"DE","00+",2024-02-08,2024-03-03,4,"quantile",0.5,22580
"DE","00+",2024-02-08,2024-03-03,4,"quantile",0.75,25550
"DE","00+",2024-02-08,2024-03-03,4,"quantile",0.9,28480
"DE","00+",2024-02-08,2024-03-03,4,"quantile",0.975,32050
"DE","00+",2024-02-08,2024-03-03,4,"mean",NA,22880.6102886302
"DE","00-04",2024-02-08,2024-02-11,1,"quantile",0.025,2590
"DE","00-04",2024-02-08,2024-02-11,1,"quantile",0.1,3220
"DE","00-04",2024-02-08,2024-02-11,1,"quantile",0.25,3860
"DE","00-04",2024-02-08,2024-02-11,1,"quantile",0.5,4680
"DE","00-04",2024-02-08,2024-02-11,1,"quantile",0.75,5600
"DE","00-04",2024-02-08,2024-02-11,1,"quantile",0.9,6540
"DE","00-04",2024-02-08,2024-02-11,1,"quantile",0.975,7710
"DE","00-04",2024-02-08,2024-02-11,1,"mean",NA,4805.23474488046
"DE","00-04",2024-02-08,2024-02-18,2,"quantile",0.025,2200
"DE","00-04",2024-02-08,2024-02-18,2,"quantile",0.1,2870
"DE","00-04",2024-02-08,2024-02-18,2,"quantile",0.25,3580
"DE","00-04",2024-02-08,2024-02-18,2,"quantile",0.5,4500
"DE","00-04",2024-02-08,2024-02-18,2,"quantile",0.75,5570
"DE","00-04",2024-02-08,2024-02-18,2,"quantile",0.9,6670
"DE","00-04",2024-02-08,2024-02-18,2,"quantile",0.975,8070
"DE","00-04",2024-02-08,2024-02-18,2,"mean",NA,4670.13706125349
"DE","00-04",2024-02-08,2024-02-25,3,"quantile",0.025,1880
"DE","00-04",2024-02-08,2024-02-25,3,"quantile",0.1,2560
"DE","00-04",2024-02-08,2024-02-25,3,"quantile",0.25,3310
"DE","00-04",2024-02-08,2024-02-25,3,"quantile",0.5,4300
"DE","00-04",2024-02-08,2024-02-25,3,"quantile",0.75,5480
"DE","00-04",2024-02-08,2024-02-25,3,"quantile",0.9,6710
