"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2024-08-01,2024-08-04,1,"quantile",0.025,6089
"DE","00+",2024-08-01,2024-08-04,1,"quantile",0.1,6654
"DE","00+",2024-08-01,2024-08-04,1,"quantile",0.25,7189
"DE","00+",2024-08-01,2024-08-04,1,"quantile",0.5,7815
"DE","00+",2024-08-01,2024-08-04,1,"quantile",0.75,8477
"DE","00+",2024-08-01,2024-08-04,1,"quantile",0.9,9103
"DE","00+",2024-08-01,2024-08-04,1,"quantile",0.975,9838
"DE","00+",2024-08-01,2024-08-04,1,"mean",NA,7853.68304053641
"DE","00+",2024-08-01,2024-08-11,2,"quantile",0.025,5862
"DE","00+",2024-08-01,2024-08-11,2,"quantile",0.1,6497
"DE","00+",2024-08-01,2024-08-11,2,"quantile",0.25,7103
"DE","00+",2024-08-01,2024-08-11,2,"quantile",0.5,7820
"DE","00+",2024-08-01,2024-08-11,2,"quantile",0.75,8583
"DE","00+",2024-08-01,2024-08-11,2,"quantile",0.9,9310
"DE","00+",2024-08-01,2024-08-11,2,"quantile",0.975,10170
"DE","00+",2024-08-01,2024-08-11,2,"mean",NA,7870.98541973401
"DE","00+",2024-08-01,2024-08-18,3,"quantile",0.025,5728
"DE","00+",2024-08-01,2024-08-18,3,"quantile",0.1,6423
"DE","00+",2024-08-01,2024-08-18,3,"quantile",0.25,7092
"DE","00+",2024-08-01,2024-08-18,3,"quantile",0.5,7887
"DE","00+",2024-08-01,2024-08-18,3,"quantile",0.75,8740
"DE","00+",2024-08-01,2024-08-18,3,"quantile",0.9,9558
"DE","00+",2024-08-01,2024-08-18,3,"quantile",0.975,10529
"DE","00+",2024-08-01,2024-08-18,3,"mean",NA,7949.9530438387
"DE","00+",2024-08-01,2024-08-25,4,"quantile",0.025,5663
"DE","00+",2024-08-01,2024-08-25,4,"quantile",0.1,6414
"DE","00+",2024-08-01,2024-08-25,4,"quantile",0.25,7141
"DE","00+",2024-08-01,2024-08-25,4,"quantile",0.5,8012
"DE","00+",2024-08-01,2024-08-25,4,"quantile",0.75,8950
"DE","00+",2024-08-01,2024-08-25,4,"quantile",0.9,9854
"DE","00+",2024-08-01,2024-08-25,4,"quantile",0.975,10933
"DE","00+",2024-08-01,2024-08-25,4,"mean",NA,8086.09582412855
"DE","00-04",2024-08-01,2024-08-04,1,"quantile",0.025,362
"DE","00-04",2024-08-01,2024-08-04,1,"quantile",0.1,448
"DE","00-04",2024-08-01,2024-08-04,1,"quantile",0.25,536
"DE","00-04",2024-08-01,2024-08-04,1,"quantile",0.5,646
"DE","00-04",2024-08-01,2024-08-04,1,"quantile",0.75,771
"DE","00-04",2024-08-01,2024-08-04,1,"quantile",0.9,895
"DE","00-04",2024-08-01,2024-08-04,1,"quantile",0.975,1049
"DE","00-04",2024-08-01,2024-08-04,1,"mean",NA,1240.87305703633
"DE","00-04",2024-08-01,2024-08-11,2,"quantile",0.025,328
"DE","00-04",2024-08-01,2024-08-11,2,"quantile",0.1,428
"DE","00-04",2024-08-01,2024-08-11,2,"quantile",0.25,533
"DE","00-04",2024-08-01,2024-08-11,2,"quantile",0.5,669
"DE","00-04",2024-08-01,2024-08-11,2,"quantile",0.75,826
"DE","00-04",2024-08-01,2024-08-11,2,"quantile",0.9,986
"DE","00-04",2024-08-01,2024-08-11,2,"quantile",0.975,1187
"DE","00-04",2024-08-01,2024-08-11,2,"mean",NA,1262.83410835125
"DE","00-04",2024-08-01,2024-08-18,3,"quantile",0.025,303
"DE","00-04",2024-08-01,2024-08-18,3,"quantile",0.1,415
"DE","00-04",2024-08-01,2024-08-18,3,"quantile",0.25,537
"DE","00-04",2024-08-01,2024-08-18,3,"quantile",0.5,699
"DE","00-04",2024-08-01,2024-08-18,3,"quantile",0.75,891
"DE","00-04",2024-08-01,2024-08-18,3,"quantile",0.9,1090
"DE","00-04",2024-08-01,2024-08-18,3,"quantile",0.975,1343
"DE","00-04",2024-08-01,2024-08-18,3,"mean",NA,1294.80687589666
"DE","00-04",2024-08-01,2024-08-25,4,"quantile",0.025,284
"DE","00-04",2024-08-01,2024-08-25,4,"quantile",0.1,408
"DE","00-04",2024-08-01,2024-08-25,4,"quantile",0.25,548
"DE","00-04",2024-08-01,2024-08-25,4,"quantile",0.5,737
"DE","00-04",2024-08-01,2024-08-25,4,"quantile",0.75,966
"DE","00-04",2024-08-01,2024-08-25,4,"quantile",0.9,1209
"DE","00-04",2024-08-01,2024-08-25,4,"quantile",0.975,1522
"DE","00-04",2024-08-01,2024-08-25,4,"mean",NA,1336.77063983025
"DE","05-14",2024-08-01,2024-08-04,1,"quantile",0.025,258
"DE","05-14",2024-08-01,2024-08-04,1,"quantile",0.1,320
"DE","05-14",2024-08-01,2024-08-04,1,"quantile",0.25,383
"DE","05-14",2024-08-01,2024-08-04,1,"quantile",0.5,463
"DE","05-14",2024-08-01,2024-08-04,1,"quantile",0.75,552
"DE","05-14",2024-08-01,2024-08-04,1,"quantile",0.9,642
"DE","05-14",2024-08-01,2024-08-04,1,"quantile",0.975,752
"DE","05-14",2024-08-01,2024-08-04,1,"mean",NA,1240.87305703633
"DE","05-14",2024-08-01,2024-08-11,2,"quantile",0.025,238
"DE","05-14",2024-08-01,2024-08-11,2,"quantile",0.1,310
"DE","05-14",2024-08-01,2024-08-11,2,"quantile",0.25,387
"DE","05-14",2024-08-01,2024-08-11,2,"quantile",0.5,486
"DE","05-14",2024-08-01,2024-08-11,2,"quantile",0.75,600
"DE","05-14",2024-08-01,2024-08-11,2,"quantile",0.9,716
"DE","05-14",2024-08-01,2024-08-11,2,"quantile",0.975,863
"DE","05-14",2024-08-01,2024-08-11,2,"mean",NA,1262.83410835125
"DE","05-14",2024-08-01,2024-08-18,3,"quantile",0.025,222
"DE","05-14",2024-08-01,2024-08-18,3,"quantile",0.1,304
"DE","05-14",2024-08-01,2024-08-18,3,"quantile",0.25,394
"DE","05-14",2024-08-01,2024-08-18,3,"quantile",0.5,512
"DE","05-14",2024-08-01,2024-08-18,3,"quantile",0.75,653
"DE","05-14",2024-08-01,2024-08-18,3,"quantile",0.9,799
"DE","05-14",2024-08-01,2024-08-18,3,"quantile",0.975,985
"DE","05-14",2024-08-01,2024-08-18,3,"mean",NA,1294.80687589666
"DE","05-14",2024-08-01,2024-08-25,4,"quantile",0.025,209
"DE","05-14",2024-08-01,2024-08-25,4,"quantile",0.1,300
"DE","05-14",2024-08-01,2024-08-25,4,"quantile",0.25,403
"DE","05-14",2024-08-01,2024-08-25,4,"quantile",0.5,543
"DE","05-14",2024-08-01,2024-08-25,4,"quantile",0.75,712
"DE","05-14",2024-08-01,2024-08-25,4,"quantile",0.9,890
"DE","05-14",2024-08-01,2024-08-25,4,"quantile",0.975,1121
"DE","05-14",2024-08-01,2024-08-25,4,"mean",NA,1336.77063983025
"DE","15-34",2024-08-01,2024-08-04,1,"quantile",0.025,416
"DE","15-34",2024-08-01,2024-08-04,1,"quantile",0.1,515
"DE","15-34",2024-08-01,2024-08-04,1,"quantile",0.25,616
"DE","15-34",2024-08-01,2024-08-04,1,"quantile",0.5,742
"DE","15-34",2024-08-01,2024-08-04,1,"quantile",0.75,885
"DE","15-34",2024-08-01,2024-08-04,1,"quantile",0.9,1028
"DE","15-34",2024-08-01,2024-08-04,1,"quantile",0.975,1204
"DE","15-34",2024-08-01,2024-08-04,1,"mean",NA,1240.87305703633
"DE","15-34",2024-08-01,2024-08-11,2,"quantile",0.025,375
"DE","15-34",2024-08-01,2024-08-11,2,"quantile",0.1,488
"DE","15-34",2024-08-01,2024-08-11,2,"quantile",0.25,608
"DE","15-34",2024-08-01,2024-08-11,2,"quantile",0.5,763
"DE","15-34",2024-08-01,2024-08-11,2,"quantile",0.75,942
"DE","15-34",2024-08-01,2024-08-11,2,"quantile",0.9,1124
"DE","15-34",2024-08-01,2024-08-11,2,"quantile",0.975,1354
"DE","15-34",2024-08-01,2024-08-11,2,"mean",NA,1262.83410835125
"DE","15-34",2024-08-01,2024-08-18,3,"quantile",0.025,342
"DE","15-34",2024-08-01,2024-08-18,3,"quantile",0.1,468
"DE","15-34",2024-08-01,2024-08-18,3,"quantile",0.25,605
"DE","15-34",2024-08-01,2024-08-18,3,"quantile",0.5,788
"DE","15-34",2024-08-01,2024-08-18,3,"quantile",0.75,1003
"DE","15-34",2024-08-01,2024-08-18,3,"quantile",0.9,1227
"DE","15-34",2024-08-01,2024-08-18,3,"quantile",0.975,1513
"DE","15-34",2024-08-01,2024-08-18,3,"mean",NA,1294.80687589666
"DE","15-34",2024-08-01,2024-08-25,4,"quantile",0.025,316
"DE","15-34",2024-08-01,2024-08-25,4,"quantile",0.1,453
"DE","15-34",2024-08-01,2024-08-25,4,"quantile",0.25,608
"DE","15-34",2024-08-01,2024-08-25,4,"quantile",0.5,819
"DE","15-34",2024-08-01,2024-08-25,4,"quantile",0.75,1073
"DE","15-34",2024-08-01,2024-08-25,4,"quantile",0.9,1342
