"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2024-06-20,2024-06-23,1,"quantile",0.025,6867
"DE","00+",2024-06-20,2024-06-23,1,"quantile",0.1,7504
"DE","00+",2024-06-20,2024-06-23,1,"quantile",0.25,8107
"DE","00+",2024-06-20,2024-06-23,1,"quantile",0.5,8814
"DE","00+",2024-06-20,2024-06-23,1,"quantile",0.75,9561
"DE","00+",2024-06-20,2024-06-23,1,"quantile",0.9,10267
"DE","00+",2024-06-20,2024-06-23,1,"quantile",0.975,11097
"DE","00+",2024-06-20,2024-06-23,1,"mean",NA,8857.64310216111
"DE","00+",2024-06-20,2024-06-30,2,"quantile",0.025,6324
"DE","00+",2024-06-20,2024-06-30,2,"quantile",0.1,7002
"DE","00+",2024-06-20,2024-06-30,2,"quantile",0.25,7650
"DE","00+",2024-06-20,2024-06-30,2,"quantile",0.5,8414
"DE","00+",2024-06-20,2024-06-30,2,"quantile",0.75,9228
"DE","00+",2024-06-20,2024-06-30,2,"quantile",0.9,10004
"DE","00+",2024-06-20,2024-06-30,2,"quantile",0.975,10920
"DE","00+",2024-06-20,2024-06-30,2,"mean",NA,8468.5500761929
"DE","00+",2024-06-20,2024-07-07,3,"quantile",0.025,5918
"DE","00+",2024-06-20,2024-07-07,3,"quantile",0.1,6623
"DE","00+",2024-06-20,2024-07-07,3,"quantile",0.25,7299
"DE","00+",2024-06-20,2024-07-07,3,"quantile",0.5,8104
"DE","00+",2024-06-20,2024-07-07,3,"quantile",0.75,8965
"DE","00+",2024-06-20,2024-07-07,3,"quantile",0.9,9790
"DE","00+",2024-06-20,2024-07-07,3,"quantile",0.975,10770
"DE","00+",2024-06-20,2024-07-07,3,"mean",NA,8166.42375111655
"DE","00+",2024-06-20,2024-07-14,4,"quantile",0.025,5616
"DE","00+",2024-06-20,2024-07-14,4,"quantile",0.1,6340
"DE","00+",2024-06-20,2024-07-14,4,"quantile",0.25,7038
"DE","00+",2024-06-20,2024-07-14,4,"quantile",0.5,7873
"DE","00+",2024-06-20,2024-07-14,4,"quantile",0.75,8771
"DE","00+",2024-06-20,2024-07-14,4,"quantile",0.9,9635
"DE","00+",2024-06-20,2024-07-14,4,"quantile",0.975,10665
"DE","00+",2024-06-20,2024-07-14,4,"mean",NA,7942.67659241195
"DE","00-04",2024-06-20,2024-06-23,1,"quantile",0.025,556
"DE","00-04",2024-06-20,2024-06-23,1,"quantile",0.1,687
"DE","00-04",2024-06-20,2024-06-23,1,"quantile",0.25,821
"DE","00-04",2024-06-20,2024-06-23,1,"quantile",0.5,990
"DE","00-04",2024-06-20,2024-06-23,1,"quantile",0.75,1181
"DE","00-04",2024-06-20,2024-06-23,1,"quantile",0.9,1371
"DE","00-04",2024-06-20,2024-06-23,1,"quantile",0.975,1606
"DE","00-04",2024-06-20,2024-06-23,1,"mean",NA,1429.70155511934
"DE","00-04",2024-06-20,2024-06-30,2,"quantile",0.025,483
"DE","00-04",2024-06-20,2024-06-30,2,"quantile",0.1,627
"DE","00-04",2024-06-20,2024-06-30,2,"quantile",0.25,779
"DE","00-04",2024-06-20,2024-06-30,2,"quantile",0.5,974
"DE","00-04",2024-06-20,2024-06-30,2,"quantile",0.75,1200
"DE","00-04",2024-06-20,2024-06-30,2,"quantile",0.9,1431
"DE","00-04",2024-06-20,2024-06-30,2,"quantile",0.975,1720
"DE","00-04",2024-06-20,2024-06-30,2,"mean",NA,1403.81348834725
"DE","00-04",2024-06-20,2024-07-07,3,"quantile",0.025,426
"DE","00-04",2024-06-20,2024-07-07,3,"quantile",0.1,580
"DE","00-04",2024-06-20,2024-07-07,3,"quantile",0.25,746
"DE","00-04",2024-06-20,2024-07-07,3,"quantile",0.5,966
"DE","00-04",2024-06-20,2024-07-07,3,"quantile",0.75,1226
"DE","00-04",2024-06-20,2024-07-07,3,"quantile",0.9,1496
"DE","00-04",2024-06-20,2024-07-07,3,"quantile",0.975,1839
"DE","00-04",2024-06-20,2024-07-07,3,"mean",NA,1387.36509559057
"DE","00-04",2024-06-20,2024-07-14,4,"quantile",0.025,381
"DE","00-04",2024-06-20,2024-07-14,4,"quantile",0.1,543
"DE","00-04",2024-06-20,2024-07-14,4,"quantile",0.25,723
"DE","00-04",2024-06-20,2024-07-14,4,"quantile",0.5,968
"DE","00-04",2024-06-20,2024-07-14,4,"quantile",0.75,1262
"DE","00-04",2024-06-20,2024-07-14,4,"quantile",0.9,1573
"DE","00-04",2024-06-20,2024-07-14,4,"quantile",0.975,1973
"DE","00-04",2024-06-20,2024-07-14,4,"mean",NA,1380.50644181046
"DE","05-14",2024-06-20,2024-06-23,1,"quantile",0.025,364
"DE","05-14",2024-06-20,2024-06-23,1,"quantile",0.1,451
"DE","05-14",2024-06-20,2024-06-23,1,"quantile",0.25,540
"DE","05-14",2024-06-20,2024-06-23,1,"quantile",0.5,651
"DE","05-14",2024-06-20,2024-06-23,1,"quantile",0.75,777
"DE","05-14",2024-06-20,2024-06-23,1,"quantile",0.9,903
"DE","05-14",2024-06-20,2024-06-23,1,"quantile",0.975,1058
