"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2023-12-14,2023-12-10,0,"quantile",0.025,13240
"DE","00+",2023-12-14,2023-12-10,0,"quantile",0.1,14480
"DE","00+",2023-12-14,2023-12-10,0,"quantile",0.25,15660
"DE","00+",2023-12-14,2023-12-10,0,"quantile",0.5,17040
"DE","00+",2023-12-14,2023-12-10,0,"quantile",0.75,18510
"DE","00+",2023-12-14,2023-12-10,0,"quantile",0.9,19920
"DE","00+",2023-12-14,2023-12-10,0,"quantile",0.975,21580
"DE","00+",2023-12-14,2023-12-10,0,"mean",NA,17142.6671358406
"DE","00+",2023-12-14,2023-12-17,1,"quantile",0.025,13200
"DE","00+",2023-12-14,2023-12-17,1,"quantile",0.1,14690
"DE","00+",2023-12-14,2023-12-17,1,"quantile",0.25,16110
"DE","00+",2023-12-14,2023-12-17,1,"quantile",0.5,17810
"DE","00+",2023-12-14,2023-12-17,1,"quantile",0.75,19620
"DE","00+",2023-12-14,2023-12-17,1,"quantile",0.9,21360
"DE","00+",2023-12-14,2023-12-17,1,"quantile",0.975,23440
"DE","00+",2023-12-14,2023-12-17,1,"mean",NA,17945.9999832741
"DE","00+",2023-12-14,2023-12-24,2,"quantile",0.025,13190
"DE","00+",2023-12-14,2023-12-24,2,"quantile",0.1,14890
"DE","00+",2023-12-14,2023-12-24,2,"quantile",0.25,16540
"DE","00+",2023-12-14,2023-12-24,2,"quantile",0.5,18520
"DE","00+",2023-12-14,2023-12-24,2,"quantile",0.75,20650
"DE","00+",2023-12-14,2023-12-24,2,"quantile",0.9,22710
"DE","00+",2023-12-14,2023-12-24,2,"quantile",0.975,25180
"DE","00+",2023-12-14,2023-12-24,2,"mean",NA,18694.199978039
"DE","00+",2023-12-14,2023-12-31,3,"quantile",0.025,13140
"DE","00+",2023-12-14,2023-12-31,3,"quantile",0.1,15040
"DE","00+",2023-12-14,2023-12-31,3,"quantile",0.25,16890
"DE","00+",2023-12-14,2023-12-31,3,"quantile",0.5,19130
"DE","00+",2023-12-14,2023-12-31,3,"quantile",0.75,21560
"DE","00+",2023-12-14,2023-12-31,3,"quantile",0.9,23920
"DE","00+",2023-12-14,2023-12-31,3,"quantile",0.975,26770
"DE","00+",2023-12-14,2023-12-31,3,"mean",NA,19349.9373611012
"DE","00+",2023-12-14,2024-01-07,4,"quantile",0.025,13050
"DE","00+",2023-12-14,2024-01-07,4,"quantile",0.1,15120
"DE","00+",2023-12-14,2024-01-07,4,"quantile",0.25,17150
"DE","00+",2023-12-14,2024-01-07,4,"quantile",0.5,19620
"DE","00+",2023-12-14,2024-01-07,4,"quantile",0.75,22330
"DE","00+",2023-12-14,2024-01-07,4,"quantile",0.9,24970
"DE","00+",2023-12-14,2024-01-07,4,"quantile",0.975,28160
"DE","00+",2023-12-14,2024-01-07,4,"mean",NA,19885.4205862334
"DE","00-04",2023-12-14,2023-12-17,0,"quantile",0.025,1930
"DE","00-04",2023-12-14,2023-12-17,0,"quantile",0.1,2390
"DE","00-04",2023-12-14,2023-12-17,0,"quantile",0.25,2870
"DE","00-04",2023-12-14,2023-12-17,0,"quantile",0.5,3460
"DE","00-04",2023-12-14,2023-12-17,0,"quantile",0.75,4140
"DE","00-04",2023-12-14,2023-12-17,0,"quantile",0.9,4820
"DE","00-04",2023-12-14,2023-12-17,0,"quantile",0.975,5670
"DE","00-04",2023-12-14,2023-12-17,0,"mean",NA,3556.31008891
"DE","00-04",2023-12-14,2023-12-24,1,"quantile",0.025,1760
"DE","00-04",2023-12-14,2023-12-24,1,"quantile",0.1,2300
"DE","00-04",2023-12-14,2023-12-24,1,"quantile",0.25,2880
"DE","00-04",2023-12-14,2023-12-24,1,"quantile",0.5,3620
"DE","00-04",2023-12-14,2023-12-24,1,"quantile",0.75,4490
"DE","00-04",2023-12-14,2023-12-24,1,"quantile",0.9,5380
"DE","00-04",2023-12-14,2023-12-24,1,"quantile",0.975,6500
"DE","00-04",2023-12-14,2023-12-24,1,"mean",NA,3758.79626646789
"DE","00-04",2023-12-14,2023-12-31,2,"quantile",0.025,1610
"DE","00-04",2023-12-14,2023-12-31,2,"quantile",0.1,2210
"DE","00-04",2023-12-14,2023-12-31,2,"quantile",0.25,2870
"DE","00-04",2023-12-14,2023-12-31,2,"quantile",0.5,3750
"DE","00-04",2023-12-14,2023-12-31,2,"quantile",0.75,4800
"DE","00-04",2023-12-14,2023-12-31,2,"quantile",0.9,5890
"DE","00-04",2023-12-14,2023-12-31,2,"quantile",0.975,7290
"DE","00-04",2023-12-14,2023-12-31,2,"mean",NA,3937.68861138249
"DE","00-04",2023-12-14,2024-01-07,3,"quantile",0.025,1460
"DE","00-04",2023-12-14,2024-01-07,3,"quantile",0.1,2110
"DE","00-04",2023-12-14,2024-01-07,3,"quantile",0.25,2840
"DE","00-04",2023-12-14,2024-01-07,3,"quantile",0.5,3840
"DE","00-04",2023-12-14,2024-01-07,3,"quantile",0.75,5060
"DE","00-04",2023-12-14,2024-01-07,3,"quantile",0.9,6350
"DE","00-04",2023-12-14,2024-01-07,3,"quantile",0.975,8020
"DE","00-04",2023-12-14,2024-01-07,3,"mean",NA,4083.50876864437
"DE","00-04",2023-12-14,2024-01-14,4,"quantile",0.025,1320
"DE","00-04",2023-12-14,2024-01-14,4,"quantile",0.1,2000
"DE","00-04",2023-12-14,2024-01-14,4,"quantile",0.25,2790
"DE","00-04",2023-12-14,2024-01-14,4,"quantile",0.5,3900
"DE","00-04",2023-12-14,2024-01-14,4,"quantile",0.75,5270
"DE","00-04",2023-12-14,2024-01-14,4,"quantile",0.9,6750
"DE","00-04",2023-12-14,2024-01-14,4,"quantile",0.975,8690
"DE","00-04",2023-12-14,2024-01-14,4,"mean",NA,4192.51772323381
"DE","05-14",2023-12-14,2023-12-17,0,"quantile",0.025,300
"DE","05-14",2023-12-14,2023-12-17,0,"quantile",0.1,430
"DE","05-14",2023-12-14,2023-12-17,0,"quantile",0.25,570
"DE","05-14",2023-12-14,2023-12-17,0,"quantile",0.5,760
"DE","05-14",2023-12-14,2023-12-17,0,"quantile",0.75,990
"DE","05-14",2023-12-14,2023-12-17,0,"quantile",0.9,1230
"DE","05-14",2023-12-14,2023-12-17,0,"quantile",0.975,1540
"DE","05-14",2023-12-14,2023-12-17,0,"mean",NA,805.896300167738
"DE","05-14",2023-12-14,2023-12-24,1,"quantile",0.025,240
"DE","05-14",2023-12-14,2023-12-24,1,"quantile",0.1,370
"DE","05-14",2023-12-14,2023-12-24,1,"quantile",0.25,540
"DE","05-14",2023-12-14,2023-12-24,1,"quantile",0.5,770
"DE","05-14",2023-12-14,2023-12-24,1,"quantile",0.75,1060
"DE","05-14",2023-12-14,2023-12-24,1,"quantile",0.9,1370
"DE","05-14",2023-12-14,2023-12-24,1,"quantile",0.975,1790
"DE","05-14",2023-12-14,2023-12-24,1,"mean",NA,837.149234605771
"DE","05-14",2023-12-14,2023-12-31,2,"quantile",0.025,190
"DE","05-14",2023-12-14,2023-12-31,2,"quantile",0.1,330
"DE","05-14",2023-12-14,2023-12-31,2,"quantile",0.25,510
"DE","05-14",2023-12-14,2023-12-31,2,"quantile",0.5,770
"DE","05-14",2023-12-14,2023-12-31,2,"quantile",0.75,1120
"DE","05-14",2023-12-14,2023-12-31,2,"quantile",0.9,1510
"DE","05-14",2023-12-14,2023-12-31,2,"quantile",0.975,2040
"DE","05-14",2023-12-14,2023-12-31,2,"mean",NA,866.526391321881
"DE","05-14",2023-12-14,2024-01-07,3,"quantile",0.025,140
"DE","05-14",2023-12-14,2024-01-07,3,"quantile",0.1,280
"DE","05-14",2023-12-14,2024-01-07,3,"quantile",0.25,470
"DE","05-14",2023-12-14,2024-01-07,3,"quantile",0.5,770
"DE","05-14",2023-12-14,2024-01-07,3,"quantile",0.75,1180
"DE","05-14",2023-12-14,2024-01-07,3,"quantile",0.9,1640
"DE","05-14",2023-12-14,2024-01-07,3,"quantile",0.975,2280
"DE","05-14",2023-12-14,2024-01-07,3,"mean",NA,891.534412866244
"DE","05-14",2023-12-14,2024-01-14,4,"quantile",0.025,110
"DE","05-14",2023-12-14,2024-01-14,4,"quantile",0.1,240
"DE","05-14",2023-12-14,2024-01-14,4,"quantile",0.25,440
"DE","05-14",2023-12-14,2024-01-14,4,"quantile",0.5,760
"DE","05-14",2023-12-14,2024-01-14,4,"quantile",0.75,1220
