"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2024-01-18,2024-01-21,1,"mean",NA,24704
"DE","00+",2024-01-18,2024-01-21,1,"quantile",0.025,10409
"DE","00+",2024-01-18,2024-01-21,1,"quantile",0.1,11585
"DE","00+",2024-01-18,2024-01-21,1,"quantile",0.25,12711
"DE","00+",2024-01-18,2024-01-21,1,"quantile",0.5,14046
"DE","00+",2024-01-18,2024-01-21,1,"quantile",0.75,15472
"DE","00+",2024-01-18,2024-01-21,1,"quantile",0.9,16833
"DE","00+",2024-01-18,2024-01-21,1,"quantile",0.975,18446
"DE","00+",2024-01-18,2024-01-28,2,"mean",NA,31521
"DE","00+",2024-01-18,2024-01-28,2,"quantile",0.025,9179
"DE","00+",2024-01-18,2024-01-28,2,"quantile",0.1,10681
"DE","00+",2024-01-18,2024-01-28,2,"quantile",0.25,12161
"DE","00+",2024-01-18,2024-01-28,2,"quantile",0.5,13960
"DE","00+",2024-01-18,2024-01-28,2,"quantile",0.75,15928
"DE","00+",2024-01-18,2024-01-28,2,"quantile",0.9,17849
"DE","00+",2024-01-18,2024-01-28,2,"quantile",0.975,20168
"DE","00+",2024-01-18,2024-02-04,3,"mean",NA,35263
"DE","00+",2024-01-18,2024-02-04,3,"quantile",0.025,8867
"DE","00+",2024-01-18,2024-02-04,3,"quantile",0.1,10446
"DE","00+",2024-01-18,2024-02-04,3,"quantile",0.25,12013
"DE","00+",2024-01-18,2024-02-04,3,"quantile",0.5,13932
"DE","00+",2024-01-18,2024-02-04,3,"quantile",0.75,16046
"DE","00+",2024-01-18,2024-02-04,3,"quantile",0.9,18120
"DE","00+",2024-01-18,2024-02-04,3,"quantile",0.975,20636
"DE","00+",2024-01-18,2024-02-11,4,"mean",NA,34348
"DE","00+",2024-01-18,2024-02-11,4,"quantile",0.025,7127
"DE","00+",2024-01-18,2024-02-11,4,"quantile",0.1,9082
"DE","00+",2024-01-18,2024-02-11,4,"quantile",0.25,11121
"DE","00+",2024-01-18,2024-02-11,4,"quantile",0.5,13729
"DE","00+",2024-01-18,2024-02-11,4,"quantile",0.75,16717
"DE","00+",2024-01-18,2024-02-11,4,"quantile",0.9,19746
"DE","00+",2024-01-18,2024-02-11,4,"quantile",0.975,23528
"DE","00-04",2024-01-18,2024-01-21,1,"mean",NA,4663
"DE","00-04",2024-01-18,2024-01-21,1,"quantile",0.025,1960
