"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2024-01-04,2024-01-07,1,"quantile",0.025,15040
"DE","00+",2024-01-04,2024-01-07,1,"quantile",0.1,16580
"DE","00+",2024-01-04,2024-01-07,1,"quantile",0.25,17980
"DE","00+",2024-01-04,2024-01-07,1,"quantile",0.5,19590
"DE","00+",2024-01-04,2024-01-07,1,"quantile",0.75,21260
"DE","00+",2024-01-04,2024-01-07,1,"quantile",0.9,22830
"DE","00+",2024-01-04,2024-01-07,1,"quantile",0.975,24670
"DE","00+",2024-01-04,2024-01-07,1,"mean",NA,19665.7706409176
"DE","00+",2024-01-04,2024-01-14,2,"quantile",0.025,13560
"DE","00+",2024-01-04,2024-01-14,2,"quantile",0.1,15520
"DE","00+",2024-01-04,2024-01-14,2,"quantile",0.25,17350
"DE","00+",2024-01-04,2024-01-14,2,"quantile",0.5,19470
"DE","00+",2024-01-04,2024-01-14,2,"quantile",0.75,21720
"DE","00+",2024-01-04,2024-01-14,2,"quantile",0.9,23880
"DE","00+",2024-01-04,2024-01-14,2,"quantile",0.975,26460
"DE","00+",2024-01-04,2024-01-14,2,"mean",NA,19617.8526941357
"DE","00+",2024-01-04,2024-01-21,3,"quantile",0.025,12940
"DE","00+",2024-01-04,2024-01-21,3,"quantile",0.1,14990
"DE","00+",2024-01-04,2024-01-21,3,"quantile",0.25,16970
"DE","00+",2024-01-04,2024-01-21,3,"quantile",0.5,19330
"DE","00+",2024-01-04,2024-01-21,3,"quantile",0.75,21880
"DE","00+",2024-01-04,2024-01-21,3,"quantile",0.9,24350
"DE","00+",2024-01-04,2024-01-21,3,"quantile",0.975,27310
"DE","00+",2024-01-04,2024-01-21,3,"mean",NA,19544.5351929371
"DE","00+",2024-01-04,2024-01-28,4,"quantile",0.025,12530
"DE","00+",2024-01-04,2024-01-28,4,"quantile",0.1,14590
"DE","00+",2024-01-04,2024-01-28,4,"quantile",0.25,16620
"DE","00+",2024-01-04,2024-01-28,4,"quantile",0.5,19110
"DE","00+",2024-01-04,2024-01-28,4,"quantile",0.75,21840
"DE","00+",2024-01-04,2024-01-28,4,"quantile",0.9,24530
"DE","00+",2024-01-04,2024-01-28,4,"quantile",0.975,27820
"DE","00+",2024-01-04,2024-01-28,4,"mean",NA,19390.5052355335
"DE","00-04",2024-01-04,2024-01-07,1,"quantile",0.025,2940
"DE","00-04",2024-01-04,2024-01-07,1,"quantile",0.1,3630
"DE","00-04",2024-01-04,2024-01-07,1,"quantile",0.25,4340
"DE","00-04",2024-01-04,2024-01-07,1,"quantile",0.5,5230
"DE","00-04",2024-01-04,2024-01-07,1,"quantile",0.75,6230
"DE","00-04",2024-01-04,2024-01-07,1,"quantile",0.9,7250
"DE","00-04",2024-01-04,2024-01-07,1,"quantile",0.975,8510
