location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-03-28,2024-03-31,1,quantile,0.025,8795.0
DE,00+,2024-03-28,2024-03-31,1,quantile,0.1,10117.0
DE,00+,2024-03-28,2024-03-31,1,quantile,0.25,11409.0
DE,00+,2024-03-28,2024-03-31,1,quantile,0.5,12970.0
DE,00+,2024-03-28,2024-03-31,1,quantile,0.75,14668.0
DE,00+,2024-03-28,2024-03-31,1,quantile,0.9,16316.0
DE,00+,2024-03-28,2024-03-31,1,quantile,0.975,18296.0
DE,00+,2024-03-28,2024-04-07,2,quantile,0.025,7940.0
DE,00+,2024-03-28,2024-04-07,2,quantile,0.1,9093.0
DE,00+,2024-03-28,2024-04-07,2,quantile,0.25,10217.0
DE,00+,2024-03-28,2024-04-07,2,quantile,0.5,11572.0
DE,00+,2024-03-28,2024-04-07,2,quantile,0.75,13041.0
DE,00+,2024-03-28,2024-04-07,2,quantile,0.9,14464.0
DE,00+,2024-03-28,2024-04-07,2,quantile,0.975,16170.0
DE,00+,2024-03-28,2024-04-14,3,quantile,0.025,7110.0
DE,00+,2024-03-28,2024-04-14,3,quantile,0.1,8182.0
DE,00+,2024-03-28,2024-04-14,3,quantile,0.25,9229.0
DE,00+,2024-03-28,2024-04-14,3,quantile,0.5,10495.0
DE,00+,2024-03-28,2024-04-14,3,quantile,0.75,11872.0
DE,00+,2024-03-28,2024-04-14,3,quantile,0.9,13208.0
DE,00+,2024-03-28,2024-04-14,3,quantile,0.975,14814.0
DE,00+,2024-03-28,2024-04-21,4,quantile,0.025,6318.0
DE,00+,2024-03-28,2024-04-21,4,quantile,0.1,7333.0
DE,00+,2024-03-28,2024-04-21,4,quantile,0.25,8330.0
DE,00+,2024-03-28,2024-04-21,4,quantile,0.5,9542.0
DE,00+,2024-03-28,2024-04-21,4,quantile,0.75,10866.0
DE,00+,2024-03-28,2024-04-21,4,quantile,0.9,12156.0
DE,00+,2024-03-28,2024-04-21,4,quantile,0.975,13712.0
DE,00-04,2024-03-28,2024-03-31,1,quantile,0.025,605.0
DE,00-04,2024-03-28,2024-03-31,1,quantile,0.1,926.0
DE,00-04,2024-03-28,2024-03-31,1,quantile,0.25,1303.0
DE,00-04,2024-03-28,2024-03-31,1,quantile,0.5,1832.0
DE,00-04,2024-03-28,2024-03-31,1,quantile,0.75,2489.0
DE,00-04,2024-03-28,2024-03-31,1,quantile,0.9,3199.0
DE,00-04,2024-03-28,2024-03-31,1,quantile,0.975,4130.0
DE,00-04,2024-03-28,2024-04-07,2,quantile,0.025,539.0
DE,00-04,2024-03-28,2024-04-07,2,quantile,0.1,811.0
DE,00-04,2024-03-28,2024-04-07,2,quantile,0.25,1125.0
DE,00-04,2024-03-28,2024-04-07,2,quantile,0.5,1564.0
DE,00-04,2024-03-28,2024-04-07,2,quantile,0.75,2104.0
DE,00-04,2024-03-28,2024-04-07,2,quantile,0.9,2684.0
DE,00-04,2024-03-28,2024-04-07,2,quantile,0.975,3442.0
DE,00-04,2024-03-28,2024-04-14,3,quantile,0.025,393.0
DE,00-04,2024-03-28,2024-04-14,3,quantile,0.1,631.0
DE,00-04,2024-03-28,2024-04-14,3,quantile,0.25,919.0
DE,00-04,2024-03-28,2024-04-14,3,quantile,0.5,1333.0
DE,00-04,2024-03-28,2024-04-14,3,quantile,0.75,1857.0
DE,00-04,2024-03-28,2024-04-14,3,quantile,0.9,2430.0
DE,00-04,2024-03-28,2024-04-14,3,quantile,0.975,3192.0
DE,00-04,2024-03-28,2024-04-21,4,quantile,0.025,360.0
DE,00-04,2024-03-28,2024-04-21,4,quantile,0.1,572.0
DE,00-04,2024-03-28,2024-04-21,4,quantile,0.25,827.0
DE,00-04,2024-03-28,2024-04-21,4,quantile,0.5,1192.0
DE,00-04,2024-03-28,2024-04-21,4,quantile,0.75,1651.0
DE,00-04,2024-03-28,2024-04-21,4,quantile,0.9,2152.0
DE,00-04,2024-03-28,2024-04-21,4,quantile,0.975,2816.0
DE,05-14,2024-03-28,2024-03-31,1,quantile,0.025,111.0
DE,05-14,2024-03-28,2024-03-31,1,quantile,0.1,177.0
DE,05-14,2024-03-28,2024-03-31,1,quantile,0.25,257.0
DE,05-14,2024-03-28,2024-03-31,1,quantile,0.5,370.0
DE,05-14,2024-03-28,2024-03-31,1,quantile,0.75,514.0
DE,05-14,2024-03-28,2024-03-31,1,quantile,0.9,670.0
DE,05-14,2024-03-28,2024-03-31,1,quantile,0.975,878.0
DE,05-14,2024-03-28,2024-04-07,2,quantile,0.025,82.0
DE,05-14,2024-03-28,2024-04-07,2,quantile,0.1,135.0
DE,05-14,2024-03-28,2024-04-07,2,quantile,0.25,200.0
DE,05-14,2024-03-28,2024-04-07,2,quantile,0.5,294.0
DE,05-14,2024-03-28,2024-04-07,2,quantile,0.75,413.0
DE,05-14,2024-03-28,2024-04-07,2,quantile,0.9,545.0
DE,05-14,2024-03-28,2024-04-07,2,quantile,0.975,720.0
DE,05-14,2024-03-28,2024-04-14,3,quantile,0.025,54.0
DE,05-14,2024-03-28,2024-04-14,3,quantile,0.1,98.0
DE,05-14,2024-03-28,2024-04-14,3,quantile,0.25,155.0
DE,05-14,2024-03-28,2024-04-14,3,quantile,0.5,242.0
DE,05-14,2024-03-28,2024-04-14,3,quantile,0.75,357.0
DE,05-14,2024-03-28,2024-04-14,3,quantile,0.9,486.0
DE,05-14,2024-03-28,2024-04-14,3,quantile,0.975,661.0
DE,05-14,2024-03-28,2024-04-21,4,quantile,0.025,57.0
DE,05-14,2024-03-28,2024-04-21,4,quantile,0.1,96.0
DE,05-14,2024-03-28,2024-04-21,4,quantile,0.25,144.0
DE,05-14,2024-03-28,2024-04-21,4,quantile,0.5,214.0
DE,05-14,2024-03-28,2024-04-21,4,quantile,0.75,304.0
DE,05-14,2024-03-28,2024-04-21,4,quantile,0.9,403.0
DE,05-14,2024-03-28,2024-04-21,4,quantile,0.975,536.0
DE,15-34,2024-03-28,2024-03-31,1,quantile,0.025,232.0
DE,15-34,2024-03-28,2024-03-31,1,quantile,0.1,310.0
DE,15-34,2024-03-28,2024-03-31,1,quantile,0.25,393.0
DE,15-34,2024-03-28,2024-03-31,1,quantile,0.5,503.0
DE,15-34,2024-03-28,2024-03-31,1,quantile,0.75,630.0
DE,15-34,2024-03-28,2024-03-31,1,quantile,0.9,762.0
DE,15-34,2024-03-28,2024-03-31,1,quantile,0.975,928.0
DE,15-34,2024-03-28,2024-04-07,2,quantile,0.025,241.0
DE,15-34,2024-03-28,2024-04-07,2,quantile,0.1,302.0
DE,15-34,2024-03-28,2024-04-07,2,quantile,0.25,366.0
DE,15-34,2024-03-28,2024-04-07,2,quantile,0.5,446.0
DE,15-34,2024-03-28,2024-04-07,2,quantile,0.75,537.0
DE,15-34,2024-03-28,2024-04-07,2,quantile,0.9,629.0
DE,15-34,2024-03-28,2024-04-07,2,quantile,0.975,742.0
DE,15-34,2024-03-28,2024-04-14,3,quantile,0.025,172.0
DE,15-34,2024-03-28,2024-04-14,3,quantile,0.1,239.0
DE,15-34,2024-03-28,2024-04-14,3,quantile,0.25,313.0
DE,15-34,2024-03-28,2024-04-14,3,quantile,0.5,412.0
DE,15-34,2024-03-28,2024-04-14,3,quantile,0.75,530.0
DE,15-34,2024-03-28,2024-04-14,3,quantile,0.9,653.0
DE,15-34,2024-03-28,2024-04-14,3,quantile,0.975,810.0
DE,15-34,2024-03-28,2024-04-21,4,quantile,0.025,159.0
DE,15-34,2024-03-28,2024-04-21,4,quantile,0.1,225.0
DE,15-34,2024-03-28,2024-04-21,4,quantile,0.25,298.0
DE,15-34,2024-03-28,2024-04-21,4,quantile,0.5,396.0
DE,15-34,2024-03-28,2024-04-21,4,quantile,0.75,513.0
DE,15-34,2024-03-28,2024-04-21,4,quantile,0.9,637.0
DE,15-34,2024-03-28,2024-04-21,4,quantile,0.975,796.0
DE,35-59,2024-03-28,2024-03-31,1,quantile,0.025,497.0
DE,35-59,2024-03-28,2024-03-31,1,quantile,0.1,801.0
DE,35-59,2024-03-28,2024-03-31,1,quantile,0.25,1171.0
DE,35-59,2024-03-28,2024-03-31,1,quantile,0.5,1704.0
DE,35-59,2024-03-28,2024-03-31,1,quantile,0.75,2379.0
DE,35-59,2024-03-28,2024-03-31,1,quantile,0.9,3119.0
DE,35-59,2024-03-28,2024-03-31,1,quantile,0.975,4103.0
DE,35-59,2024-03-28,2024-04-07,2,quantile,0.025,348.0
DE,35-59,2024-03-28,2024-04-07,2,quantile,0.1,627.0
DE,35-59,2024-03-28,2024-04-07,2,quantile,0.25,991.0
DE,35-59,2024-03-28,2024-04-07,2,quantile,0.5,1544.0
DE,35-59,2024-03-28,2024-04-07,2,quantile,0.75,2275.0
DE,35-59,2024-03-28,2024-04-07,2,quantile,0.9,3099.0
DE,35-59,2024-03-28,2024-04-07,2,quantile,0.975,4220.0
DE,35-59,2024-03-28,2024-04-14,3,quantile,0.025,238.0
DE,35-59,2024-03-28,2024-04-14,3,quantile,0.1,483.0
DE,35-59,2024-03-28,2024-04-14,3,quantile,0.25,826.0
DE,35-59,2024-03-28,2024-04-14,3,quantile,0.5,1379.0
DE,35-59,2024-03-28,2024-04-14,3,quantile,0.75,2139.0
DE,35-59,2024-03-28,2024-04-14,3,quantile,0.9,3020.0
DE,35-59,2024-03-28,2024-04-14,3,quantile,0.975,4243.0
DE,35-59,2024-03-28,2024-04-21,4,quantile,0.025,199.0
DE,35-59,2024-03-28,2024-04-21,4,quantile,0.1,418.0
DE,35-59,2024-03-28,2024-04-21,4,quantile,0.25,734.0
DE,35-59,2024-03-28,2024-04-21,4,quantile,0.5,1249.0
DE,35-59,2024-03-28,2024-04-21,4,quantile,0.75,1967.0
DE,35-59,2024-03-28,2024-04-21,4,quantile,0.9,2805.0
DE,35-59,2024-03-28,2024-04-21,4,quantile,0.975,3975.0
DE,60-79,2024-03-28,2024-03-31,1,quantile,0.025,2383.0
DE,60-79,2024-03-28,2024-03-31,1,quantile,0.1,2824.0
DE,60-79,2024-03-28,2024-03-31,1,quantile,0.25,3264.0
DE,60-79,2024-03-28,2024-03-31,1,quantile,0.5,3804.0
DE,60-79,2024-03-28,2024-03-31,1,quantile,0.75,4400.0
DE,60-79,2024-03-28,2024-03-31,1,quantile,0.9,4986.0
DE,60-79,2024-03-28,2024-03-31,1,quantile,0.975,5699.0
DE,60-79,2024-03-28,2024-04-07,2,quantile,0.025,1963.0
DE,60-79,2024-03-28,2024-04-07,2,quantile,0.1,2408.0
DE,60-79,2024-03-28,2024-04-07,2,quantile,0.25,2861.0
DE,60-79,2024-03-28,2024-04-07,2,quantile,0.5,3428.0
DE,60-79,2024-03-28,2024-04-07,2,quantile,0.75,4066.0
DE,60-79,2024-03-28,2024-04-07,2,quantile,0.9,4702.0
DE,60-79,2024-03-28,2024-04-07,2,quantile,0.975,5487.0
DE,60-79,2024-03-28,2024-04-14,3,quantile,0.025,1739.0
DE,60-79,2024-03-28,2024-04-14,3,quantile,0.1,2167.0
DE,60-79,2024-03-28,2024-04-14,3,quantile,0.25,2607.0
DE,60-79,2024-03-28,2024-04-14,3,quantile,0.5,3162.0
DE,60-79,2024-03-28,2024-04-14,3,quantile,0.75,3791.0
DE,60-79,2024-03-28,2024-04-14,3,quantile,0.9,4424.0
DE,60-79,2024-03-28,2024-04-14,3,quantile,0.975,5207.0
DE,60-79,2024-03-28,2024-04-21,4,quantile,0.025,1470.0
DE,60-79,2024-03-28,2024-04-21,4,quantile,0.1,1885.0
DE,60-79,2024-03-28,2024-04-21,4,quantile,0.25,2320.0
DE,60-79,2024-03-28,2024-04-21,4,quantile,0.5,2877.0
DE,60-79,2024-03-28,2024-04-21,4,quantile,0.75,3518.0
DE,60-79,2024-03-28,2024-04-21,4,quantile,0.9,4169.0
DE,60-79,2024-03-28,2024-04-21,4,quantile,0.975,4983.0
DE,80+,2024-03-28,2024-03-31,1,quantile,0.025,2417.0
DE,80+,2024-03-28,2024-03-31,1,quantile,0.1,2848.0
DE,80+,2024-03-28,2024-03-31,1,quantile,0.25,3275.0
DE,80+,2024-03-28,2024-03-31,1,quantile,0.5,3799.0
DE,80+,2024-03-28,2024-03-31,1,quantile,0.75,4375.0
DE,80+,2024-03-28,2024-03-31,1,quantile,0.9,4941.0
DE,80+,2024-03-28,2024-03-31,1,quantile,0.975,5627.0
DE,80+,2024-03-28,2024-04-07,2,quantile,0.025,2220.0
DE,80+,2024-03-28,2024-04-07,2,quantile,0.1,2585.0
DE,80+,2024-03-28,2024-04-07,2,quantile,0.25,2946.0
DE,80+,2024-03-28,2024-04-07,2,quantile,0.5,3384.0
DE,80+,2024-03-28,2024-04-07,2,quantile,0.75,3863.0
