location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-03-14,2024-03-17,1,quantile,0.025,9933.422589391774
DE,00+,2024-03-14,2024-03-17,1,quantile,0.1,10924.583186321044
DE,00+,2024-03-14,2024-03-17,1,quantile,0.25,11540.174149992554
DE,00+,2024-03-14,2024-03-17,1,quantile,0.5,12468.612092725894
DE,00+,2024-03-14,2024-03-17,1,quantile,0.75,13773.36969815235
DE,00+,2024-03-14,2024-03-17,1,quantile,0.9,14899.422677168099
DE,00+,2024-03-14,2024-03-17,1,quantile,0.975,16753.197484582404
DE,00+,2024-03-14,2024-03-24,2,quantile,0.025,9246.291307638481
DE,00+,2024-03-14,2024-03-24,2,quantile,0.1,9897.408283560897
DE,00+,2024-03-14,2024-03-24,2,quantile,0.25,10276.098662021934
DE,00+,2024-03-14,2024-03-24,2,quantile,0.5,10772.996023161351
DE,00+,2024-03-14,2024-03-24,2,quantile,0.75,11952.717501035844
DE,00+,2024-03-14,2024-03-24,2,quantile,0.9,15133.65569338021
DE,00+,2024-03-14,2024-03-24,2,quantile,0.975,18546.824745354337
DE,00+,2024-03-14,2024-03-31,3,quantile,0.025,8556.345961746129
DE,00+,2024-03-14,2024-03-31,3,quantile,0.1,9541.12157196637
DE,00+,2024-03-14,2024-03-31,3,quantile,0.25,9895.917400295264
DE,00+,2024-03-14,2024-03-31,3,quantile,0.5,10396.423219693457
DE,00+,2024-03-14,2024-03-31,3,quantile,0.75,11684.541850141735
DE,00+,2024-03-14,2024-03-31,3,quantile,0.9,15327.95226874821
DE,00+,2024-03-14,2024-03-31,3,quantile,0.975,19736.494541351647
DE,00+,2024-03-14,2024-04-07,4,quantile,0.025,8389.95334150372
DE,00+,2024-03-14,2024-04-07,4,quantile,0.1,8690.829555331653
DE,00+,2024-03-14,2024-04-07,4,quantile,0.25,8981.212400388673
DE,00+,2024-03-14,2024-04-07,4,quantile,0.5,9718.893948510427
DE,00+,2024-03-14,2024-04-07,4,quantile,0.75,10983.919563454356
DE,00+,2024-03-14,2024-04-07,4,quantile,0.9,14343.222189274858
DE,00+,2024-03-14,2024-04-07,4,quantile,0.975,19338.615673938166
DE,00-04,2024-03-14,2024-03-17,1,quantile,0.025,1217.8363545590885
