location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2023-12-28,2023-12-31,1,quantile,0.025,5212.046132888756
DE,00+,2023-12-28,2023-12-31,1,quantile,0.1,5530.313878317112
DE,00+,2023-12-28,2023-12-31,1,quantile,0.25,6365.196436278559
DE,00+,2023-12-28,2023-12-31,1,quantile,0.5,7869.759382244741
DE,00+,2023-12-28,2023-12-31,1,quantile,0.75,9727.260806655184
DE,00+,2023-12-28,2023-12-31,1,quantile,0.9,12559.721285964086
DE,00+,2023-12-28,2023-12-31,1,quantile,0.975,14958.95822995451
DE,00+,2023-12-28,2024-01-07,2,quantile,0.025,5142.688326801773
DE,00+,2023-12-28,2024-01-07,2,quantile,0.1,5876.712345324747
DE,00+,2023-12-28,2024-01-07,2,quantile,0.25,6643.4635430027365
DE,00+,2023-12-28,2024-01-07,2,quantile,0.5,8365.927994855665
DE,00+,2023-12-28,2024-01-07,2,quantile,0.75,9735.604385766854
DE,00+,2023-12-28,2024-01-07,2,quantile,0.9,13441.830307140157
DE,00+,2023-12-28,2024-01-07,2,quantile,0.975,16072.575550440019
DE,00+,2023-12-28,2024-01-14,3,quantile,0.025,5074.929226616014
DE,00+,2023-12-28,2024-01-14,3,quantile,0.1,6424.891244932478
DE,00+,2023-12-28,2024-01-14,3,quantile,0.25,6795.6495145463805
DE,00+,2023-12-28,2024-01-14,3,quantile,0.5,7547.940169512263
DE,00+,2023-12-28,2024-01-14,3,quantile,0.75,9907.399376238058
DE,00+,2023-12-28,2024-01-14,3,quantile,0.9,11939.546510925162
DE,00+,2023-12-28,2024-01-14,3,quantile,0.975,18101.944393075457
DE,00+,2023-12-28,2024-01-21,4,quantile,0.025,4846.481118645666
DE,00+,2023-12-28,2024-01-21,4,quantile,0.1,6577.718893729771
DE,00+,2023-12-28,2024-01-21,4,quantile,0.25,7144.456506890398
DE,00+,2023-12-28,2024-01-21,4,quantile,0.5,8203.498101894918
DE,00+,2023-12-28,2024-01-21,4,quantile,0.75,10735.094116555603
DE,00+,2023-12-28,2024-01-21,4,quantile,0.9,12561.605501898868
DE,00+,2023-12-28,2024-01-21,4,quantile,0.975,16532.165218364185
DE,00-04,2023-12-28,2023-12-31,1,quantile,0.025,295.6419510298492
DE,00-04,2023-12-28,2023-12-31,1,quantile,0.1,322.5088002019673
DE,00-04,2023-12-28,2023-12-31,1,quantile,0.25,518.560742790389
DE,00-04,2023-12-28,2023-12-31,1,quantile,0.5,1020.7619190680882
DE,00-04,2023-12-28,2023-12-31,1,quantile,0.75,1637.5104819230503
DE,00-04,2023-12-28,2023-12-31,1,quantile,0.9,2584.2057329816744
DE,00-04,2023-12-28,2023-12-31,1,quantile,0.975,3405.7262322991055
DE,00-04,2023-12-28,2024-01-07,2,quantile,0.025,150.83286842036748
DE,00-04,2023-12-28,2024-01-07,2,quantile,0.1,229.0878456213652
DE,00-04,2023-12-28,2024-01-07,2,quantile,0.25,603.4638011605226
DE,00-04,2023-12-28,2024-01-07,2,quantile,0.5,1315.8001241472516
DE,00-04,2023-12-28,2024-01-07,2,quantile,0.75,1726.3334263654378
DE,00-04,2023-12-28,2024-01-07,2,quantile,0.9,2146.2459762704543
DE,00-04,2023-12-28,2024-01-07,2,quantile,0.975,2504.686610722941
DE,00-04,2023-12-28,2024-01-14,3,quantile,0.025,279.47283640554485
DE,00-04,2023-12-28,2024-01-14,3,quantile,0.1,390.6640810046863
DE,00-04,2023-12-28,2024-01-14,3,quantile,0.25,785.4811824622255
DE,00-04,2023-12-28,2024-01-14,3,quantile,0.5,1317.1087447035386
DE,00-04,2023-12-28,2024-01-14,3,quantile,0.75,1689.4381443246948
DE,00-04,2023-12-28,2024-01-14,3,quantile,0.9,2029.1363630525157
DE,00-04,2023-12-28,2024-01-14,3,quantile,0.975,2241.855645238428
DE,00-04,2023-12-28,2024-01-21,4,quantile,0.025,288.1300241350652
DE,00-04,2023-12-28,2024-01-21,4,quantile,0.1,492.55192286684223
DE,00-04,2023-12-28,2024-01-21,4,quantile,0.25,906.2158617111475
DE,00-04,2023-12-28,2024-01-21,4,quantile,0.5,1376.6687855033222
DE,00-04,2023-12-28,2024-01-21,4,quantile,0.75,1584.1629615003285
DE,00-04,2023-12-28,2024-01-21,4,quantile,0.9,2042.635989769825
DE,00-04,2023-12-28,2024-01-21,4,quantile,0.975,2553.2189139203683
