location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-03-21,2024-03-24,1,quantile,0.025,9147.862553412268
DE,00+,2024-03-21,2024-03-24,1,quantile,0.1,10953.794962048458
DE,00+,2024-03-21,2024-03-24,1,quantile,0.25,11675.827174850008
DE,00+,2024-03-21,2024-03-24,1,quantile,0.5,12541.798203439776
DE,00+,2024-03-21,2024-03-24,1,quantile,0.75,13901.701575720954
DE,00+,2024-03-21,2024-03-24,1,quantile,0.9,15609.494224176127
DE,00+,2024-03-21,2024-03-24,1,quantile,0.975,17693.895468617848
DE,00+,2024-03-21,2024-03-31,2,quantile,0.025,8479.231170327352
DE,00+,2024-03-21,2024-03-31,2,quantile,0.1,10495.717006465014
DE,00+,2024-03-21,2024-03-31,2,quantile,0.25,11257.856950771147
DE,00+,2024-03-21,2024-03-31,2,quantile,0.5,12077.688219451225
DE,00+,2024-03-21,2024-03-31,2,quantile,0.75,13808.680768248338
DE,00+,2024-03-21,2024-03-31,2,quantile,0.9,15925.086227494574
DE,00+,2024-03-21,2024-03-31,2,quantile,0.975,17574.86573816863
DE,00+,2024-03-21,2024-04-07,3,quantile,0.025,8589.773614817897
DE,00+,2024-03-21,2024-04-07,3,quantile,0.1,9012.206349429027
DE,00+,2024-03-21,2024-04-07,3,quantile,0.25,9513.16499990678
DE,00+,2024-03-21,2024-04-07,3,quantile,0.5,10672.214538826021
DE,00+,2024-03-21,2024-04-07,3,quantile,0.75,13255.072116382678
DE,00+,2024-03-21,2024-04-07,3,quantile,0.9,15075.885245589316
DE,00+,2024-03-21,2024-04-07,3,quantile,0.975,17488.321537428295
DE,00+,2024-03-21,2024-04-14,4,quantile,0.025,8220.933573144637
DE,00+,2024-03-21,2024-04-14,4,quantile,0.1,8498.49130205614
DE,00+,2024-03-21,2024-04-14,4,quantile,0.25,8992.42837505884
DE,00+,2024-03-21,2024-04-14,4,quantile,0.5,9716.797296516415
DE,00+,2024-03-21,2024-04-14,4,quantile,0.75,11859.778668877776
DE,00+,2024-03-21,2024-04-14,4,quantile,0.9,15885.277830307125
DE,00+,2024-03-21,2024-04-14,4,quantile,0.975,17681.755100708462
DE,00-04,2024-03-21,2024-03-24,1,quantile,0.025,938.1389867108171
DE,00-04,2024-03-21,2024-03-24,1,quantile,0.1,2121.8820214912544
DE,00-04,2024-03-21,2024-03-24,1,quantile,0.25,2328.3348688955
DE,00-04,2024-03-21,2024-03-24,1,quantile,0.5,2494.423125199602
DE,00-04,2024-03-21,2024-03-24,1,quantile,0.75,2670.1546416024003
DE,00-04,2024-03-21,2024-03-24,1,quantile,0.9,2781.5304928929413
DE,00-04,2024-03-21,2024-03-24,1,quantile,0.975,2911.548529695675
DE,00-04,2024-03-21,2024-03-31,2,quantile,0.025,948.4438767757898
DE,00-04,2024-03-21,2024-03-31,2,quantile,0.1,1896.3597382919136
DE,00-04,2024-03-21,2024-03-31,2,quantile,0.25,2134.531485935909
DE,00-04,2024-03-21,2024-03-31,2,quantile,0.5,2287.1069188978586
DE,00-04,2024-03-21,2024-03-31,2,quantile,0.75,2564.9883778869794
DE,00-04,2024-03-21,2024-03-31,2,quantile,0.9,2783.797917560447
DE,00-04,2024-03-21,2024-03-31,2,quantile,0.975,2919.813839549147
DE,00-04,2024-03-21,2024-04-07,3,quantile,0.025,1056.2465111812426
DE,00-04,2024-03-21,2024-04-07,3,quantile,0.1,1631.4171009044003
DE,00-04,2024-03-21,2024-04-07,3,quantile,0.25,1786.8754770997512
DE,00-04,2024-03-21,2024-04-07,3,quantile,0.5,1936.5067331473354
DE,00-04,2024-03-21,2024-04-07,3,quantile,0.75,2311.142106284855
DE,00-04,2024-03-21,2024-04-07,3,quantile,0.9,2632.2791776484
DE,00-04,2024-03-21,2024-04-07,3,quantile,0.975,2841.521514486616
DE,00-04,2024-03-21,2024-04-14,4,quantile,0.025,1019.6245077040243
DE,00-04,2024-03-21,2024-04-14,4,quantile,0.1,1390.5485459912304
DE,00-04,2024-03-21,2024-04-14,4,quantile,0.25,1501.5801000124802
DE,00-04,2024-03-21,2024-04-14,4,quantile,0.5,1698.5998778984679
DE,00-04,2024-03-21,2024-04-14,4,quantile,0.75,2095.985965218764
DE,00-04,2024-03-21,2024-04-14,4,quantile,0.9,2456.3178179163674
DE,00-04,2024-03-21,2024-04-14,4,quantile,0.975,3246.523729651614
DE,05-14,2024-03-21,2024-03-24,1,quantile,0.025,265.6903026790264
DE,05-14,2024-03-21,2024-03-24,1,quantile,0.1,449.5642646148787
DE,05-14,2024-03-21,2024-03-24,1,quantile,0.25,513.6222098806405
DE,05-14,2024-03-21,2024-03-24,1,quantile,0.5,602.4253498303359
DE,05-14,2024-03-21,2024-03-24,1,quantile,0.75,777.5684704284265
DE,05-14,2024-03-21,2024-03-24,1,quantile,0.9,896.775176745974
DE,05-14,2024-03-21,2024-03-24,1,quantile,0.975,1044.9128341441128
DE,05-14,2024-03-21,2024-03-31,2,quantile,0.025,241.81875934022037
DE,05-14,2024-03-21,2024-03-31,2,quantile,0.1,296.00351357350144
DE,05-14,2024-03-21,2024-03-31,2,quantile,0.25,329.47272733518184
