location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-09-12,2024-09-15,1,quantile,0.025,9600.803142235778
DE,00+,2024-09-12,2024-09-15,1,quantile,0.1,10460.08703646015
DE,00+,2024-09-12,2024-09-15,1,quantile,0.25,10720.11038442644
DE,00+,2024-09-12,2024-09-15,1,quantile,0.5,11201.785103821325
DE,00+,2024-09-12,2024-09-15,1,quantile,0.75,11598.705824852857
DE,00+,2024-09-12,2024-09-15,1,quantile,0.9,12170.968011896653
DE,00+,2024-09-12,2024-09-15,1,quantile,0.975,12529.962661607231
DE,00+,2024-09-12,2024-09-22,2,quantile,0.025,8401.173694831312
DE,00+,2024-09-12,2024-09-22,2,quantile,0.1,9743.275284595635
DE,00+,2024-09-12,2024-09-22,2,quantile,0.25,10624.4840993911
DE,00+,2024-09-12,2024-09-22,2,quantile,0.5,11224.763451126417
DE,00+,2024-09-12,2024-09-22,2,quantile,0.75,11631.71527697724
DE,00+,2024-09-12,2024-09-22,2,quantile,0.9,12069.18909281211
DE,00+,2024-09-12,2024-09-22,2,quantile,0.975,12554.296635594932
DE,00+,2024-09-12,2024-09-29,3,quantile,0.025,8284.59021593801
DE,00+,2024-09-12,2024-09-29,3,quantile,0.1,9875.199308437028
DE,00+,2024-09-12,2024-09-29,3,quantile,0.25,10874.00570326473
DE,00+,2024-09-12,2024-09-29,3,quantile,0.5,11704.870922016093
DE,00+,2024-09-12,2024-09-29,3,quantile,0.75,11986.893640563572
DE,00+,2024-09-12,2024-09-29,3,quantile,0.9,12805.665281050125
DE,00+,2024-09-12,2024-09-29,3,quantile,0.975,13818.86574925161
DE,00+,2024-09-12,2024-10-06,4,quantile,0.025,7800.555367979154
DE,00+,2024-09-12,2024-10-06,4,quantile,0.1,9434.480904222128
DE,00+,2024-09-12,2024-10-06,4,quantile,0.25,10722.577767101848
DE,00+,2024-09-12,2024-10-06,4,quantile,0.5,12418.672403504517
DE,00+,2024-09-12,2024-10-06,4,quantile,0.75,13012.844476459588
DE,00+,2024-09-12,2024-10-06,4,quantile,0.9,13267.193914094609
DE,00+,2024-09-12,2024-10-06,4,quantile,0.975,13952.431073808562
DE,00-04,2024-09-12,2024-09-15,1,quantile,0.025,846.4808677266994
DE,00-04,2024-09-12,2024-09-15,1,quantile,0.1,897.7690321803533
DE,00-04,2024-09-12,2024-09-15,1,quantile,0.25,983.2413003354557
DE,00-04,2024-09-12,2024-09-15,1,quantile,0.5,1058.1912558258848
DE,00-04,2024-09-12,2024-09-15,1,quantile,0.75,1110.3814829002094
DE,00-04,2024-09-12,2024-09-15,1,quantile,0.9,1223.5359071607745
DE,00-04,2024-09-12,2024-09-15,1,quantile,0.975,1539.462625145258
DE,00-04,2024-09-12,2024-09-22,2,quantile,0.025,832.8877965474269
DE,00-04,2024-09-12,2024-09-22,2,quantile,0.1,922.1638324579447
DE,00-04,2024-09-12,2024-09-22,2,quantile,0.25,1002.4657114185924
DE,00-04,2024-09-12,2024-09-22,2,quantile,0.5,1051.4999850388635
DE,00-04,2024-09-12,2024-09-22,2,quantile,0.75,1097.728527048608
DE,00-04,2024-09-12,2024-09-22,2,quantile,0.9,1323.895116700803
DE,00-04,2024-09-12,2024-09-22,2,quantile,0.975,1722.6198740490017
DE,00-04,2024-09-12,2024-09-29,3,quantile,0.025,733.9513249999436
DE,00-04,2024-09-12,2024-09-29,3,quantile,0.1,817.8371629653593
DE,00-04,2024-09-12,2024-09-29,3,quantile,0.25,934.6278988940096
DE,00-04,2024-09-12,2024-09-29,3,quantile,0.5,1005.074475758307
DE,00-04,2024-09-12,2024-09-29,3,quantile,0.75,1069.658375848877
DE,00-04,2024-09-12,2024-09-29,3,quantile,0.9,1466.901328638342
DE,00-04,2024-09-12,2024-09-29,3,quantile,0.975,1754.3236259822993
DE,00-04,2024-09-12,2024-10-06,4,quantile,0.025,666.9521678002992
DE,00-04,2024-09-12,2024-10-06,4,quantile,0.1,800.9014097984134
DE,00-04,2024-09-12,2024-10-06,4,quantile,0.25,940.617739279424
DE,00-04,2024-09-12,2024-10-06,4,quantile,0.5,1027.746802586436
DE,00-04,2024-09-12,2024-10-06,4,quantile,0.75,1098.6173114522187
DE,00-04,2024-09-12,2024-10-06,4,quantile,0.9,1396.8015062441443
DE,00-04,2024-09-12,2024-10-06,4,quantile,0.975,2214.527971451282
DE,05-14,2024-09-12,2024-09-15,1,quantile,0.025,234.55369219320318
DE,05-14,2024-09-12,2024-09-15,1,quantile,0.1,446.5207118092044
DE,05-14,2024-09-12,2024-09-15,1,quantile,0.25,629.682896841869
DE,05-14,2024-09-12,2024-09-15,1,quantile,0.5,681.6614709798098
DE,05-14,2024-09-12,2024-09-15,1,quantile,0.75,779.2100591158488
DE,05-14,2024-09-12,2024-09-15,1,quantile,0.9,926.7579248913202
DE,05-14,2024-09-12,2024-09-15,1,quantile,0.975,1016.2972147060345
DE,05-14,2024-09-12,2024-09-22,2,quantile,0.025,178.29402753378935
DE,05-14,2024-09-12,2024-09-22,2,quantile,0.1,395.4423994753352
DE,05-14,2024-09-12,2024-09-22,2,quantile,0.25,523.6329601679296
DE,05-14,2024-09-12,2024-09-22,2,quantile,0.5,570.2823475681199
DE,05-14,2024-09-12,2024-09-22,2,quantile,0.75,669.5317746084604
DE,05-14,2024-09-12,2024-09-22,2,quantile,0.9,792.1265410433965
DE,05-14,2024-09-12,2024-09-22,2,quantile,0.975,936.4191958553192
DE,05-14,2024-09-12,2024-09-29,3,quantile,0.025,193.03557659036363
DE,05-14,2024-09-12,2024-09-29,3,quantile,0.1,329.78340544863374
DE,05-14,2024-09-12,2024-09-29,3,quantile,0.25,465.6161248142662
DE,05-14,2024-09-12,2024-09-29,3,quantile,0.5,554.1070210982875
DE,05-14,2024-09-12,2024-09-29,3,quantile,0.75,614.4371909061932
DE,05-14,2024-09-12,2024-09-29,3,quantile,0.9,676.4898087888824
DE,05-14,2024-09-12,2024-09-29,3,quantile,0.975,721.2620079908045
DE,05-14,2024-09-12,2024-10-06,4,quantile,0.025,164.25055994355188
DE,05-14,2024-09-12,2024-10-06,4,quantile,0.1,366.94732652636185
DE,05-14,2024-09-12,2024-10-06,4,quantile,0.25,516.1568115741233
DE,05-14,2024-09-12,2024-10-06,4,quantile,0.5,588.330492036486
DE,05-14,2024-09-12,2024-10-06,4,quantile,0.75,627.618175545839
DE,05-14,2024-09-12,2024-10-06,4,quantile,0.9,658.1454536831762
DE,05-14,2024-09-12,2024-10-06,4,quantile,0.975,696.6269476388713
DE,15-34,2024-09-12,2024-09-15,1,quantile,0.025,352.62235902320174
DE,15-34,2024-09-12,2024-09-15,1,quantile,0.1,542.2624945847789
DE,15-34,2024-09-12,2024-09-15,1,quantile,0.25,720.0267207022027
DE,15-34,2024-09-12,2024-09-15,1,quantile,0.5,792.9138679562714
DE,15-34,2024-09-12,2024-09-15,1,quantile,0.75,881.7669290087603
DE,15-34,2024-09-12,2024-09-15,1,quantile,0.9,976.1662768642369
DE,15-34,2024-09-12,2024-09-15,1,quantile,0.975,1026.6214197101535
DE,15-34,2024-09-12,2024-09-22,2,quantile,0.025,328.1240892665154
DE,15-34,2024-09-12,2024-09-22,2,quantile,0.1,516.340337651108
DE,15-34,2024-09-12,2024-09-22,2,quantile,0.25,720.3366478453231
DE,15-34,2024-09-12,2024-09-22,2,quantile,0.5,788.0953210525247
DE,15-34,2024-09-12,2024-09-22,2,quantile,0.75,874.2545521030834
DE,15-34,2024-09-12,2024-09-22,2,quantile,0.9,974.713082766124
DE,15-34,2024-09-12,2024-09-22,2,quantile,0.975,1022.6226044852604
DE,15-34,2024-09-12,2024-09-29,3,quantile,0.025,290.44822142169585
DE,15-34,2024-09-12,2024-09-29,3,quantile,0.1,474.55457173756815
DE,15-34,2024-09-12,2024-09-29,3,quantile,0.25,698.5499385878588
DE,15-34,2024-09-12,2024-09-29,3,quantile,0.5,815.1841730166617
DE,15-34,2024-09-12,2024-09-29,3,quantile,0.75,871.2421939927044
DE,15-34,2024-09-12,2024-09-29,3,quantile,0.9,976.9345440251393
DE,15-34,2024-09-12,2024-09-29,3,quantile,0.975,1005.9977534951238
DE,15-34,2024-09-12,2024-10-06,4,quantile,0.025,283.69925160279524
DE,15-34,2024-09-12,2024-10-06,4,quantile,0.1,472.7453038852551
DE,15-34,2024-09-12,2024-10-06,4,quantile,0.25,689.2251178944309
DE,15-34,2024-09-12,2024-10-06,4,quantile,0.5,778.8289344518237
DE,15-34,2024-09-12,2024-10-06,4,quantile,0.75,848.8352913750189
DE,15-34,2024-09-12,2024-10-06,4,quantile,0.9,908.1097624032042
DE,15-34,2024-09-12,2024-10-06,4,quantile,0.975,930.023462276197
DE,35-59,2024-09-12,2024-09-15,1,quantile,0.025,1054.2248561997624
DE,35-59,2024-09-12,2024-09-15,1,quantile,0.1,1306.50050680462
DE,35-59,2024-09-12,2024-09-15,1,quantile,0.25,1355.1751274457065
DE,35-59,2024-09-12,2024-09-15,1,quantile,0.5,1424.0996654763615
DE,35-59,2024-09-12,2024-09-15,1,quantile,0.75,1558.4638222754763
DE,35-59,2024-09-12,2024-09-15,1,quantile,0.9,1748.8669373761506
DE,35-59,2024-09-12,2024-09-15,1,quantile,0.975,1910.4981942798718
DE,35-59,2024-09-12,2024-09-22,2,quantile,0.025,1016.4496712345469
DE,35-59,2024-09-12,2024-09-22,2,quantile,0.1,1288.463393747312
DE,35-59,2024-09-12,2024-09-22,2,quantile,0.25,1419.6310656968228
DE,35-59,2024-09-12,2024-09-22,2,quantile,0.5,1575.0028656382458
DE,35-59,2024-09-12,2024-09-22,2,quantile,0.75,1738.3640637580006
DE,35-59,2024-09-12,2024-09-22,2,quantile,0.9,1815.9793493157235
DE,35-59,2024-09-12,2024-09-22,2,quantile,0.975,1880.7068824315731
DE,35-59,2024-09-12,2024-09-29,3,quantile,0.025,972.9641101899255
DE,35-59,2024-09-12,2024-09-29,3,quantile,0.1,1331.8055694256047
DE,35-59,2024-09-12,2024-09-29,3,quantile,0.25,1466.276136652767
DE,35-59,2024-09-12,2024-09-29,3,quantile,0.5,1551.9175062981055
DE,35-59,2024-09-12,2024-09-29,3,quantile,0.75,1714.6459652414997
DE,35-59,2024-09-12,2024-09-29,3,quantile,0.9,1806.0668145860448
DE,35-59,2024-09-12,2024-09-29,3,quantile,0.975,1896.3938090379233
DE,35-59,2024-09-12,2024-10-06,4,quantile,0.025,949.241409630273
DE,35-59,2024-09-12,2024-10-06,4,quantile,0.1,1255.6009026286733
DE,35-59,2024-09-12,2024-10-06,4,quantile,0.25,1439.1971722883297
DE,35-59,2024-09-12,2024-10-06,4,quantile,0.5,1599.6036606425753
DE,35-59,2024-09-12,2024-10-06,4,quantile,0.75,1770.9947708478805
DE,35-59,2024-09-12,2024-10-06,4,quantile,0.9,1880.9967649269354
DE,35-59,2024-09-12,2024-10-06,4,quantile,0.975,1941.8111129991498
DE,60-79,2024-09-12,2024-09-15,1,quantile,0.025,2393.7737140712443
DE,60-79,2024-09-12,2024-09-15,1,quantile,0.1,2645.028657892966
DE,60-79,2024-09-12,2024-09-15,1,quantile,0.25,2788.8538548643637
DE,60-79,2024-09-12,2024-09-15,1,quantile,0.5,2856.24982876012
DE,60-79,2024-09-12,2024-09-15,1,quantile,0.75,2966.684859058274
DE,60-79,2024-09-12,2024-09-15,1,quantile,0.9,3099.0268495479136
DE,60-79,2024-09-12,2024-09-15,1,quantile,0.975,3221.106431967656
DE,60-79,2024-09-12,2024-09-22,2,quantile,0.025,2364.2965913717894
DE,60-79,2024-09-12,2024-09-22,2,quantile,0.1,2573.28429328279
DE,60-79,2024-09-12,2024-09-22,2,quantile,0.25,2749.8588434761887
DE,60-79,2024-09-12,2024-09-22,2,quantile,0.5,2885.291294686922
DE,60-79,2024-09-12,2024-09-22,2,quantile,0.75,3010.3277374778127
DE,60-79,2024-09-12,2024-09-22,2,quantile,0.9,3117.1630799567324
DE,60-79,2024-09-12,2024-09-22,2,quantile,0.975,3604.8172539638945
DE,60-79,2024-09-12,2024-09-29,3,quantile,0.025,2221.9731184686893
DE,60-79,2024-09-12,2024-09-29,3,quantile,0.1,2506.2870236388167
DE,60-79,2024-09-12,2024-09-29,3,quantile,0.25,2828.4721051575248
DE,60-79,2024-09-12,2024-09-29,3,quantile,0.5,3085.793923101869
DE,60-79,2024-09-12,2024-09-29,3,quantile,0.75,3224.8244046980294
DE,60-79,2024-09-12,2024-09-29,3,quantile,0.9,3283.447072634154
DE,60-79,2024-09-12,2024-09-29,3,quantile,0.975,3404.0260955773474
DE,60-79,2024-09-12,2024-10-06,4,quantile,0.025,2277.2045580886142
DE,60-79,2024-09-12,2024-10-06,4,quantile,0.1,2607.5323445019058
DE,60-79,2024-09-12,2024-10-06,4,quantile,0.25,2922.435899883388
DE,60-79,2024-09-12,2024-10-06,4,quantile,0.5,3243.6247155054775
DE,60-79,2024-09-12,2024-10-06,4,quantile,0.75,3418.531047384005
DE,60-79,2024-09-12,2024-10-06,4,quantile,0.9,3513.0167424605015
DE,60-79,2024-09-12,2024-10-06,4,quantile,0.975,3727.6248301777487
DE,80+,2024-09-12,2024-09-15,1,quantile,0.025,2576.5692256440757
DE,80+,2024-09-12,2024-09-15,1,quantile,0.1,2756.1072664933954
DE,80+,2024-09-12,2024-09-15,1,quantile,0.25,2814.5612587276396
DE,80+,2024-09-12,2024-09-15,1,quantile,0.5,2878.333631520583
DE,80+,2024-09-12,2024-09-15,1,quantile,0.75,2948.3134337557294
DE,80+,2024-09-12,2024-09-15,1,quantile,0.9,3017.7389709152994
DE,80+,2024-09-12,2024-09-15,1,quantile,0.975,3208.298170688847
DE,80+,2024-09-12,2024-09-22,2,quantile,0.025,2488.01452866342
DE,80+,2024-09-12,2024-09-22,2,quantile,0.1,2714.0521151175285
DE,80+,2024-09-12,2024-09-22,2,quantile,0.25,2789.152544753251
DE,80+,2024-09-12,2024-09-22,2,quantile,0.5,2866.3605746600506
DE,80+,2024-09-12,2024-09-22,2,quantile,0.75,2952.6840299155247
DE,80+,2024-09-12,2024-09-22,2,quantile,0.9,3042.272079652248
DE,80+,2024-09-12,2024-09-22,2,quantile,0.975,3190.5567767056486
DE,80+,2024-09-12,2024-09-29,3,quantile,0.025,2443.3709251689297
DE,80+,2024-09-12,2024-09-29,3,quantile,0.1,2753.5653378648776
