location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-01-25,2024-01-21,0,quantile,0.025,10429.158538192849
DE,00+,2024-01-25,2024-01-21,0,quantile,0.1,13244.91080906314
DE,00+,2024-01-25,2024-01-21,0,quantile,0.25,14237.741255249164
DE,00+,2024-01-25,2024-01-21,0,quantile,0.5,15176.630271278444
DE,00+,2024-01-25,2024-01-21,0,quantile,0.75,16206.496998955094
DE,00+,2024-01-25,2024-01-21,0,quantile,0.9,17037.322229338115
DE,00+,2024-01-25,2024-01-21,0,quantile,0.975,17790.141518770422
DE,00+,2024-01-25,2024-01-28,1,quantile,0.025,9821.31598173821
DE,00+,2024-01-25,2024-01-28,1,quantile,0.1,11983.445510209254
DE,00+,2024-01-25,2024-01-28,1,quantile,0.25,12778.706003559728
DE,00+,2024-01-25,2024-01-28,1,quantile,0.5,13743.449386791597
DE,00+,2024-01-25,2024-01-28,1,quantile,0.75,14670.879881356726
DE,00+,2024-01-25,2024-01-28,1,quantile,0.9,16597.730346708806
DE,00+,2024-01-25,2024-01-28,1,quantile,0.975,17810.737040275428
DE,00+,2024-01-25,2024-02-04,2,quantile,0.025,9307.566682233759
DE,00+,2024-01-25,2024-02-04,2,quantile,0.1,11102.817934905437
DE,00+,2024-01-25,2024-02-04,2,quantile,0.25,12430.496381112245
DE,00+,2024-01-25,2024-02-04,2,quantile,0.5,13084.89171252631
DE,00+,2024-01-25,2024-02-04,2,quantile,0.75,14247.434188700234
DE,00+,2024-01-25,2024-02-04,2,quantile,0.9,16630.887028684854
DE,00+,2024-01-25,2024-02-04,2,quantile,0.975,18681.71627320353
DE,00+,2024-01-25,2024-02-11,3,quantile,0.025,9689.279914995552
DE,00+,2024-01-25,2024-02-11,3,quantile,0.1,10928.149612804507
DE,00+,2024-01-25,2024-02-11,3,quantile,0.25,12696.953921187314
DE,00+,2024-01-25,2024-02-11,3,quantile,0.5,13646.606104472166
DE,00+,2024-01-25,2024-02-11,3,quantile,0.75,14381.87797438688
DE,00+,2024-01-25,2024-02-11,3,quantile,0.9,16199.33820800814
DE,00+,2024-01-25,2024-02-11,3,quantile,0.975,18406.52483586054
DE,00-04,2024-01-25,2024-01-21,0,quantile,0.025,1615.6103204088536
DE,00-04,2024-01-25,2024-01-21,0,quantile,0.1,2432.5463497025385
DE,00-04,2024-01-25,2024-01-21,0,quantile,0.25,2983.433852408371
DE,00-04,2024-01-25,2024-01-21,0,quantile,0.5,3372.4543922975463
DE,00-04,2024-01-25,2024-01-21,0,quantile,0.75,3636.302184160572
DE,00-04,2024-01-25,2024-01-21,0,quantile,0.9,3888.1746682752782
DE,00-04,2024-01-25,2024-01-21,0,quantile,0.975,4075.8413227560864
