location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-04-18,2024-04-21,1,quantile,0.025,8692.705172753118
DE,00+,2024-04-18,2024-04-21,1,quantile,0.1,9081.823812734798
DE,00+,2024-04-18,2024-04-21,1,quantile,0.25,9329.82155502835
DE,00+,2024-04-18,2024-04-21,1,quantile,0.5,9627.542332286686
DE,00+,2024-04-18,2024-04-21,1,quantile,0.75,10074.484446979195
DE,00+,2024-04-18,2024-04-21,1,quantile,0.9,10854.438116863941
DE,00+,2024-04-18,2024-04-21,1,quantile,0.975,11256.0702959108
DE,00+,2024-04-18,2024-04-28,2,quantile,0.025,8472.516155380097
DE,00+,2024-04-18,2024-04-28,2,quantile,0.1,9019.187432183473
DE,00+,2024-04-18,2024-04-28,2,quantile,0.25,9279.12474579395
DE,00+,2024-04-18,2024-04-28,2,quantile,0.5,9834.581094375335
DE,00+,2024-04-18,2024-04-28,2,quantile,0.75,10566.671408071972
DE,00+,2024-04-18,2024-04-28,2,quantile,0.9,11226.793308736127
DE,00+,2024-04-18,2024-04-28,2,quantile,0.975,13098.71220959327
DE,00+,2024-04-18,2024-05-05,3,quantile,0.025,8112.337652128573
DE,00+,2024-04-18,2024-05-05,3,quantile,0.1,8441.291733695994
DE,00+,2024-04-18,2024-05-05,3,quantile,0.25,9024.94930164915
DE,00+,2024-04-18,2024-05-05,3,quantile,0.5,9949.310174475915
DE,00+,2024-04-18,2024-05-05,3,quantile,0.75,10670.18855023957
DE,00+,2024-04-18,2024-05-05,3,quantile,0.9,11254.13892454932
DE,00+,2024-04-18,2024-05-05,3,quantile,0.975,13411.882474178143
DE,00+,2024-04-18,2024-05-12,4,quantile,0.025,8053.730940220598
DE,00+,2024-04-18,2024-05-12,4,quantile,0.1,8559.109121643041
DE,00+,2024-04-18,2024-05-12,4,quantile,0.25,8872.060229649802
DE,00+,2024-04-18,2024-05-12,4,quantile,0.5,9160.922778432945
DE,00+,2024-04-18,2024-05-12,4,quantile,0.75,9788.132445572677
DE,00+,2024-04-18,2024-05-12,4,quantile,0.9,10881.766277866616
DE,00+,2024-04-18,2024-05-12,4,quantile,0.975,13648.74802058953
DE,00-04,2024-04-18,2024-04-21,1,quantile,0.025,1200.8566111821817
DE,00-04,2024-04-18,2024-04-21,1,quantile,0.1,1289.8065789121683
DE,00-04,2024-04-18,2024-04-21,1,quantile,0.25,1355.6242031493487
DE,00-04,2024-04-18,2024-04-21,1,quantile,0.5,1430.1719751716562
DE,00-04,2024-04-18,2024-04-21,1,quantile,0.75,1551.152005262793
DE,00-04,2024-04-18,2024-04-21,1,quantile,0.9,1823.016691476228
DE,00-04,2024-04-18,2024-04-21,1,quantile,0.975,2081.288655127166
DE,00-04,2024-04-18,2024-04-28,2,quantile,0.025,1063.7927870255182
DE,00-04,2024-04-18,2024-04-28,2,quantile,0.1,1227.071129120046
DE,00-04,2024-04-18,2024-04-28,2,quantile,0.25,1351.9475840655457
DE,00-04,2024-04-18,2024-04-28,2,quantile,0.5,1459.3432164181108
DE,00-04,2024-04-18,2024-04-28,2,quantile,0.75,1590.8088131729587
DE,00-04,2024-04-18,2024-04-28,2,quantile,0.9,1808.6518697547913
DE,00-04,2024-04-18,2024-04-28,2,quantile,0.975,2101.0857129746105
DE,00-04,2024-04-18,2024-05-05,3,quantile,0.025,862.8148270754057
DE,00-04,2024-04-18,2024-05-05,3,quantile,0.1,1072.4972507945424
DE,00-04,2024-04-18,2024-05-05,3,quantile,0.25,1139.6628376869253
DE,00-04,2024-04-18,2024-05-05,3,quantile,0.5,1240.8569444247266
DE,00-04,2024-04-18,2024-05-05,3,quantile,0.75,1375.718033447881
DE,00-04,2024-04-18,2024-05-05,3,quantile,0.9,1639.9317069837784
DE,00-04,2024-04-18,2024-05-05,3,quantile,0.975,2160.6108756208805
DE,00-04,2024-04-18,2024-05-12,4,quantile,0.025,737.3914458324382
DE,00-04,2024-04-18,2024-05-12,4,quantile,0.1,987.1286519795907
DE,00-04,2024-04-18,2024-05-12,4,quantile,0.25,1057.5769093790677
DE,00-04,2024-04-18,2024-05-12,4,quantile,0.5,1148.9744828200705
DE,00-04,2024-04-18,2024-05-12,4,quantile,0.75,1275.7772730311553
DE,00-04,2024-04-18,2024-05-12,4,quantile,0.9,1522.2870095859953
DE,00-04,2024-04-18,2024-05-12,4,quantile,0.975,2651.736194325345
DE,05-14,2024-04-18,2024-04-21,1,quantile,0.025,236.44301797189706
DE,05-14,2024-04-18,2024-04-21,1,quantile,0.1,372.9169107675123
DE,05-14,2024-04-18,2024-04-21,1,quantile,0.25,434.00265296679447
DE,05-14,2024-04-18,2024-04-21,1,quantile,0.5,471.75376597565116
