location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-07-25,2024-07-28,1,quantile,0.025,7430.6825
DE,00+,2024-07-25,2024-07-28,1,quantile,0.1,8233.47
DE,00+,2024-07-25,2024-07-28,1,quantile,0.25,8994.4
DE,00+,2024-07-25,2024-07-28,1,quantile,0.5,9895.25
DE,00+,2024-07-25,2024-07-28,1,quantile,0.75,10856.05
DE,00+,2024-07-25,2024-07-28,1,quantile,0.9,11775.7
DE,00+,2024-07-25,2024-07-28,1,quantile,0.975,12857.52
DE,00+,2024-07-25,2024-08-04,2,quantile,0.025,7781.685
DE,00+,2024-07-25,2024-08-04,2,quantile,0.1,8615.35
DE,00+,2024-07-25,2024-08-04,2,quantile,0.25,9409.475
DE,00+,2024-07-25,2024-08-04,2,quantile,0.5,10349.75
DE,00+,2024-07-25,2024-08-04,2,quantile,0.75,11353.225
DE,00+,2024-07-25,2024-08-04,2,quantile,0.9,12312.82
DE,00+,2024-07-25,2024-08-04,2,quantile,0.975,13448.9225
DE,00+,2024-07-25,2024-08-11,3,quantile,0.025,7939.3875
DE,00+,2024-07-25,2024-08-11,3,quantile,0.1,8784.6
DE,00+,2024-07-25,2024-08-11,3,quantile,0.25,9588.775
DE,00+,2024-07-25,2024-08-11,3,quantile,0.5,10539.65
DE,00+,2024-07-25,2024-08-11,3,quantile,0.75,11557.925
DE,00+,2024-07-25,2024-08-11,3,quantile,0.9,12527.72
DE,00+,2024-07-25,2024-08-11,3,quantile,0.975,13676.717500000002
DE,00+,2024-07-25,2024-08-18,4,quantile,0.025,8139.297500000001
DE,00+,2024-07-25,2024-08-18,4,quantile,0.1,9015.789999999999
DE,00+,2024-07-25,2024-08-18,4,quantile,0.25,9846.8
DE,00+,2024-07-25,2024-08-18,4,quantile,0.5,10830.55
DE,00+,2024-07-25,2024-08-18,4,quantile,0.75,11883.0
DE,00+,2024-07-25,2024-08-18,4,quantile,0.9,12886.84
DE,00+,2024-07-25,2024-08-18,4,quantile,0.975,14087.017500000002
DE,00-04,2024-07-25,2024-07-28,1,quantile,0.025,501.99750000000006
DE,00-04,2024-07-25,2024-07-28,1,quantile,0.1,639.98
DE,00-04,2024-07-25,2024-07-28,1,quantile,0.25,784.875
DE,00-04,2024-07-25,2024-07-28,1,quantile,0.5,970.35
DE,00-04,2024-07-25,2024-07-28,1,quantile,0.75,1182.225
DE,00-04,2024-07-25,2024-07-28,1,quantile,0.9,1398.0
DE,00-04,2024-07-25,2024-07-28,1,quantile,0.975,1666.1050000000002
DE,00-04,2024-07-25,2024-08-04,2,quantile,0.025,528.995
DE,00-04,2024-07-25,2024-08-04,2,quantile,0.1,675.6
DE,00-04,2024-07-25,2024-08-04,2,quantile,0.25,829.0
DE,00-04,2024-07-25,2024-08-04,2,quantile,0.5,1025.9
DE,00-04,2024-07-25,2024-08-04,2,quantile,0.75,1251.8
DE,00-04,2024-07-25,2024-08-04,2,quantile,0.9,1479.9
DE,00-04,2024-07-25,2024-08-04,2,quantile,0.975,1763.9
DE,00-04,2024-07-25,2024-08-11,3,quantile,0.025,506.6
DE,00-04,2024-07-25,2024-08-11,3,quantile,0.1,651.1
DE,00-04,2024-07-25,2024-08-11,3,quantile,0.25,801.0
DE,00-04,2024-07-25,2024-08-11,3,quantile,0.5,993.4
DE,00-04,2024-07-25,2024-08-11,3,quantile,0.75,1215.125
DE,00-04,2024-07-25,2024-08-11,3,quantile,0.9,1440.5
DE,00-04,2024-07-25,2024-08-11,3,quantile,0.975,1724.4100000000005
DE,00-04,2024-07-25,2024-08-18,4,quantile,0.025,511.7975
DE,00-04,2024-07-25,2024-08-18,4,quantile,0.1,657.6
DE,00-04,2024-07-25,2024-08-18,4,quantile,0.25,810.975
DE,00-04,2024-07-25,2024-08-18,4,quantile,0.5,1008.45
DE,00-04,2024-07-25,2024-08-18,4,quantile,0.75,1237.2
DE,00-04,2024-07-25,2024-08-18,4,quantile,0.9,1468.7
DE,00-04,2024-07-25,2024-08-18,4,quantile,0.975,1755.9
DE,05-14,2024-07-25,2024-07-28,1,quantile,0.025,267.29499999999996
DE,05-14,2024-07-25,2024-07-28,1,quantile,0.1,352.8
DE,05-14,2024-07-25,2024-07-28,1,quantile,0.25,443.3
DE,05-14,2024-07-25,2024-07-28,1,quantile,0.5,560.9
DE,05-14,2024-07-25,2024-07-28,1,quantile,0.75,697.925
DE,05-14,2024-07-25,2024-07-28,1,quantile,0.9,838.9
DE,05-14,2024-07-25,2024-07-28,1,quantile,0.975,1017.2
