location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2023-12-21,2023-12-24,1,quantile,0.025,12799.872500000001
DE,00+,2023-12-21,2023-12-24,1,quantile,0.1,14804.15
DE,00+,2023-12-21,2023-12-24,1,quantile,0.25,16763.975
DE,00+,2023-12-21,2023-12-24,1,quantile,0.5,19140.3
DE,00+,2023-12-21,2023-12-24,1,quantile,0.75,21742.35
DE,00+,2023-12-21,2023-12-24,1,quantile,0.9,24298.7
DE,00+,2023-12-21,2023-12-24,1,quantile,0.975,27358.475000000006
DE,00+,2023-12-21,2023-12-31,2,quantile,0.025,13058.8825
DE,00+,2023-12-21,2023-12-31,2,quantile,0.1,15090.66
DE,00+,2023-12-21,2023-12-31,2,quantile,0.25,17098.1
DE,00+,2023-12-21,2023-12-31,2,quantile,0.5,19529.1
DE,00+,2023-12-21,2023-12-31,2,quantile,0.75,22202.575
DE,00+,2023-12-21,2023-12-31,2,quantile,0.9,24821.85
DE,00+,2023-12-21,2023-12-31,2,quantile,0.975,27939.355000000003
DE,00+,2023-12-21,2024-01-07,3,quantile,0.025,12438.682499999999
DE,00+,2023-12-21,2024-01-07,3,quantile,0.1,14441.38
DE,00+,2023-12-21,2024-01-07,3,quantile,0.25,16407.85
DE,00+,2023-12-21,2024-01-07,3,quantile,0.5,18819.0
DE,00+,2023-12-21,2024-01-07,3,quantile,0.75,21467.975
DE,00+,2023-12-21,2024-01-07,3,quantile,0.9,24037.9
DE,00+,2023-12-21,2024-01-07,3,quantile,0.975,27143.74
DE,00+,2023-12-21,2024-01-14,4,quantile,0.025,11494.3675
DE,00+,2023-12-21,2024-01-14,4,quantile,0.1,13347.939999999999
DE,00+,2023-12-21,2024-01-14,4,quantile,0.25,15192.1
DE,00+,2023-12-21,2024-01-14,4,quantile,0.5,17438.45
DE,00+,2023-12-21,2024-01-14,4,quantile,0.75,19887.675
DE,00+,2023-12-21,2024-01-14,4,quantile,0.9,22298.3
DE,00+,2023-12-21,2024-01-14,4,quantile,0.975,25172.7275
DE,00-04,2023-12-21,2023-12-24,1,quantile,0.025,2428.6974999999998
DE,00-04,2023-12-21,2023-12-24,1,quantile,0.1,3130.16
DE,00-04,2023-12-21,2023-12-24,1,quantile,0.25,3868.1
DE,00-04,2023-12-21,2023-12-24,1,quantile,0.5,4821.65
DE,00-04,2023-12-21,2023-12-24,1,quantile,0.75,5921.675
DE,00-04,2023-12-21,2023-12-24,1,quantile,0.9,7047.44
DE,00-04,2023-12-21,2023-12-24,1,quantile,0.975,8461.430000000002
DE,00-04,2023-12-21,2023-12-31,2,quantile,0.025,2578.18
DE,00-04,2023-12-21,2023-12-31,2,quantile,0.1,3313.6800000000003
DE,00-04,2023-12-21,2023-12-31,2,quantile,0.25,4081.7
DE,00-04,2023-12-21,2023-12-31,2,quantile,0.5,5076.0
DE,00-04,2023-12-21,2023-12-31,2,quantile,0.75,6223.15
DE,00-04,2023-12-21,2023-12-31,2,quantile,0.9,7397.410000000001
DE,00-04,2023-12-21,2023-12-31,2,quantile,0.975,8866.642500000002
DE,00-04,2023-12-21,2024-01-07,3,quantile,0.025,2064.4900000000002
DE,00-04,2023-12-21,2024-01-07,3,quantile,0.1,2690.38
DE,00-04,2023-12-21,2024-01-07,3,quantile,0.25,3354.25
DE,00-04,2023-12-21,2024-01-07,3,quantile,0.5,4215.0
DE,00-04,2023-12-21,2024-01-07,3,quantile,0.75,5215.825
DE,00-04,2023-12-21,2024-01-07,3,quantile,0.9,6238.539999999999
DE,00-04,2023-12-21,2024-01-07,3,quantile,0.975,7545.222500000001
DE,00-04,2023-12-21,2024-01-14,4,quantile,0.025,1950.895
DE,00-04,2023-12-21,2024-01-14,4,quantile,0.1,2544.38
DE,00-04,2023-12-21,2024-01-14,4,quantile,0.25,3180.6
DE,00-04,2023-12-21,2024-01-14,4,quantile,0.5,4008.2
DE,00-04,2023-12-21,2024-01-14,4,quantile,0.75,4970.325
DE,00-04,2023-12-21,2024-01-14,4,quantile,0.9,5951.129999999999
DE,00-04,2023-12-21,2024-01-14,4,quantile,0.975,7198.620000000001
DE,05-14,2023-12-21,2023-12-24,1,quantile,0.025,388.4975
DE,05-14,2023-12-21,2023-12-24,1,quantile,0.1,537.1
DE,05-14,2023-12-21,2023-12-24,1,quantile,0.25,698.5
DE,05-14,2023-12-21,2023-12-24,1,quantile,0.5,914.45
DE,05-14,2023-12-21,2023-12-24,1,quantile,0.75,1171.625
DE,05-14,2023-12-21,2023-12-24,1,quantile,0.9,1440.4299999999996
DE,05-14,2023-12-21,2023-12-24,1,quantile,0.975,1788.6050000000002
DE,05-14,2023-12-21,2023-12-31,2,quantile,0.025,364.895
DE,05-14,2023-12-21,2023-12-31,2,quantile,0.1,508.6
DE,05-14,2023-12-21,2023-12-31,2,quantile,0.25,666.7
DE,05-14,2023-12-21,2023-12-31,2,quantile,0.5,879.5
DE,05-14,2023-12-21,2023-12-31,2,quantile,0.75,1133.6
DE,05-14,2023-12-21,2023-12-31,2,quantile,0.9,1399.9
DE,05-14,2023-12-21,2023-12-31,2,quantile,0.975,1745.4025000000001
DE,05-14,2023-12-21,2024-01-07,3,quantile,0.025,289.1
DE,05-14,2023-12-21,2024-01-07,3,quantile,0.1,411.2
DE,05-14,2023-12-21,2024-01-07,3,quantile,0.25,546.4
DE,05-14,2023-12-21,2024-01-07,3,quantile,0.5,729.7
DE,05-14,2023-12-21,2024-01-07,3,quantile,0.75,950.425
DE,05-14,2023-12-21,2024-01-07,3,quantile,0.9,1181.7099999999998
DE,05-14,2023-12-21,2024-01-07,3,quantile,0.975,1482.7125000000008
DE,05-14,2023-12-21,2024-01-14,4,quantile,0.025,270.4
DE,05-14,2023-12-21,2024-01-14,4,quantile,0.1,385.59000000000003
DE,05-14,2023-12-21,2024-01-14,4,quantile,0.25,515.3
DE,05-14,2023-12-21,2024-01-14,4,quantile,0.5,691.15
DE,05-14,2023-12-21,2024-01-14,4,quantile,0.75,903.425
DE,05-14,2023-12-21,2024-01-14,4,quantile,0.9,1127.9099999999999
DE,05-14,2023-12-21,2024-01-14,4,quantile,0.975,1419.2025
DE,15-34,2023-12-21,2023-12-24,1,quantile,0.025,341.9975
DE,15-34,2023-12-21,2023-12-24,1,quantile,0.1,433.8
DE,15-34,2023-12-21,2023-12-24,1,quantile,0.25,529.3
DE,15-34,2023-12-21,2023-12-24,1,quantile,0.5,651.95
DE,15-34,2023-12-21,2023-12-24,1,quantile,0.75,792.0
DE,15-34,2023-12-21,2023-12-24,1,quantile,0.9,933.7199999999997
DE,15-34,2023-12-21,2023-12-24,1,quantile,0.975,1111.2
DE,15-34,2023-12-21,2023-12-31,2,quantile,0.025,338.4
DE,15-34,2023-12-21,2023-12-31,2,quantile,0.1,432.9
DE,15-34,2023-12-21,2023-12-31,2,quantile,0.25,531.1
DE,15-34,2023-12-21,2023-12-31,2,quantile,0.5,657.1
DE,15-34,2023-12-21,2023-12-31,2,quantile,0.75,801.625
DE,15-34,2023-12-21,2023-12-31,2,quantile,0.9,948.7
DE,15-34,2023-12-21,2023-12-31,2,quantile,0.975,1132.7075000000004
DE,15-34,2023-12-21,2024-01-07,3,quantile,0.025,320.9
DE,15-34,2023-12-21,2024-01-07,3,quantile,0.1,411.3
DE,15-34,2023-12-21,2024-01-07,3,quantile,0.25,505.9
DE,15-34,2023-12-21,2024-01-07,3,quantile,0.5,627.2
DE,15-34,2023-12-21,2024-01-07,3,quantile,0.75,767.525
DE,15-34,2023-12-21,2024-01-07,3,quantile,0.9,910.7
DE,15-34,2023-12-21,2024-01-07,3,quantile,0.975,1087.8
DE,15-34,2023-12-21,2024-01-14,4,quantile,0.025,299.0
DE,15-34,2023-12-21,2024-01-14,4,quantile,0.1,385.3
