location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-06-06,2024-06-09,1,quantile,0.025,7026.785000000001
DE,00+,2024-06-06,2024-06-09,1,quantile,0.1,8041.780000000001
DE,00+,2024-06-06,2024-06-09,1,quantile,0.25,9023.775
DE,00+,2024-06-06,2024-06-09,1,quantile,0.5,10214.7
DE,00+,2024-06-06,2024-06-09,1,quantile,0.75,11511.85
DE,00+,2024-06-06,2024-06-09,1,quantile,0.9,12783.42
DE,00+,2024-06-06,2024-06-09,1,quantile,0.975,14296.2225
DE,00+,2024-06-06,2024-06-16,2,quantile,0.025,7114.1875
DE,00+,2024-06-06,2024-06-16,2,quantile,0.1,8133.57
DE,00+,2024-06-06,2024-06-16,2,quantile,0.25,9129.2
DE,00+,2024-06-06,2024-06-16,2,quantile,0.5,10339.75
DE,00+,2024-06-06,2024-06-16,2,quantile,0.75,11655.775
DE,00+,2024-06-06,2024-06-16,2,quantile,0.9,12935.66
DE,00+,2024-06-06,2024-06-16,2,quantile,0.975,14464.022500000001
DE,00+,2024-06-06,2024-06-23,3,quantile,0.025,7123.585000000001
DE,00+,2024-06-06,2024-06-23,3,quantile,0.1,8153.860000000001
DE,00+,2024-06-06,2024-06-23,3,quantile,0.25,9153.975
DE,00+,2024-06-06,2024-06-23,3,quantile,0.5,10374.35
DE,00+,2024-06-06,2024-06-23,3,quantile,0.75,11708.55
DE,00+,2024-06-06,2024-06-23,3,quantile,0.9,13003.23
DE,00+,2024-06-06,2024-06-23,3,quantile,0.975,14565.330000000002
DE,00+,2024-06-06,2024-06-30,4,quantile,0.025,7149.085000000001
DE,00+,2024-06-06,2024-06-30,4,quantile,0.1,8168.780000000001
DE,00+,2024-06-06,2024-06-30,4,quantile,0.25,9171.425
DE,00+,2024-06-06,2024-06-30,4,quantile,0.5,10385.05
DE,00+,2024-06-06,2024-06-30,4,quantile,0.75,11717.125
DE,00+,2024-06-06,2024-06-30,4,quantile,0.9,13013.02
DE,00+,2024-06-06,2024-06-30,4,quantile,0.975,14591.140000000003
DE,00-04,2024-06-06,2024-06-09,1,quantile,0.025,713.2975
DE,00-04,2024-06-06,2024-06-09,1,quantile,0.1,903.5799999999999
DE,00-04,2024-06-06,2024-06-09,1,quantile,0.25,1101.1
DE,00-04,2024-06-06,2024-06-09,1,quantile,0.5,1353.8
DE,00-04,2024-06-06,2024-06-09,1,quantile,0.75,1641.725
DE,00-04,2024-06-06,2024-06-09,1,quantile,0.9,1935.0
DE,00-04,2024-06-06,2024-06-09,1,quantile,0.975,2298.6050000000005
DE,00-04,2024-06-06,2024-06-16,2,quantile,0.025,712.1975
DE,00-04,2024-06-06,2024-06-16,2,quantile,0.1,902.5799999999999
DE,00-04,2024-06-06,2024-06-16,2,quantile,0.25,1099.15
DE,00-04,2024-06-06,2024-06-16,2,quantile,0.5,1348.85
DE,00-04,2024-06-06,2024-06-16,2,quantile,0.75,1634.65
DE,00-04,2024-06-06,2024-06-16,2,quantile,0.9,1926.2099999999998
DE,00-04,2024-06-06,2024-06-16,2,quantile,0.975,2286.5075000000006
DE,00-04,2024-06-06,2024-06-23,3,quantile,0.025,721.295
DE,00-04,2024-06-06,2024-06-23,3,quantile,0.1,913.4
DE,00-04,2024-06-06,2024-06-23,3,quantile,0.25,1111.5
DE,00-04,2024-06-06,2024-06-23,3,quantile,0.5,1366.0
DE,00-04,2024-06-06,2024-06-23,3,quantile,0.75,1656.375
DE,00-04,2024-06-06,2024-06-23,3,quantile,0.9,1952.7
DE,00-04,2024-06-06,2024-06-23,3,quantile,0.975,2327.905
DE,00-04,2024-06-06,2024-06-30,4,quantile,0.025,707.0975000000001
DE,00-04,2024-06-06,2024-06-30,4,quantile,0.1,899.2
DE,00-04,2024-06-06,2024-06-30,4,quantile,0.25,1098.6
DE,00-04,2024-06-06,2024-06-30,4,quantile,0.5,1353.55
DE,00-04,2024-06-06,2024-06-30,4,quantile,0.75,1645.3
DE,00-04,2024-06-06,2024-06-30,4,quantile,0.9,1941.9
DE,00-04,2024-06-06,2024-06-30,4,quantile,0.975,2313.4100000000008
DE,05-14,2024-06-06,2024-06-09,1,quantile,0.025,262.1
DE,05-14,2024-06-06,2024-06-09,1,quantile,0.1,347.4
DE,05-14,2024-06-06,2024-06-09,1,quantile,0.25,438.075
DE,05-14,2024-06-06,2024-06-09,1,quantile,0.5,556.3
DE,05-14,2024-06-06,2024-06-09,1,quantile,0.75,694.0
DE,05-14,2024-06-06,2024-06-09,1,quantile,0.9,836.9
DE,05-14,2024-06-06,2024-06-09,1,quantile,0.975,1016.2025000000001
DE,05-14,2024-06-06,2024-06-16,2,quantile,0.025,268.8
DE,05-14,2024-06-06,2024-06-16,2,quantile,0.1,356.1
DE,05-14,2024-06-06,2024-06-16,2,quantile,0.25,448.9
DE,05-14,2024-06-06,2024-06-16,2,quantile,0.5,570.8
