location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-09-05,2024-09-08,1,quantile,0.025,7062.17
DE,00+,2024-09-05,2024-09-08,1,quantile,0.1,7807.25
DE,00+,2024-09-05,2024-09-08,1,quantile,0.25,8519.55
DE,00+,2024-09-05,2024-09-08,1,quantile,0.5,9356.9
DE,00+,2024-09-05,2024-09-08,1,quantile,0.75,10246.15
DE,00+,2024-09-05,2024-09-08,1,quantile,0.9,11075.1
DE,00+,2024-09-05,2024-09-08,1,quantile,0.975,12044.4825
DE,00+,2024-09-05,2024-09-15,2,quantile,0.025,7511.089999999999
DE,00+,2024-09-05,2024-09-15,2,quantile,0.1,8233.130000000001
DE,00+,2024-09-05,2024-09-15,2,quantile,0.25,8979.175
DE,00+,2024-09-05,2024-09-15,2,quantile,0.5,9855.8
DE,00+,2024-09-05,2024-09-15,2,quantile,0.75,10795.225
DE,00+,2024-09-05,2024-09-15,2,quantile,0.9,11674.41
DE,00+,2024-09-05,2024-09-15,2,quantile,0.975,12718.125
DE,00+,2024-09-05,2024-09-22,3,quantile,0.025,7543.075
DE,00+,2024-09-05,2024-09-22,3,quantile,0.1,8306.85
DE,00+,2024-09-05,2024-09-22,3,quantile,0.25,9092.65
DE,00+,2024-09-05,2024-09-22,3,quantile,0.5,9989.8
DE,00+,2024-09-05,2024-09-22,3,quantile,0.75,10932.825
DE,00+,2024-09-05,2024-09-22,3,quantile,0.9,11809.76
DE,00+,2024-09-05,2024-09-22,3,quantile,0.975,12788.1575
DE,00+,2024-09-05,2024-09-29,4,quantile,0.025,7463.464999999999
DE,00+,2024-09-05,2024-09-29,4,quantile,0.1,8319.82
DE,00+,2024-09-05,2024-09-29,4,quantile,0.25,9071.575
DE,00+,2024-09-05,2024-09-29,4,quantile,0.5,9954.35
DE,00+,2024-09-05,2024-09-29,4,quantile,0.75,10925.75
DE,00+,2024-09-05,2024-09-29,4,quantile,0.9,11841.3
DE,00+,2024-09-05,2024-09-29,4,quantile,0.975,12872.572499999998
DE,00-04,2024-09-05,2024-09-08,1,quantile,0.025,429.68999999999994
DE,00-04,2024-09-05,2024-09-08,1,quantile,0.1,545.3599999999999
DE,00-04,2024-09-05,2024-09-08,1,quantile,0.25,667.3
DE,00-04,2024-09-05,2024-09-08,1,quantile,0.5,826.9
DE,00-04,2024-09-05,2024-09-08,1,quantile,0.75,1002.3
DE,00-04,2024-09-05,2024-09-08,1,quantile,0.9,1180.44
DE,00-04,2024-09-05,2024-09-08,1,quantile,0.975,1397.2024999999999
DE,00-04,2024-09-05,2024-09-15,2,quantile,0.025,470.16499999999996
DE,00-04,2024-09-05,2024-09-15,2,quantile,0.1,607.6899999999999
DE,00-04,2024-09-05,2024-09-15,2,quantile,0.25,743.025
DE,00-04,2024-09-05,2024-09-15,2,quantile,0.5,908.15
DE,00-04,2024-09-05,2024-09-15,2,quantile,0.75,1099.675
DE,00-04,2024-09-05,2024-09-15,2,quantile,0.9,1298.27
DE,00-04,2024-09-05,2024-09-15,2,quantile,0.975,1545.3474999999999
DE,00-04,2024-09-05,2024-09-22,3,quantile,0.025,443.025
DE,00-04,2024-09-05,2024-09-22,3,quantile,0.1,568.87
DE,00-04,2024-09-05,2024-09-22,3,quantile,0.25,693.275
DE,00-04,2024-09-05,2024-09-22,3,quantile,0.5,858.6
DE,00-04,2024-09-05,2024-09-22,3,quantile,0.75,1041.075
DE,00-04,2024-09-05,2024-09-22,3,quantile,0.9,1233.06
DE,00-04,2024-09-05,2024-09-22,3,quantile,0.975,1476.3124999999998
DE,00-04,2024-09-05,2024-09-29,4,quantile,0.025,449.4525
DE,00-04,2024-09-05,2024-09-29,4,quantile,0.1,571.4399999999999
DE,00-04,2024-09-05,2024-09-29,4,quantile,0.25,696.4
DE,00-04,2024-09-05,2024-09-29,4,quantile,0.5,862.5
DE,00-04,2024-09-05,2024-09-29,4,quantile,0.75,1052.45
DE,00-04,2024-09-05,2024-09-29,4,quantile,0.9,1235.5
DE,00-04,2024-09-05,2024-09-29,4,quantile,0.975,1459.8124999999998
DE,05-14,2024-09-05,2024-09-08,1,quantile,0.025,262.15749999999997
DE,05-14,2024-09-05,2024-09-08,1,quantile,0.1,345.75
DE,05-14,2024-09-05,2024-09-08,1,quantile,0.25,433.15
DE,05-14,2024-09-05,2024-09-08,1,quantile,0.5,541.0
DE,05-14,2024-09-05,2024-09-08,1,quantile,0.75,669.025
DE,05-14,2024-09-05,2024-09-08,1,quantile,0.9,796.1700000000001
DE,05-14,2024-09-05,2024-09-08,1,quantile,0.975,959.8174999999999
DE,05-14,2024-09-05,2024-09-15,2,quantile,0.025,266.7575
DE,05-14,2024-09-05,2024-09-15,2,quantile,0.1,346.55
DE,05-14,2024-09-05,2024-09-15,2,quantile,0.25,434.475
DE,05-14,2024-09-05,2024-09-15,2,quantile,0.5,548.0
DE,05-14,2024-09-05,2024-09-15,2,quantile,0.75,683.35
DE,05-14,2024-09-05,2024-09-15,2,quantile,0.9,813.65
DE,05-14,2024-09-05,2024-09-15,2,quantile,0.975,989.5099999999999
DE,05-14,2024-09-05,2024-09-22,3,quantile,0.025,260.4625
DE,05-14,2024-09-05,2024-09-22,3,quantile,0.1,339.58000000000004
DE,05-14,2024-09-05,2024-09-22,3,quantile,0.25,423.45
DE,05-14,2024-09-05,2024-09-22,3,quantile,0.5,532.45
DE,05-14,2024-09-05,2024-09-22,3,quantile,0.75,661.55
DE,05-14,2024-09-05,2024-09-22,3,quantile,0.9,792.94
DE,05-14,2024-09-05,2024-09-22,3,quantile,0.975,953.9724999999999
DE,05-14,2024-09-05,2024-09-29,4,quantile,0.025,243.26
DE,05-14,2024-09-05,2024-09-29,4,quantile,0.1,321.8
DE,05-14,2024-09-05,2024-09-29,4,quantile,0.25,402.3
DE,05-14,2024-09-05,2024-09-29,4,quantile,0.5,511.75
DE,05-14,2024-09-05,2024-09-29,4,quantile,0.75,635.95
DE,05-14,2024-09-05,2024-09-29,4,quantile,0.9,766.0200000000001
DE,05-14,2024-09-05,2024-09-29,4,quantile,0.975,928.5049999999999
DE,15-34,2024-09-05,2024-09-08,1,quantile,0.025,432.34499999999997
DE,15-34,2024-09-05,2024-09-08,1,quantile,0.1,525.0899999999999
DE,15-34,2024-09-05,2024-09-08,1,quantile,0.25,621.85
DE,15-34,2024-09-05,2024-09-08,1,quantile,0.5,742.2
DE,15-34,2024-09-05,2024-09-08,1,quantile,0.75,879.45
DE,15-34,2024-09-05,2024-09-08,1,quantile,0.9,1019.47
DE,15-34,2024-09-05,2024-09-08,1,quantile,0.975,1185.6299999999999
DE,15-34,2024-09-05,2024-09-15,2,quantile,0.025,445.83500000000004
DE,15-34,2024-09-05,2024-09-15,2,quantile,0.1,542.6
DE,15-34,2024-09-05,2024-09-15,2,quantile,0.25,646.175
DE,15-34,2024-09-05,2024-09-15,2,quantile,0.5,771.25
DE,15-34,2024-09-05,2024-09-15,2,quantile,0.75,910.35
DE,15-34,2024-09-05,2024-09-15,2,quantile,0.9,1051.17
DE,15-34,2024-09-05,2024-09-15,2,quantile,0.975,1214.9074999999998
DE,15-34,2024-09-05,2024-09-22,3,quantile,0.025,452.7425
DE,15-34,2024-09-05,2024-09-22,3,quantile,0.1,555.45
DE,15-34,2024-09-05,2024-09-22,3,quantile,0.25,657.85
DE,15-34,2024-09-05,2024-09-22,3,quantile,0.5,788.35
DE,15-34,2024-09-05,2024-09-22,3,quantile,0.75,932.5
DE,15-34,2024-09-05,2024-09-22,3,quantile,0.9,1077.8899999999999
DE,15-34,2024-09-05,2024-09-22,3,quantile,0.975,1246.23
DE,15-34,2024-09-05,2024-09-29,4,quantile,0.025,442.475
DE,15-34,2024-09-05,2024-09-29,4,quantile,0.1,540.51
DE,15-34,2024-09-05,2024-09-29,4,quantile,0.25,643.875
DE,15-34,2024-09-05,2024-09-29,4,quantile,0.5,770.95
DE,15-34,2024-09-05,2024-09-29,4,quantile,0.75,912.8
DE,15-34,2024-09-05,2024-09-29,4,quantile,0.9,1054.6200000000001
DE,15-34,2024-09-05,2024-09-29,4,quantile,0.975,1227.705
DE,35-59,2024-09-05,2024-09-08,1,quantile,0.025,887.8399999999999
DE,35-59,2024-09-05,2024-09-08,1,quantile,0.1,1015.22
DE,35-59,2024-09-05,2024-09-08,1,quantile,0.25,1142.775
DE,35-59,2024-09-05,2024-09-08,1,quantile,0.5,1306.1
DE,35-59,2024-09-05,2024-09-08,1,quantile,0.75,1477.475
DE,35-59,2024-09-05,2024-09-08,1,quantile,0.9,1640.72
DE,35-59,2024-09-05,2024-09-08,1,quantile,0.975,1845.8224999999998
DE,35-59,2024-09-05,2024-09-15,2,quantile,0.025,915.71
DE,35-59,2024-09-05,2024-09-15,2,quantile,0.1,1054.1100000000001
DE,35-59,2024-09-05,2024-09-15,2,quantile,0.25,1191.675
DE,35-59,2024-09-05,2024-09-15,2,quantile,0.5,1357.35
DE,35-59,2024-09-05,2024-09-15,2,quantile,0.75,1536.35
DE,35-59,2024-09-05,2024-09-15,2,quantile,0.9,1714.78
DE,35-59,2024-09-05,2024-09-15,2,quantile,0.975,1927.81
DE,35-59,2024-09-05,2024-09-22,3,quantile,0.025,939.96
DE,35-59,2024-09-05,2024-09-22,3,quantile,0.1,1081.8899999999999
DE,35-59,2024-09-05,2024-09-22,3,quantile,0.25,1215.575
DE,35-59,2024-09-05,2024-09-22,3,quantile,0.5,1383.2
DE,35-59,2024-09-05,2024-09-22,3,quantile,0.75,1565.65
DE,35-59,2024-09-05,2024-09-22,3,quantile,0.9,1742.58
DE,35-59,2024-09-05,2024-09-22,3,quantile,0.975,1960.2925
DE,35-59,2024-09-05,2024-09-29,4,quantile,0.025,939.2625
DE,35-59,2024-09-05,2024-09-29,4,quantile,0.1,1089.8700000000001
DE,35-59,2024-09-05,2024-09-29,4,quantile,0.25,1229.15
DE,35-59,2024-09-05,2024-09-29,4,quantile,0.5,1399.45
DE,35-59,2024-09-05,2024-09-29,4,quantile,0.75,1582.1
DE,35-59,2024-09-05,2024-09-29,4,quantile,0.9,1762.2
DE,35-59,2024-09-05,2024-09-29,4,quantile,0.975,1968.0224999999998
DE,60-79,2024-09-05,2024-09-08,1,quantile,0.025,1838.3275
DE,60-79,2024-09-05,2024-09-08,1,quantile,0.1,2064.43
DE,60-79,2024-09-05,2024-09-08,1,quantile,0.25,2279.225
DE,60-79,2024-09-05,2024-09-08,1,quantile,0.5,2534.75
DE,60-79,2024-09-05,2024-09-08,1,quantile,0.75,2805.525
DE,60-79,2024-09-05,2024-09-08,1,quantile,0.9,3074.2799999999997
DE,60-79,2024-09-05,2024-09-08,1,quantile,0.975,3379.6025
DE,60-79,2024-09-05,2024-09-15,2,quantile,0.025,1955.3525000000002
DE,60-79,2024-09-05,2024-09-15,2,quantile,0.1,2182.73
DE,60-79,2024-09-05,2024-09-15,2,quantile,0.25,2402.775
DE,60-79,2024-09-05,2024-09-15,2,quantile,0.5,2668.15
DE,60-79,2024-09-05,2024-09-15,2,quantile,0.75,2955.1
DE,60-79,2024-09-05,2024-09-15,2,quantile,0.9,3216.2200000000003
DE,60-79,2024-09-05,2024-09-15,2,quantile,0.975,3541.7275
DE,60-79,2024-09-05,2024-09-22,3,quantile,0.025,1950.0849999999998
DE,60-79,2024-09-05,2024-09-22,3,quantile,0.1,2196.34
DE,60-79,2024-09-05,2024-09-22,3,quantile,0.25,2420.45
DE,60-79,2024-09-05,2024-09-22,3,quantile,0.5,2689.45
DE,60-79,2024-09-05,2024-09-22,3,quantile,0.75,2970.9
DE,60-79,2024-09-05,2024-09-22,3,quantile,0.9,3242.67
DE,60-79,2024-09-05,2024-09-22,3,quantile,0.975,3587.79
DE,60-79,2024-09-05,2024-09-29,4,quantile,0.025,1970.94
DE,60-79,2024-09-05,2024-09-29,4,quantile,0.1,2209.5099999999998
DE,60-79,2024-09-05,2024-09-29,4,quantile,0.25,2435.55
DE,60-79,2024-09-05,2024-09-29,4,quantile,0.5,2707.7
DE,60-79,2024-09-05,2024-09-29,4,quantile,0.75,2998.375
DE,60-79,2024-09-05,2024-09-29,4,quantile,0.9,3277.3599999999997
DE,60-79,2024-09-05,2024-09-29,4,quantile,0.975,3609.2799999999997
DE,80+,2024-09-05,2024-09-08,1,quantile,0.025,1991.3275
DE,80+,2024-09-05,2024-09-08,1,quantile,0.1,2245.1600000000003
DE,80+,2024-09-05,2024-09-08,1,quantile,0.25,2503.25
DE,80+,2024-09-05,2024-09-08,1,quantile,0.5,2800.5
DE,80+,2024-09-05,2024-09-08,1,quantile,0.75,3108.575
DE,80+,2024-09-05,2024-09-08,1,quantile,0.9,3417.5
DE,80+,2024-09-05,2024-09-08,1,quantile,0.975,3779.4799999999996
DE,80+,2024-09-05,2024-09-15,2,quantile,0.025,2133.7725
DE,80+,2024-09-05,2024-09-15,2,quantile,0.1,2394.81
DE,80+,2024-09-05,2024-09-15,2,quantile,0.25,2649.075
DE,80+,2024-09-05,2024-09-15,2,quantile,0.5,2946.85
DE,80+,2024-09-05,2024-09-15,2,quantile,0.75,3286.525
DE,80+,2024-09-05,2024-09-15,2,quantile,0.9,3593.28
DE,80+,2024-09-05,2024-09-15,2,quantile,0.975,3968.1125
DE,80+,2024-09-05,2024-09-22,3,quantile,0.025,2168.5175
DE,80+,2024-09-05,2024-09-22,3,quantile,0.1,2431.87
DE,80+,2024-09-05,2024-09-22,3,quantile,0.25,2700.325
DE,80+,2024-09-05,2024-09-22,3,quantile,0.5,3004.75
DE,80+,2024-09-05,2024-09-22,3,quantile,0.75,3347.775
DE,80+,2024-09-05,2024-09-22,3,quantile,0.9,3683.0099999999998
DE,80+,2024-09-05,2024-09-22,3,quantile,0.975,4037.3849999999998
DE,80+,2024-09-05,2024-09-29,4,quantile,0.025,2171.8599999999997
DE,80+,2024-09-05,2024-09-29,4,quantile,0.1,2437.8599999999997
DE,80+,2024-09-05,2024-09-29,4,quantile,0.25,2706.7
