location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2023-11-16,2023-11-12,0,quantile,0.025,8168.8875
DE,00+,2023-11-16,2023-11-12,0,quantile,0.1,9421.36
DE,00+,2023-11-16,2023-11-12,0,quantile,0.25,10645.175
DE,00+,2023-11-16,2023-11-12,0,quantile,0.5,12132.85
DE,00+,2023-11-16,2023-11-12,0,quantile,0.75,13751.45
DE,00+,2023-11-16,2023-11-12,0,quantile,0.9,15323.63
DE,00+,2023-11-16,2023-11-12,0,quantile,0.975,17213.7425
DE,00+,2023-11-16,2023-11-19,1,quantile,0.025,8544.975
DE,00+,2023-11-16,2023-11-19,1,quantile,0.1,9844.67
DE,00+,2023-11-16,2023-11-19,1,quantile,0.25,11130.75
DE,00+,2023-11-16,2023-11-19,1,quantile,0.5,12681.7
DE,00+,2023-11-16,2023-11-19,1,quantile,0.75,14380.875
DE,00+,2023-11-16,2023-11-19,1,quantile,0.9,16044.91
DE,00+,2023-11-16,2023-11-19,1,quantile,0.975,18078.5225
DE,00+,2023-11-16,2023-11-26,2,quantile,0.025,8906.0725
DE,00+,2023-11-16,2023-11-26,2,quantile,0.1,10274.960000000001
DE,00+,2023-11-16,2023-11-26,2,quantile,0.25,11604.5
DE,00+,2023-11-16,2023-11-26,2,quantile,0.5,13230.3
DE,00+,2023-11-16,2023-11-26,2,quantile,0.75,15009.5
DE,00+,2023-11-16,2023-11-26,2,quantile,0.9,16735.469999999998
DE,00+,2023-11-16,2023-11-26,2,quantile,0.975,18816.530000000002
DE,00+,2023-11-16,2023-12-03,3,quantile,0.025,9224.575
DE,00+,2023-11-16,2023-12-03,3,quantile,0.1,10607.49
DE,00+,2023-11-16,2023-12-03,3,quantile,0.25,11964.9
DE,00+,2023-11-16,2023-12-03,3,quantile,0.5,13622.1
DE,00+,2023-11-16,2023-12-03,3,quantile,0.75,15437.375
DE,00+,2023-11-16,2023-12-03,3,quantile,0.9,17197.03
DE,00+,2023-11-16,2023-12-03,3,quantile,0.975,19307.225
DE,00-04,2023-11-16,2023-11-12,0,quantile,0.025,1018.6899999999999
DE,00-04,2023-11-16,2023-11-12,0,quantile,0.1,1339.49
DE,00-04,2023-11-16,2023-11-12,0,quantile,0.25,1681.4
DE,00-04,2023-11-16,2023-11-12,0,quantile,0.5,2126.7
DE,00-04,2023-11-16,2023-11-12,0,quantile,0.75,2646.5
DE,00-04,2023-11-16,2023-11-12,0,quantile,0.9,3184.72
DE,00-04,2023-11-16,2023-11-12,0,quantile,0.975,3859.517500000001
DE,00-04,2023-11-16,2023-11-19,1,quantile,0.025,1185.895
DE,00-04,2023-11-16,2023-11-19,1,quantile,0.1,1545.3
DE,00-04,2023-11-16,2023-11-19,1,quantile,0.25,1926.6
DE,00-04,2023-11-16,2023-11-19,1,quantile,0.5,2422.55
DE,00-04,2023-11-16,2023-11-19,1,quantile,0.75,2996.3
DE,00-04,2023-11-16,2023-11-19,1,quantile,0.9,3590.4
DE,00-04,2023-11-16,2023-11-19,1,quantile,0.975,4333.817500000001
DE,00-04,2023-11-16,2023-11-26,2,quantile,0.025,1247.5975
DE,00-04,2023-11-16,2023-11-26,2,quantile,0.1,1629.1799999999998
DE,00-04,2023-11-16,2023-11-26,2,quantile,0.25,2031.575
DE,00-04,2023-11-16,2023-11-26,2,quantile,0.5,2553.1
DE,00-04,2023-11-16,2023-11-26,2,quantile,0.75,3157.7
DE,00-04,2023-11-16,2023-11-26,2,quantile,0.9,3777.91
DE,00-04,2023-11-16,2023-11-26,2,quantile,0.975,4561.020000000001
DE,00-04,2023-11-16,2023-12-03,3,quantile,0.025,1315.4
DE,00-04,2023-11-16,2023-12-03,3,quantile,0.1,1719.8799999999999
DE,00-04,2023-11-16,2023-12-03,3,quantile,0.25,2145.275
DE,00-04,2023-11-16,2023-12-03,3,quantile,0.5,2698.1
DE,00-04,2023-11-16,2023-12-03,3,quantile,0.75,3340.825
DE,00-04,2023-11-16,2023-12-03,3,quantile,0.9,3999.5299999999997
DE,00-04,2023-11-16,2023-12-03,3,quantile,0.975,4839.217500000001
DE,05-14,2023-11-16,2023-11-12,0,quantile,0.025,216.3
DE,05-14,2023-11-16,2023-11-12,0,quantile,0.1,299.2
DE,05-14,2023-11-16,2023-11-12,0,quantile,0.25,390.3
DE,05-14,2023-11-16,2023-11-12,0,quantile,0.5,511.0
DE,05-14,2023-11-16,2023-11-12,0,quantile,0.75,654.9
DE,05-14,2023-11-16,2023-11-12,0,quantile,0.9,806.0099999999999
DE,05-14,2023-11-16,2023-11-12,0,quantile,0.975,998.4
DE,05-14,2023-11-16,2023-11-19,1,quantile,0.025,241.6
DE,05-14,2023-11-16,2023-11-19,1,quantile,0.1,332.29
DE,05-14,2023-11-16,2023-11-19,1,quantile,0.25,431.875
DE,05-14,2023-11-16,2023-11-19,1,quantile,0.5,564.0
DE,05-14,2023-11-16,2023-11-19,1,quantile,0.75,720.55
DE,05-14,2023-11-16,2023-11-19,1,quantile,0.9,883.8199999999997
DE,05-14,2023-11-16,2023-11-19,1,quantile,0.975,1094.4
DE,05-14,2023-11-16,2023-11-26,2,quantile,0.025,257.3975
DE,05-14,2023-11-16,2023-11-26,2,quantile,0.1,352.2
DE,05-14,2023-11-16,2023-11-26,2,quantile,0.25,456.6
DE,05-14,2023-11-16,2023-11-26,2,quantile,0.5,593.7
DE,05-14,2023-11-16,2023-11-26,2,quantile,0.75,757.0
DE,05-14,2023-11-16,2023-11-26,2,quantile,0.9,926.7
DE,05-14,2023-11-16,2023-11-26,2,quantile,0.975,1145.3050000000003
DE,05-14,2023-11-16,2023-12-03,3,quantile,0.025,273.6
DE,05-14,2023-11-16,2023-12-03,3,quantile,0.1,373.4
DE,05-14,2023-11-16,2023-12-03,3,quantile,0.25,482.6
DE,05-14,2023-11-16,2023-12-03,3,quantile,0.5,627.7
DE,05-14,2023-11-16,2023-12-03,3,quantile,0.75,800.2
DE,05-14,2023-11-16,2023-12-03,3,quantile,0.9,979.9
DE,05-14,2023-11-16,2023-12-03,3,quantile,0.975,1210.0025
DE,15-34,2023-11-16,2023-11-12,0,quantile,0.025,219.0
DE,15-34,2023-11-16,2023-11-12,0,quantile,0.1,282.0
DE,15-34,2023-11-16,2023-11-12,0,quantile,0.25,348.7
DE,15-34,2023-11-16,2023-11-12,0,quantile,0.5,434.6
DE,15-34,2023-11-16,2023-11-12,0,quantile,0.75,533.325
DE,15-34,2023-11-16,2023-11-12,0,quantile,0.9,633.1
DE,15-34,2023-11-16,2023-11-12,0,quantile,0.975,758.6025000000002
DE,15-34,2023-11-16,2023-11-19,1,quantile,0.025,230.9
DE,15-34,2023-11-16,2023-11-19,1,quantile,0.1,297.29
DE,15-34,2023-11-16,2023-11-19,1,quantile,0.25,367.4
DE,15-34,2023-11-16,2023-11-19,1,quantile,0.5,458.3
DE,15-34,2023-11-16,2023-11-19,1,quantile,0.75,562.4
DE,15-34,2023-11-16,2023-11-19,1,quantile,0.9,668.4
DE,15-34,2023-11-16,2023-11-19,1,quantile,0.975,800.9
DE,15-34,2023-11-16,2023-11-26,2,quantile,0.025,247.6
DE,15-34,2023-11-16,2023-11-26,2,quantile,0.1,317.5
DE,15-34,2023-11-16,2023-11-26,2,quantile,0.25,390.8
DE,15-34,2023-11-16,2023-11-26,2,quantile,0.5,484.2
DE,15-34,2023-11-16,2023-11-26,2,quantile,0.75,592.5
DE,15-34,2023-11-16,2023-11-26,2,quantile,0.9,701.8
DE,15-34,2023-11-16,2023-11-26,2,quantile,0.975,838.7050000000003
DE,15-34,2023-11-16,2023-12-03,3,quantile,0.025,255.9
DE,15-34,2023-11-16,2023-12-03,3,quantile,0.1,326.6
DE,15-34,2023-11-16,2023-12-03,3,quantile,0.25,400.7
DE,15-34,2023-11-16,2023-12-03,3,quantile,0.5,496.1
DE,15-34,2023-11-16,2023-12-03,3,quantile,0.75,605.325
DE,15-34,2023-11-16,2023-12-03,3,quantile,0.9,715.3
DE,15-34,2023-11-16,2023-12-03,3,quantile,0.975,851.0
DE,35-59,2023-11-16,2023-11-12,0,quantile,0.025,659.9
DE,35-59,2023-11-16,2023-11-12,0,quantile,0.1,800.7
DE,35-59,2023-11-16,2023-11-12,0,quantile,0.25,943.4
DE,35-59,2023-11-16,2023-11-12,0,quantile,0.5,1120.9
DE,35-59,2023-11-16,2023-11-12,0,quantile,0.75,1319.4
DE,35-59,2023-11-16,2023-11-12,0,quantile,0.9,1515.3
DE,35-59,2023-11-16,2023-11-12,0,quantile,0.975,1757.5100000000007
DE,35-59,2023-11-16,2023-11-19,1,quantile,0.025,686.4975000000001
DE,35-59,2023-11-16,2023-11-19,1,quantile,0.1,833.6
DE,35-59,2023-11-16,2023-11-19,1,quantile,0.25,982.0
DE,35-59,2023-11-16,2023-11-19,1,quantile,0.5,1168.4
DE,35-59,2023-11-16,2023-11-19,1,quantile,0.75,1376.725
DE,35-59,2023-11-16,2023-11-19,1,quantile,0.9,1585.1
DE,35-59,2023-11-16,2023-11-19,1,quantile,0.975,1840.4050000000002
DE,35-59,2023-11-16,2023-11-26,2,quantile,0.025,716.9975000000001
DE,35-59,2023-11-16,2023-11-26,2,quantile,0.1,870.49
DE,35-59,2023-11-16,2023-11-26,2,quantile,0.25,1024.9
DE,35-59,2023-11-16,2023-11-26,2,quantile,0.5,1217.0
DE,35-59,2023-11-16,2023-11-26,2,quantile,0.75,1432.2
DE,35-59,2023-11-16,2023-11-26,2,quantile,0.9,1646.81
DE,35-59,2023-11-16,2023-11-26,2,quantile,0.975,1909.1075000000005
DE,35-59,2023-11-16,2023-12-03,3,quantile,0.025,723.4
DE,35-59,2023-11-16,2023-12-03,3,quantile,0.1,878.6899999999999
DE,35-59,2023-11-16,2023-12-03,3,quantile,0.25,1032.375
DE,35-59,2023-11-16,2023-12-03,3,quantile,0.5,1224.3
DE,35-59,2023-11-16,2023-12-03,3,quantile,0.75,1439.4
DE,35-59,2023-11-16,2023-12-03,3,quantile,0.9,1653.9
DE,35-59,2023-11-16,2023-12-03,3,quantile,0.975,1915.5075000000004
DE,60-79,2023-11-16,2023-11-12,0,quantile,0.025,2042.5900000000001
DE,60-79,2023-11-16,2023-11-12,0,quantile,0.1,2358.4
DE,60-79,2023-11-16,2023-11-12,0,quantile,0.25,2670.9
DE,60-79,2023-11-16,2023-11-12,0,quantile,0.5,3048.0
DE,60-79,2023-11-16,2023-11-12,0,quantile,0.75,3461.3
DE,60-79,2023-11-16,2023-11-12,0,quantile,0.9,3863.5199999999995
DE,60-79,2023-11-16,2023-11-12,0,quantile,0.975,4344.9075
DE,60-79,2023-11-16,2023-11-19,1,quantile,0.025,2083.5924999999997
DE,60-79,2023-11-16,2023-11-19,1,quantile,0.1,2408.3900000000003
DE,60-79,2023-11-16,2023-11-19,1,quantile,0.25,2730.4
DE,60-79,2023-11-16,2023-11-19,1,quantile,0.5,3122.2
DE,60-79,2023-11-16,2023-11-19,1,quantile,0.75,3548.825
DE,60-79,2023-11-16,2023-11-19,1,quantile,0.9,3964.3
DE,60-79,2023-11-16,2023-11-19,1,quantile,0.975,4469.3150000000005
DE,60-79,2023-11-16,2023-11-26,2,quantile,0.025,2169.2925
DE,60-79,2023-11-16,2023-11-26,2,quantile,0.1,2511.8
DE,60-79,2023-11-16,2023-11-26,2,quantile,0.25,2846.375
DE,60-79,2023-11-16,2023-11-26,2,quantile,0.5,3251.55
DE,60-79,2023-11-16,2023-11-26,2,quantile,0.75,3694.225
DE,60-79,2023-11-16,2023-11-26,2,quantile,0.9,4126.71
DE,60-79,2023-11-16,2023-11-26,2,quantile,0.975,4644.012500000001
DE,60-79,2023-11-16,2023-12-03,3,quantile,0.025,2176.79
DE,60-79,2023-11-16,2023-12-03,3,quantile,0.1,2519.3
DE,60-79,2023-11-16,2023-12-03,3,quantile,0.25,2856.075
DE,60-79,2023-11-16,2023-12-03,3,quantile,0.5,3262.9
DE,60-79,2023-11-16,2023-12-03,3,quantile,0.75,3706.1
DE,60-79,2023-11-16,2023-12-03,3,quantile,0.9,4138.12
DE,60-79,2023-11-16,2023-12-03,3,quantile,0.975,4666.6075
DE,80+,2023-11-16,2023-11-12,0,quantile,0.025,2436.6974999999998
DE,80+,2023-11-16,2023-11-12,0,quantile,0.1,2838.59
DE,80+,2023-11-16,2023-11-12,0,quantile,0.25,3235.8
DE,80+,2023-11-16,2023-11-12,0,quantile,0.5,3718.1
DE,80+,2023-11-16,2023-11-12,0,quantile,0.75,4247.625
DE,80+,2023-11-16,2023-11-12,0,quantile,0.9,4768.21
DE,80+,2023-11-16,2023-11-12,0,quantile,0.975,5390.6075
DE,80+,2023-11-16,2023-11-19,1,quantile,0.025,2494.995
DE,80+,2023-11-16,2023-11-19,1,quantile,0.1,2908.4900000000002
DE,80+,2023-11-16,2023-11-19,1,quantile,0.25,3313.2
DE,80+,2023-11-16,2023-11-19,1,quantile,0.5,3807.35
DE,80+,2023-11-16,2023-11-19,1,quantile,0.75,4350.725
DE,80+,2023-11-16,2023-11-19,1,quantile,0.9,4882.21
DE,80+,2023-11-16,2023-11-19,1,quantile,0.975,5527.715000000001
DE,80+,2023-11-16,2023-11-26,2,quantile,0.025,2584.0924999999997
DE,80+,2023-11-16,2023-11-26,2,quantile,0.1,3010.29
DE,80+,2023-11-16,2023-11-26,2,quantile,0.25,3428.875
DE,80+,2023-11-16,2023-11-26,2,quantile,0.5,3941.3
DE,80+,2023-11-16,2023-11-26,2,quantile,0.75,4503.8
DE,80+,2023-11-16,2023-11-26,2,quantile,0.9,5053.01
DE,80+,2023-11-16,2023-11-26,2,quantile,0.975,5726.9075
DE,80+,2023-11-16,2023-12-03,3,quantile,0.025,2601.1974999999998
DE,80+,2023-11-16,2023-12-03,3,quantile,0.1,3022.9900000000002
DE,80+,2023-11-16,2023-12-03,3,quantile,0.25,3443.975
DE,80+,2023-11-16,2023-12-03,3,quantile,0.5,3957.6
DE,80+,2023-11-16,2023-12-03,3,quantile,0.75,4520.575
DE,80+,2023-11-16,2023-12-03,3,quantile,0.9,5075.0199999999995
DE,80+,2023-11-16,2023-12-03,3,quantile,0.975,5739.915000000001
