location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-07-04,2024-07-07,1,quantile,0.025,5660.4400000000005
DE,00+,2024-07-04,2024-07-07,1,quantile,0.1,6571.339999999999
DE,00+,2024-07-04,2024-07-07,1,quantile,0.25,7464.375
DE,00+,2024-07-04,2024-07-07,1,quantile,0.5,8532.45
DE,00+,2024-07-04,2024-07-07,1,quantile,0.75,9648.975
DE,00+,2024-07-04,2024-07-07,1,quantile,0.9,10786.460000000001
DE,00+,2024-07-04,2024-07-07,1,quantile,0.975,12137.595
DE,00+,2024-07-04,2024-07-14,2,quantile,0.025,5928.0575
DE,00+,2024-07-04,2024-07-14,2,quantile,0.1,6835.5
DE,00+,2024-07-04,2024-07-14,2,quantile,0.25,7756.2
DE,00+,2024-07-04,2024-07-14,2,quantile,0.5,8844.25
DE,00+,2024-07-04,2024-07-14,2,quantile,0.75,10054.0
DE,00+,2024-07-04,2024-07-14,2,quantile,0.9,11256.61
DE,00+,2024-07-04,2024-07-14,2,quantile,0.975,12734.899999999998
DE,00+,2024-07-04,2024-07-21,3,quantile,0.025,5771.7925000000005
DE,00+,2024-07-04,2024-07-21,3,quantile,0.1,6669.9
DE,00+,2024-07-04,2024-07-21,3,quantile,0.25,7562.825
DE,00+,2024-07-04,2024-07-21,3,quantile,0.5,8691.3
DE,00+,2024-07-04,2024-07-21,3,quantile,0.75,9915.45
DE,00+,2024-07-04,2024-07-21,3,quantile,0.9,11047.320000000002
DE,00+,2024-07-04,2024-07-21,3,quantile,0.975,12523.95
DE,00+,2024-07-04,2024-07-28,4,quantile,0.025,5853.2
DE,00+,2024-07-04,2024-07-28,4,quantile,0.1,6805.81
DE,00+,2024-07-04,2024-07-28,4,quantile,0.25,7701.975
DE,00+,2024-07-04,2024-07-28,4,quantile,0.5,8776.0
DE,00+,2024-07-04,2024-07-28,4,quantile,0.75,10028.9
DE,00+,2024-07-04,2024-07-28,4,quantile,0.9,11215.820000000002
DE,00+,2024-07-04,2024-07-28,4,quantile,0.975,12619.849999999999
DE,00-04,2024-07-04,2024-07-07,1,quantile,0.025,505.21000000000004
DE,00-04,2024-07-04,2024-07-07,1,quantile,0.1,691.03
DE,00-04,2024-07-04,2024-07-07,1,quantile,0.25,896.275
DE,00-04,2024-07-04,2024-07-07,1,quantile,0.5,1161.0
DE,00-04,2024-07-04,2024-07-07,1,quantile,0.75,1474.3
DE,00-04,2024-07-04,2024-07-07,1,quantile,0.9,1794.61
DE,00-04,2024-07-04,2024-07-07,1,quantile,0.975,2196.8599999999997
DE,00-04,2024-07-04,2024-07-14,2,quantile,0.025,560.4525
DE,00-04,2024-07-04,2024-07-14,2,quantile,0.1,770.53
DE,00-04,2024-07-04,2024-07-14,2,quantile,0.25,984.6
DE,00-04,2024-07-04,2024-07-14,2,quantile,0.5,1263.6
DE,00-04,2024-07-04,2024-07-14,2,quantile,0.75,1596.325
DE,00-04,2024-07-04,2024-07-14,2,quantile,0.9,1955.1100000000001
DE,00-04,2024-07-04,2024-07-14,2,quantile,0.975,2391.5874999999996
DE,00-04,2024-07-04,2024-07-21,3,quantile,0.025,571.4399999999999
DE,00-04,2024-07-04,2024-07-21,3,quantile,0.1,773.1600000000001
DE,00-04,2024-07-04,2024-07-21,3,quantile,0.25,987.475
DE,00-04,2024-07-04,2024-07-21,3,quantile,0.5,1280.65
DE,00-04,2024-07-04,2024-07-21,3,quantile,0.75,1622.925
DE,00-04,2024-07-04,2024-07-21,3,quantile,0.9,1970.9099999999999
DE,00-04,2024-07-04,2024-07-21,3,quantile,0.975,2404.0174999999995
DE,00-04,2024-07-04,2024-07-28,4,quantile,0.025,589.0025
DE,00-04,2024-07-04,2024-07-28,4,quantile,0.1,783.7
DE,00-04,2024-07-04,2024-07-28,4,quantile,0.25,1003.45
DE,00-04,2024-07-04,2024-07-28,4,quantile,0.5,1290.45
DE,00-04,2024-07-04,2024-07-28,4,quantile,0.75,1629.45
DE,00-04,2024-07-04,2024-07-28,4,quantile,0.9,1974.53
DE,00-04,2024-07-04,2024-07-28,4,quantile,0.975,2452.2625
DE,05-14,2024-07-04,2024-07-07,1,quantile,0.025,158.3675
DE,05-14,2024-07-04,2024-07-07,1,quantile,0.1,222.75
DE,05-14,2024-07-04,2024-07-07,1,quantile,0.25,299.675
DE,05-14,2024-07-04,2024-07-07,1,quantile,0.5,397.9
DE,05-14,2024-07-04,2024-07-07,1,quantile,0.75,517.725
DE,05-14,2024-07-04,2024-07-07,1,quantile,0.9,644.9100000000001
DE,05-14,2024-07-04,2024-07-07,1,quantile,0.975,792.9949999999999
DE,05-14,2024-07-04,2024-07-14,2,quantile,0.025,166.265
DE,05-14,2024-07-04,2024-07-14,2,quantile,0.1,233.13000000000002
DE,05-14,2024-07-04,2024-07-14,2,quantile,0.25,312.7
DE,05-14,2024-07-04,2024-07-14,2,quantile,0.5,418.0
DE,05-14,2024-07-04,2024-07-14,2,quantile,0.75,548.6
DE,05-14,2024-07-04,2024-07-14,2,quantile,0.9,677.9100000000001
DE,05-14,2024-07-04,2024-07-14,2,quantile,0.975,839.8799999999999
DE,05-14,2024-07-04,2024-07-21,3,quantile,0.025,169.0675
DE,05-14,2024-07-04,2024-07-21,3,quantile,0.1,241.55
DE,05-14,2024-07-04,2024-07-21,3,quantile,0.25,319.5
DE,05-14,2024-07-04,2024-07-21,3,quantile,0.5,423.4
DE,05-14,2024-07-04,2024-07-21,3,quantile,0.75,550.325
DE,05-14,2024-07-04,2024-07-21,3,quantile,0.9,685.1200000000001
DE,05-14,2024-07-04,2024-07-21,3,quantile,0.975,857.9524999999998
DE,05-14,2024-07-04,2024-07-28,4,quantile,0.025,174.2525
DE,05-14,2024-07-04,2024-07-28,4,quantile,0.1,245.8
DE,05-14,2024-07-04,2024-07-28,4,quantile,0.25,327.75
DE,05-14,2024-07-04,2024-07-28,4,quantile,0.5,431.4
DE,05-14,2024-07-04,2024-07-28,4,quantile,0.75,559.975
DE,05-14,2024-07-04,2024-07-28,4,quantile,0.9,695.34
DE,05-14,2024-07-04,2024-07-28,4,quantile,0.975,862.3624999999998
DE,15-34,2024-07-04,2024-07-07,1,quantile,0.025,220.94
DE,15-34,2024-07-04,2024-07-07,1,quantile,0.1,285.73
DE,15-34,2024-07-04,2024-07-07,1,quantile,0.25,358.2
DE,15-34,2024-07-04,2024-07-07,1,quantile,0.5,448.85
DE,15-34,2024-07-04,2024-07-07,1,quantile,0.75,554.175
DE,15-34,2024-07-04,2024-07-07,1,quantile,0.9,658.51
DE,15-34,2024-07-04,2024-07-07,1,quantile,0.975,795.905
DE,15-34,2024-07-04,2024-07-14,2,quantile,0.025,233.955
DE,15-34,2024-07-04,2024-07-14,2,quantile,0.1,302.93999999999994
DE,15-34,2024-07-04,2024-07-14,2,quantile,0.25,373.0
DE,15-34,2024-07-04,2024-07-14,2,quantile,0.5,467.3
DE,15-34,2024-07-04,2024-07-14,2,quantile,0.75,577.85
DE,15-34,2024-07-04,2024-07-14,2,quantile,0.9,687.99
DE,15-34,2024-07-04,2024-07-14,2,quantile,0.975,825.0849999999998
DE,15-34,2024-07-04,2024-07-21,3,quantile,0.025,228.85499999999996
DE,15-34,2024-07-04,2024-07-21,3,quantile,0.1,295.65
