"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00-04",2023-12-07,2023-12-03,0,"mean",NA,4096
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.025,3707
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.05,3758
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.075,3794
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.1,3822
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.125,3846
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.15,3867
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.175,3886
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.2,3904
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.225,3921
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.25,3937
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.275,3952
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.3,3967
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.325,3982
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.35,3996
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.375,4010
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.4,4024
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.425,4038
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.45,4051
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.475,4065
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.5,4079
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.525,4093
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.55,4107
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.575,4121
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.6,4136
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.625,4151
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.65,4167
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.675,4183
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.7,4200
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.725,4218
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.75,4236
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.775,4256
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.8,4278
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.825,4301
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.85,4327
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.875,4357
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.9,4392
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.925,4434
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.95,4491
"DE","00-04",2023-12-07,2023-12-03,0,"quantile",0.975,4581
"DE","00-04",2023-12-07,2023-11-26,-1,"mean",NA,2672
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.025,2555
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.05,2567
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.075,2576
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.1,2583
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.125,2590
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.15,2596
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.175,2601
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.2,2606
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.225,2611
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.25,2616
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.275,2620
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.3,2625
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.325,2629
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.35,2634
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.375,2638
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.4,2643
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.425,2647
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.45,2652
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.475,2656
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.5,2661
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.525,2665
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.55,2670
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.575,2675
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.6,2680
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.625,2685
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.65,2691
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.675,2696
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.7,2702
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.725,2709
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.75,2716
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.775,2723
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.8,2731
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.825,2740
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.85,2749
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.875,2761
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.9,2774
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.925,2791
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.95,2814
"DE","00-04",2023-12-07,2023-11-26,-1,"quantile",0.975,2851
"DE","00-04",2023-12-07,2023-11-19,-2,"mean",NA,2251
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.025,2198
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.05,2198
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.075,2198
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.1,2198
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.125,2198
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.15,2198
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.175,2198
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.2,2198
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.225,2198
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.25,2198
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.275,2198
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.3,2198
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.325,2198
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.35,2198
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.375,2199
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.4,2199
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.425,2199
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.45,2200
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.475,2201
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.5,2202
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.525,2203
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.55,2204
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.575,2206
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.6,2209
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.625,2212
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.65,2215
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.675,2220
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.7,2225
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.725,2232
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.75,2240
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.775,2250
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.8,2263
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.825,2278
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.85,2298
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.875,2324
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.9,2359
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.925,2408
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.95,2483
"DE","00-04",2023-12-07,2023-11-19,-2,"quantile",0.975,2626
"DE","00-04",2023-12-07,2023-11-12,-3,"mean",NA,1580
"DE","00-04",2023-12-07,2023-11-12,-3,"quantile",0.025,1577
"DE","00-04",2023-12-07,2023-11-12,-3,"quantile",0.05,1577
"DE","00-04",2023-12-07,2023-11-12,-3,"quantile",0.075,1577
"DE","00-04",2023-12-07,2023-11-12,-3,"quantile",0.1,1577
"DE","00-04",2023-12-07,2023-11-12,-3,"quantile",0.125,1577
"DE","00-04",2023-12-07,2023-11-12,-3,"quantile",0.15,1577
"DE","00-04",2023-12-07,2023-11-12,-3,"quantile",0.175,1577
"DE","00-04",2023-12-07,2023-11-12,-3,"quantile",0.2,1577
"DE","00-04",2023-12-07,2023-11-12,-3,"quantile",0.225,1577
"DE","00-04",2023-12-07,2023-11-12,-3,"quantile",0.25,1577
"DE","00-04",2023-12-07,2023-11-12,-3,"quantile",0.275,1577
"DE","00-04",2023-12-07,2023-11-12,-3,"quantile",0.3,1577
"DE","00-04",2023-12-07,2023-11-12,-3,"quantile",0.325,1577
"DE","00-04",2023-12-07,2023-11-12,-3,"quantile",0.35,1577
"DE","00-04",2023-12-07,2023-11-12,-3,"quantile",0.375,1577
"DE","00-04",2023-12-07,2023-11-12,-3,"quantile",0.4,1577
"DE","00-04",2023-12-07,2023-11-12,-3,"quantile",0.425,1577
"DE","00-04",2023-12-07,2023-11-12,-3,"quantile",0.45,1577
"DE","00-04",2023-12-07,2023-11-12,-3,"quantile",0.475,1577
"DE","00-04",2023-12-07,2023-11-12,-3,"quantile",0.5,1577
"DE","00-04",2023-12-07,2023-11-12,-3,"quantile",0.525,1577
"DE","00-04",2023-12-07,2023-11-12,-3,"quantile",0.55,1577
"DE","00-04",2023-12-07,2023-11-12,-3,"quantile",0.575,1577
"DE","00-04",2023-12-07,2023-11-12,-3,"quantile",0.6,1577
"DE","00-04",2023-12-07,2023-11-12,-3,"quantile",0.625,1577
"DE","00-04",2023-12-07,2023-11-12,-3,"quantile",0.65,1577
"DE","00-04",2023-12-07,2023-11-12,-3,"quantile",0.675,1577
"DE","00-04",2023-12-07,2023-11-12,-3,"quantile",0.7,1577
"DE","00-04",2023-12-07,2023-11-12,-3,"quantile",0.725,1578
"DE","00-04",2023-12-07,2023-11-12,-3,"quantile",0.75,1578
"DE","00-04",2023-12-07,2023-11-12,-3,"quantile",0.775,1579
"DE","00-04",2023-12-07,2023-11-12,-3,"quantile",0.8,1579
