location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-03-28,2024-03-31,1,quantile,0.025,9017.384650277518
DE,00+,2024-03-28,2024-03-31,1,quantile,0.1,10175.646109486377
DE,00+,2024-03-28,2024-03-31,1,quantile,0.25,11085.634234171528
DE,00+,2024-03-28,2024-03-31,1,quantile,0.5,12201.344315284372
DE,00+,2024-03-28,2024-03-31,1,quantile,0.75,13568.47718126747
DE,00+,2024-03-28,2024-03-31,1,quantile,0.9,14881.304329880895
DE,00+,2024-03-28,2024-03-31,1,quantile,0.975,16436.978719358467
DE,00+,2024-03-28,2024-04-07,2,quantile,0.025,8229.090834345005
DE,00+,2024-03-28,2024-04-07,2,quantile,0.1,9238.886987804077
DE,00+,2024-03-28,2024-04-07,2,quantile,0.25,10176.296750263487
DE,00+,2024-03-28,2024-04-07,2,quantile,0.5,11303.641725930462
DE,00+,2024-03-28,2024-04-07,2,quantile,0.75,12891.49945966635
DE,00+,2024-03-28,2024-04-07,2,quantile,0.9,14603.15619913992
DE,00+,2024-03-28,2024-04-07,2,quantile,0.975,16483.070396120034
DE,00+,2024-03-28,2024-04-14,3,quantile,0.025,7641.349392791967
DE,00+,2024-03-28,2024-04-14,3,quantile,0.1,8621.346291871714
DE,00+,2024-03-28,2024-04-14,3,quantile,0.25,9576.892990938959
DE,00+,2024-03-28,2024-04-14,3,quantile,0.5,10720.743832165588
DE,00+,2024-03-28,2024-04-14,3,quantile,0.75,12600.955406223751
DE,00+,2024-03-28,2024-04-14,3,quantile,0.9,14680.83721811335
DE,00+,2024-03-28,2024-04-14,3,quantile,0.975,16528.980523194674
DE,00+,2024-03-28,2024-04-21,4,quantile,0.025,6951.718411960443
DE,00+,2024-03-28,2024-04-21,4,quantile,0.1,7859.759564205763
DE,00+,2024-03-28,2024-04-21,4,quantile,0.25,8838.912115361782
DE,00+,2024-03-28,2024-04-21,4,quantile,0.5,10026.973030629752
DE,00+,2024-03-28,2024-04-21,4,quantile,0.75,11771.63266461101
DE,00+,2024-03-28,2024-04-21,4,quantile,0.9,13560.030563915143
DE,00+,2024-03-28,2024-04-21,4,quantile,0.975,15775.999746888127
DE,00-04,2024-03-28,2024-03-31,1,quantile,0.025,1137.136269832668
DE,00-04,2024-03-28,2024-03-31,1,quantile,0.1,1460.712088642868
DE,00-04,2024-03-28,2024-03-31,1,quantile,0.25,1767.1586936827475
DE,00-04,2024-03-28,2024-03-31,1,quantile,0.5,2074.260512616216
DE,00-04,2024-03-28,2024-03-31,1,quantile,0.75,2450.211515772658
DE,00-04,2024-03-28,2024-03-31,1,quantile,0.9,2893.735639624233
DE,00-04,2024-03-28,2024-03-31,1,quantile,0.975,3411.3289434352887
DE,00-04,2024-03-28,2024-04-07,2,quantile,0.025,819.690440694177
DE,00-04,2024-03-28,2024-04-07,2,quantile,0.1,1157.5801053611833
DE,00-04,2024-03-28,2024-04-07,2,quantile,0.25,1495.1200587727951
DE,00-04,2024-03-28,2024-04-07,2,quantile,0.5,1886.5025768428009
DE,00-04,2024-03-28,2024-04-07,2,quantile,0.75,2317.5777737456146
DE,00-04,2024-03-28,2024-04-07,2,quantile,0.9,2868.915562433568
DE,00-04,2024-03-28,2024-04-07,2,quantile,0.975,3517.0173793443005
DE,00-04,2024-03-28,2024-04-14,3,quantile,0.025,659.0636725915626
