"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2024-01-18,2024-01-21,1,"quantile",0.025,13810
"DE","00+",2024-01-18,2024-01-21,1,"quantile",0.1,14950
"DE","00+",2024-01-18,2024-01-21,1,"quantile",0.25,16030
"DE","00+",2024-01-18,2024-01-21,1,"quantile",0.5,17290
"DE","00+",2024-01-18,2024-01-21,1,"quantile",0.75,18640
"DE","00+",2024-01-18,2024-01-21,1,"quantile",0.9,19930
"DE","00+",2024-01-18,2024-01-21,1,"quantile",0.975,21440
"DE","00+",2024-01-18,2024-01-21,1,"mean",NA,17386.5117342028
"DE","00+",2024-01-18,2024-01-28,2,"quantile",0.025,13620
"DE","00+",2024-01-18,2024-01-28,2,"quantile",0.1,14940
"DE","00+",2024-01-18,2024-01-28,2,"quantile",0.25,16190
"DE","00+",2024-01-18,2024-01-28,2,"quantile",0.5,17670
"DE","00+",2024-01-18,2024-01-28,2,"quantile",0.75,19250
"DE","00+",2024-01-18,2024-01-28,2,"quantile",0.9,20760
"DE","00+",2024-01-18,2024-01-28,2,"quantile",0.975,22560
"DE","00+",2024-01-18,2024-01-28,2,"mean",NA,17784.2615534964
"DE","00+",2024-01-18,2024-02-04,3,"quantile",0.025,13330
"DE","00+",2024-01-18,2024-02-04,3,"quantile",0.1,14770
"DE","00+",2024-01-18,2024-02-04,3,"quantile",0.25,16150
"DE","00+",2024-01-18,2024-02-04,3,"quantile",0.5,17800
"DE","00+",2024-01-18,2024-02-04,3,"quantile",0.75,19550
"DE","00+",2024-01-18,2024-02-04,3,"quantile",0.9,21240
"DE","00+",2024-01-18,2024-02-04,3,"quantile",0.975,23260
"DE","00+",2024-01-18,2024-02-04,3,"mean",NA,17930.8424358642
"DE","00+",2024-01-18,2024-02-11,4,"quantile",0.025,12910
"DE","00+",2024-01-18,2024-02-11,4,"quantile",0.1,14430
"DE","00+",2024-01-18,2024-02-11,4,"quantile",0.25,15890
"DE","00+",2024-01-18,2024-02-11,4,"quantile",0.5,17640
"DE","00+",2024-01-18,2024-02-11,4,"quantile",0.75,19520
"DE","00+",2024-01-18,2024-02-11,4,"quantile",0.9,21330
"DE","00+",2024-01-18,2024-02-11,4,"quantile",0.975,23500
"DE","00+",2024-01-18,2024-02-11,4,"mean",NA,17793.7564490672
"DE","00-04",2024-01-18,2024-01-21,1,"quantile",0.025,2070
"DE","00-04",2024-01-18,2024-01-21,1,"quantile",0.1,2440
"DE","00-04",2024-01-18,2024-01-21,1,"quantile",0.25,2810
"DE","00-04",2024-01-18,2024-01-21,1,"quantile",0.5,3260
"DE","00-04",2024-01-18,2024-01-21,1,"quantile",0.75,3760
"DE","00-04",2024-01-18,2024-01-21,1,"quantile",0.9,4250
"DE","00-04",2024-01-18,2024-01-21,1,"quantile",0.975,4850
"DE","00-04",2024-01-18,2024-01-21,1,"mean",NA,3318.41047017226
"DE","00-04",2024-01-18,2024-01-28,2,"quantile",0.025,1910
"DE","00-04",2024-01-18,2024-01-28,2,"quantile",0.1,2330
"DE","00-04",2024-01-18,2024-01-28,2,"quantile",0.25,2760
"DE","00-04",2024-01-18,2024-01-28,2,"quantile",0.5,3300
"DE","00-04",2024-01-18,2024-01-28,2,"quantile",0.75,3900
"DE","00-04",2024-01-18,2024-01-28,2,"quantile",0.9,4510
"DE","00-04",2024-01-18,2024-01-28,2,"quantile",0.975,5260
"DE","00-04",2024-01-18,2024-01-28,2,"mean",NA,3375.51457184204
"DE","00-04",2024-01-18,2024-02-04,3,"quantile",0.025,1740
"DE","00-04",2024-01-18,2024-02-04,3,"quantile",0.1,2200
"DE","00-04",2024-01-18,2024-02-04,3,"quantile",0.25,2680
"DE","00-04",2024-01-18,2024-02-04,3,"quantile",0.5,3290
"DE","00-04",2024-01-18,2024-02-04,3,"quantile",0.75,3980
"DE","00-04",2024-01-18,2024-02-04,3,"quantile",0.9,4690
"DE","00-04",2024-01-18,2024-02-04,3,"quantile",0.975,5570
"DE","00-04",2024-01-18,2024-02-04,3,"mean",NA,3387.68746635263
"DE","00-04",2024-01-18,2024-02-11,4,"quantile",0.025,1580
"DE","00-04",2024-01-18,2024-02-11,4,"quantile",0.1,2060
"DE","00-04",2024-01-18,2024-02-11,4,"quantile",0.25,2570
"DE","00-04",2024-01-18,2024-02-11,4,"quantile",0.5,3230
"DE","00-04",2024-01-18,2024-02-11,4,"quantile",0.75,4000
"DE","00-04",2024-01-18,2024-02-11,4,"quantile",0.9,4790
"DE","00-04",2024-01-18,2024-02-11,4,"quantile",0.975,5790
"DE","00-04",2024-01-18,2024-02-11,4,"mean",NA,3357.26153863679
"DE","05-14",2024-01-18,2024-01-21,1,"quantile",0.025,290
"DE","05-14",2024-01-18,2024-01-21,1,"quantile",0.1,390
"DE","05-14",2024-01-18,2024-01-21,1,"quantile",0.25,500
"DE","05-14",2024-01-18,2024-01-21,1,"quantile",0.5,640
"DE","05-14",2024-01-18,2024-01-21,1,"quantile",0.75,810
"DE","05-14",2024-01-18,2024-01-21,1,"quantile",0.9,980
"DE","05-14",2024-01-18,2024-01-21,1,"quantile",0.975,1210
"DE","05-14",2024-01-18,2024-01-21,1,"mean",NA,675.749018044735
"DE","05-14",2024-01-18,2024-01-28,2,"quantile",0.025,240
"DE","05-14",2024-01-18,2024-01-28,2,"quantile",0.1,340
"DE","05-14",2024-01-18,2024-01-28,2,"quantile",0.25,470
"DE","05-14",2024-01-18,2024-01-28,2,"quantile",0.5,630
"DE","05-14",2024-01-18,2024-01-28,2,"quantile",0.75,840
