"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2024-05-30,2024-06-02,1,"quantile",0.025,7070
"DE","00+",2024-05-30,2024-06-02,1,"quantile",0.1,7740
"DE","00+",2024-05-30,2024-06-02,1,"quantile",0.25,8390
"DE","00+",2024-05-30,2024-06-02,1,"quantile",0.5,9160
"DE","00+",2024-05-30,2024-06-02,1,"quantile",0.75,9970
"DE","00+",2024-05-30,2024-06-02,1,"quantile",0.9,10750
"DE","00+",2024-05-30,2024-06-02,1,"quantile",0.975,11680
"DE","00+",2024-05-30,2024-06-02,1,"mean",NA,9218.25913804641
"DE","00+",2024-05-30,2024-06-09,2,"quantile",0.025,6420
"DE","00+",2024-05-30,2024-06-09,2,"quantile",0.1,7120
"DE","00+",2024-05-30,2024-06-09,2,"quantile",0.25,7790
"DE","00+",2024-05-30,2024-06-09,2,"quantile",0.5,8600
"DE","00+",2024-05-30,2024-06-09,2,"quantile",0.75,9460
"DE","00+",2024-05-30,2024-06-09,2,"quantile",0.9,10280
"DE","00+",2024-05-30,2024-06-09,2,"quantile",0.975,11270
"DE","00+",2024-05-30,2024-06-09,2,"mean",NA,8665.47640513646
"DE","00+",2024-05-30,2024-06-16,3,"quantile",0.025,5910
"DE","00+",2024-05-30,2024-06-16,3,"quantile",0.1,6620
"DE","00+",2024-05-30,2024-06-16,3,"quantile",0.25,7300
"DE","00+",2024-05-30,2024-06-16,3,"quantile",0.5,8120
"DE","00+",2024-05-30,2024-06-16,3,"quantile",0.75,9010
"DE","00+",2024-05-30,2024-06-16,3,"quantile",0.9,9860
"DE","00+",2024-05-30,2024-06-16,3,"quantile",0.975,10880
"DE","00+",2024-05-30,2024-06-16,3,"mean",NA,8199.80771333731
"DE","00+",2024-05-30,2024-06-23,4,"quantile",0.025,5520
"DE","00+",2024-05-30,2024-06-23,4,"quantile",0.1,6230
"DE","00+",2024-05-30,2024-06-23,4,"quantile",0.25,6920
"DE","00+",2024-05-30,2024-06-23,4,"quantile",0.5,7750
"DE","00+",2024-05-30,2024-06-23,4,"quantile",0.75,8650
"DE","00+",2024-05-30,2024-06-23,4,"quantile",0.9,9520
"DE","00+",2024-05-30,2024-06-23,4,"quantile",0.975,10560
"DE","00+",2024-05-30,2024-06-23,4,"mean",NA,7831.9559119116
"DE","00-04",2024-05-30,2024-06-02,1,"quantile",0.025,610
"DE","00-04",2024-05-30,2024-06-02,1,"quantile",0.1,750
"DE","00-04",2024-05-30,2024-06-02,1,"quantile",0.25,900
"DE","00-04",2024-05-30,2024-06-02,1,"quantile",0.5,1090
"DE","00-04",2024-05-30,2024-06-02,1,"quantile",0.75,1310
"DE","00-04",2024-05-30,2024-06-02,1,"quantile",0.9,1520
"DE","00-04",2024-05-30,2024-06-02,1,"quantile",0.975,1790
"DE","00-04",2024-05-30,2024-06-02,1,"mean",NA,1124.77304543576
"DE","00-04",2024-05-30,2024-06-09,2,"quantile",0.025,510
"DE","00-04",2024-05-30,2024-06-09,2,"quantile",0.1,670
"DE","00-04",2024-05-30,2024-06-09,2,"quantile",0.25,830
"DE","00-04",2024-05-30,2024-06-09,2,"quantile",0.5,1050
"DE","00-04",2024-05-30,2024-06-09,2,"quantile",0.75,1290
"DE","00-04",2024-05-30,2024-06-09,2,"quantile",0.9,1540
"DE","00-04",2024-05-30,2024-06-09,2,"quantile",0.975,1860
"DE","00-04",2024-05-30,2024-06-09,2,"mean",NA,1087.97069833826
"DE","00-04",2024-05-30,2024-06-16,3,"quantile",0.025,440
"DE","00-04",2024-05-30,2024-06-16,3,"quantile",0.1,600
"DE","00-04",2024-05-30,2024-06-16,3,"quantile",0.25,770
"DE","00-04",2024-05-30,2024-06-16,3,"quantile",0.5,1010
"DE","00-04",2024-05-30,2024-06-16,3,"quantile",0.75,1280
"DE","00-04",2024-05-30,2024-06-16,3,"quantile",0.9,1560
"DE","00-04",2024-05-30,2024-06-16,3,"quantile",0.975,1930
"DE","00-04",2024-05-30,2024-06-16,3,"mean",NA,1057.23226887173
"DE","00-04",2024-05-30,2024-06-23,4,"quantile",0.025,380
"DE","00-04",2024-05-30,2024-06-23,4,"quantile",0.1,550
"DE","00-04",2024-05-30,2024-06-23,4,"quantile",0.25,730
"DE","00-04",2024-05-30,2024-06-23,4,"quantile",0.5,980
"DE","00-04",2024-05-30,2024-06-23,4,"quantile",0.75,1280
"DE","00-04",2024-05-30,2024-06-23,4,"quantile",0.9,1600
"DE","00-04",2024-05-30,2024-06-23,4,"quantile",0.975,2010
"DE","00-04",2024-05-30,2024-06-23,4,"mean",NA,1040.27574978139
"DE","05-14",2024-05-30,2024-06-02,1,"quantile",0.025,210
"DE","05-14",2024-05-30,2024-06-02,1,"quantile",0.1,300
"DE","05-14",2024-05-30,2024-06-02,1,"quantile",0.25,400
"DE","05-14",2024-05-30,2024-06-02,1,"quantile",0.5,540
"DE","05-14",2024-05-30,2024-06-02,1,"quantile",0.75,700
"DE","05-14",2024-05-30,2024-06-02,1,"quantile",0.9,870
"DE","05-14",2024-05-30,2024-06-02,1,"quantile",0.975,1080
"DE","05-14",2024-05-30,2024-06-02,1,"mean",NA,572.201902484785
