"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2024-01-18,2024-01-21,1,"quantile",0.025,10813
"DE","00+",2024-01-18,2024-01-21,1,"quantile",0.1,11832
"DE","00+",2024-01-18,2024-01-21,1,"quantile",0.25,12797
"DE","00+",2024-01-18,2024-01-21,1,"quantile",0.5,13930
"DE","00+",2024-01-18,2024-01-21,1,"quantile",0.75,15127
"DE","00+",2024-01-18,2024-01-21,1,"quantile",0.9,16262
"DE","00+",2024-01-18,2024-01-21,1,"quantile",0.975,17594
"DE","00+",2024-01-18,2024-01-21,1,"mean",NA,14001.2133874166
"DE","00+",2024-01-18,2024-01-28,2,"quantile",0.025,10345
"DE","00+",2024-01-18,2024-01-28,2,"quantile",0.1,11511
"DE","00+",2024-01-18,2024-01-28,2,"quantile",0.25,12627
"DE","00+",2024-01-18,2024-01-28,2,"quantile",0.5,13950
"DE","00+",2024-01-18,2024-01-28,2,"quantile",0.75,15362
"DE","00+",2024-01-18,2024-01-28,2,"quantile",0.9,16711
"DE","00+",2024-01-18,2024-01-28,2,"quantile",0.975,18307
"DE","00+",2024-01-18,2024-01-28,2,"mean",NA,14047.6237661266
"DE","00+",2024-01-18,2024-02-04,3,"quantile",0.025,9883
"DE","00+",2024-01-18,2024-02-04,3,"quantile",0.1,11154
"DE","00+",2024-01-18,2024-02-04,3,"quantile",0.25,12381
"DE","00+",2024-01-18,2024-02-04,3,"quantile",0.5,13848
"DE","00+",2024-01-18,2024-02-04,3,"quantile",0.75,15426
"DE","00+",2024-01-18,2024-02-04,3,"quantile",0.9,16944
"DE","00+",2024-01-18,2024-02-04,3,"quantile",0.975,18752
"DE","00+",2024-01-18,2024-02-04,3,"mean",NA,13969.9091237719
"DE","00+",2024-01-18,2024-02-11,4,"quantile",0.025,9405
"DE","00+",2024-01-18,2024-02-11,4,"quantile",0.1,10745
"DE","00+",2024-01-18,2024-02-11,4,"quantile",0.25,12050
"DE","00+",2024-01-18,2024-02-11,4,"quantile",0.5,13619
"DE","00+",2024-01-18,2024-02-11,4,"quantile",0.75,15320
"DE","00+",2024-01-18,2024-02-11,4,"quantile",0.9,16966
"DE","00+",2024-01-18,2024-02-11,4,"quantile",0.975,18937
"DE","00+",2024-01-18,2024-02-11,4,"mean",NA,13762.9888730286
"DE","00-04",2024-01-18,2024-01-21,1,"quantile",0.025,1447
"DE","00-04",2024-01-18,2024-01-21,1,"quantile",0.1,1793
"DE","00-04",2024-01-18,2024-01-21,1,"quantile",0.25,2148
"DE","00-04",2024-01-18,2024-01-21,1,"quantile",0.5,2595
"DE","00-04",2024-01-18,2024-01-21,1,"quantile",0.75,3100
"DE","00-04",2024-01-18,2024-01-21,1,"quantile",0.9,3607
"DE","00-04",2024-01-18,2024-01-21,1,"quantile",0.975,4233
"DE","00-04",2024-01-18,2024-01-21,1,"mean",NA,2128.49195452077
"DE","00-04",2024-01-18,2024-01-28,2,"quantile",0.025,1244
"DE","00-04",2024-01-18,2024-01-28,2,"quantile",0.1,1623
"DE","00-04",2024-01-18,2024-01-28,2,"quantile",0.25,2024
"DE","00-04",2024-01-18,2024-01-28,2,"quantile",0.5,2543
"DE","00-04",2024-01-18,2024-01-28,2,"quantile",0.75,3144
"DE","00-04",2024-01-18,2024-01-28,2,"quantile",0.9,3760
"DE","00-04",2024-01-18,2024-01-28,2,"quantile",0.975,4533
"DE","00-04",2024-01-18,2024-01-28,2,"mean",NA,2143.01464420229
"DE","00-04",2024-01-18,2024-02-04,3,"quantile",0.025,1067
"DE","00-04",2024-01-18,2024-02-04,3,"quantile",0.1,1462
"DE","00-04",2024-01-18,2024-02-04,3,"quantile",0.25,1893
"DE","00-04",2024-01-18,2024-02-04,3,"quantile",0.5,2466
"DE","00-04",2024-01-18,2024-02-04,3,"quantile",0.75,3144
"DE","00-04",2024-01-18,2024-02-04,3,"quantile",0.9,3849
"DE","00-04",2024-01-18,2024-02-04,3,"quantile",0.975,4750
"DE","00-04",2024-01-18,2024-02-04,3,"mean",NA,2143.40734533394
"DE","00-04",2024-01-18,2024-02-11,4,"quantile",0.025,912
"DE","00-04",2024-01-18,2024-02-11,4,"quantile",0.1,1310
"DE","00-04",2024-01-18,2024-02-11,4,"quantile",0.25,1759
"DE","00-04",2024-01-18,2024-02-11,4,"quantile",0.5,2369
"DE","00-04",2024-01-18,2024-02-11,4,"quantile",0.75,3106
"DE","00-04",2024-01-18,2024-02-11,4,"quantile",0.9,3887
"DE","00-04",2024-01-18,2024-02-11,4,"quantile",0.975,4896
"DE","00-04",2024-01-18,2024-02-11,4,"mean",NA,2128.64005334792
"DE","05-14",2024-01-18,2024-01-21,1,"quantile",0.025,299
"DE","05-14",2024-01-18,2024-01-21,1,"quantile",0.1,372
"DE","05-14",2024-01-18,2024-01-21,1,"quantile",0.25,447
"DE","05-14",2024-01-18,2024-01-21,1,"quantile",0.5,541
"DE","05-14",2024-01-18,2024-01-21,1,"quantile",0.75,647
"DE","05-14",2024-01-18,2024-01-21,1,"quantile",0.9,754
"DE","05-14",2024-01-18,2024-01-21,1,"quantile",0.975,886
