"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2024-05-16,2024-05-19,1,"quantile",0.025,7655
"DE","00+",2024-05-16,2024-05-19,1,"quantile",0.1,8368
"DE","00+",2024-05-16,2024-05-19,1,"quantile",0.25,9042
"DE","00+",2024-05-16,2024-05-19,1,"quantile",0.5,9832
"DE","00+",2024-05-16,2024-05-19,1,"quantile",0.75,10668
"DE","00+",2024-05-16,2024-05-19,1,"quantile",0.9,11458
"DE","00+",2024-05-16,2024-05-19,1,"quantile",0.975,12386
"DE","00+",2024-05-16,2024-05-19,1,"mean",NA,9881.39437753587
"DE","00+",2024-05-16,2024-05-26,2,"quantile",0.025,6863
"DE","00+",2024-05-16,2024-05-26,2,"quantile",0.1,7599
"DE","00+",2024-05-16,2024-05-26,2,"quantile",0.25,8302
"DE","00+",2024-05-16,2024-05-26,2,"quantile",0.5,9133
"DE","00+",2024-05-16,2024-05-26,2,"quantile",0.75,10016
"DE","00+",2024-05-16,2024-05-26,2,"quantile",0.9,10859
"DE","00+",2024-05-16,2024-05-26,2,"quantile",0.975,11853
"DE","00+",2024-05-16,2024-05-26,2,"mean",NA,9191.31764158844
"DE","00+",2024-05-16,2024-06-02,3,"quantile",0.025,6244
"DE","00+",2024-05-16,2024-06-02,3,"quantile",0.1,6985
"DE","00+",2024-05-16,2024-06-02,3,"quantile",0.25,7696
"DE","00+",2024-05-16,2024-06-02,3,"quantile",0.5,8542
"DE","00+",2024-05-16,2024-06-02,3,"quantile",0.75,9448
"DE","00+",2024-05-16,2024-06-02,3,"quantile",0.9,10315
"DE","00+",2024-05-16,2024-06-02,3,"quantile",0.975,11344
"DE","00+",2024-05-16,2024-06-02,3,"mean",NA,8607.6147475498
"DE","00+",2024-05-16,2024-06-09,4,"quantile",0.025,5757
"DE","00+",2024-05-16,2024-06-09,4,"quantile",0.1,6493
"DE","00+",2024-05-16,2024-06-09,4,"quantile",0.25,7203
"DE","00+",2024-05-16,2024-06-09,4,"quantile",0.5,8050
"DE","00+",2024-05-16,2024-06-09,4,"quantile",0.75,8962
"DE","00+",2024-05-16,2024-06-09,4,"quantile",0.9,9839
"DE","00+",2024-05-16,2024-06-09,4,"quantile",0.975,10883
"DE","00+",2024-05-16,2024-06-09,4,"mean",NA,8120.70124318151
