"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2024-08-22,2024-08-25,1,"quantile",0.025,7150
"DE","00+",2024-08-22,2024-08-25,1,"quantile",0.1,7810
"DE","00+",2024-08-22,2024-08-25,1,"quantile",0.25,8450
"DE","00+",2024-08-22,2024-08-25,1,"quantile",0.5,9190
"DE","00+",2024-08-22,2024-08-25,1,"quantile",0.75,9980
"DE","00+",2024-08-22,2024-08-25,1,"quantile",0.9,10730
"DE","00+",2024-08-22,2024-08-25,1,"quantile",0.975,11620
"DE","00+",2024-08-22,2024-08-25,1,"mean",NA,9247.309229638
"DE","00+",2024-08-22,2024-09-01,2,"quantile",0.025,6990
"DE","00+",2024-08-22,2024-09-01,2,"quantile",0.1,7750
"DE","00+",2024-08-22,2024-09-01,2,"quantile",0.25,8490
"DE","00+",2024-08-22,2024-09-01,2,"quantile",0.5,9350
"DE","00+",2024-08-22,2024-09-01,2,"quantile",0.75,10280
"DE","00+",2024-08-22,2024-09-01,2,"quantile",0.9,11170
"DE","00+",2024-08-22,2024-09-01,2,"quantile",0.975,12230
"DE","00+",2024-08-22,2024-09-01,2,"mean",NA,9426.04527436286
"DE","00+",2024-08-22,2024-09-08,3,"quantile",0.025,6930
"DE","00+",2024-08-22,2024-09-08,3,"quantile",0.1,7780
"DE","00+",2024-08-22,2024-09-08,3,"quantile",0.25,8610
"DE","00+",2024-08-22,2024-09-08,3,"quantile",0.5,9590
"DE","00+",2024-08-22,2024-09-08,3,"quantile",0.75,10650
"DE","00+",2024-08-22,2024-09-08,3,"quantile",0.9,11670
"DE","00+",2024-08-22,2024-09-08,3,"quantile",0.975,12890
"DE","00+",2024-08-22,2024-09-08,3,"mean",NA,9679.04315194482
"DE","00+",2024-08-22,2024-09-15,4,"quantile",0.025,6940
"DE","00+",2024-08-22,2024-09-15,4,"quantile",0.1,7880
"DE","00+",2024-08-22,2024-09-15,4,"quantile",0.25,8800
"DE","00+",2024-08-22,2024-09-15,4,"quantile",0.5,9900
"DE","00+",2024-08-22,2024-09-15,4,"quantile",0.75,11090
"DE","00+",2024-08-22,2024-09-15,4,"quantile",0.9,12240
"DE","00+",2024-08-22,2024-09-15,4,"quantile",0.975,13620
"DE","00+",2024-08-22,2024-09-15,4,"mean",NA,10001.2734199599
"DE","00-04",2024-08-22,2024-08-25,1,"quantile",0.025,400
"DE","00-04",2024-08-22,2024-08-25,1,"quantile",0.1,510
"DE","00-04",2024-08-22,2024-08-25,1,"quantile",0.25,610
"DE","00-04",2024-08-22,2024-08-25,1,"quantile",0.5,740
"DE","00-04",2024-08-22,2024-08-25,1,"quantile",0.75,890
"DE","00-04",2024-08-22,2024-08-25,1,"quantile",0.9,1040
"DE","00-04",2024-08-22,2024-08-25,1,"quantile",0.975,1230
"DE","00-04",2024-08-22,2024-08-25,1,"mean",NA,766.711684442802
"DE","00-04",2024-08-22,2024-09-01,2,"quantile",0.025,370
"DE","00-04",2024-08-22,2024-09-01,2,"quantile",0.1,490
"DE","00-04",2024-08-22,2024-09-01,2,"quantile",0.25,620
"DE","00-04",2024-08-22,2024-09-01,2,"quantile",0.5,790
"DE","00-04",2024-08-22,2024-09-01,2,"quantile",0.75,990
"DE","00-04",2024-08-22,2024-09-01,2,"quantile",0.9,1190
"DE","00-04",2024-08-22,2024-09-01,2,"quantile",0.975,1440
"DE","00-04",2024-08-22,2024-09-01,2,"mean",NA,825.68301771567
"DE","00-04",2024-08-22,2024-09-08,3,"quantile",0.025,350
"DE","00-04",2024-08-22,2024-09-08,3,"quantile",0.1,490
"DE","00-04",2024-08-22,2024-09-08,3,"quantile",0.25,640
"DE","00-04",2024-08-22,2024-09-08,3,"quantile",0.5,850
"DE","00-04",2024-08-22,2024-09-08,3,"quantile",0.75,1090
"DE","00-04",2024-08-22,2024-09-08,3,"quantile",0.9,1350
"DE","00-04",2024-08-22,2024-09-08,3,"quantile",0.975,1680
"DE","00-04",2024-08-22,2024-09-08,3,"mean",NA,895.876726760415
"DE","00-04",2024-08-22,2024-09-15,4,"quantile",0.025,330
"DE","00-04",2024-08-22,2024-09-15,4,"quantile",0.1,490
"DE","00-04",2024-08-22,2024-09-15,4,"quantile",0.25,670
"DE","00-04",2024-08-22,2024-09-15,4,"quantile",0.5,910
"DE","00-04",2024-08-22,2024-09-15,4,"quantile",0.75,1210
"DE","00-04",2024-08-22,2024-09-15,4,"quantile",0.9,1530
