"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2024-02-15,2024-02-11,0,"quantile",0.025,18980
"DE","00+",2024-02-15,2024-02-11,0,"quantile",0.1,20780
"DE","00+",2024-02-15,2024-02-11,0,"quantile",0.25,22500
"DE","00+",2024-02-15,2024-02-11,0,"quantile",0.5,24530
"DE","00+",2024-02-15,2024-02-11,0,"quantile",0.75,26690
"DE","00+",2024-02-15,2024-02-11,0,"quantile",0.9,28770
"DE","00+",2024-02-15,2024-02-11,0,"quantile",0.975,31230
"DE","00+",2024-02-15,2024-02-11,0,"mean",NA,24681.4379479786
"DE","00+",2024-02-15,2024-02-18,1,"quantile",0.025,17620
"DE","00+",2024-02-15,2024-02-18,1,"quantile",0.1,19610
"DE","00+",2024-02-15,2024-02-18,1,"quantile",0.25,21530
"DE","00+",2024-02-15,2024-02-18,1,"quantile",0.5,23810
"DE","00+",2024-02-15,2024-02-18,1,"quantile",0.75,26260
"DE","00+",2024-02-15,2024-02-18,1,"quantile",0.9,28630
"DE","00+",2024-02-15,2024-02-18,1,"quantile",0.975,31450
"DE","00+",2024-02-15,2024-02-18,1,"mean",NA,24004.4125869591
"DE","00+",2024-02-15,2024-02-25,2,"quantile",0.025,16320
"DE","00+",2024-02-15,2024-02-25,2,"quantile",0.1,18420
"DE","00+",2024-02-15,2024-02-25,2,"quantile",0.25,20460
"DE","00+",2024-02-15,2024-02-25,2,"quantile",0.5,22910
"DE","00+",2024-02-15,2024-02-25,2,"quantile",0.75,25550
"DE","00+",2024-02-15,2024-02-25,2,"quantile",0.9,28120
"DE","00+",2024-02-15,2024-02-25,2,"quantile",0.975,31210
"DE","00+",2024-02-15,2024-02-25,2,"mean",NA,23133.7451029283
"DE","00+",2024-02-15,2024-03-03,3,"quantile",0.025,15020
"DE","00+",2024-02-15,2024-03-03,3,"quantile",0.1,17170
"DE","00+",2024-02-15,2024-03-03,3,"quantile",0.25,19270
"DE","00+",2024-02-15,2024-03-03,3,"quantile",0.5,21810
"DE","00+",2024-02-15,2024-03-03,3,"quantile",0.75,24580
"DE","00+",2024-02-15,2024-03-03,3,"quantile",0.9,27270
"DE","00+",2024-02-15,2024-03-03,3,"quantile",0.975,30520
"DE","00+",2024-02-15,2024-03-03,3,"mean",NA,22066.3334753932
"DE","00+",2024-02-15,2024-03-10,4,"quantile",0.025,13740
"DE","00+",2024-02-15,2024-03-10,4,"quantile",0.1,15880
"DE","00+",2024-02-15,2024-03-10,4,"quantile",0.25,17990
"DE","00+",2024-02-15,2024-03-10,4,"quantile",0.5,20550
"DE","00+",2024-02-15,2024-03-10,4,"quantile",0.75,23360
"DE","00+",2024-02-15,2024-03-10,4,"quantile",0.9,26110
"DE","00+",2024-02-15,2024-03-10,4,"quantile",0.975,29450
"DE","00+",2024-02-15,2024-03-10,4,"mean",NA,20830.5465302057
"DE","00-04",2024-02-15,2024-02-18,0,"quantile",0.025,2450
"DE","00-04",2024-02-15,2024-02-18,0,"quantile",0.1,3030
"DE","00-04",2024-02-15,2024-02-18,0,"quantile",0.25,3630
"DE","00-04",2024-02-15,2024-02-18,0,"quantile",0.5,4390
"DE","00-04",2024-02-15,2024-02-18,0,"quantile",0.75,5250
"DE","00-04",2024-02-15,2024-02-18,0,"quantile",0.9,6110
"DE","00-04",2024-02-15,2024-02-18,0,"quantile",0.975,7180
"DE","00-04",2024-02-15,2024-02-18,0,"mean",NA,4506.23542061232
"DE","00-04",2024-02-15,2024-02-25,1,"quantile",0.025,2080
"DE","00-04",2024-02-15,2024-02-25,1,"quantile",0.1,2700
"DE","00-04",2024-02-15,2024-02-25,1,"quantile",0.25,3370
"DE","00-04",2024-02-15,2024-02-25,1,"quantile",0.5,4220
"DE","00-04",2024-02-15,2024-02-25,1,"quantile",0.75,5210
"DE","00-04",2024-02-15,2024-02-25,1,"quantile",0.9,6230
"DE","00-04",2024-02-15,2024-02-25,1,"quantile",0.975,7510
"DE","00-04",2024-02-15,2024-02-25,1,"mean",NA,4376.6592170901
"DE","00-04",2024-02-15,2024-03-03,2,"quantile",0.025,1770
"DE","00-04",2024-02-15,2024-03-03,2,"quantile",0.1,2410
"DE","00-04",2024-02-15,2024-03-03,2,"quantile",0.25,3110
"DE","00-04",2024-02-15,2024-03-03,2,"quantile",0.5,4030
"DE","00-04",2024-02-15,2024-03-03,2,"quantile",0.75,5130
"DE","00-04",2024-02-15,2024-03-03,2,"quantile",0.9,6260
"DE","00-04",2024-02-15,2024-03-03,2,"quantile",0.975,7720
"DE","00-04",2024-02-15,2024-03-03,2,"mean",NA,4222.68176363919
"DE","00-04",2024-02-15,2024-03-10,3,"quantile",0.025,1500
"DE","00-04",2024-02-15,2024-03-10,3,"quantile",0.1,2140
"DE","00-04",2024-02-15,2024-03-10,3,"quantile",0.25,2850
