"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2023-12-07,2023-12-10,1,"quantile",0.025,13010
"DE","00+",2023-12-07,2023-12-10,1,"quantile",0.1,14240
"DE","00+",2023-12-07,2023-12-10,1,"quantile",0.25,15410
"DE","00+",2023-12-07,2023-12-10,1,"quantile",0.5,16790
"DE","00+",2023-12-07,2023-12-10,1,"quantile",0.75,18270
"DE","00+",2023-12-07,2023-12-10,1,"quantile",0.9,19690
"DE","00+",2023-12-07,2023-12-10,1,"quantile",0.975,21370
"DE","00+",2023-12-07,2023-12-10,1,"mean",NA,16900.8944832131
"DE","00+",2023-12-07,2023-12-17,2,"quantile",0.025,13000
"DE","00+",2023-12-07,2023-12-17,2,"quantile",0.1,14460
"DE","00+",2023-12-07,2023-12-17,2,"quantile",0.25,15870
"DE","00+",2023-12-07,2023-12-17,2,"quantile",0.5,17560
"DE","00+",2023-12-07,2023-12-17,2,"quantile",0.75,19360
"DE","00+",2023-12-07,2023-12-17,2,"quantile",0.9,21110
"DE","00+",2023-12-07,2023-12-17,2,"quantile",0.975,23190
"DE","00+",2023-12-07,2023-12-17,2,"mean",NA,17701.4294715378
"DE","00+",2023-12-07,2023-12-24,3,"quantile",0.025,13010
"DE","00+",2023-12-07,2023-12-24,3,"quantile",0.1,14680
"DE","00+",2023-12-07,2023-12-24,3,"quantile",0.25,16310
"DE","00+",2023-12-07,2023-12-24,3,"quantile",0.5,18260
"DE","00+",2023-12-07,2023-12-24,3,"quantile",0.75,20380
"DE","00+",2023-12-07,2023-12-24,3,"quantile",0.9,22430
"DE","00+",2023-12-07,2023-12-24,3,"quantile",0.975,24900
"DE","00+",2023-12-07,2023-12-24,3,"mean",NA,18448.5606386257
"DE","00+",2023-12-07,2023-12-31,4,"quantile",0.025,12980
"DE","00+",2023-12-07,2023-12-31,4,"quantile",0.1,14850
"DE","00+",2023-12-07,2023-12-31,4,"quantile",0.25,16670
"DE","00+",2023-12-07,2023-12-31,4,"quantile",0.5,18880
"DE","00+",2023-12-07,2023-12-31,4,"quantile",0.75,21280
"DE","00+",2023-12-07,2023-12-31,4,"quantile",0.9,23630
"DE","00+",2023-12-07,2023-12-31,4,"quantile",0.975,26450
"DE","00+",2023-12-07,2023-12-31,4,"mean",NA,19103.0636250596
"DE","00-04",2023-12-07,2023-12-10,1,"quantile",0.025,2000
"DE","00-04",2023-12-07,2023-12-10,1,"quantile",0.1,2510
"DE","00-04",2023-12-07,2023-12-10,1,"quantile",0.25,3030
"DE","00-04",2023-12-07,2023-12-10,1,"quantile",0.5,3690
"DE","00-04",2023-12-07,2023-12-10,1,"quantile",0.75,4450
"DE","00-04",2023-12-07,2023-12-10,1,"quantile",0.9,5210
"DE","00-04",2023-12-07,2023-12-10,1,"quantile",0.975,6170
"DE","00-04",2023-12-07,2023-12-10,1,"mean",NA,3800.8742503943
"DE","00-04",2023-12-07,2023-12-17,2,"quantile",0.025,1800
"DE","00-04",2023-12-07,2023-12-17,2,"quantile",0.1,2380
"DE","00-04",2023-12-07,2023-12-17,2,"quantile",0.25,3000
"DE","00-04",2023-12-07,2023-12-17,2,"quantile",0.5,3820
"DE","00-04",2023-12-07,2023-12-17,2,"quantile",0.75,4770
"DE","00-04",2023-12-07,2023-12-17,2,"quantile",0.9,5760
"DE","00-04",2023-12-07,2023-12-17,2,"quantile",0.975,7010
"DE","00-04",2023-12-07,2023-12-17,2,"mean",NA,3977.85890974739
"DE","00-04",2023-12-07,2023-12-24,3,"quantile",0.025,1610
"DE","00-04",2023-12-07,2023-12-24,3,"quantile",0.1,2250
"DE","00-04",2023-12-07,2023-12-24,3,"quantile",0.25,2960
"DE","00-04",2023-12-07,2023-12-24,3,"quantile",0.5,3910
"DE","00-04",2023-12-07,2023-12-24,3,"quantile",0.75,5050
"DE","00-04",2023-12-07,2023-12-24,3,"quantile",0.9,6250
"DE","00-04",2023-12-07,2023-12-24,3,"quantile",0.975,7790
"DE","00-04",2023-12-07,2023-12-24,3,"mean",NA,4122.55435859616
"DE","00-04",2023-12-07,2023-12-31,4,"quantile",0.025,1440
"DE","00-04",2023-12-07,2023-12-31,4,"quantile",0.1,2120
"DE","00-04",2023-12-07,2023-12-31,4,"quantile",0.25,2890
