"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2024-06-27,2024-06-30,1,"quantile",0.025,6710
"DE","00+",2024-06-27,2024-06-30,1,"quantile",0.1,7260
"DE","00+",2024-06-27,2024-06-30,1,"quantile",0.25,7780
"DE","00+",2024-06-27,2024-06-30,1,"quantile",0.5,8400
"DE","00+",2024-06-27,2024-06-30,1,"quantile",0.75,9050
"DE","00+",2024-06-27,2024-06-30,1,"quantile",0.9,9660
"DE","00+",2024-06-27,2024-06-30,1,"quantile",0.975,10380
"DE","00+",2024-06-27,2024-06-30,1,"mean",NA,8441.26060006862
"DE","00+",2024-06-27,2024-07-07,2,"quantile",0.025,6250
"DE","00+",2024-06-27,2024-07-07,2,"quantile",0.1,6810
"DE","00+",2024-06-27,2024-07-07,2,"quantile",0.25,7350
"DE","00+",2024-06-27,2024-07-07,2,"quantile",0.5,7980
"DE","00+",2024-06-27,2024-07-07,2,"quantile",0.75,8640
"DE","00+",2024-06-27,2024-07-07,2,"quantile",0.9,9280
"DE","00+",2024-06-27,2024-07-07,2,"quantile",0.975,10030
"DE","00+",2024-06-27,2024-07-07,2,"mean",NA,8024.19467923052
"DE","00+",2024-06-27,2024-07-14,3,"quantile",0.025,5930
"DE","00+",2024-06-27,2024-07-14,3,"quantile",0.1,6500
"DE","00+",2024-06-27,2024-07-14,3,"quantile",0.25,7040
"DE","00+",2024-06-27,2024-07-14,3,"quantile",0.5,7670
"DE","00+",2024-06-27,2024-07-14,3,"quantile",0.75,8340
"DE","00+",2024-06-27,2024-07-14,3,"quantile",0.9,8990
"DE","00+",2024-06-27,2024-07-14,3,"quantile",0.975,9750
"DE","00+",2024-06-27,2024-07-14,3,"mean",NA,7719.4614184978
"DE","00+",2024-06-27,2024-07-21,4,"quantile",0.025,5710
"DE","00+",2024-06-27,2024-07-21,4,"quantile",0.1,6270
"DE","00+",2024-06-27,2024-07-21,4,"quantile",0.25,6810
"DE","00+",2024-06-27,2024-07-21,4,"quantile",0.5,7450
"DE","00+",2024-06-27,2024-07-21,4,"quantile",0.75,8130
"DE","00+",2024-06-27,2024-07-21,4,"quantile",0.9,8770
"DE","00+",2024-06-27,2024-07-21,4,"quantile",0.975,9540
"DE","00+",2024-06-27,2024-07-21,4,"mean",NA,7500.26503494559
"DE","00-04",2024-06-27,2024-06-30,1,"quantile",0.025,700
"DE","00-04",2024-06-27,2024-06-30,1,"quantile",0.1,830
"DE","00-04",2024-06-27,2024-06-30,1,"quantile",0.25,960
"DE","00-04",2024-06-27,2024-06-30,1,"quantile",0.5,1110
"DE","00-04",2024-06-27,2024-06-30,1,"quantile",0.75,1280
"DE","00-04",2024-06-27,2024-06-30,1,"quantile",0.9,1450
"DE","00-04",2024-06-27,2024-06-30,1,"quantile",0.975,1660
"DE","00-04",2024-06-27,2024-06-30,1,"mean",NA,1134.91727840575
"DE","00-04",2024-06-27,2024-07-07,2,"quantile",0.025,630
"DE","00-04",2024-06-27,2024-07-07,2,"quantile",0.1,770
"DE","00-04",2024-06-27,2024-07-07,2,"quantile",0.25,910
"DE","00-04",2024-06-27,2024-07-07,2,"quantile",0.5,1090
"DE","00-04",2024-06-27,2024-07-07,2,"quantile",0.75,1290
"DE","00-04",2024-06-27,2024-07-07,2,"quantile",0.9,1490
"DE","00-04",2024-06-27,2024-07-07,2,"quantile",0.975,1730
"DE","00-04",2024-06-27,2024-07-07,2,"mean",NA,1117.56842418383
"DE","00-04",2024-06-27,2024-07-14,3,"quantile",0.025,570
"DE","00-04",2024-06-27,2024-07-14,3,"quantile",0.1,720
"DE","00-04",2024-06-27,2024-07-14,3,"quantile",0.25,880
"DE","00-04",2024-06-27,2024-07-14,3,"quantile",0.5,1080
"DE","00-04",2024-06-27,2024-07-14,3,"quantile",0.75,1310
"DE","00-04",2024-06-27,2024-07-14,3,"quantile",0.9,1530
"DE","00-04",2024-06-27,2024-07-14,3,"quantile",0.975,1820
"DE","00-04",2024-06-27,2024-07-14,3,"mean",NA,1114.56076420427
"DE","00-04",2024-06-27,2024-07-21,4,"quantile",0.025,530
"DE","00-04",2024-06-27,2024-07-21,4,"quantile",0.1,690
"DE","00-04",2024-06-27,2024-07-21,4,"quantile",0.25,860
"DE","00-04",2024-06-27,2024-07-21,4,"quantile",0.5,1080
"DE","00-04",2024-06-27,2024-07-21,4,"quantile",0.75,1340
"DE","00-04",2024-06-27,2024-07-21,4,"quantile",0.9,1600
"DE","00-04",2024-06-27,2024-07-21,4,"quantile",0.975,1930
"DE","00-04",2024-06-27,2024-07-21,4,"mean",NA,1124.87757636186
"DE","05-14",2024-06-27,2024-06-30,1,"quantile",0.025,340
"DE","05-14",2024-06-27,2024-06-30,1,"quantile",0.1,460
