"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2024-07-11,2024-07-14,1,"quantile",0.025,6140
"DE","00+",2024-07-11,2024-07-14,1,"quantile",0.1,6703
"DE","00+",2024-07-11,2024-07-14,1,"quantile",0.25,7235
"DE","00+",2024-07-11,2024-07-14,1,"quantile",0.5,7858
"DE","00+",2024-07-11,2024-07-14,1,"quantile",0.75,8516
"DE","00+",2024-07-11,2024-07-14,1,"quantile",0.9,9139
"DE","00+",2024-07-11,2024-07-14,1,"quantile",0.975,9869
"DE","00+",2024-07-11,2024-07-14,1,"mean",NA,7896.46691639422
"DE","00+",2024-07-11,2024-07-21,2,"quantile",0.025,5805
"DE","00+",2024-07-11,2024-07-21,2,"quantile",0.1,6422
"DE","00+",2024-07-11,2024-07-21,2,"quantile",0.25,7010
"DE","00+",2024-07-11,2024-07-21,2,"quantile",0.5,7704
"DE","00+",2024-07-11,2024-07-21,2,"quantile",0.75,8442
"DE","00+",2024-07-11,2024-07-21,2,"quantile",0.9,9146
"DE","00+",2024-07-11,2024-07-21,2,"quantile",0.975,9976
"DE","00+",2024-07-11,2024-07-21,2,"mean",NA,7752.42603482168
"DE","00+",2024-07-11,2024-07-28,3,"quantile",0.025,5571
"DE","00+",2024-07-11,2024-07-28,3,"quantile",0.1,6229
"DE","00+",2024-07-11,2024-07-28,3,"quantile",0.25,6861
"DE","00+",2024-07-11,2024-07-28,3,"quantile",0.5,7612
"DE","00+",2024-07-11,2024-07-28,3,"quantile",0.75,8415
"DE","00+",2024-07-11,2024-07-28,3,"quantile",0.9,9185
"DE","00+",2024-07-11,2024-07-28,3,"quantile",0.975,10098
"DE","00+",2024-07-11,2024-07-28,3,"mean",NA,7669.80324838895
"DE","00+",2024-07-11,2024-08-04,4,"quantile",0.025,5412
"DE","00+",2024-07-11,2024-08-04,4,"quantile",0.1,6107
"DE","00+",2024-07-11,2024-08-04,4,"quantile",0.25,6777
"DE","00+",2024-07-11,2024-08-04,4,"quantile",0.5,7578
"DE","00+",2024-07-11,2024-08-04,4,"quantile",0.75,8439
"DE","00+",2024-07-11,2024-08-04,4,"quantile",0.9,9268
"DE","00+",2024-07-11,2024-08-04,4,"quantile",0.975,10254
"DE","00+",2024-07-11,2024-08-04,4,"mean",NA,7644.28999830823
"DE","00-04",2024-07-11,2024-07-14,1,"quantile",0.025,489
"DE","00-04",2024-07-11,2024-07-14,1,"quantile",0.1,609
"DE","00-04",2024-07-11,2024-07-14,1,"quantile",0.25,733
"DE","00-04",2024-07-11,2024-07-14,1,"quantile",0.5,889
"DE","00-04",2024-07-11,2024-07-14,1,"quantile",0.75,1066
"DE","00-04",2024-07-11,2024-07-14,1,"quantile",0.9,1244
