"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2024-02-29,2024-03-03,1,"quantile",0.025,14704
"DE","00+",2024-02-29,2024-03-03,1,"quantile",0.1,16048
"DE","00+",2024-02-29,2024-03-03,1,"quantile",0.25,17320
"DE","00+",2024-02-29,2024-03-03,1,"quantile",0.5,18810
"DE","00+",2024-02-29,2024-03-03,1,"quantile",0.75,20382
"DE","00+",2024-02-29,2024-03-03,1,"quantile",0.9,21870
"DE","00+",2024-02-29,2024-03-03,1,"quantile",0.975,23616
"DE","00+",2024-02-29,2024-03-03,1,"mean",NA,18900.7692635296
"DE","00+",2024-02-29,2024-03-10,2,"quantile",0.025,13286
"DE","00+",2024-02-29,2024-03-10,2,"quantile",0.1,14728
"DE","00+",2024-02-29,2024-03-10,2,"quantile",0.25,16104
"DE","00+",2024-02-29,2024-03-10,2,"quantile",0.5,17732
"DE","00+",2024-02-29,2024-03-10,2,"quantile",0.75,19466
"DE","00+",2024-02-29,2024-03-10,2,"quantile",0.9,21119
"DE","00+",2024-02-29,2024-03-10,2,"quantile",0.975,23072
"DE","00+",2024-02-29,2024-03-10,2,"mean",NA,17848.4413643599
"DE","00+",2024-02-29,2024-03-17,3,"quantile",0.025,11987
"DE","00+",2024-02-29,2024-03-17,3,"quantile",0.1,13464
"DE","00+",2024-02-29,2024-03-17,3,"quantile",0.25,14887
"DE","00+",2024-02-29,2024-03-17,3,"quantile",0.5,16582
"DE","00+",2024-02-29,2024-03-17,3,"quantile",0.75,18400
"DE","00+",2024-02-29,2024-03-17,3,"quantile",0.9,20146
"DE","00+",2024-02-29,2024-03-17,3,"quantile",0.975,22221
"DE","00+",2024-02-29,2024-03-17,3,"mean",NA,16717.6868001165
"DE","00+",2024-02-29,2024-03-24,4,"quantile",0.025,10793
"DE","00+",2024-02-29,2024-03-24,4,"quantile",0.1,12263
"DE","00+",2024-02-29,2024-03-24,4,"quantile",0.25,13687
"DE","00+",2024-02-29,2024-03-24,4,"quantile",0.5,15397
"DE","00+",2024-02-29,2024-03-24,4,"quantile",0.75,17243
"DE","00+",2024-02-29,2024-03-24,4,"quantile",0.9,19024
"DE","00+",2024-02-29,2024-03-24,4,"quantile",0.975,21153
"DE","00+",2024-02-29,2024-03-24,4,"mean",NA,15546.7572653915
"DE","00-04",2024-02-29,2024-03-03,1,"quantile",0.025,1686
"DE","00-04",2024-02-29,2024-03-03,1,"quantile",0.1,2104
"DE","00-04",2024-02-29,2024-03-03,1,"quantile",0.25,2533
"DE","00-04",2024-02-29,2024-03-03,1,"quantile",0.5,3076
"DE","00-04",2024-02-29,2024-03-03,1,"quantile",0.75,3692
"DE","00-04",2024-02-29,2024-03-03,1,"quantile",0.9,4310
"DE","00-04",2024-02-29,2024-03-03,1,"quantile",0.975,5077
"DE","00-04",2024-02-29,2024-03-03,1,"mean",NA,3155.83986788511
"DE","00-04",2024-02-29,2024-03-10,2,"quantile",0.025,1383
"DE","00-04",2024-02-29,2024-03-10,2,"quantile",0.1,1813
"DE","00-04",2024-02-29,2024-03-10,2,"quantile",0.25,2270
"DE","00-04",2024-02-29,2024-03-10,2,"quantile",0.5,2863
"DE","00-04",2024-02-29,2024-03-10,2,"quantile",0.75,3551
"DE","00-04",2024-02-29,2024-03-10,2,"quantile",0.9,4256
"DE","00-04",2024-02-29,2024-03-10,2,"quantile",0.975,5145
"DE","00-04",2024-02-29,2024-03-10,2,"mean",NA,2967.34228247049
"DE","00-04",2024-02-29,2024-03-17,3,"quantile",0.025,1139
"DE","00-04",2024-02-29,2024-03-17,3,"quantile",0.1,1566
"DE","00-04",2024-02-29,2024-03-17,3,"quantile",0.25,2033
"DE","00-04",2024-02-29,2024-03-17,3,"quantile",0.5,2654
"DE","00-04",2024-02-29,2024-03-17,3,"quantile",0.75,3392
"DE","00-04",2024-02-29,2024-03-17,3,"quantile",0.9,4160
"DE","00-04",2024-02-29,2024-03-17,3,"quantile",0.975,5142
"DE","00-04",2024-02-29,2024-03-17,3,"mean",NA,2781.10944794973
"DE","00-04",2024-02-29,2024-03-24,4,"quantile",0.025,937
"DE","00-04",2024-02-29,2024-03-24,4,"quantile",0.1,1350
"DE","00-04",2024-02-29,2024-03-24,4,"quantile",0.25,1816
"DE","00-04",2024-02-29,2024-03-24,4,"quantile",0.5,2450
"DE","00-04",2024-02-29,2024-03-24,4,"quantile",0.75,3218
"DE","00-04",2024-02-29,2024-03-24,4,"quantile",0.9,4031
"DE","00-04",2024-02-29,2024-03-24,4,"quantile",0.975,5084
"DE","00-04",2024-02-29,2024-03-24,4,"mean",NA,2596.21277171567
"DE","05-14",2024-02-29,2024-03-03,1,"quantile",0.025,360
"DE","05-14",2024-02-29,2024-03-03,1,"quantile",0.1,519
"DE","05-14",2024-02-29,2024-03-03,1,"quantile",0.25,700
"DE","05-14",2024-02-29,2024-03-03,1,"quantile",0.5,945
"DE","05-14",2024-02-29,2024-03-03,1,"quantile",0.75,1243
"DE","05-14",2024-02-29,2024-03-03,1,"quantile",0.9,1558
