"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2023-12-21,2023-12-24,1,"quantile",0.025,15900
"DE","00+",2023-12-21,2023-12-24,1,"quantile",0.1,17370
"DE","00+",2023-12-21,2023-12-24,1,"quantile",0.25,18770
"DE","00+",2023-12-21,2023-12-24,1,"quantile",0.5,20420
"DE","00+",2023-12-21,2023-12-24,1,"quantile",0.75,22170
"DE","00+",2023-12-21,2023-12-24,1,"quantile",0.9,23830
"DE","00+",2023-12-21,2023-12-24,1,"quantile",0.975,25790
"DE","00+",2023-12-21,2023-12-24,1,"mean",NA,20536.9847223615
"DE","00+",2023-12-21,2023-12-31,2,"quantile",0.025,15690
"DE","00+",2023-12-21,2023-12-31,2,"quantile",0.1,17440
"DE","00+",2023-12-21,2023-12-31,2,"quantile",0.25,19110
"DE","00+",2023-12-21,2023-12-31,2,"quantile",0.5,21100
"DE","00+",2023-12-21,2023-12-31,2,"quantile",0.75,23230
"DE","00+",2023-12-21,2023-12-31,2,"quantile",0.9,25270
"DE","00+",2023-12-21,2023-12-31,2,"quantile",0.975,27690
"DE","00+",2023-12-21,2023-12-31,2,"mean",NA,21258.3025739938
"DE","00+",2023-12-21,2024-01-07,3,"quantile",0.025,15470
"DE","00+",2023-12-21,2024-01-07,3,"quantile",0.1,17440
"DE","00+",2023-12-21,2024-01-07,3,"quantile",0.25,19350
"DE","00+",2023-12-21,2024-01-07,3,"quantile",0.5,21640
"DE","00+",2023-12-21,2024-01-07,3,"quantile",0.75,24110
"DE","00+",2023-12-21,2024-01-07,3,"quantile",0.9,26490
"DE","00+",2023-12-21,2024-01-07,3,"quantile",0.975,29340
"DE","00+",2023-12-21,2024-01-07,3,"mean",NA,21846.9481510999
"DE","00+",2023-12-21,2024-01-14,4,"quantile",0.025,15190
"DE","00+",2023-12-21,2024-01-14,4,"quantile",0.1,17360
"DE","00+",2023-12-21,2024-01-14,4,"quantile",0.25,19470
"DE","00+",2023-12-21,2024-01-14,4,"quantile",0.5,22020
"DE","00+",2023-12-21,2024-01-14,4,"quantile",0.75,24790
"DE","00+",2023-12-21,2024-01-14,4,"quantile",0.9,27480
"DE","00+",2023-12-21,2024-01-14,4,"quantile",0.975,30710
"DE","00+",2023-12-21,2024-01-14,4,"mean",NA,22270.4906299254
"DE","00-04",2023-12-21,2023-12-24,1,"quantile",0.025,2660
"DE","00-04",2023-12-21,2023-12-24,1,"quantile",0.1,3330
"DE","00-04",2023-12-21,2023-12-24,1,"quantile",0.25,4020
"DE","00-04",2023-12-21,2023-12-24,1,"quantile",0.5,4900
"DE","00-04",2023-12-21,2023-12-24,1,"quantile",0.75,5900
"DE","00-04",2023-12-21,2023-12-24,1,"quantile",0.9,6900
"DE","00-04",2023-12-21,2023-12-24,1,"quantile",0.975,8150
"DE","00-04",2023-12-21,2023-12-24,1,"mean",NA,5038.03436806961
"DE","00-04",2023-12-21,2023-12-31,2,"quantile",0.025,2350
"DE","00-04",2023-12-21,2023-12-31,2,"quantile",0.1,3110
"DE","00-04",2023-12-21,2023-12-31,2,"quantile",0.25,3920
"DE","00-04",2023-12-21,2023-12-31,2,"quantile",0.5,4980
"DE","00-04",2023-12-21,2023-12-31,2,"quantile",0.75,6210
"DE","00-04",2023-12-21,2023-12-31,2,"quantile",0.9,7480
"DE","00-04",2023-12-21,2023-12-31,2,"quantile",0.975,9090
"DE","00-04",2023-12-21,2023-12-31,2,"mean",NA,5174.57462796464
"DE","00-04",2023-12-21,2024-01-07,3,"quantile",0.025,2080
"DE","00-04",2023-12-21,2024-01-07,3,"quantile",0.1,2890
"DE","00-04",2023-12-21,2024-01-07,3,"quantile",0.25,3790
"DE","00-04",2023-12-21,2024-01-07,3,"quantile",0.5,5000
"DE","00-04",2023-12-21,2024-01-07,3,"quantile",0.75,6440
"DE","00-04",2023-12-21,2024-01-07,3,"quantile",0.9,7950
"DE","00-04",2023-12-21,2024-01-07,3,"quantile",0.975,9890
"DE","00-04",2023-12-21,2024-01-07,3,"mean",NA,5259.34876822877
"DE","00-04",2023-12-21,2024-01-14,4,"quantile",0.025,1820
"DE","00-04",2023-12-21,2024-01-14,4,"quantile",0.1,2670
"DE","00-04",2023-12-21,2024-01-14,4,"quantile",0.25,3630
"DE","00-04",2023-12-21,2024-01-14,4,"quantile",0.5,4960
"DE","00-04",2023-12-21,2024-01-14,4,"quantile",0.75,6580
"DE","00-04",2023-12-21,2024-01-14,4,"quantile",0.9,8310
"DE","00-04",2023-12-21,2024-01-14,4,"quantile",0.975,10560
"DE","00-04",2023-12-21,2024-01-14,4,"mean",NA,5286.84387065538
"DE","05-14",2023-12-21,2023-12-24,1,"quantile",0.025,300
"DE","05-14",2023-12-21,2023-12-24,1,"quantile",0.1,440
"DE","05-14",2023-12-21,2023-12-24,1,"quantile",0.25,600
"DE","05-14",2023-12-21,2023-12-24,1,"quantile",0.5,810
"DE","05-14",2023-12-21,2023-12-24,1,"quantile",0.75,1070
"DE","05-14",2023-12-21,2023-12-24,1,"quantile",0.9,1350
"DE","05-14",2023-12-21,2023-12-24,1,"quantile",0.975,1710
"DE","05-14",2023-12-21,2023-12-24,1,"mean",NA,868.078345640312
"DE","05-14",2023-12-21,2023-12-31,2,"quantile",0.025,230
"DE","05-14",2023-12-21,2023-12-31,2,"quantile",0.1,370
"DE","05-14",2023-12-21,2023-12-31,2,"quantile",0.25,550
"DE","05-14",2023-12-21,2023-12-31,2,"quantile",0.5,810
"DE","05-14",2023-12-21,2023-12-31,2,"quantile",0.75,1130
"DE","05-14",2023-12-21,2023-12-31,2,"quantile",0.9,1490
"DE","05-14",2023-12-21,2023-12-31,2,"quantile",0.975,1970
"DE","05-14",2023-12-21,2023-12-31,2,"mean",NA,889.263842327659
"DE","05-14",2023-12-21,2024-01-07,3,"quantile",0.025,170
"DE","05-14",2023-12-21,2024-01-07,3,"quantile",0.1,320
"DE","05-14",2023-12-21,2024-01-07,3,"quantile",0.25,510
"DE","05-14",2023-12-21,2024-01-07,3,"quantile",0.5,800
