"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2024-05-30,2024-05-26,0,"quantile",0.025,7400
"DE","00+",2024-05-30,2024-05-26,0,"quantile",0.1,8090
"DE","00+",2024-05-30,2024-05-26,0,"quantile",0.25,8740
"DE","00+",2024-05-30,2024-05-26,0,"quantile",0.5,9500
"DE","00+",2024-05-30,2024-05-26,0,"quantile",0.75,10310
"DE","00+",2024-05-30,2024-05-26,0,"quantile",0.9,11080
"DE","00+",2024-05-30,2024-05-26,0,"quantile",0.975,11990
"DE","00+",2024-05-30,2024-05-26,0,"mean",NA,9557.60323235603
"DE","00+",2024-05-30,2024-06-02,1,"quantile",0.025,6680
"DE","00+",2024-05-30,2024-06-02,1,"quantile",0.1,7390
"DE","00+",2024-05-30,2024-06-02,1,"quantile",0.25,8070
"DE","00+",2024-05-30,2024-06-02,1,"quantile",0.5,8880
"DE","00+",2024-05-30,2024-06-02,1,"quantile",0.75,9740
"DE","00+",2024-05-30,2024-06-02,1,"quantile",0.9,10560
"DE","00+",2024-05-30,2024-06-02,1,"quantile",0.975,11530
"DE","00+",2024-05-30,2024-06-02,1,"mean",NA,8942.03608537752
"DE","00+",2024-05-30,2024-06-09,2,"quantile",0.025,6120
"DE","00+",2024-05-30,2024-06-09,2,"quantile",0.1,6840
"DE","00+",2024-05-30,2024-06-09,2,"quantile",0.25,7530
"DE","00+",2024-05-30,2024-06-09,2,"quantile",0.5,8360
"DE","00+",2024-05-30,2024-06-09,2,"quantile",0.75,9240
"DE","00+",2024-05-30,2024-06-09,2,"quantile",0.9,10080
"DE","00+",2024-05-30,2024-06-09,2,"quantile",0.975,11090
"DE","00+",2024-05-30,2024-06-09,2,"mean",NA,8426.88467448856
"DE","00+",2024-05-30,2024-06-16,3,"quantile",0.025,5680
"DE","00+",2024-05-30,2024-06-16,3,"quantile",0.1,6400
"DE","00+",2024-05-30,2024-06-16,3,"quantile",0.25,7090
"DE","00+",2024-05-30,2024-06-16,3,"quantile",0.5,7920
"DE","00+",2024-05-30,2024-06-16,3,"quantile",0.75,8810
"DE","00+",2024-05-30,2024-06-16,3,"quantile",0.9,9670
"DE","00+",2024-05-30,2024-06-16,3,"quantile",0.975,10690
"DE","00+",2024-05-30,2024-06-16,3,"mean",NA,7993.96355386515
"DE","00+",2024-05-30,2024-06-23,4,"quantile",0.025,5340
"DE","00+",2024-05-30,2024-06-23,4,"quantile",0.1,6060
"DE","00+",2024-05-30,2024-06-23,4,"quantile",0.25,6750
"DE","00+",2024-05-30,2024-06-23,4,"quantile",0.5,7580
"DE","00+",2024-05-30,2024-06-23,4,"quantile",0.75,8470
"DE","00+",2024-05-30,2024-06-23,4,"quantile",0.9,9340
"DE","00+",2024-05-30,2024-06-23,4,"quantile",0.975,10370
"DE","00+",2024-05-30,2024-06-23,4,"mean",NA,7654.44186604502
"DE","00-04",2024-05-30,2024-05-26,0,"quantile",0.025,540
"DE","00-04",2024-05-30,2024-05-26,0,"quantile",0.1,680
"DE","00-04",2024-05-30,2024-05-26,0,"quantile",0.25,820
"DE","00-04",2024-05-30,2024-05-26,0,"quantile",0.5,1000
"DE","00-04",2024-05-30,2024-05-26,0,"quantile",0.75,1200
"DE","00-04",2024-05-30,2024-05-26,0,"quantile",0.9,1400
"DE","00-04",2024-05-30,2024-05-26,0,"quantile",0.975,1650
"DE","00-04",2024-05-30,2024-05-26,0,"mean",NA,1028.71168724333
"DE","00-04",2024-05-30,2024-06-02,1,"quantile",0.025,460
