"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2024-05-16,2024-05-19,1,"quantile",0.025,7415.87179487179
"DE","00+",2024-05-16,2024-05-19,1,"quantile",0.1,8095.64102564103
"DE","00+",2024-05-16,2024-05-19,1,"quantile",0.25,8738.35897435897
"DE","00+",2024-05-16,2024-05-19,1,"quantile",0.5,9491.4358974359
"DE","00+",2024-05-16,2024-05-19,1,"quantile",0.75,10286.6923076923
"DE","00+",2024-05-16,2024-05-19,1,"quantile",0.9,11038.8205128205
"DE","00+",2024-05-16,2024-05-19,1,"quantile",0.975,11921.0512820513
"DE","00+",2024-05-16,2024-05-19,1,"mean",NA,9537.56847803283
"DE","00+",2024-05-16,2024-05-26,2,"quantile",0.025,6671.07692307692
"DE","00+",2024-05-16,2024-05-26,2,"quantile",0.1,7375.41025641026
"DE","00+",2024-05-16,2024-05-26,2,"quantile",0.25,8046.84615384615
"DE","00+",2024-05-16,2024-05-26,2,"quantile",0.5,8839.4358974359
"DE","00+",2024-05-16,2024-05-26,2,"quantile",0.75,9682.33333333333
"DE","00+",2024-05-16,2024-05-26,2,"quantile",0.9,10484.8717948718
"DE","00+",2024-05-16,2024-05-26,2,"quantile",0.975,11432.1025641026
"DE","00+",2024-05-16,2024-05-26,2,"mean",NA,8894.64771764413
"DE","00+",2024-05-16,2024-06-02,3,"quantile",0.025,6091.33333333333
"DE","00+",2024-05-16,2024-06-02,3,"quantile",0.1,6801.51282051282
"DE","00+",2024-05-16,2024-06-02,3,"quantile",0.25,7482.71794871795
"DE","00+",2024-05-16,2024-06-02,3,"quantile",0.5,8291.69230769231
"DE","00+",2024-05-16,2024-06-02,3,"quantile",0.75,9156.69230769231
"DE","00+",2024-05-16,2024-06-02,3,"quantile",0.9,9984.46153846154
"DE","00+",2024-05-16,2024-06-02,3,"quantile",0.975,10965.9230769231
"DE","00+",2024-05-16,2024-06-02,3,"mean",NA,8353.33419904935
"DE","00+",2024-05-16,2024-06-09,4,"quantile",0.025,5637.61538461538
"DE","00+",2024-05-16,2024-06-09,4,"quantile",0.1,6344.25641025641
"DE","00+",2024-05-16,2024-06-09,4,"quantile",0.25,7025.38461538462
"DE","00+",2024-05-16,2024-06-09,4,"quantile",0.5,7837.71794871795
"DE","00+",2024-05-16,2024-06-09,4,"quantile",0.75,8710.38461538462
"DE","00+",2024-05-16,2024-06-09,4,"quantile",0.9,9548.58974358974
"DE","00+",2024-05-16,2024-06-09,4,"quantile",0.975,10545.9487179487
"DE","00+",2024-05-16,2024-06-09,4,"mean",NA,7903.9266787378
"DE","00-04",2024-05-16,2024-05-19,1,"quantile",0.025,742.128205128205
"DE","00-04",2024-05-16,2024-05-19,1,"quantile",0.1,925.179487179487
"DE","00-04",2024-05-16,2024-05-19,1,"quantile",0.25,1113.28205128205
"DE","00-04",2024-05-16,2024-05-19,1,"quantile",0.5,1350.74358974359
