"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2024-08-15,2024-08-18,1,"mean",NA,16488
"DE","00+",2024-08-15,2024-08-18,1,"quantile",0.025,7501
"DE","00+",2024-08-15,2024-08-18,1,"quantile",0.1,8045
"DE","00+",2024-08-15,2024-08-18,1,"quantile",0.25,8553
"DE","00+",2024-08-15,2024-08-18,1,"quantile",0.5,9143
"DE","00+",2024-08-15,2024-08-18,1,"quantile",0.75,9758
"DE","00+",2024-08-15,2024-08-18,1,"quantile",0.9,10336
"DE","00+",2024-08-15,2024-08-18,1,"quantile",0.975,11006
"DE","00+",2024-08-15,2024-08-25,2,"mean",NA,17402
"DE","00+",2024-08-15,2024-08-25,2,"quantile",0.025,7569
"DE","00+",2024-08-15,2024-08-25,2,"quantile",0.1,8092
"DE","00+",2024-08-15,2024-08-25,2,"quantile",0.25,8580
"DE","00+",2024-08-15,2024-08-25,2,"quantile",0.5,9145
"DE","00+",2024-08-15,2024-08-25,2,"quantile",0.75,9734
"DE","00+",2024-08-15,2024-08-25,2,"quantile",0.9,10286
"DE","00+",2024-08-15,2024-08-25,2,"quantile",0.975,10925
"DE","00+",2024-08-15,2024-09-01,3,"mean",NA,17901
"DE","00+",2024-08-15,2024-09-01,3,"quantile",0.025,7118
"DE","00+",2024-08-15,2024-09-01,3,"quantile",0.1,7776
"DE","00+",2024-08-15,2024-09-01,3,"quantile",0.25,8398
"DE","00+",2024-08-15,2024-09-01,3,"quantile",0.5,9127
"DE","00+",2024-08-15,2024-09-01,3,"quantile",0.75,9897
"DE","00+",2024-08-15,2024-09-01,3,"quantile",0.9,10625
"DE","00+",2024-08-15,2024-09-01,3,"quantile",0.975,11480
"DE","00-04",2024-08-15,2024-08-18,1,"mean",NA,1219
"DE","00-04",2024-08-15,2024-08-18,1,"quantile",0.025,546
"DE","00-04",2024-08-15,2024-08-18,1,"quantile",0.1,589
"DE","00-04",2024-08-15,2024-08-18,1,"quantile",0.25,629
"DE","00-04",2024-08-15,2024-08-18,1,"quantile",0.5,676
"DE","00-04",2024-08-15,2024-08-18,1,"quantile",0.75,725
"DE","00-04",2024-08-15,2024-08-18,1,"quantile",0.9,770
"DE","00-04",2024-08-15,2024-08-18,1,"quantile",0.975,823
"DE","00-04",2024-08-15,2024-08-25,2,"mean",NA,1219
"DE","00-04",2024-08-15,2024-08-25,2,"quantile",0.025,551
"DE","00-04",2024-08-15,2024-08-25,2,"quantile",0.1,592
"DE","00-04",2024-08-15,2024-08-25,2,"quantile",0.25,631
"DE","00-04",2024-08-15,2024-08-25,2,"quantile",0.5,676
"DE","00-04",2024-08-15,2024-08-25,2,"quantile",0.75,723
"DE","00-04",2024-08-15,2024-08-25,2,"quantile",0.9,767
"DE","00-04",2024-08-15,2024-08-25,2,"quantile",0.975,818
"DE","00-04",2024-08-15,2024-09-01,3,"mean",NA,1271
"DE","00-04",2024-08-15,2024-09-01,3,"quantile",0.025,520
"DE","00-04",2024-08-15,2024-09-01,3,"quantile",0.1,570
"DE","00-04",2024-08-15,2024-09-01,3,"quantile",0.25,618
"DE","00-04",2024-08-15,2024-09-01,3,"quantile",0.5,675
"DE","00-04",2024-08-15,2024-09-01,3,"quantile",0.75,734
"DE","00-04",2024-08-15,2024-09-01,3,"quantile",0.9,791
"DE","00-04",2024-08-15,2024-09-01,3,"quantile",0.975,857
"DE","05-14",2024-08-15,2024-08-18,1,"mean",NA,811
"DE","05-14",2024-08-15,2024-08-18,1,"quantile",0.025,360
"DE","05-14",2024-08-15,2024-08-18,1,"quantile",0.1,390
