"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2024-05-09,2024-05-12,1,"quantile",0.025,9160
"DE","00+",2024-05-09,2024-05-12,1,"quantile",0.1,10000
"DE","00+",2024-05-09,2024-05-12,1,"quantile",0.25,10800
"DE","00+",2024-05-09,2024-05-12,1,"quantile",0.5,11760
"DE","00+",2024-05-09,2024-05-12,1,"quantile",0.75,12780
"DE","00+",2024-05-09,2024-05-12,1,"quantile",0.9,13760
"DE","00+",2024-05-09,2024-05-12,1,"quantile",0.975,14920
"DE","00+",2024-05-09,2024-05-12,1,"mean",NA,11835.9477608204
"DE","00+",2024-05-09,2024-05-19,2,"quantile",0.025,7370
"DE","00+",2024-05-09,2024-05-19,2,"quantile",0.1,8390
"DE","00+",2024-05-09,2024-05-19,2,"quantile",0.25,9360
"DE","00+",2024-05-09,2024-05-19,2,"quantile",0.5,10510
"DE","00+",2024-05-09,2024-05-19,2,"quantile",0.75,11740
"DE","00+",2024-05-09,2024-05-19,2,"quantile",0.9,12920
"DE","00+",2024-05-09,2024-05-19,2,"quantile",0.975,14340
"DE","00+",2024-05-09,2024-05-19,2,"mean",NA,10604.4515529129
"DE","00+",2024-05-09,2024-05-26,3,"quantile",0.025,6300
"DE","00+",2024-05-09,2024-05-26,3,"quantile",0.1,7310
"DE","00+",2024-05-09,2024-05-26,3,"quantile",0.25,8300
"DE","00+",2024-05-09,2024-05-26,3,"quantile",0.5,9510
"DE","00+",2024-05-09,2024-05-26,3,"quantile",0.75,10830
"DE","00+",2024-05-09,2024-05-26,3,"quantile",0.9,12110
"DE","00+",2024-05-09,2024-05-26,3,"quantile",0.975,13670
"DE","00+",2024-05-09,2024-05-26,3,"mean",NA,9637.42511345185
"DE","00+",2024-05-09,2024-06-02,4,"quantile",0.025,5620
"DE","00+",2024-05-09,2024-06-02,4,"quantile",0.1,6570
"DE","00+",2024-05-09,2024-06-02,4,"quantile",0.25,7520
"DE","00+",2024-05-09,2024-06-02,4,"quantile",0.5,8700
"DE","00+",2024-05-09,2024-06-02,4,"quantile",0.75,10020
"DE","00+",2024-05-09,2024-06-02,4,"quantile",0.9,11330
"DE","00+",2024-05-09,2024-06-02,4,"quantile",0.975,12950
"DE","00+",2024-05-09,2024-06-02,4,"mean",NA,8855.73214742399
