"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2024-01-25,2024-01-28,1,"quantile",0.025,18270
"DE","00+",2024-01-25,2024-01-28,1,"quantile",0.1,18890
"DE","00+",2024-01-25,2024-01-28,1,"quantile",0.25,19520
"DE","00+",2024-01-25,2024-01-28,1,"quantile",0.5,20450
"DE","00+",2024-01-25,2024-01-28,1,"quantile",0.75,21480
"DE","00+",2024-01-25,2024-01-28,1,"quantile",0.9,22440
"DE","00+",2024-01-25,2024-01-28,1,"quantile",0.975,23400
"DE","00+",2024-01-25,2024-01-28,1,"mean",NA,20561.9198412814
"DE","00+",2024-01-25,2024-02-04,2,"quantile",0.025,17800
"DE","00+",2024-01-25,2024-02-04,2,"quantile",0.1,18380
"DE","00+",2024-01-25,2024-02-04,2,"quantile",0.25,18920
"DE","00+",2024-01-25,2024-02-04,2,"quantile",0.5,19810
"DE","00+",2024-01-25,2024-02-04,2,"quantile",0.75,20810
"DE","00+",2024-01-25,2024-02-04,2,"quantile",0.9,21670
"DE","00+",2024-01-25,2024-02-04,2,"quantile",0.975,22480
"DE","00+",2024-01-25,2024-02-04,2,"mean",NA,19915.9970490857
"DE","00+",2024-01-25,2024-02-11,3,"quantile",0.025,17360
"DE","00+",2024-01-25,2024-02-11,3,"quantile",0.1,17900
"DE","00+",2024-01-25,2024-02-11,3,"quantile",0.25,18370
"DE","00+",2024-01-25,2024-02-11,3,"quantile",0.5,19220
"DE","00+",2024-01-25,2024-02-11,3,"quantile",0.75,20190
"DE","00+",2024-01-25,2024-02-11,3,"quantile",0.9,20970
"DE","00+",2024-01-25,2024-02-11,3,"quantile",0.975,21650
"DE","00+",2024-01-25,2024-02-11,3,"mean",NA,19321.3073718964
"DE","00+",2024-01-25,2024-02-18,4,"quantile",0.025,16940
"DE","00+",2024-01-25,2024-02-18,4,"quantile",0.1,17420
"DE","00+",2024-01-25,2024-02-18,4,"quantile",0.25,17880
"DE","00+",2024-01-25,2024-02-18,4,"quantile",0.5,18670
"DE","00+",2024-01-25,2024-02-18,4,"quantile",0.75,19610
"DE","00+",2024-01-25,2024-02-18,4,"quantile",0.9,20330
"DE","00+",2024-01-25,2024-02-18,4,"quantile",0.975,20920
"DE","00+",2024-01-25,2024-02-18,4,"mean",NA,18772.9031946424
"DE","00-04",2024-01-25,2024-01-28,1,"quantile",0.025,4140
"DE","00-04",2024-01-25,2024-01-28,1,"quantile",0.1,4280
"DE","00-04",2024-01-25,2024-01-28,1,"quantile",0.25,4430
"DE","00-04",2024-01-25,2024-01-28,1,"quantile",0.5,4640
"DE","00-04",2024-01-25,2024-01-28,1,"quantile",0.75,4850
"DE","00-04",2024-01-25,2024-01-28,1,"quantile",0.9,5050
"DE","00-04",2024-01-25,2024-01-28,1,"quantile",0.975,5330
"DE","00-04",2024-01-25,2024-01-28,1,"mean",NA,4660.19747280164
"DE","00-04",2024-01-25,2024-02-04,2,"quantile",0.025,3980
"DE","00-04",2024-01-25,2024-02-04,2,"quantile",0.1,4120
"DE","00-04",2024-01-25,2024-02-04,2,"quantile",0.25,4260
"DE","00-04",2024-01-25,2024-02-04,2,"quantile",0.5,4460
"DE","00-04",2024-01-25,2024-02-04,2,"quantile",0.75,4660
"DE","00-04",2024-01-25,2024-02-04,2,"quantile",0.9,4810
"DE","00-04",2024-01-25,2024-02-04,2,"quantile",0.975,5090
"DE","00-04",2024-01-25,2024-02-04,2,"mean",NA,4475.43705174586
"DE","00-04",2024-01-25,2024-02-11,3,"quantile",0.025,3810
"DE","00-04",2024-01-25,2024-02-11,3,"quantile",0.1,3950
"DE","00-04",2024-01-25,2024-02-11,3,"quantile",0.25,4100
"DE","00-04",2024-01-25,2024-02-11,3,"quantile",0.5,4300
"DE","00-04",2024-01-25,2024-02-11,3,"quantile",0.75,4500
"DE","00-04",2024-01-25,2024-02-11,3,"quantile",0.9,4640
"DE","00-04",2024-01-25,2024-02-11,3,"quantile",0.975,4910
"DE","00-04",2024-01-25,2024-02-11,3,"mean",NA,4311.2569872882
"DE","00-04",2024-01-25,2024-02-18,4,"quantile",0.025,3640
"DE","00-04",2024-01-25,2024-02-18,4,"quantile",0.1,3790
"DE","00-04",2024-01-25,2024-02-18,4,"quantile",0.25,3940
"DE","00-04",2024-01-25,2024-02-18,4,"quantile",0.5,4160
"DE","00-04",2024-01-25,2024-02-18,4,"quantile",0.75,4370
"DE","00-04",2024-01-25,2024-02-18,4,"quantile",0.9,4510
"DE","00-04",2024-01-25,2024-02-18,4,"quantile",0.975,4750
"DE","00-04",2024-01-25,2024-02-18,4,"mean",NA,4164.55058387009
"DE","05-14",2024-01-25,2024-01-28,1,"quantile",0.025,920
"DE","05-14",2024-01-25,2024-01-28,1,"quantile",0.1,950
"DE","05-14",2024-01-25,2024-01-28,1,"quantile",0.25,990
"DE","05-14",2024-01-25,2024-01-28,1,"quantile",0.5,1030
"DE","05-14",2024-01-25,2024-01-28,1,"quantile",0.75,1080
"DE","05-14",2024-01-25,2024-01-28,1,"quantile",0.9,1120
"DE","05-14",2024-01-25,2024-01-28,1,"quantile",0.975,1170
"DE","05-14",2024-01-25,2024-01-28,1,"mean",NA,1040.51269527314
"DE","05-14",2024-01-25,2024-02-04,2,"quantile",0.025,850
"DE","05-14",2024-01-25,2024-02-04,2,"quantile",0.1,880
"DE","05-14",2024-01-25,2024-02-04,2,"quantile",0.25,920
"DE","05-14",2024-01-25,2024-02-04,2,"quantile",0.5,960
"DE","05-14",2024-01-25,2024-02-04,2,"quantile",0.75,1000
"DE","05-14",2024-01-25,2024-02-04,2,"quantile",0.9,1040
"DE","05-14",2024-01-25,2024-02-04,2,"quantile",0.975,1090
"DE","05-14",2024-01-25,2024-02-04,2,"mean",NA,964.675861335091
"DE","05-14",2024-01-25,2024-02-11,3,"quantile",0.025,790
"DE","05-14",2024-01-25,2024-02-11,3,"quantile",0.1,830
"DE","05-14",2024-01-25,2024-02-11,3,"quantile",0.25,860
"DE","05-14",2024-01-25,2024-02-11,3,"quantile",0.5,890
"DE","05-14",2024-01-25,2024-02-11,3,"quantile",0.75,930
"DE","05-14",2024-01-25,2024-02-11,3,"quantile",0.9,970
"DE","05-14",2024-01-25,2024-02-11,3,"quantile",0.975,1010
"DE","05-14",2024-01-25,2024-02-11,3,"mean",NA,901.331168666654
"DE","05-14",2024-01-25,2024-02-18,4,"quantile",0.025,740
"DE","05-14",2024-01-25,2024-02-18,4,"quantile",0.1,770
"DE","05-14",2024-01-25,2024-02-18,4,"quantile",0.25,810
"DE","05-14",2024-01-25,2024-02-18,4,"quantile",0.5,840
"DE","05-14",2024-01-25,2024-02-18,4,"quantile",0.75,880
"DE","05-14",2024-01-25,2024-02-18,4,"quantile",0.9,910
"DE","05-14",2024-01-25,2024-02-18,4,"quantile",0.975,950
"DE","05-14",2024-01-25,2024-02-18,4,"mean",NA,848.031744400454
