location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-08-01,2024-08-04,1,quantile,0.025,4327.0
DE,00+,2024-08-01,2024-08-04,1,quantile,0.1,4815.0
DE,00+,2024-08-01,2024-08-04,1,quantile,0.25,5281.0
DE,00+,2024-08-01,2024-08-04,1,quantile,0.5,5834.0
DE,00+,2024-08-01,2024-08-04,1,quantile,0.75,6424.0
DE,00+,2024-08-01,2024-08-04,1,quantile,0.9,6987.0
DE,00+,2024-08-01,2024-08-04,1,quantile,0.975,7654.0
DE,00+,2024-08-01,2024-08-11,2,quantile,0.025,4163.0
DE,00+,2024-08-01,2024-08-11,2,quantile,0.1,4722.0
DE,00+,2024-08-01,2024-08-11,2,quantile,0.25,5263.0
DE,00+,2024-08-01,2024-08-11,2,quantile,0.5,5911.0
DE,00+,2024-08-01,2024-08-11,2,quantile,0.75,6610.0
DE,00+,2024-08-01,2024-08-11,2,quantile,0.9,7284.0
DE,00+,2024-08-01,2024-08-11,2,quantile,0.975,8089.0
DE,00+,2024-08-01,2024-08-18,3,quantile,0.025,4329.0
DE,00+,2024-08-01,2024-08-18,3,quantile,0.1,4882.0
DE,00+,2024-08-01,2024-08-18,3,quantile,0.25,5416.0
DE,00+,2024-08-01,2024-08-18,3,quantile,0.5,6053.0
DE,00+,2024-08-01,2024-08-18,3,quantile,0.75,6738.0
DE,00+,2024-08-01,2024-08-18,3,quantile,0.9,7397.0
DE,00+,2024-08-01,2024-08-18,3,quantile,0.975,8181.0
DE,00+,2024-08-01,2024-08-25,4,quantile,0.025,4372.0
DE,00+,2024-08-01,2024-08-25,4,quantile,0.1,4958.0
DE,00+,2024-08-01,2024-08-25,4,quantile,0.25,5525.0
DE,00+,2024-08-01,2024-08-25,4,quantile,0.5,6204.0
DE,00+,2024-08-01,2024-08-25,4,quantile,0.75,6937.0
DE,00+,2024-08-01,2024-08-25,4,quantile,0.9,7643.0
DE,00+,2024-08-01,2024-08-25,4,quantile,0.975,8486.0
DE,00-04,2024-08-01,2024-08-04,1,quantile,0.025,205.0
DE,00-04,2024-08-01,2024-08-04,1,quantile,0.1,311.0
DE,00-04,2024-08-01,2024-08-04,1,quantile,0.25,434.0
DE,00-04,2024-08-01,2024-08-04,1,quantile,0.5,606.0
DE,00-04,2024-08-01,2024-08-04,1,quantile,0.75,819.0
DE,00-04,2024-08-01,2024-08-04,1,quantile,0.9,1048.0
DE,00-04,2024-08-01,2024-08-04,1,quantile,0.975,1348.0
DE,00-04,2024-08-01,2024-08-11,2,quantile,0.025,149.0
DE,00-04,2024-08-01,2024-08-11,2,quantile,0.1,258.0
DE,00-04,2024-08-01,2024-08-11,2,quantile,0.25,398.0
DE,00-04,2024-08-01,2024-08-11,2,quantile,0.5,606.0
DE,00-04,2024-08-01,2024-08-11,2,quantile,0.75,877.0
