location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-06-13,2024-06-16,1,quantile,0.025,6363.493336888755
DE,00+,2024-06-13,2024-06-16,1,quantile,0.1,7027.45189233912
DE,00+,2024-06-13,2024-06-16,1,quantile,0.25,7597.105569719252
DE,00+,2024-06-13,2024-06-16,1,quantile,0.5,8361.322632527037
DE,00+,2024-06-13,2024-06-16,1,quantile,0.75,9220.886190083696
DE,00+,2024-06-13,2024-06-16,1,quantile,0.9,10183.303542221734
DE,00+,2024-06-13,2024-06-16,1,quantile,0.975,11436.397179376345
DE,00+,2024-06-13,2024-06-23,2,quantile,0.025,5935.220063815485
DE,00+,2024-06-13,2024-06-23,2,quantile,0.1,6739.200064842324
DE,00+,2024-06-13,2024-06-23,2,quantile,0.25,7383.334742586692
DE,00+,2024-06-13,2024-06-23,2,quantile,0.5,8180.813423676637
DE,00+,2024-06-13,2024-06-23,2,quantile,0.75,9117.013407573779
DE,00+,2024-06-13,2024-06-23,2,quantile,0.9,10085.793173865668
DE,00+,2024-06-13,2024-06-23,2,quantile,0.975,11196.335558225903
DE,00+,2024-06-13,2024-06-30,3,quantile,0.025,5808.787217732336
DE,00+,2024-06-13,2024-06-30,3,quantile,0.1,6625.8581203905915
DE,00+,2024-06-13,2024-06-30,3,quantile,0.25,7234.867867457718
DE,00+,2024-06-13,2024-06-30,3,quantile,0.5,8041.729133383887
DE,00+,2024-06-13,2024-06-30,3,quantile,0.75,9057.626480125064
DE,00+,2024-06-13,2024-06-30,3,quantile,0.9,10083.46500530221
DE,00+,2024-06-13,2024-06-30,3,quantile,0.975,11499.213208852163
DE,00+,2024-06-13,2024-07-07,4,quantile,0.025,5657.791053569936
DE,00+,2024-06-13,2024-07-07,4,quantile,0.1,6390.920622269326
DE,00+,2024-06-13,2024-07-07,4,quantile,0.25,7038.224386203054
DE,00+,2024-06-13,2024-07-07,4,quantile,0.5,7837.875911438142
DE,00+,2024-06-13,2024-07-07,4,quantile,0.75,8742.025688136899
DE,00+,2024-06-13,2024-07-07,4,quantile,0.9,9997.4548021713
DE,00+,2024-06-13,2024-07-07,4,quantile,0.975,11845.743318075516
DE,00-04,2024-06-13,2024-06-16,1,quantile,0.025,565.0735449558647
DE,00-04,2024-06-13,2024-06-16,1,quantile,0.1,709.689141439582
DE,00-04,2024-06-13,2024-06-16,1,quantile,0.25,829.4349085961513
DE,00-04,2024-06-13,2024-06-16,1,quantile,0.5,997.8918036421903
DE,00-04,2024-06-13,2024-06-16,1,quantile,0.75,1199.1504034352756
DE,00-04,2024-06-13,2024-06-16,1,quantile,0.9,1442.9008095039417
DE,00-04,2024-06-13,2024-06-16,1,quantile,0.975,1782.4325489492228
DE,00-04,2024-06-13,2024-06-23,2,quantile,0.025,523.8572912249908
DE,00-04,2024-06-13,2024-06-23,2,quantile,0.1,665.4697892690978
DE,00-04,2024-06-13,2024-06-23,2,quantile,0.25,786.6324678630274
DE,00-04,2024-06-13,2024-06-23,2,quantile,0.5,947.5893351406493
DE,00-04,2024-06-13,2024-06-23,2,quantile,0.75,1168.7871430934526
DE,00-04,2024-06-13,2024-06-23,2,quantile,0.9,1488.7457666490257
DE,00-04,2024-06-13,2024-06-23,2,quantile,0.975,1841.9235985916087
DE,00-04,2024-06-13,2024-06-30,3,quantile,0.025,445.41763395100884
DE,00-04,2024-06-13,2024-06-30,3,quantile,0.1,628.8568363240807
DE,00-04,2024-06-13,2024-06-30,3,quantile,0.25,778.4867225331174
DE,00-04,2024-06-13,2024-06-30,3,quantile,0.5,965.049267048929
DE,00-04,2024-06-13,2024-06-30,3,quantile,0.75,1202.6693427480486
DE,00-04,2024-06-13,2024-06-30,3,quantile,0.9,1504.095998170558
DE,00-04,2024-06-13,2024-06-30,3,quantile,0.975,1856.2104969649288
DE,00-04,2024-06-13,2024-07-07,4,quantile,0.025,418.36875438792515
DE,00-04,2024-06-13,2024-07-07,4,quantile,0.1,612.0025568687443
DE,00-04,2024-06-13,2024-07-07,4,quantile,0.25,766.6671052545124
DE,00-04,2024-06-13,2024-07-07,4,quantile,0.5,969.3364536523775
DE,00-04,2024-06-13,2024-07-07,4,quantile,0.75,1236.195972899217
DE,00-04,2024-06-13,2024-07-07,4,quantile,0.9,1578.7100211816853
DE,00-04,2024-06-13,2024-07-07,4,quantile,0.975,2316.214412364286
DE,05-14,2024-06-13,2024-06-16,1,quantile,0.025,158.02164093098045
DE,05-14,2024-06-13,2024-06-16,1,quantile,0.1,270.1042451782268
DE,05-14,2024-06-13,2024-06-16,1,quantile,0.25,362.43347580661896
DE,05-14,2024-06-13,2024-06-16,1,quantile,0.5,462.2365958451996
DE,05-14,2024-06-13,2024-06-16,1,quantile,0.75,578.08473836777
DE,05-14,2024-06-13,2024-06-16,1,quantile,0.9,698.4108002726293
DE,05-14,2024-06-13,2024-06-16,1,quantile,0.975,857.4472201910653
DE,05-14,2024-06-13,2024-06-23,2,quantile,0.025,127.86653151534654
DE,05-14,2024-06-13,2024-06-23,2,quantile,0.1,256.1792615758872
DE,05-14,2024-06-13,2024-06-23,2,quantile,0.25,354.67843131816323
DE,05-14,2024-06-13,2024-06-23,2,quantile,0.5,467.4655544656591
DE,05-14,2024-06-13,2024-06-23,2,quantile,0.75,599.9744702341743
DE,05-14,2024-06-13,2024-06-23,2,quantile,0.9,741.2428358655856
DE,05-14,2024-06-13,2024-06-23,2,quantile,0.975,926.386029282221
