"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2024-02-01,2024-02-04,1,"quantile",0.025,18850
"DE","00+",2024-02-01,2024-02-04,1,"quantile",0.1,20690
"DE","00+",2024-02-01,2024-02-04,1,"quantile",0.25,22470
"DE","00+",2024-02-01,2024-02-04,1,"quantile",0.5,24580
"DE","00+",2024-02-01,2024-02-04,1,"quantile",0.75,26870
"DE","00+",2024-02-01,2024-02-04,1,"quantile",0.9,29070
"DE","00+",2024-02-01,2024-02-04,1,"quantile",0.975,31700
"DE","00+",2024-02-01,2024-02-04,1,"mean",NA,24769.6142645727
"DE","00+",2024-02-01,2024-02-11,2,"quantile",0.025,17700
"DE","00+",2024-02-01,2024-02-11,2,"quantile",0.1,19740
"DE","00+",2024-02-01,2024-02-11,2,"quantile",0.25,21720
"DE","00+",2024-02-01,2024-02-11,2,"quantile",0.5,24100
"DE","00+",2024-02-01,2024-02-11,2,"quantile",0.75,26680
"DE","00+",2024-02-01,2024-02-11,2,"quantile",0.9,29180
"DE","00+",2024-02-01,2024-02-11,2,"quantile",0.975,32190
"DE","00+",2024-02-01,2024-02-11,2,"mean",NA,24322.847908936
"DE","00+",2024-02-01,2024-02-18,3,"quantile",0.025,16550
"DE","00+",2024-02-01,2024-02-18,3,"quantile",0.1,18720
"DE","00+",2024-02-01,2024-02-18,3,"quantile",0.25,20840
"DE","00+",2024-02-01,2024-02-18,3,"quantile",0.5,23400
"DE","00+",2024-02-01,2024-02-18,3,"quantile",0.75,26190
"DE","00+",2024-02-01,2024-02-18,3,"quantile",0.9,28910
"DE","00+",2024-02-01,2024-02-18,3,"quantile",0.975,32200
"DE","00+",2024-02-01,2024-02-18,3,"mean",NA,23656.4430969092
"DE","00+",2024-02-01,2024-02-25,4,"quantile",0.025,15410
"DE","00+",2024-02-01,2024-02-25,4,"quantile",0.1,17650
"DE","00+",2024-02-01,2024-02-25,4,"quantile",0.25,19840
"DE","00+",2024-02-01,2024-02-25,4,"quantile",0.5,22510
"DE","00+",2024-02-01,2024-02-25,4,"quantile",0.75,25440
"DE","00+",2024-02-01,2024-02-25,4,"quantile",0.9,28310
"DE","00+",2024-02-01,2024-02-25,4,"quantile",0.975,31800
"DE","00+",2024-02-01,2024-02-25,4,"mean",NA,22800.1495155055
"DE","00-04",2024-02-01,2024-02-04,1,"quantile",0.025,2670
"DE","00-04",2024-02-01,2024-02-04,1,"quantile",0.1,3340
"DE","00-04",2024-02-01,2024-02-04,1,"quantile",0.25,4030
"DE","00-04",2024-02-01,2024-02-04,1,"quantile",0.5,4920
"DE","00-04",2024-02-01,2024-02-04,1,"quantile",0.75,5930
"DE","00-04",2024-02-01,2024-02-04,1,"quantile",0.9,6950
"DE","00-04",2024-02-01,2024-02-04,1,"quantile",0.975,8230
"DE","00-04",2024-02-01,2024-02-04,1,"mean",NA,5062.49203474965
"DE","00-04",2024-02-01,2024-02-11,2,"quantile",0.025,2240
"DE","00-04",2024-02-01,2024-02-11,2,"quantile",0.1,2950
"DE","00-04",2024-02-01,2024-02-11,2,"quantile",0.25,3720
"DE","00-04",2024-02-01,2024-02-11,2,"quantile",0.5,4710
"DE","00-04",2024-02-01,2024-02-11,2,"quantile",0.75,5870
"DE","00-04",2024-02-01,2024-02-11,2,"quantile",0.9,7070
"DE","00-04",2024-02-01,2024-02-11,2,"quantile",0.975,8600
"DE","00-04",2024-02-01,2024-02-11,2,"mean",NA,4901.1833512694
"DE","00-04",2024-02-01,2024-02-18,3,"quantile",0.025,1890
"DE","00-04",2024-02-01,2024-02-18,3,"quantile",0.1,2610
"DE","00-04",2024-02-01,2024-02-18,3,"quantile",0.25,3410
"DE","00-04",2024-02-01,2024-02-18,3,"quantile",0.5,4480
"DE","00-04",2024-02-01,2024-02-18,3,"quantile",0.75,5760
"DE","00-04",2024-02-01,2024-02-18,3,"quantile",0.9,7100
"DE","00-04",2024-02-01,2024-02-18,3,"quantile",0.975,8820
"DE","00-04",2024-02-01,2024-02-18,3,"mean",NA,4713.69037651134
"DE","00-04",2024-02-01,2024-02-25,4,"quantile",0.025,1590
"DE","00-04",2024-02-01,2024-02-25,4,"quantile",0.1,2310
"DE","00-04",2024-02-01,2024-02-25,4,"quantile",0.25,3120
"DE","00-04",2024-02-01,2024-02-25,4,"quantile",0.5,4230
"DE","00-04",2024-02-01,2024-02-25,4,"quantile",0.75,5590
"DE","00-04",2024-02-01,2024-02-25,4,"quantile",0.9,7040
"DE","00-04",2024-02-01,2024-02-25,4,"quantile",0.975,8930
