"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2024-03-14,2024-03-17,1,"quantile",0.025,9591
"DE","00+",2024-03-14,2024-03-17,1,"quantile",0.1,10476
"DE","00+",2024-03-14,2024-03-17,1,"quantile",0.25,11313
"DE","00+",2024-03-14,2024-03-17,1,"quantile",0.5,12295
"DE","00+",2024-03-14,2024-03-17,1,"quantile",0.75,13331
"DE","00+",2024-03-14,2024-03-17,1,"quantile",0.9,14312
"DE","00+",2024-03-14,2024-03-17,1,"quantile",0.975,15463
"DE","00+",2024-03-14,2024-03-17,1,"mean",NA,12355.4114166088
"DE","00+",2024-03-14,2024-03-24,2,"quantile",0.025,8605
"DE","00+",2024-03-14,2024-03-24,2,"quantile",0.1,9538
"DE","00+",2024-03-14,2024-03-24,2,"quantile",0.25,10428
"DE","00+",2024-03-14,2024-03-24,2,"quantile",0.5,11481
"DE","00+",2024-03-14,2024-03-24,2,"quantile",0.75,12602
"DE","00+",2024-03-14,2024-03-24,2,"quantile",0.9,13671
"DE","00+",2024-03-14,2024-03-24,2,"quantile",0.975,14934
"DE","00+",2024-03-14,2024-03-24,2,"mean",NA,11556.1573440486
"DE","00+",2024-03-14,2024-03-31,3,"quantile",0.025,7759
"DE","00+",2024-03-14,2024-03-31,3,"quantile",0.1,8703
"DE","00+",2024-03-14,2024-03-31,3,"quantile",0.25,9611
"DE","00+",2024-03-14,2024-03-31,3,"quantile",0.5,10692
"DE","00+",2024-03-14,2024-03-31,3,"quantile",0.75,11851
"DE","00+",2024-03-14,2024-03-31,3,"quantile",0.9,12962
"DE","00+",2024-03-14,2024-03-31,3,"quantile",0.975,14283
"DE","00+",2024-03-14,2024-03-31,3,"mean",NA,10777.4124912269
"DE","00+",2024-03-14,2024-04-07,4,"quantile",0.025,7031
"DE","00+",2024-03-14,2024-04-07,4,"quantile",0.1,7962
"DE","00+",2024-03-14,2024-04-07,4,"quantile",0.25,8864
"DE","00+",2024-03-14,2024-04-07,4,"quantile",0.5,9944
"DE","00+",2024-03-14,2024-04-07,4,"quantile",0.75,11108
"DE","00+",2024-03-14,2024-04-07,4,"quantile",0.9,12229
"DE","00+",2024-03-14,2024-04-07,4,"quantile",0.975,13568
"DE","00+",2024-03-14,2024-04-07,4,"mean",NA,10036.4018585011
"DE","00-04",2024-03-14,2024-03-17,1,"quantile",0.025,1254
"DE","00-04",2024-03-14,2024-03-17,1,"quantile",0.1,1564
"DE","00-04",2024-03-14,2024-03-17,1,"quantile",0.25,1883
"DE","00-04",2024-03-14,2024-03-17,1,"quantile",0.5,2286
"DE","00-04",2024-03-14,2024-03-17,1,"quantile",0.75,2743
"DE","00-04",2024-03-14,2024-03-17,1,"quantile",0.9,3202
"DE","00-04",2024-03-14,2024-03-17,1,"quantile",0.975,3771
"DE","00-04",2024-03-14,2024-03-17,1,"mean",NA,2344.82658267489
"DE","00-04",2024-03-14,2024-03-24,2,"quantile",0.025,1019
"DE","00-04",2024-03-14,2024-03-24,2,"quantile",0.1,1336
"DE","00-04",2024-03-14,2024-03-24,2,"quantile",0.25,1671
"DE","00-04",2024-03-14,2024-03-24,2,"quantile",0.5,2107
"DE","00-04",2024-03-14,2024-03-24,2,"quantile",0.75,2612
"DE","00-04",2024-03-14,2024-03-24,2,"quantile",0.9,3130
"DE","00-04",2024-03-14,2024-03-24,2,"quantile",0.975,3782
"DE","00-04",2024-03-14,2024-03-24,2,"mean",NA,2183.45167757946
"DE","00-04",2024-03-14,2024-03-31,3,"quantile",0.025,836
"DE","00-04",2024-03-14,2024-03-31,3,"quantile",0.1,1148
"DE","00-04",2024-03-14,2024-03-31,3,"quantile",0.25,1489
"DE","00-04",2024-03-14,2024-03-31,3,"quantile",0.5,1943
"DE","00-04",2024-03-14,2024-03-31,3,"quantile",0.75,2481
"DE","00-04",2024-03-14,2024-03-31,3,"quantile",0.9,3042
"DE","00-04",2024-03-14,2024-03-31,3,"quantile",0.975,3757
"DE","00-04",2024-03-14,2024-03-31,3,"mean",NA,2035.36947720794
"DE","00-04",2024-03-14,2024-04-07,4,"quantile",0.025,689
"DE","00-04",2024-03-14,2024-04-07,4,"quantile",0.1,990
"DE","00-04",2024-03-14,2024-04-07,4,"quantile",0.25,1330
"DE","00-04",2024-03-14,2024-04-07,4,"quantile",0.5,1793
"DE","00-04",2024-03-14,2024-04-07,4,"quantile",0.75,2352
"DE","00-04",2024-03-14,2024-04-07,4,"quantile",0.9,2944
"DE","00-04",2024-03-14,2024-04-07,4,"quantile",0.975,3709
"DE","00-04",2024-03-14,2024-04-07,4,"mean",NA,1898.50549631103
"DE","05-14",2024-03-14,2024-03-17,1,"quantile",0.025,238
"DE","05-14",2024-03-14,2024-03-17,1,"quantile",0.1,344
"DE","05-14",2024-03-14,2024-03-17,1,"quantile",0.25,463
"DE","05-14",2024-03-14,2024-03-17,1,"quantile",0.5,626
"DE","05-14",2024-03-14,2024-03-17,1,"quantile",0.75,824
"DE","05-14",2024-03-14,2024-03-17,1,"quantile",0.9,1032
"DE","05-14",2024-03-14,2024-03-17,1,"quantile",0.975,1303
"DE","05-14",2024-03-14,2024-03-17,1,"mean",NA,663.925710861025
"DE","05-14",2024-03-14,2024-03-24,2,"quantile",0.025,177
"DE","05-14",2024-03-14,2024-03-24,2,"quantile",0.1,284
"DE","05-14",2024-03-14,2024-03-24,2,"quantile",0.25,413
"DE","05-14",2024-03-14,2024-03-24,2,"quantile",0.5,599
"DE","05-14",2024-03-14,2024-03-24,2,"quantile",0.75,833
"DE","05-14",2024-03-14,2024-03-24,2,"quantile",0.9,1090
"DE","05-14",2024-03-14,2024-03-24,2,"quantile",0.975,1430
"DE","05-14",2024-03-14,2024-03-24,2,"mean",NA,652.066829864613
"DE","05-14",2024-03-14,2024-03-31,3,"quantile",0.025,131
"DE","05-14",2024-03-14,2024-03-31,3,"quantile",0.1,234
"DE","05-14",2024-03-14,2024-03-31,3,"quantile",0.25,368
"DE","05-14",2024-03-14,2024-03-31,3,"quantile",0.5,571
"DE","05-14",2024-03-14,2024-03-31,3,"quantile",0.75,838
"DE","05-14",2024-03-14,2024-03-31,3,"quantile",0.9,1139
"DE","05-14",2024-03-14,2024-03-31,3,"quantile",0.975,1547
"DE","05-14",2024-03-14,2024-03-31,3,"mean",NA,640.970960056013
"DE","05-14",2024-03-14,2024-04-07,4,"quantile",0.025,96
"DE","05-14",2024-03-14,2024-04-07,4,"quantile",0.1,193
"DE","05-14",2024-03-14,2024-04-07,4,"quantile",0.25,328
"DE","05-14",2024-03-14,2024-04-07,4,"quantile",0.5,545
"DE","05-14",2024-03-14,2024-04-07,4,"quantile",0.75,842
"DE","05-14",2024-03-14,2024-04-07,4,"quantile",0.9,1185
"DE","05-14",2024-03-14,2024-04-07,4,"quantile",0.975,1661
"DE","05-14",2024-03-14,2024-04-07,4,"mean",NA,631.992229096894
"DE","15-34",2024-03-14,2024-03-17,1,"quantile",0.025,341
"DE","15-34",2024-03-14,2024-03-17,1,"quantile",0.1,446
"DE","15-34",2024-03-14,2024-03-17,1,"quantile",0.25,558
"DE","15-34",2024-03-14,2024-03-17,1,"quantile",0.5,703
"DE","15-34",2024-03-14,2024-03-17,1,"quantile",0.75,871
"DE","15-34",2024-03-14,2024-03-17,1,"quantile",0.9,1043
"DE","15-34",2024-03-14,2024-03-17,1,"quantile",0.975,1259
"DE","15-34",2024-03-14,2024-03-17,1,"mean",NA,728.489722796678
"DE","15-34",2024-03-14,2024-03-24,2,"quantile",0.025,275
"DE","15-34",2024-03-14,2024-03-24,2,"quantile",0.1,385
"DE","15-34",2024-03-14,2024-03-24,2,"quantile",0.25,507
"DE","15-34",2024-03-14,2024-03-24,2,"quantile",0.5,670
"DE","15-34",2024-03-14,2024-03-24,2,"quantile",0.75,865
"DE","15-34",2024-03-14,2024-03-24,2,"quantile",0.9,1069
"DE","15-34",2024-03-14,2024-03-24,2,"quantile",0.975,1332
"DE","15-34",2024-03-14,2024-03-24,2,"mean",NA,704.640933417407
"DE","15-34",2024-03-14,2024-03-31,3,"quantile",0.025,223
"DE","15-34",2024-03-14,2024-03-31,3,"quantile",0.1,333
"DE","15-34",2024-03-14,2024-03-31,3,"quantile",0.25,461
"DE","15-34",2024-03-14,2024-03-31,3,"quantile",0.5,637
"DE","15-34",2024-03-14,2024-03-31,3,"quantile",0.75,854
"DE","15-34",2024-03-14,2024-03-31,3,"quantile",0.9,1087
"DE","15-34",2024-03-14,2024-03-31,3,"quantile",0.975,1390
"DE","15-34",2024-03-14,2024-03-31,3,"mean",NA,681.474506454408
"DE","15-34",2024-03-14,2024-04-07,4,"quantile",0.025,182
