"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2024-08-15,2024-08-18,1,"quantile",0.025,6950
"DE","00+",2024-08-15,2024-08-18,1,"quantile",0.1,7530
"DE","00+",2024-08-15,2024-08-18,1,"quantile",0.25,8090
"DE","00+",2024-08-15,2024-08-18,1,"quantile",0.5,8730
"DE","00+",2024-08-15,2024-08-18,1,"quantile",0.75,9420
"DE","00+",2024-08-15,2024-08-18,1,"quantile",0.9,10080
"DE","00+",2024-08-15,2024-08-18,1,"quantile",0.975,10850
"DE","00+",2024-08-15,2024-08-18,1,"mean",NA,8782.71779573555
"DE","00+",2024-08-15,2024-08-25,2,"quantile",0.025,6700
"DE","00+",2024-08-15,2024-08-25,2,"quantile",0.1,7330
"DE","00+",2024-08-15,2024-08-25,2,"quantile",0.25,7940
"DE","00+",2024-08-15,2024-08-25,2,"quantile",0.5,8650
"DE","00+",2024-08-15,2024-08-25,2,"quantile",0.75,9420
"DE","00+",2024-08-15,2024-08-25,2,"quantile",0.9,10140
"DE","00+",2024-08-15,2024-08-25,2,"quantile",0.975,11000
"DE","00+",2024-08-15,2024-08-25,2,"mean",NA,8711.03753574384
"DE","00+",2024-08-15,2024-09-01,3,"quantile",0.025,6540
"DE","00+",2024-08-15,2024-09-01,3,"quantile",0.1,7220
"DE","00+",2024-08-15,2024-09-01,3,"quantile",0.25,7860
"DE","00+",2024-08-15,2024-09-01,3,"quantile",0.5,8640
"DE","00+",2024-08-15,2024-09-01,3,"quantile",0.75,9460
"DE","00+",2024-08-15,2024-09-01,3,"quantile",0.9,10250
"DE","00+",2024-08-15,2024-09-01,3,"quantile",0.975,11190
"DE","00+",2024-08-15,2024-09-01,3,"mean",NA,8700.37554800161
"DE","00+",2024-08-15,2024-09-08,4,"quantile",0.025,6450
"DE","00+",2024-08-15,2024-09-08,4,"quantile",0.1,7170
"DE","00+",2024-08-15,2024-09-08,4,"quantile",0.25,7860
"DE","00+",2024-08-15,2024-09-08,4,"quantile",0.5,8690
"DE","00+",2024-08-15,2024-09-08,4,"quantile",0.75,9570
"DE","00+",2024-08-15,2024-09-08,4,"quantile",0.9,10430
"DE","00+",2024-08-15,2024-09-08,4,"quantile",0.975,11440
"DE","00+",2024-08-15,2024-09-08,4,"mean",NA,8760.11864164255
"DE","00-04",2024-08-15,2024-08-18,1,"quantile",0.025,430
"DE","00-04",2024-08-15,2024-08-18,1,"quantile",0.1,510
"DE","00-04",2024-08-15,2024-08-18,1,"quantile",0.25,590
"DE","00-04",2024-08-15,2024-08-18,1,"quantile",0.5,680
"DE","00-04",2024-08-15,2024-08-18,1,"quantile",0.75,790
"DE","00-04",2024-08-15,2024-08-18,1,"quantile",0.9,890
"DE","00-04",2024-08-15,2024-08-18,1,"quantile",0.975,1020
"DE","00-04",2024-08-15,2024-08-18,1,"mean",NA,698.25433582204
"DE","00-04",2024-08-15,2024-08-25,2,"quantile",0.025,410
"DE","00-04",2024-08-15,2024-08-25,2,"quantile",0.1,510
"DE","00-04",2024-08-15,2024-08-25,2,"quantile",0.25,600
"DE","00-04",2024-08-15,2024-08-25,2,"quantile",0.5,720
"DE","00-04",2024-08-15,2024-08-25,2,"quantile",0.75,860
"DE","00-04",2024-08-15,2024-08-25,2,"quantile",0.9,990
"DE","00-04",2024-08-15,2024-08-25,2,"quantile",0.975,1160
"DE","00-04",2024-08-15,2024-08-25,2,"mean",NA,744.478833097198
"DE","00-04",2024-08-15,2024-09-01,3,"quantile",0.025,400
"DE","00-04",2024-08-15,2024-09-01,3,"quantile",0.1,510
"DE","00-04",2024-08-15,2024-09-01,3,"quantile",0.25,630
"DE","00-04",2024-08-15,2024-09-01,3,"quantile",0.5,770
"DE","00-04",2024-08-15,2024-09-01,3,"quantile",0.75,940
"DE","00-04",2024-08-15,2024-09-01,3,"quantile",0.9,1110
"DE","00-04",2024-08-15,2024-09-01,3,"quantile",0.975,1320
"DE","00-04",2024-08-15,2024-09-01,3,"mean",NA,802.662466297116
"DE","00-04",2024-08-15,2024-09-08,4,"quantile",0.025,400
"DE","00-04",2024-08-15,2024-09-08,4,"quantile",0.1,530
"DE","00-04",2024-08-15,2024-09-08,4,"quantile",0.25,660
"DE","00-04",2024-08-15,2024-09-08,4,"quantile",0.5,840
"DE","00-04",2024-08-15,2024-09-08,4,"quantile",0.75,1040
"DE","00-04",2024-08-15,2024-09-08,4,"quantile",0.9,1250
"DE","00-04",2024-08-15,2024-09-08,4,"quantile",0.975,1520
"DE","00-04",2024-08-15,2024-09-08,4,"mean",NA,874.841737752457
"DE","05-14",2024-08-15,2024-08-18,1,"quantile",0.025,220
"DE","05-14",2024-08-15,2024-08-18,1,"quantile",0.1,300
"DE","05-14",2024-08-15,2024-08-18,1,"quantile",0.25,380
"DE","05-14",2024-08-15,2024-08-18,1,"quantile",0.5,490
"DE","05-14",2024-08-15,2024-08-18,1,"quantile",0.75,620
"DE","05-14",2024-08-15,2024-08-18,1,"quantile",0.9,760
"DE","05-14",2024-08-15,2024-08-18,1,"quantile",0.975,930
"DE","05-14",2024-08-15,2024-08-18,1,"mean",NA,519.296796380262
"DE","05-14",2024-08-15,2024-08-25,2,"quantile",0.025,190
"DE","05-14",2024-08-15,2024-08-25,2,"quantile",0.1,280
"DE","05-14",2024-08-15,2024-08-25,2,"quantile",0.25,380
"DE","05-14",2024-08-15,2024-08-25,2,"quantile",0.5,520
"DE","05-14",2024-08-15,2024-08-25,2,"quantile",0.75,690
"DE","05-14",2024-08-15,2024-08-25,2,"quantile",0.9,870
"DE","05-14",2024-08-15,2024-08-25,2,"quantile",0.975,1110
"DE","05-14",2024-08-15,2024-08-25,2,"mean",NA,556.787249308493
"DE","05-14",2024-08-15,2024-09-01,3,"quantile",0.025,160
"DE","05-14",2024-08-15,2024-09-01,3,"quantile",0.1,260
"DE","05-14",2024-08-15,2024-09-01,3,"quantile",0.25,380
"DE","05-14",2024-08-15,2024-09-01,3,"quantile",0.5,550
"DE","05-14",2024-08-15,2024-09-01,3,"quantile",0.75,760
"DE","05-14",2024-08-15,2024-09-01,3,"quantile",0.9,1000
"DE","05-14",2024-08-15,2024-09-01,3,"quantile",0.975,1310
"DE","05-14",2024-08-15,2024-09-01,3,"mean",NA,601.085817702292
"DE","05-14",2024-08-15,2024-09-08,4,"quantile",0.025,140
"DE","05-14",2024-08-15,2024-09-08,4,"quantile",0.1,240
"DE","05-14",2024-08-15,2024-09-08,4,"quantile",0.25,380
"DE","05-14",2024-08-15,2024-09-08,4,"quantile",0.5,580
"DE","05-14",2024-08-15,2024-09-08,4,"quantile",0.75,840
"DE","05-14",2024-08-15,2024-09-08,4,"quantile",0.9,1130
"DE","05-14",2024-08-15,2024-09-08,4,"quantile",0.975,1530
"DE","05-14",2024-08-15,2024-09-08,4,"mean",NA,650.165794458539
"DE","15-34",2024-08-15,2024-08-18,1,"quantile",0.025,500
"DE","15-34",2024-08-15,2024-08-18,1,"quantile",0.1,630
"DE","15-34",2024-08-15,2024-08-18,1,"quantile",0.25,760
"DE","15-34",2024-08-15,2024-08-18,1,"quantile",0.5,930
"DE","15-34",2024-08-15,2024-08-18,1,"quantile",0.75,1120
"DE","15-34",2024-08-15,2024-08-18,1,"quantile",0.9,1320
"DE","15-34",2024-08-15,2024-08-18,1,"quantile",0.975,1560
"DE","15-34",2024-08-15,2024-08-18,1,"mean",NA,962.397250854412
"DE","15-34",2024-08-15,2024-08-25,2,"quantile",0.025,450
"DE","15-34",2024-08-15,2024-08-25,2,"quantile",0.1,600
"DE","15-34",2024-08-15,2024-08-25,2,"quantile",0.25,770
"DE","15-34",2024-08-15,2024-08-25,2,"quantile",0.5,980
"DE","15-34",2024-08-15,2024-08-25,2,"quantile",0.75,1230
"DE","15-34",2024-08-15,2024-08-25,2,"quantile",0.9,1480
"DE","15-34",2024-08-15,2024-08-25,2,"quantile",0.975,1810
"DE","15-34",2024-08-15,2024-08-25,2,"mean",NA,1022.30158202985
"DE","15-34",2024-08-15,2024-09-01,3,"quantile",0.025,410
"DE","15-34",2024-08-15,2024-09-01,3,"quantile",0.1,580
"DE","15-34",2024-08-15,2024-09-01,3,"quantile",0.25,770
"DE","15-34",2024-08-15,2024-09-01,3,"quantile",0.5,1030
"DE","15-34",2024-08-15,2024-09-01,3,"quantile",0.75,1330
"DE","15-34",2024-08-15,2024-09-01,3,"quantile",0.9,1650
"DE","15-34",2024-08-15,2024-09-01,3,"quantile",0.975,2070
"DE","15-34",2024-08-15,2024-09-01,3,"mean",NA,1088.66225664246
"DE","15-34",2024-08-15,2024-09-08,4,"quantile",0.025,380
"DE","15-34",2024-08-15,2024-09-08,4,"quantile",0.1,570
"DE","15-34",2024-08-15,2024-09-08,4,"quantile",0.25,790
"DE","15-34",2024-08-15,2024-09-08,4,"quantile",0.5,1090
"DE","15-34",2024-08-15,2024-09-08,4,"quantile",0.75,1450
"DE","15-34",2024-08-15,2024-09-08,4,"quantile",0.9,1840
