"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2024-06-20,2024-06-23,1,"quantile",0.025,6901
"DE","00+",2024-06-20,2024-06-23,1,"quantile",0.1,7532
"DE","00+",2024-06-20,2024-06-23,1,"quantile",0.25,8129
"DE","00+",2024-06-20,2024-06-23,1,"quantile",0.5,8828
"DE","00+",2024-06-20,2024-06-23,1,"quantile",0.75,9567
"DE","00+",2024-06-20,2024-06-23,1,"quantile",0.9,10265
"DE","00+",2024-06-20,2024-06-23,1,"quantile",0.975,11084
"DE","00+",2024-06-20,2024-06-23,1,"mean",NA,8871.0900766556
"DE","00+",2024-06-20,2024-06-30,2,"quantile",0.025,6364
"DE","00+",2024-06-20,2024-06-30,2,"quantile",0.1,7037
"DE","00+",2024-06-20,2024-06-30,2,"quantile",0.25,7678
"DE","00+",2024-06-20,2024-06-30,2,"quantile",0.5,8436
"DE","00+",2024-06-20,2024-06-30,2,"quantile",0.75,9241
"DE","00+",2024-06-20,2024-06-30,2,"quantile",0.9,10008
"DE","00+",2024-06-20,2024-06-30,2,"quantile",0.975,10913
"DE","00+",2024-06-20,2024-06-30,2,"mean",NA,8488.43764272225
"DE","00+",2024-06-20,2024-07-07,3,"quantile",0.025,5963
"DE","00+",2024-06-20,2024-07-07,3,"quantile",0.1,6662
"DE","00+",2024-06-20,2024-07-07,3,"quantile",0.25,7333
"DE","00+",2024-06-20,2024-07-07,3,"quantile",0.5,8131
"DE","00+",2024-06-20,2024-07-07,3,"quantile",0.75,8984
"DE","00+",2024-06-20,2024-07-07,3,"quantile",0.9,9800
"DE","00+",2024-06-20,2024-07-07,3,"quantile",0.975,10768
"DE","00+",2024-06-20,2024-07-07,3,"mean",NA,8191.78006291412
"DE","00+",2024-06-20,2024-07-14,4,"quantile",0.025,5663
"DE","00+",2024-06-20,2024-07-14,4,"quantile",0.1,6382
"DE","00+",2024-06-20,2024-07-14,4,"quantile",0.25,7076
"DE","00+",2024-06-20,2024-07-14,4,"quantile",0.5,7904
"DE","00+",2024-06-20,2024-07-14,4,"quantile",0.75,8795
"DE","00+",2024-06-20,2024-07-14,4,"quantile",0.9,9651
"DE","00+",2024-06-20,2024-07-14,4,"quantile",0.975,10669
"DE","00+",2024-06-20,2024-07-14,4,"mean",NA,7972.67629505424
"DE","00-04",2024-06-20,2024-06-23,1,"quantile",0.025,554
"DE","00-04",2024-06-20,2024-06-23,1,"quantile",0.1,691
"DE","00-04",2024-06-20,2024-06-23,1,"quantile",0.25,832
"DE","00-04",2024-06-20,2024-06-23,1,"quantile",0.5,1009
"DE","00-04",2024-06-20,2024-06-23,1,"quantile",0.75,1210
