"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2024-03-21,2024-03-24,1,"quantile",0.025,10010
"DE","00+",2024-03-21,2024-03-24,1,"quantile",0.1,10960
"DE","00+",2024-03-21,2024-03-24,1,"quantile",0.25,11870
"DE","00+",2024-03-21,2024-03-24,1,"quantile",0.5,12940
"DE","00+",2024-03-21,2024-03-24,1,"quantile",0.75,14090
"DE","00+",2024-03-21,2024-03-24,1,"quantile",0.9,15180
"DE","00+",2024-03-21,2024-03-24,1,"quantile",0.975,16480
"DE","00+",2024-03-21,2024-03-24,1,"mean",NA,13026.5421649769
"DE","00+",2024-03-21,2024-03-31,2,"quantile",0.025,8940
"DE","00+",2024-03-21,2024-03-31,2,"quantile",0.1,9930
"DE","00+",2024-03-21,2024-03-31,2,"quantile",0.25,10880
"DE","00+",2024-03-21,2024-03-31,2,"quantile",0.5,12010
"DE","00+",2024-03-21,2024-03-31,2,"quantile",0.75,13220
"DE","00+",2024-03-21,2024-03-31,2,"quantile",0.9,14380
"DE","00+",2024-03-21,2024-03-31,2,"quantile",0.975,15770
"DE","00+",2024-03-21,2024-03-31,2,"mean",NA,12103.8388931294
"DE","00+",2024-03-21,2024-04-07,3,"quantile",0.025,8030
"DE","00+",2024-03-21,2024-04-07,3,"quantile",0.1,9020
"DE","00+",2024-03-21,2024-04-07,3,"quantile",0.25,9970
"DE","00+",2024-03-21,2024-04-07,3,"quantile",0.5,11110
"DE","00+",2024-03-21,2024-04-07,3,"quantile",0.75,12350
"DE","00+",2024-03-21,2024-04-07,3,"quantile",0.9,13540
"DE","00+",2024-03-21,2024-04-07,3,"quantile",0.975,14960
"DE","00+",2024-03-21,2024-04-07,3,"mean",NA,11219.0285557416
"DE","00+",2024-03-21,2024-04-14,4,"quantile",0.025,7250
"DE","00+",2024-03-21,2024-04-14,4,"quantile",0.1,8210
"DE","00+",2024-03-21,2024-04-14,4,"quantile",0.25,9150
"DE","00+",2024-03-21,2024-04-14,4,"quantile",0.5,10280
"DE","00+",2024-03-21,2024-04-14,4,"quantile",0.75,11500
"DE","00+",2024-03-21,2024-04-14,4,"quantile",0.9,12690
"DE","00+",2024-03-21,2024-04-14,4,"quantile",0.975,14110
"DE","00+",2024-03-21,2024-04-14,4,"mean",NA,10390.6570939328
"DE","00-04",2024-03-21,2024-03-24,1,"quantile",0.025,1270
"DE","00-04",2024-03-21,2024-03-24,1,"quantile",0.1,1590
"DE","00-04",2024-03-21,2024-03-24,1,"quantile",0.25,1920
"DE","00-04",2024-03-21,2024-03-24,1,"quantile",0.5,2330
"DE","00-04",2024-03-21,2024-03-24,1,"quantile",0.75,2810
"DE","00-04",2024-03-21,2024-03-24,1,"quantile",0.9,3290
"DE","00-04",2024-03-21,2024-03-24,1,"quantile",0.975,3880
"DE","00-04",2024-03-21,2024-03-24,1,"mean",NA,2401.99573520113
"DE","00-04",2024-03-21,2024-03-31,2,"quantile",0.025,1040
"DE","00-04",2024-03-21,2024-03-31,2,"quantile",0.1,1360
"DE","00-04",2024-03-21,2024-03-31,2,"quantile",0.25,1710
"DE","00-04",2024-03-21,2024-03-31,2,"quantile",0.5,2160
"DE","00-04",2024-03-21,2024-03-31,2,"quantile",0.75,2680
"DE","00-04",2024-03-21,2024-03-31,2,"quantile",0.9,3220
"DE","00-04",2024-03-21,2024-03-31,2,"quantile",0.975,3900
"DE","00-04",2024-03-21,2024-03-31,2,"mean",NA,2241.78286246479
"DE","00-04",2024-03-21,2024-04-07,3,"quantile",0.025,850
"DE","00-04",2024-03-21,2024-04-07,3,"quantile",0.1,1170
"DE","00-04",2024-03-21,2024-04-07,3,"quantile",0.25,1520
"DE","00-04",2024-03-21,2024-04-07,3,"quantile",0.5,1990
"DE","00-04",2024-03-21,2024-04-07,3,"quantile",0.75,2550
"DE","00-04",2024-03-21,2024-04-07,3,"quantile",0.9,3130
"DE","00-04",2024-03-21,2024-04-07,3,"quantile",0.975,3870
"DE","00-04",2024-03-21,2024-04-07,3,"mean",NA,2092.74187920708
"DE","00-04",2024-03-21,2024-04-14,4,"quantile",0.025,700
"DE","00-04",2024-03-21,2024-04-14,4,"quantile",0.1,1010
"DE","00-04",2024-03-21,2024-04-14,4,"quantile",0.25,1360
"DE","00-04",2024-03-21,2024-04-14,4,"quantile",0.5,1840
"DE","00-04",2024-03-21,2024-04-14,4,"quantile",0.75,2420
