"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2024-08-29,2024-09-01,1,"quantile",0.025,7545.74358974359
"DE","00+",2024-08-29,2024-09-01,1,"quantile",0.1,8231.79487179487
"DE","00+",2024-08-29,2024-09-01,1,"quantile",0.25,8880.23076923077
"DE","00+",2024-08-29,2024-09-01,1,"quantile",0.5,9639.76923076923
"DE","00+",2024-08-29,2024-09-01,1,"quantile",0.75,10441.358974359
"DE","00+",2024-08-29,2024-09-01,1,"quantile",0.9,11199.4102564103
"DE","00+",2024-08-29,2024-09-01,1,"quantile",0.975,12088.2051282051
"DE","00+",2024-08-29,2024-09-01,1,"mean",NA,9685.96372193744
"DE","00+",2024-08-29,2024-09-08,2,"quantile",0.025,7414.07692307692
"DE","00+",2024-08-29,2024-09-08,2,"quantile",0.1,8212.66666666667
"DE","00+",2024-08-29,2024-09-08,2,"quantile",0.25,8974.87179487179
"DE","00+",2024-08-29,2024-09-08,2,"quantile",0.5,9875.69230769231
"DE","00+",2024-08-29,2024-09-08,2,"quantile",0.75,10834.7692307692
"DE","00+",2024-08-29,2024-09-08,2,"quantile",0.9,11748.8717948718
"DE","00+",2024-08-29,2024-09-08,2,"quantile",0.975,12828.5897435897
"DE","00+",2024-08-29,2024-09-08,2,"mean",NA,9939.63159387961
"DE","00+",2024-08-29,2024-09-15,3,"quantile",0.025,7377.38461538462
"DE","00+",2024-08-29,2024-09-15,3,"quantile",0.1,8279.53846153846
"DE","00+",2024-08-29,2024-09-15,3,"quantile",0.25,9147.74358974359
"DE","00+",2024-08-29,2024-09-15,3,"quantile",0.5,10181.7692307692
"DE","00+",2024-08-29,2024-09-15,3,"quantile",0.75,11290.7948717949
"DE","00+",2024-08-29,2024-09-15,3,"quantile",0.9,12354.7435897436
"DE","00+",2024-08-29,2024-09-15,3,"quantile",0.975,13619.0512820513
"DE","00+",2024-08-29,2024-09-15,3,"mean",NA,10264.1594139134
"DE","00+",2024-08-29,2024-09-22,4,"quantile",0.025,7410.38461538462
"DE","00+",2024-08-29,2024-09-22,4,"quantile",0.1,8414.20512820513
"DE","00+",2024-08-29,2024-09-22,4,"quantile",0.25,9387.41025641026
"DE","00+",2024-08-29,2024-09-22,4,"quantile",0.5,10554.2051282051
"DE","00+",2024-08-29,2024-09-22,4,"quantile",0.75,11813.9743589744
"DE","00+",2024-08-29,2024-09-22,4,"quantile",0.9,13029.2307692308
"DE","00+",2024-08-29,2024-09-22,4,"quantile",0.975,14480.8974358974
"DE","00+",2024-08-29,2024-09-22,4,"mean",NA,10656.1543296149
"DE","00-04",2024-08-29,2024-09-01,1,"quantile",0.025,424
"DE","00-04",2024-08-29,2024-09-01,1,"quantile",0.1,528.307692307692
"DE","00-04",2024-08-29,2024-09-01,1,"quantile",0.25,635.179487179487
"DE","00-04",2024-08-29,2024-09-01,1,"quantile",0.5,770.051282051282
"DE","00-04",2024-08-29,2024-09-01,1,"quantile",0.75,922.666666666667
"DE","00-04",2024-08-29,2024-09-01,1,"quantile",0.9,1075.69230769231
"DE","00-04",2024-08-29,2024-09-01,1,"quantile",0.975,1265.38461538462
"DE","00-04",2024-08-29,2024-09-01,1,"mean",NA,789.480422316056
"DE","00-04",2024-08-29,2024-09-08,2,"quantile",0.025,397.384615384615
"DE","00-04",2024-08-29,2024-09-08,2,"quantile",0.1,523.589743589744
"DE","00-04",2024-08-29,2024-09-08,2,"quantile",0.25,657.871794871795
"DE","00-04",2024-08-29,2024-09-08,2,"quantile",0.5,832.384615384615
"DE","00-04",2024-08-29,2024-09-08,2,"quantile",0.75,1035.41025641026
"DE","00-04",2024-08-29,2024-09-08,2,"quantile",0.9,1243.48717948718
"DE","00-04",2024-08-29,2024-09-08,2,"quantile",0.975,1505.97435897436
"DE","00-04",2024-08-29,2024-09-08,2,"mean",NA,863.524589401463
"DE","00-04",2024-08-29,2024-09-15,3,"quantile",0.025,377.769230769231
"DE","00-04",2024-08-29,2024-09-15,3,"quantile",0.1,525
"DE","00-04",2024-08-29,2024-09-15,3,"quantile",0.25,687.128205128205
"DE","00-04",2024-08-29,2024-09-15,3,"quantile",0.5,903.846153846154
"DE","00-04",2024-08-29,2024-09-15,3,"quantile",0.75,1162
"DE","00-04",2024-08-29,2024-09-15,3,"quantile",0.9,1432.07692307692
"DE","00-04",2024-08-29,2024-09-15,3,"quantile",0.975,1777.94871794872
"DE","00-04",2024-08-29,2024-09-15,3,"mean",NA,949.20737424581
"DE","00-04",2024-08-29,2024-09-22,4,"quantile",0.025,361.538461538462
"DE","00-04",2024-08-29,2024-09-22,4,"quantile",0.1,529.487179487179
"DE","00-04",2024-08-29,2024-09-22,4,"quantile",0.25,720.897435897436
"DE","00-04",2024-08-29,2024-09-22,4,"quantile",0.5,983.717948717949
"DE","00-04",2024-08-29,2024-09-22,4,"quantile",0.75,1304.10256410256
"DE","00-04",2024-08-29,2024-09-22,4,"quantile",0.9,1644.84615384615
"DE","00-04",2024-08-29,2024-09-22,4,"quantile",0.975,2087.71794871795
"DE","00-04",2024-08-29,2024-09-22,4,"mean",NA,1046.57905601246
"DE","05-14",2024-08-29,2024-09-01,1,"quantile",0.025,297.282051282051
"DE","05-14",2024-08-29,2024-09-01,1,"quantile",0.1,426.230769230769
"DE","05-14",2024-08-29,2024-09-01,1,"quantile",0.25,571.128205128205
"DE","05-14",2024-08-29,2024-09-01,1,"quantile",0.5,767.871794871795
"DE","05-14",2024-08-29,2024-09-01,1,"quantile",0.75,1005.51282051282
"DE","05-14",2024-08-29,2024-09-01,1,"quantile",0.9,1256.33333333333
"DE","05-14",2024-08-29,2024-09-01,1,"quantile",0.975,1580.58974358974
"DE","05-14",2024-08-29,2024-09-01,1,"mean",NA,812.476729439441
"DE","05-14",2024-08-29,2024-09-08,2,"quantile",0.025,239.974358974359
"DE","05-14",2024-08-29,2024-09-08,2,"quantile",0.1,384.897435897436
"DE","05-14",2024-08-29,2024-09-08,2,"quantile",0.25,559.820512820513
"DE","05-14",2024-08-29,2024-09-08,2,"quantile",0.5,811.230769230769
"DE","05-14",2024-08-29,2024-09-08,2,"quantile",0.75,1129.07692307692
"DE","05-14",2024-08-29,2024-09-08,2,"quantile",0.9,1476.23076923077
"DE","05-14",2024-08-29,2024-09-08,2,"quantile",0.975,1937.30769230769
"DE","05-14",2024-08-29,2024-09-08,2,"mean",NA,883.598847829963
"DE","05-14",2024-08-29,2024-09-15,3,"quantile",0.025,193.307692307692
"DE","05-14",2024-08-29,2024-09-15,3,"quantile",0.1,348.205128205128
"DE","05-14",2024-08-29,2024-09-15,3,"quantile",0.25,549.333333333333
"DE","05-14",2024-08-29,2024-09-15,3,"quantile",0.5,855.102564102564
"DE","05-14",2024-08-29,2024-09-15,3,"quantile",0.75,1258.71794871795
"DE","05-14",2024-08-29,2024-09-15,3,"quantile",0.9,1713.66666666667
"DE","05-14",2024-08-29,2024-09-15,3,"quantile",0.975,2331.87179487179
"DE","05-14",2024-08-29,2024-09-15,3,"mean",NA,961.575002541313
"DE","05-14",2024-08-29,2024-09-22,4,"quantile",0.025,154.179487179487
"DE","05-14",2024-08-29,2024-09-22,4,"quantile",0.1,313.615384615385
"DE","05-14",2024-08-29,2024-09-22,4,"quantile",0.25,538.102564102564
"DE","05-14",2024-08-29,2024-09-22,4,"quantile",0.5,899.25641025641
"DE","05-14",2024-08-29,2024-09-22,4,"quantile",0.75,1396.66666666667
"DE","05-14",2024-08-29,2024-09-22,4,"quantile",0.9,1973.71794871795
"DE","05-14",2024-08-29,2024-09-22,4,"quantile",0.975,2774.38461538462
"DE","05-14",2024-08-29,2024-09-22,4,"mean",NA,1047.05342810466
"DE","15-34",2024-08-29,2024-09-01,1,"quantile",0.025,552.692307692308
"DE","15-34",2024-08-29,2024-09-01,1,"quantile",0.1,719.512820512821
"DE","15-34",2024-08-29,2024-09-01,1,"quantile",0.25,895.74358974359
"DE","15-34",2024-08-29,2024-09-01,1,"quantile",0.5,1123.64102564103
"DE","15-34",2024-08-29,2024-09-01,1,"quantile",0.75,1387.05128205128
"DE","15-34",2024-08-29,2024-09-01,1,"quantile",0.9,1656.10256410256
