location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-08-29,2024-09-01,1,quantile,0.025,8058.504726314728
DE,00+,2024-08-29,2024-09-01,1,quantile,0.1,8693.186203172514
DE,00+,2024-08-29,2024-09-01,1,quantile,0.25,9191.879104360001
DE,00+,2024-08-29,2024-09-01,1,quantile,0.5,9773.40530932125
DE,00+,2024-08-29,2024-09-01,1,quantile,0.75,10232.352936465017
DE,00+,2024-08-29,2024-09-01,1,quantile,0.9,11430.689729397674
DE,00+,2024-08-29,2024-09-01,1,quantile,0.975,12320.18155384967
DE,00+,2024-08-29,2024-09-08,2,quantile,0.025,7391.996716036374
DE,00+,2024-08-29,2024-09-08,2,quantile,0.1,8591.35274635147
DE,00+,2024-08-29,2024-09-08,2,quantile,0.25,9552.813369381236
DE,00+,2024-08-29,2024-09-08,2,quantile,0.5,10035.355671953153
DE,00+,2024-08-29,2024-09-08,2,quantile,0.75,10346.138992201555
DE,00+,2024-08-29,2024-09-08,2,quantile,0.9,11099.953039244647
DE,00+,2024-08-29,2024-09-08,2,quantile,0.975,12714.575149606117
DE,00+,2024-08-29,2024-09-15,3,quantile,0.025,7223.192133561145
DE,00+,2024-08-29,2024-09-15,3,quantile,0.1,8357.554397046752
DE,00+,2024-08-29,2024-09-15,3,quantile,0.25,9492.478345647622
DE,00+,2024-08-29,2024-09-15,3,quantile,0.5,10281.328897126441
DE,00+,2024-08-29,2024-09-15,3,quantile,0.75,10667.113123474064
DE,00+,2024-08-29,2024-09-15,3,quantile,0.9,11753.988420445241
DE,00+,2024-08-29,2024-09-15,3,quantile,0.975,13379.03202856353
DE,00+,2024-08-29,2024-09-22,4,quantile,0.025,7153.324522837368
DE,00+,2024-08-29,2024-09-22,4,quantile,0.1,8619.9726137808
DE,00+,2024-08-29,2024-09-22,4,quantile,0.25,9855.007396692714
DE,00+,2024-08-29,2024-09-22,4,quantile,0.5,10400.535443228833
DE,00+,2024-08-29,2024-09-22,4,quantile,0.75,10712.234429904933
DE,00+,2024-08-29,2024-09-22,4,quantile,0.9,11471.026693518446
DE,00+,2024-08-29,2024-09-22,4,quantile,0.975,14101.353591833991
DE,00-04,2024-08-29,2024-09-01,1,quantile,0.025,571.2625545446268
DE,00-04,2024-08-29,2024-09-01,1,quantile,0.1,689.2710873663602
DE,00-04,2024-08-29,2024-09-01,1,quantile,0.25,806.7362486817258
DE,00-04,2024-08-29,2024-09-01,1,quantile,0.5,918.0912318370245
DE,00-04,2024-08-29,2024-09-01,1,quantile,0.75,1011.4093973525396
DE,00-04,2024-08-29,2024-09-01,1,quantile,0.9,1213.758439233217
DE,00-04,2024-08-29,2024-09-01,1,quantile,0.975,1712.034763581842
DE,00-04,2024-08-29,2024-09-08,2,quantile,0.025,578.3573581131193
DE,00-04,2024-08-29,2024-09-08,2,quantile,0.1,674.5202503363233
DE,00-04,2024-08-29,2024-09-08,2,quantile,0.25,836.6659935103216
DE,00-04,2024-08-29,2024-09-08,2,quantile,0.5,959.5384455211221
DE,00-04,2024-08-29,2024-09-08,2,quantile,0.75,1059.8623943047098
DE,00-04,2024-08-29,2024-09-08,2,quantile,0.9,1393.3704135197809
DE,00-04,2024-08-29,2024-09-08,2,quantile,0.975,1812.824952698124
DE,00-04,2024-08-29,2024-09-15,3,quantile,0.025,500.904420592489
DE,00-04,2024-08-29,2024-09-15,3,quantile,0.1,656.8014566637335
DE,00-04,2024-08-29,2024-09-15,3,quantile,0.25,869.9334143721095
DE,00-04,2024-08-29,2024-09-15,3,quantile,0.5,973.761967155541
DE,00-04,2024-08-29,2024-09-15,3,quantile,0.75,1078.2087895550571
DE,00-04,2024-08-29,2024-09-15,3,quantile,0.9,1384.0926837589059
DE,00-04,2024-08-29,2024-09-15,3,quantile,0.975,1691.728315669602
DE,00-04,2024-08-29,2024-09-22,4,quantile,0.025,477.68803785237316
DE,00-04,2024-08-29,2024-09-22,4,quantile,0.1,768.7408363312776
DE,00-04,2024-08-29,2024-09-22,4,quantile,0.25,987.608271818244
DE,00-04,2024-08-29,2024-09-22,4,quantile,0.5,1062.3827761065922
DE,00-04,2024-08-29,2024-09-22,4,quantile,0.75,1127.6780956901375
DE,00-04,2024-08-29,2024-09-22,4,quantile,0.9,1494.5201429816655
DE,00-04,2024-08-29,2024-09-22,4,quantile,0.975,2531.6155442593927
DE,05-14,2024-08-29,2024-09-01,1,quantile,0.025,172.95967996638248
