location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-05-23,2024-05-19,0,quantile,0.025,8826.599689046438
DE,00+,2024-05-23,2024-05-19,0,quantile,0.1,9479.60584773427
DE,00+,2024-05-23,2024-05-19,0,quantile,0.25,9853.599180652649
DE,00+,2024-05-23,2024-05-19,0,quantile,0.5,10208.94165211167
DE,00+,2024-05-23,2024-05-19,0,quantile,0.75,10888.461422796667
DE,00+,2024-05-23,2024-05-19,0,quantile,0.9,11883.130565522424
DE,00+,2024-05-23,2024-05-19,0,quantile,0.975,12983.308193390327
DE,00+,2024-05-23,2024-05-26,1,quantile,0.025,7954.869233086676
DE,00+,2024-05-23,2024-05-26,1,quantile,0.1,8696.18826010537
DE,00+,2024-05-23,2024-05-26,1,quantile,0.25,9310.978403474051
DE,00+,2024-05-23,2024-05-26,1,quantile,0.5,10049.152105332036
DE,00+,2024-05-23,2024-05-26,1,quantile,0.75,10762.07204915101
DE,00+,2024-05-23,2024-05-26,1,quantile,0.9,11952.50797341773
DE,00+,2024-05-23,2024-05-26,1,quantile,0.975,13096.621088598813
DE,00+,2024-05-23,2024-06-02,2,quantile,0.025,7657.290969317964
DE,00+,2024-05-23,2024-06-02,2,quantile,0.1,8337.894773318721
DE,00+,2024-05-23,2024-06-02,2,quantile,0.25,9164.378415892961
DE,00+,2024-05-23,2024-06-02,2,quantile,0.5,9557.547344861381
DE,00+,2024-05-23,2024-06-02,2,quantile,0.75,10283.64551229002
DE,00+,2024-05-23,2024-06-02,2,quantile,0.9,11519.533452813497
DE,00+,2024-05-23,2024-06-02,2,quantile,0.975,14721.344303202126
DE,00+,2024-05-23,2024-06-09,3,quantile,0.025,6913.138912860939
DE,00+,2024-05-23,2024-06-09,3,quantile,0.1,7767.473219026407
DE,00+,2024-05-23,2024-06-09,3,quantile,0.25,8949.812293158458
DE,00+,2024-05-23,2024-06-09,3,quantile,0.5,9316.399443702514
DE,00+,2024-05-23,2024-06-09,3,quantile,0.75,10104.144150137032
DE,00+,2024-05-23,2024-06-09,3,quantile,0.9,11410.517953821429
DE,00+,2024-05-23,2024-06-09,3,quantile,0.975,14975.638524368109
DE,00-04,2024-05-23,2024-05-19,0,quantile,0.025,858.6943659115259
DE,00-04,2024-05-23,2024-05-19,0,quantile,0.1,1025.1548085797222
DE,00-04,2024-05-23,2024-05-19,0,quantile,0.25,1084.0476097635349
DE,00-04,2024-05-23,2024-05-19,0,quantile,0.5,1140.420547006196
DE,00-04,2024-05-23,2024-05-19,0,quantile,0.75,1327.481140644624
DE,00-04,2024-05-23,2024-05-19,0,quantile,0.9,1523.796689086591
DE,00-04,2024-05-23,2024-05-19,0,quantile,0.975,1802.7937414114447
DE,00-04,2024-05-23,2024-05-26,1,quantile,0.025,786.5105894508125
DE,00-04,2024-05-23,2024-05-26,1,quantile,0.1,1036.858183390362
DE,00-04,2024-05-23,2024-05-26,1,quantile,0.25,1064.0882807699309
DE,00-04,2024-05-23,2024-05-26,1,quantile,0.5,1120.4637402224753
DE,00-04,2024-05-23,2024-05-26,1,quantile,0.75,1192.8696088653337
DE,00-04,2024-05-23,2024-05-26,1,quantile,0.9,1444.3022171452728
DE,00-04,2024-05-23,2024-05-26,1,quantile,0.975,1745.5860290496973
DE,00-04,2024-05-23,2024-06-02,2,quantile,0.025,614.83847567493
DE,00-04,2024-05-23,2024-06-02,2,quantile,0.1,947.5383649928374
DE,00-04,2024-05-23,2024-06-02,2,quantile,0.25,1099.883691765253
DE,00-04,2024-05-23,2024-06-02,2,quantile,0.5,1201.8188919656754
DE,00-04,2024-05-23,2024-06-02,2,quantile,0.75,1268.5919275054048
DE,00-04,2024-05-23,2024-06-02,2,quantile,0.9,1425.6118387370552
DE,00-04,2024-05-23,2024-06-02,2,quantile,0.975,1635.6321322126087
DE,00-04,2024-05-23,2024-06-09,3,quantile,0.025,540.8550704394531
DE,00-04,2024-05-23,2024-06-09,3,quantile,0.1,1042.3975302417268
DE,00-04,2024-05-23,2024-06-09,3,quantile,0.25,1106.8826421612075
DE,00-04,2024-05-23,2024-06-09,3,quantile,0.5,1184.4547077260459
DE,00-04,2024-05-23,2024-06-09,3,quantile,0.75,1285.630188047348
DE,00-04,2024-05-23,2024-06-09,3,quantile,0.9,1403.2433346402179
DE,00-04,2024-05-23,2024-06-09,3,quantile,0.975,2899.3981180365467
DE,05-14,2024-05-23,2024-05-19,0,quantile,0.025,184.19664594544355
DE,05-14,2024-05-23,2024-05-19,0,quantile,0.1,426.36574431359156
DE,05-14,2024-05-23,2024-05-19,0,quantile,0.25,529.1755002628449
DE,05-14,2024-05-23,2024-05-19,0,quantile,0.5,571.57163845093
DE,05-14,2024-05-23,2024-05-19,0,quantile,0.75,665.1010099830767
DE,05-14,2024-05-23,2024-05-19,0,quantile,0.9,717.6683492012804
DE,05-14,2024-05-23,2024-05-19,0,quantile,0.975,820.74626430348
DE,05-14,2024-05-23,2024-05-26,1,quantile,0.025,141.46327974886896
DE,05-14,2024-05-23,2024-05-26,1,quantile,0.1,382.4505170904274
DE,05-14,2024-05-23,2024-05-26,1,quantile,0.25,544.9822592877615
DE,05-14,2024-05-23,2024-05-26,1,quantile,0.5,602.5915326133412
DE,05-14,2024-05-23,2024-05-26,1,quantile,0.75,650.5147472004293
DE,05-14,2024-05-23,2024-05-26,1,quantile,0.9,677.9405929313841
DE,05-14,2024-05-23,2024-05-26,1,quantile,0.975,749.2357263305928
DE,05-14,2024-05-23,2024-06-02,2,quantile,0.025,141.22066886737448
DE,05-14,2024-05-23,2024-06-02,2,quantile,0.1,350.4200974326019
DE,05-14,2024-05-23,2024-06-02,2,quantile,0.25,501.00424232460034
DE,05-14,2024-05-23,2024-06-02,2,quantile,0.5,572.828071154683
DE,05-14,2024-05-23,2024-06-02,2,quantile,0.75,616.1934580967015
DE,05-14,2024-05-23,2024-06-02,2,quantile,0.9,644.7109644602763
DE,05-14,2024-05-23,2024-06-02,2,quantile,0.975,695.7722521212027
DE,05-14,2024-05-23,2024-06-09,3,quantile,0.025,126.18985596927241
DE,05-14,2024-05-23,2024-06-09,3,quantile,0.1,312.28313039495504
DE,05-14,2024-05-23,2024-06-09,3,quantile,0.25,451.5389671179435
DE,05-14,2024-05-23,2024-06-09,3,quantile,0.5,517.0534175620962
DE,05-14,2024-05-23,2024-06-09,3,quantile,0.75,537.9233464099998
DE,05-14,2024-05-23,2024-06-09,3,quantile,0.9,574.1569611988717
DE,05-14,2024-05-23,2024-06-09,3,quantile,0.975,780.5848635495838
DE,15-34,2024-05-23,2024-05-19,0,quantile,0.025,307.91305398712575
DE,15-34,2024-05-23,2024-05-19,0,quantile,0.1,418.01513304571125
DE,15-34,2024-05-23,2024-05-19,0,quantile,0.25,567.3822653228752
DE,15-34,2024-05-23,2024-05-19,0,quantile,0.5,620.8465578882127
DE,15-34,2024-05-23,2024-05-19,0,quantile,0.75,655.9142037589152
DE,15-34,2024-05-23,2024-05-19,0,quantile,0.9,765.1789869309848
DE,15-34,2024-05-23,2024-05-19,0,quantile,0.975,856.1938475989864
DE,15-34,2024-05-23,2024-05-26,1,quantile,0.025,296.7511466893028
DE,15-34,2024-05-23,2024-05-26,1,quantile,0.1,412.99283211200583
DE,15-34,2024-05-23,2024-05-26,1,quantile,0.25,524.8602853642415
DE,15-34,2024-05-23,2024-05-26,1,quantile,0.5,571.0724192691275
DE,15-34,2024-05-23,2024-05-26,1,quantile,0.75,635.0608964786187
DE,15-34,2024-05-23,2024-05-26,1,quantile,0.9,666.990024016832
DE,15-34,2024-05-23,2024-05-26,1,quantile,0.975,698.8515321409077
DE,15-34,2024-05-23,2024-06-02,2,quantile,0.025,258.37681898131655
DE,15-34,2024-05-23,2024-06-02,2,quantile,0.1,345.289483357699
DE,15-34,2024-05-23,2024-06-02,2,quantile,0.25,416.8599464416014
DE,15-34,2024-05-23,2024-06-02,2,quantile,0.5,481.94924066711036
DE,15-34,2024-05-23,2024-06-02,2,quantile,0.75,565.1028193620117
DE,15-34,2024-05-23,2024-06-02,2,quantile,0.9,685.278150725481
DE,15-34,2024-05-23,2024-06-02,2,quantile,0.975,730.2634737648989
DE,15-34,2024-05-23,2024-06-09,3,quantile,0.025,228.9066017473862
DE,15-34,2024-05-23,2024-06-09,3,quantile,0.1,314.79220770432585
DE,15-34,2024-05-23,2024-06-09,3,quantile,0.25,415.6459540030743
DE,15-34,2024-05-23,2024-06-09,3,quantile,0.5,472.2957511231185
DE,15-34,2024-05-23,2024-06-09,3,quantile,0.75,587.9156120034719
DE,15-34,2024-05-23,2024-06-09,3,quantile,0.9,702.7419302606406
DE,15-34,2024-05-23,2024-06-09,3,quantile,0.975,741.1682594143984
DE,35-59,2024-05-23,2024-05-19,0,quantile,0.025,1093.2520218823324
DE,35-59,2024-05-23,2024-05-19,0,quantile,0.1,1235.908897425364
DE,35-59,2024-05-23,2024-05-19,0,quantile,0.25,1368.4720636261147
DE,35-59,2024-05-23,2024-05-19,0,quantile,0.5,1411.1862216507154
DE,35-59,2024-05-23,2024-05-19,0,quantile,0.75,1463.5385522700635
DE,35-59,2024-05-23,2024-05-19,0,quantile,0.9,1583.7978051939904
DE,35-59,2024-05-23,2024-05-19,0,quantile,0.975,1718.2207833430516
DE,35-59,2024-05-23,2024-05-26,1,quantile,0.025,1031.6463906212116
DE,35-59,2024-05-23,2024-05-26,1,quantile,0.1,1220.5452957646044
DE,35-59,2024-05-23,2024-05-26,1,quantile,0.25,1304.4335321781268
DE,35-59,2024-05-23,2024-05-26,1,quantile,0.5,1411.6514683283174
DE,35-59,2024-05-23,2024-05-26,1,quantile,0.75,1553.2174167061203
DE,35-59,2024-05-23,2024-05-26,1,quantile,0.9,1630.8927182984387
DE,35-59,2024-05-23,2024-05-26,1,quantile,0.975,1705.2131212127667
DE,35-59,2024-05-23,2024-06-02,2,quantile,0.025,929.2649238548286
DE,35-59,2024-05-23,2024-06-02,2,quantile,0.1,1082.4523971075218
DE,35-59,2024-05-23,2024-06-02,2,quantile,0.25,1176.4491919011602
DE,35-59,2024-05-23,2024-06-02,2,quantile,0.5,1239.6950922130454
DE,35-59,2024-05-23,2024-06-02,2,quantile,0.75,1324.1667484292034
DE,35-59,2024-05-23,2024-06-02,2,quantile,0.9,1488.0827883755267
DE,35-59,2024-05-23,2024-06-02,2,quantile,0.975,1719.529888940926
DE,35-59,2024-05-23,2024-06-09,3,quantile,0.025,877.5081949764111
DE,35-59,2024-05-23,2024-06-09,3,quantile,0.1,1098.3596699603581
DE,35-59,2024-05-23,2024-06-09,3,quantile,0.25,1244.176293544911
DE,35-59,2024-05-23,2024-06-09,3,quantile,0.5,1341.5378838348702
DE,35-59,2024-05-23,2024-06-09,3,quantile,0.75,1472.7212413851853
DE,35-59,2024-05-23,2024-06-09,3,quantile,0.9,1566.5567857102249
DE,35-59,2024-05-23,2024-06-09,3,quantile,0.975,1775.3762867563833
DE,60-79,2024-05-23,2024-05-19,0,quantile,0.025,2414.693017293871
DE,60-79,2024-05-23,2024-05-19,0,quantile,0.1,2648.387948282471
DE,60-79,2024-05-23,2024-05-19,0,quantile,0.25,2813.0012673477477
DE,60-79,2024-05-23,2024-05-19,0,quantile,0.5,2914.428847494536
DE,60-79,2024-05-23,2024-05-19,0,quantile,0.75,3057.1350187403923
DE,60-79,2024-05-23,2024-05-19,0,quantile,0.9,3262.8613150856627
DE,60-79,2024-05-23,2024-05-19,0,quantile,0.975,3543.97604571972
DE,60-79,2024-05-23,2024-05-26,1,quantile,0.025,2272.568245185093
DE,60-79,2024-05-23,2024-05-26,1,quantile,0.1,2458.3774645940393
DE,60-79,2024-05-23,2024-05-26,1,quantile,0.25,2528.8377346492243
DE,60-79,2024-05-23,2024-05-26,1,quantile,0.5,2719.000878677291
DE,60-79,2024-05-23,2024-05-26,1,quantile,0.75,2970.648924026426
DE,60-79,2024-05-23,2024-05-26,1,quantile,0.9,3194.201872352795
DE,60-79,2024-05-23,2024-05-26,1,quantile,0.975,3800.9857436026386
DE,60-79,2024-05-23,2024-06-02,2,quantile,0.025,2210.9381045554815
DE,60-79,2024-05-23,2024-06-02,2,quantile,0.1,2500.383186149213
DE,60-79,2024-05-23,2024-06-02,2,quantile,0.25,2567.234171743728
DE,60-79,2024-05-23,2024-06-02,2,quantile,0.5,2668.4871229093087
DE,60-79,2024-05-23,2024-06-02,2,quantile,0.75,2823.2433622931103
DE,60-79,2024-05-23,2024-06-02,2,quantile,0.9,3030.494493014385
DE,60-79,2024-05-23,2024-06-02,2,quantile,0.975,3746.5078358444384
DE,60-79,2024-05-23,2024-06-09,3,quantile,0.025,2102.572918459157
DE,60-79,2024-05-23,2024-06-09,3,quantile,0.1,2380.5742197936097
DE,60-79,2024-05-23,2024-06-09,3,quantile,0.25,2562.225662919828
DE,60-79,2024-05-23,2024-06-09,3,quantile,0.5,2648.17633054496
DE,60-79,2024-05-23,2024-06-09,3,quantile,0.75,2766.7316252887604
DE,60-79,2024-05-23,2024-06-09,3,quantile,0.9,2997.1337087188263
DE,60-79,2024-05-23,2024-06-09,3,quantile,0.975,3701.9812782725057
DE,80+,2024-05-23,2024-05-19,0,quantile,0.025,2543.8311292865205
DE,80+,2024-05-23,2024-05-19,0,quantile,0.1,2799.08274975547
DE,80+,2024-05-23,2024-05-19,0,quantile,0.25,2945.8069815014874
DE,80+,2024-05-23,2024-05-19,0,quantile,0.5,3129.5463018770383
DE,80+,2024-05-23,2024-05-19,0,quantile,0.75,3329.2053580971065
DE,80+,2024-05-23,2024-05-19,0,quantile,0.9,3542.4792672554127
DE,80+,2024-05-23,2024-05-19,0,quantile,0.975,3965.937533637506
DE,80+,2024-05-23,2024-05-26,1,quantile,0.025,2406.025804072874
