location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-05-30,2024-06-02,1,quantile,0.025,7137.699451498808
DE,00+,2024-05-30,2024-06-02,1,quantile,0.1,7659.3536760156185
DE,00+,2024-05-30,2024-06-02,1,quantile,0.25,8065.863125096606
DE,00+,2024-05-30,2024-06-02,1,quantile,0.5,8235.595689694292
DE,00+,2024-05-30,2024-06-02,1,quantile,0.75,8831.209549487105
DE,00+,2024-05-30,2024-06-02,1,quantile,0.9,9786.910960980478
DE,00+,2024-05-30,2024-06-02,1,quantile,0.975,12750.825763128842
DE,00+,2024-05-30,2024-06-09,2,quantile,0.025,7104.587434880397
DE,00+,2024-05-30,2024-06-09,2,quantile,0.1,7489.218368498742
DE,00+,2024-05-30,2024-06-09,2,quantile,0.25,8062.5066978141385
DE,00+,2024-05-30,2024-06-09,2,quantile,0.5,8433.569635873555
DE,00+,2024-05-30,2024-06-09,2,quantile,0.75,9295.03610815911
DE,00+,2024-05-30,2024-06-09,2,quantile,0.9,9569.916429843199
DE,00+,2024-05-30,2024-06-09,2,quantile,0.975,12130.726127521071
DE,00+,2024-05-30,2024-06-16,3,quantile,0.025,6891.416853254463
DE,00+,2024-05-30,2024-06-16,3,quantile,0.1,7451.986895230385
DE,00+,2024-05-30,2024-06-16,3,quantile,0.25,7830.576882516785
DE,00+,2024-05-30,2024-06-16,3,quantile,0.5,8054.410299992238
DE,00+,2024-05-30,2024-06-16,3,quantile,0.75,8927.64532453792
DE,00+,2024-05-30,2024-06-16,3,quantile,0.9,9694.963791271231
DE,00+,2024-05-30,2024-06-16,3,quantile,0.975,14005.02639885795
DE,00+,2024-05-30,2024-06-23,4,quantile,0.025,6439.700547231443
DE,00+,2024-05-30,2024-06-23,4,quantile,0.1,6862.633980438246
DE,00+,2024-05-30,2024-06-23,4,quantile,0.25,7405.741934005314
DE,00+,2024-05-30,2024-06-23,4,quantile,0.5,7664.341209662482
DE,00+,2024-05-30,2024-06-23,4,quantile,0.75,8689.777826575719
DE,00+,2024-05-30,2024-06-23,4,quantile,0.9,9387.239188424068
DE,00+,2024-05-30,2024-06-23,4,quantile,0.975,14067.464820557716
DE,00-04,2024-05-30,2024-06-02,1,quantile,0.025,807.3631467483626
DE,00-04,2024-05-30,2024-06-02,1,quantile,0.1,908.5490374922258
DE,00-04,2024-05-30,2024-06-02,1,quantile,0.25,926.6795837840025
DE,00-04,2024-05-30,2024-06-02,1,quantile,0.5,1146.2095640588636
DE,00-04,2024-05-30,2024-06-02,1,quantile,0.75,1184.6934820175147
DE,00-04,2024-05-30,2024-06-02,1,quantile,0.9,1422.5397173899214
DE,00-04,2024-05-30,2024-06-02,1,quantile,0.975,1726.3137722821114
DE,00-04,2024-05-30,2024-06-09,2,quantile,0.025,723.7820489689756
DE,00-04,2024-05-30,2024-06-09,2,quantile,0.1,867.3343329133229
DE,00-04,2024-05-30,2024-06-09,2,quantile,0.25,905.3914672833422
DE,00-04,2024-05-30,2024-06-09,2,quantile,0.5,955.3944067461523
DE,00-04,2024-05-30,2024-06-09,2,quantile,0.75,1023.4292573139649
DE,00-04,2024-05-30,2024-06-09,2,quantile,0.9,1671.7909978070006
DE,00-04,2024-05-30,2024-06-09,2,quantile,0.975,1817.0580092452733
DE,00-04,2024-05-30,2024-06-16,3,quantile,0.025,529.9582389553018
DE,00-04,2024-05-30,2024-06-16,3,quantile,0.1,695.6097406494854
DE,00-04,2024-05-30,2024-06-16,3,quantile,0.25,784.4213672149671
DE,00-04,2024-05-30,2024-06-16,3,quantile,0.5,847.9053933127647
DE,00-04,2024-05-30,2024-06-16,3,quantile,0.75,976.2061424339033
DE,00-04,2024-05-30,2024-06-16,3,quantile,0.9,1315.9620908057686
DE,00-04,2024-05-30,2024-06-16,3,quantile,0.975,1629.534267317976
DE,00-04,2024-05-30,2024-06-23,4,quantile,0.025,533.0751294738263
DE,00-04,2024-05-30,2024-06-23,4,quantile,0.1,799.528663951479
DE,00-04,2024-05-30,2024-06-23,4,quantile,0.25,857.2580289609366
DE,00-04,2024-05-30,2024-06-23,4,quantile,0.5,889.9145882923528
DE,00-04,2024-05-30,2024-06-23,4,quantile,0.75,956.7532217711316
DE,00-04,2024-05-30,2024-06-23,4,quantile,0.9,1229.4740476969114
DE,00-04,2024-05-30,2024-06-23,4,quantile,0.975,2841.6077925086925
DE,05-14,2024-05-30,2024-06-02,1,quantile,0.025,187.14360896254726
DE,05-14,2024-05-30,2024-06-02,1,quantile,0.1,288.2542441828426
DE,05-14,2024-05-30,2024-06-02,1,quantile,0.25,376.4605935123383
DE,05-14,2024-05-30,2024-06-02,1,quantile,0.5,485.9263910039282
DE,05-14,2024-05-30,2024-06-02,1,quantile,0.75,507.42904039922666
DE,05-14,2024-05-30,2024-06-02,1,quantile,0.9,536.5228230447001
DE,05-14,2024-05-30,2024-06-02,1,quantile,0.975,609.9363632360202
DE,05-14,2024-05-30,2024-06-09,2,quantile,0.025,120.80268342263378
DE,05-14,2024-05-30,2024-06-09,2,quantile,0.1,233.0116111822073
DE,05-14,2024-05-30,2024-06-09,2,quantile,0.25,339.7433059484232
DE,05-14,2024-05-30,2024-06-09,2,quantile,0.5,436.26939594658944
DE,05-14,2024-05-30,2024-06-09,2,quantile,0.75,466.5996594963155
DE,05-14,2024-05-30,2024-06-09,2,quantile,0.9,532.5615270381121
DE,05-14,2024-05-30,2024-06-09,2,quantile,0.975,601.118408769946
DE,05-14,2024-05-30,2024-06-16,3,quantile,0.025,118.00563251510266
