location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-02-29,2024-03-03,1,quantile,0.025,8514.53873804552
DE,00+,2024-02-29,2024-03-03,1,quantile,0.1,13752.57079564033
DE,00+,2024-02-29,2024-03-03,1,quantile,0.25,16290.355358883415
DE,00+,2024-02-29,2024-03-03,1,quantile,0.5,18790.329108546703
DE,00+,2024-02-29,2024-03-03,1,quantile,0.75,21306.067392513047
DE,00+,2024-02-29,2024-03-03,1,quantile,0.9,24357.538121099005
DE,00+,2024-02-29,2024-03-03,1,quantile,0.975,27209.93093080006
DE,00+,2024-02-29,2024-03-10,2,quantile,0.025,7896.490544361199
DE,00+,2024-02-29,2024-03-10,2,quantile,0.1,11729.275423179812
DE,00+,2024-02-29,2024-03-10,2,quantile,0.25,12725.21271118478
DE,00+,2024-02-29,2024-03-10,2,quantile,0.5,14777.068826882547
DE,00+,2024-02-29,2024-03-10,2,quantile,0.75,18951.936387800713
DE,00+,2024-02-29,2024-03-10,2,quantile,0.9,23200.29197279215
DE,00+,2024-02-29,2024-03-10,2,quantile,0.975,27482.99544691637
DE,00+,2024-02-29,2024-03-17,3,quantile,0.025,7816.324426923902
DE,00+,2024-02-29,2024-03-17,3,quantile,0.1,10317.030628497485
DE,00+,2024-02-29,2024-03-17,3,quantile,0.25,10689.355936616597
DE,00+,2024-02-29,2024-03-17,3,quantile,0.5,12573.316272081785
DE,00+,2024-02-29,2024-03-17,3,quantile,0.75,16918.474587977693
DE,00+,2024-02-29,2024-03-17,3,quantile,0.9,21256.797234373284
DE,00+,2024-02-29,2024-03-17,3,quantile,0.975,28109.111515333898
DE,00+,2024-02-29,2024-03-24,4,quantile,0.025,7731.256393420759
DE,00+,2024-02-29,2024-03-24,4,quantile,0.1,9459.539380558077
DE,00+,2024-02-29,2024-03-24,4,quantile,0.25,9707.904527741568
DE,00+,2024-02-29,2024-03-24,4,quantile,0.5,10584.704962668602
DE,00+,2024-02-29,2024-03-24,4,quantile,0.75,13684.169803945211
DE,00+,2024-02-29,2024-03-24,4,quantile,0.9,17190.688470739617
DE,00+,2024-02-29,2024-03-24,4,quantile,0.975,25499.62303357154
DE,00-04,2024-02-29,2024-03-03,1,quantile,0.025,554.6606369769506
DE,00-04,2024-02-29,2024-03-03,1,quantile,0.1,2010.316288313164
DE,00-04,2024-02-29,2024-03-03,1,quantile,0.25,2547.9313146395475
DE,00-04,2024-02-29,2024-03-03,1,quantile,0.5,2969.616634668612
DE,00-04,2024-02-29,2024-03-03,1,quantile,0.75,3457.7056590930843
DE,00-04,2024-02-29,2024-03-03,1,quantile,0.9,4160.24815792573
DE,00-04,2024-02-29,2024-03-03,1,quantile,0.975,5062.290255832939
DE,00-04,2024-02-29,2024-03-10,2,quantile,0.025,694.5566491258362
DE,00-04,2024-02-29,2024-03-10,2,quantile,0.1,1515.3468504635637
DE,00-04,2024-02-29,2024-03-10,2,quantile,0.25,2035.710637738037
DE,00-04,2024-02-29,2024-03-10,2,quantile,0.5,2472.1257265071363
DE,00-04,2024-02-29,2024-03-10,2,quantile,0.75,2940.3978026765744
DE,00-04,2024-02-29,2024-03-10,2,quantile,0.9,3833.506952875301
DE,00-04,2024-02-29,2024-03-10,2,quantile,0.975,5147.243511076431
DE,00-04,2024-02-29,2024-03-17,3,quantile,0.025,213.14811268917015
DE,00-04,2024-02-29,2024-03-17,3,quantile,0.1,823.3008584178499
DE,00-04,2024-02-29,2024-03-17,3,quantile,0.25,1388.818335439482
DE,00-04,2024-02-29,2024-03-17,3,quantile,0.5,2080.8885895445624
DE,00-04,2024-02-29,2024-03-17,3,quantile,0.75,2595.7955606183195
DE,00-04,2024-02-29,2024-03-17,3,quantile,0.9,3739.1938870656713
DE,00-04,2024-02-29,2024-03-17,3,quantile,0.975,4867.119005745057
DE,00-04,2024-02-29,2024-03-24,4,quantile,0.025,131.55736980249418
DE,00-04,2024-02-29,2024-03-24,4,quantile,0.1,500.1983841214652
DE,00-04,2024-02-29,2024-03-24,4,quantile,0.25,1162.7997007944355
DE,00-04,2024-02-29,2024-03-24,4,quantile,0.5,1937.2896747361417
DE,00-04,2024-02-29,2024-03-24,4,quantile,0.75,2501.6475545750054
DE,00-04,2024-02-29,2024-03-24,4,quantile,0.9,2997.8334146087923
DE,00-04,2024-02-29,2024-03-24,4,quantile,0.975,4417.168237571336
DE,05-14,2024-02-29,2024-03-03,1,quantile,0.025,190.02954544909412
DE,05-14,2024-02-29,2024-03-03,1,quantile,0.1,413.04347930548255
DE,05-14,2024-02-29,2024-03-03,1,quantile,0.25,571.9350912385726
DE,05-14,2024-02-29,2024-03-03,1,quantile,0.5,685.6580460777188
DE,05-14,2024-02-29,2024-03-03,1,quantile,0.75,940.2513744013347
DE,05-14,2024-02-29,2024-03-03,1,quantile,0.9,1104.152983896135
DE,05-14,2024-02-29,2024-03-03,1,quantile,0.975,1322.226511672873
DE,05-14,2024-02-29,2024-03-10,2,quantile,0.025,81.40137776068099
DE,05-14,2024-02-29,2024-03-10,2,quantile,0.1,193.20440430914852
DE,05-14,2024-02-29,2024-03-10,2,quantile,0.25,420.9609793534316
DE,05-14,2024-02-29,2024-03-10,2,quantile,0.5,579.7639240896383
DE,05-14,2024-02-29,2024-03-10,2,quantile,0.75,759.6129443729969
DE,05-14,2024-02-29,2024-03-10,2,quantile,0.9,924.0211610998027
DE,05-14,2024-02-29,2024-03-10,2,quantile,0.975,1180.6186518051795
DE,05-14,2024-02-29,2024-03-17,3,quantile,0.025,64.36234504989268
DE,05-14,2024-02-29,2024-03-17,3,quantile,0.1,147.311385093174
DE,05-14,2024-02-29,2024-03-17,3,quantile,0.25,306.093768346729
DE,05-14,2024-02-29,2024-03-17,3,quantile,0.5,456.4183997216046
DE,05-14,2024-02-29,2024-03-17,3,quantile,0.75,601.676153315351
DE,05-14,2024-02-29,2024-03-17,3,quantile,0.9,652.7557040240084
DE,05-14,2024-02-29,2024-03-17,3,quantile,0.975,962.490600471245
DE,05-14,2024-02-29,2024-03-24,4,quantile,0.025,56.91633005586458
DE,05-14,2024-02-29,2024-03-24,4,quantile,0.1,118.3290836851864
DE,05-14,2024-02-29,2024-03-24,4,quantile,0.25,232.4932186201034
DE,05-14,2024-02-29,2024-03-24,4,quantile,0.5,323.09292241054135
DE,05-14,2024-02-29,2024-03-24,4,quantile,0.75,441.89876471486406
DE,05-14,2024-02-29,2024-03-24,4,quantile,0.9,548.3240135659814
DE,05-14,2024-02-29,2024-03-24,4,quantile,0.975,864.2736027821968
DE,15-34,2024-02-29,2024-03-03,1,quantile,0.025,328.14438475588634
