location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-09-05,2024-09-08,1,quantile,0.025,9057.586838638708
DE,00+,2024-09-05,2024-09-08,1,quantile,0.1,9294.22251232407
DE,00+,2024-09-05,2024-09-08,1,quantile,0.25,9458.936164986244
DE,00+,2024-09-05,2024-09-08,1,quantile,0.5,9646.850428125475
DE,00+,2024-09-05,2024-09-08,1,quantile,0.75,9924.885607490458
DE,00+,2024-09-05,2024-09-08,1,quantile,0.9,10505.021997691172
DE,00+,2024-09-05,2024-09-08,1,quantile,0.975,11486.833074096865
DE,00+,2024-09-05,2024-09-15,2,quantile,0.025,8323.57872400367
DE,00+,2024-09-05,2024-09-15,2,quantile,0.1,8947.283176390414
DE,00+,2024-09-05,2024-09-15,2,quantile,0.25,9337.538525448583
DE,00+,2024-09-05,2024-09-15,2,quantile,0.5,9593.575643267473
DE,00+,2024-09-05,2024-09-15,2,quantile,0.75,9776.400488101684
DE,00+,2024-09-05,2024-09-15,2,quantile,0.9,10267.810507213977
DE,00+,2024-09-05,2024-09-15,2,quantile,0.975,11108.950746165341
DE,00+,2024-09-05,2024-09-22,3,quantile,0.025,8087.6891839778355
DE,00+,2024-09-05,2024-09-22,3,quantile,0.1,8760.908122853936
DE,00+,2024-09-05,2024-09-22,3,quantile,0.25,9064.024567480556
DE,00+,2024-09-05,2024-09-22,3,quantile,0.5,9478.18585296808
DE,00+,2024-09-05,2024-09-22,3,quantile,0.75,9804.98215809301
DE,00+,2024-09-05,2024-09-22,3,quantile,0.9,10174.092465427293
DE,00+,2024-09-05,2024-09-22,3,quantile,0.975,11425.860743862653
DE,00+,2024-09-05,2024-09-29,4,quantile,0.025,8351.056915285488
DE,00+,2024-09-05,2024-09-29,4,quantile,0.1,8723.403619032568
DE,00+,2024-09-05,2024-09-29,4,quantile,0.25,9016.888719605668
DE,00+,2024-09-05,2024-09-29,4,quantile,0.5,9544.820859817832
DE,00+,2024-09-05,2024-09-29,4,quantile,0.75,9744.77005535551
DE,00+,2024-09-05,2024-09-29,4,quantile,0.9,10016.072219013446
DE,00+,2024-09-05,2024-09-29,4,quantile,0.975,11654.002342910093
DE,00-04,2024-09-05,2024-09-08,1,quantile,0.025,814.2702270008533
DE,00-04,2024-09-05,2024-09-08,1,quantile,0.1,864.5099227643528
DE,00-04,2024-09-05,2024-09-08,1,quantile,0.25,912.3050064700661
DE,00-04,2024-09-05,2024-09-08,1,quantile,0.5,978.389085403967
DE,00-04,2024-09-05,2024-09-08,1,quantile,0.75,1031.837286873155
DE,00-04,2024-09-05,2024-09-08,1,quantile,0.9,1216.9266029351634
DE,00-04,2024-09-05,2024-09-08,1,quantile,0.975,1774.0239441103681
DE,00-04,2024-09-05,2024-09-15,2,quantile,0.025,795.8623638270353
DE,00-04,2024-09-05,2024-09-15,2,quantile,0.1,879.3748143869782
DE,00-04,2024-09-05,2024-09-15,2,quantile,0.25,916.8460294693781
DE,00-04,2024-09-05,2024-09-15,2,quantile,0.5,950.4896864717136
DE,00-04,2024-09-05,2024-09-15,2,quantile,0.75,1015.9208161174938
DE,00-04,2024-09-05,2024-09-15,2,quantile,0.9,1145.7251437080636
DE,00-04,2024-09-05,2024-09-15,2,quantile,0.975,1645.4946304244725
DE,00-04,2024-09-05,2024-09-22,3,quantile,0.025,734.5213959074127
DE,00-04,2024-09-05,2024-09-22,3,quantile,0.1,831.7085329532777
DE,00-04,2024-09-05,2024-09-22,3,quantile,0.25,876.8922411405504
DE,00-04,2024-09-05,2024-09-22,3,quantile,0.5,915.47942907867
DE,00-04,2024-09-05,2024-09-22,3,quantile,0.75,975.1345364095354
DE,00-04,2024-09-05,2024-09-22,3,quantile,0.9,1111.5391683300145
DE,00-04,2024-09-05,2024-09-22,3,quantile,0.975,1620.0907752236708
DE,00-04,2024-09-05,2024-09-29,4,quantile,0.025,613.0579984976016
DE,00-04,2024-09-05,2024-09-29,4,quantile,0.1,763.9427826412019
DE,00-04,2024-09-05,2024-09-29,4,quantile,0.25,803.4724071442613
DE,00-04,2024-09-05,2024-09-29,4,quantile,0.5,859.7467460802029
DE,00-04,2024-09-05,2024-09-29,4,quantile,0.75,930.4037260257103
DE,00-04,2024-09-05,2024-09-29,4,quantile,0.9,1095.3636072442246
DE,00-04,2024-09-05,2024-09-29,4,quantile,0.975,1683.3032952855797
DE,05-14,2024-09-05,2024-09-08,1,quantile,0.025,382.40985203806156
DE,05-14,2024-09-05,2024-09-08,1,quantile,0.1,522.2415446647461
DE,05-14,2024-09-05,2024-09-08,1,quantile,0.25,579.4827915419338
DE,05-14,2024-09-05,2024-09-08,1,quantile,0.5,687.1288471315229
DE,05-14,2024-09-05,2024-09-08,1,quantile,0.75,750.3131167203321
DE,05-14,2024-09-05,2024-09-08,1,quantile,0.9,838.0969602061299
DE,05-14,2024-09-05,2024-09-08,1,quantile,0.975,873.7959146463712
DE,05-14,2024-09-05,2024-09-15,2,quantile,0.025,334.55038502645044
DE,05-14,2024-09-05,2024-09-15,2,quantile,0.1,440.2402922293718
DE,05-14,2024-09-05,2024-09-15,2,quantile,0.25,480.419043553609
DE,05-14,2024-09-05,2024-09-15,2,quantile,0.5,546.1735976839697
DE,05-14,2024-09-05,2024-09-15,2,quantile,0.75,676.6501087649337
DE,05-14,2024-09-05,2024-09-15,2,quantile,0.9,753.5709560257825
DE,05-14,2024-09-05,2024-09-15,2,quantile,0.975,801.5617467899046
DE,05-14,2024-09-05,2024-09-22,3,quantile,0.025,290.79831664701817
DE,05-14,2024-09-05,2024-09-22,3,quantile,0.1,416.13460297508044
DE,05-14,2024-09-05,2024-09-22,3,quantile,0.25,462.9929608130539
DE,05-14,2024-09-05,2024-09-22,3,quantile,0.5,529.5573307172893
DE,05-14,2024-09-05,2024-09-22,3,quantile,0.75,616.0625046180878
DE,05-14,2024-09-05,2024-09-22,3,quantile,0.9,671.4200573174272
DE,05-14,2024-09-05,2024-09-22,3,quantile,0.975,718.4568000729621
DE,05-14,2024-09-05,2024-09-29,4,quantile,0.025,262.6438786616459
DE,05-14,2024-09-05,2024-09-29,4,quantile,0.1,432.3729117194869
DE,05-14,2024-09-05,2024-09-29,4,quantile,0.25,481.73572129680724
DE,05-14,2024-09-05,2024-09-29,4,quantile,0.5,545.286396775263
DE,05-14,2024-09-05,2024-09-29,4,quantile,0.75,595.2711362744534
DE,05-14,2024-09-05,2024-09-29,4,quantile,0.9,641.4033394631149
DE,05-14,2024-09-05,2024-09-29,4,quantile,0.975,719.7206533038187
DE,15-34,2024-09-05,2024-09-08,1,quantile,0.025,403.7941875612786
DE,15-34,2024-09-05,2024-09-08,1,quantile,0.1,576.9880304310369
DE,15-34,2024-09-05,2024-09-08,1,quantile,0.25,674.900173626277
DE,15-34,2024-09-05,2024-09-08,1,quantile,0.5,768.0215499031453
DE,15-34,2024-09-05,2024-09-08,1,quantile,0.75,858.4861801788995
DE,15-34,2024-09-05,2024-09-08,1,quantile,0.9,911.8584579033325
DE,15-34,2024-09-05,2024-09-08,1,quantile,0.975,956.3331284920378
DE,15-34,2024-09-05,2024-09-15,2,quantile,0.025,368.11594242328067
DE,15-34,2024-09-05,2024-09-15,2,quantile,0.1,544.174360833773
DE,15-34,2024-09-05,2024-09-15,2,quantile,0.25,678.580962723724
DE,15-34,2024-09-05,2024-09-15,2,quantile,0.5,801.7177404388401
DE,15-34,2024-09-05,2024-09-15,2,quantile,0.75,906.758422931873
DE,15-34,2024-09-05,2024-09-15,2,quantile,0.9,992.805221761076
DE,15-34,2024-09-05,2024-09-15,2,quantile,0.975,1033.5595897446042
DE,15-34,2024-09-05,2024-09-22,3,quantile,0.025,396.51869154394853
DE,15-34,2024-09-05,2024-09-22,3,quantile,0.1,562.624080540429
DE,15-34,2024-09-05,2024-09-22,3,quantile,0.25,686.3866130625529
DE,15-34,2024-09-05,2024-09-22,3,quantile,0.5,782.0190495233858
DE,15-34,2024-09-05,2024-09-22,3,quantile,0.75,865.7054919965473
DE,15-34,2024-09-05,2024-09-22,3,quantile,0.9,947.9472417495923
DE,15-34,2024-09-05,2024-09-22,3,quantile,0.975,966.9055838589829
DE,15-34,2024-09-05,2024-09-29,4,quantile,0.025,343.47784339179407
DE,15-34,2024-09-05,2024-09-29,4,quantile,0.1,536.6320713384706
DE,15-34,2024-09-05,2024-09-29,4,quantile,0.25,697.6958960197728
DE,15-34,2024-09-05,2024-09-29,4,quantile,0.5,791.7601777868344
DE,15-34,2024-09-05,2024-09-29,4,quantile,0.75,843.7754940875787
DE,15-34,2024-09-05,2024-09-29,4,quantile,0.9,894.9900205174733
DE,15-34,2024-09-05,2024-09-29,4,quantile,0.975,934.7225597575691
DE,35-59,2024-09-05,2024-09-08,1,quantile,0.025,1055.4530856612644
DE,35-59,2024-09-05,2024-09-08,1,quantile,0.1,1097.597601983061
DE,35-59,2024-09-05,2024-09-08,1,quantile,0.25,1139.407071398285
DE,35-59,2024-09-05,2024-09-08,1,quantile,0.5,1203.1095091484626
DE,35-59,2024-09-05,2024-09-08,1,quantile,0.75,1273.6322121090568
DE,35-59,2024-09-05,2024-09-08,1,quantile,0.9,1395.8807499695615
DE,35-59,2024-09-05,2024-09-08,1,quantile,0.975,1554.0479129350174
DE,35-59,2024-09-05,2024-09-15,2,quantile,0.025,1078.1248826984333
DE,35-59,2024-09-05,2024-09-15,2,quantile,0.1,1135.6727677564634
DE,35-59,2024-09-05,2024-09-15,2,quantile,0.25,1171.020531959518
DE,35-59,2024-09-05,2024-09-15,2,quantile,0.5,1253.1412582328946
DE,35-59,2024-09-05,2024-09-15,2,quantile,0.75,1359.4032744171927
DE,35-59,2024-09-05,2024-09-15,2,quantile,0.9,1453.9286995369955
DE,35-59,2024-09-05,2024-09-15,2,quantile,0.975,1549.599206965099
DE,35-59,2024-09-05,2024-09-22,3,quantile,0.025,1049.9762762819635
DE,35-59,2024-09-05,2024-09-22,3,quantile,0.1,1145.3656266841854
DE,35-59,2024-09-05,2024-09-22,3,quantile,0.25,1215.7791059936194
DE,35-59,2024-09-05,2024-09-22,3,quantile,0.5,1266.0854245139772
DE,35-59,2024-09-05,2024-09-22,3,quantile,0.75,1343.9377649723071
DE,35-59,2024-09-05,2024-09-22,3,quantile,0.9,1429.8245323865992
DE,35-59,2024-09-05,2024-09-22,3,quantile,0.975,1525.897923766195
DE,35-59,2024-09-05,2024-09-29,4,quantile,0.025,1030.5044906520195
DE,35-59,2024-09-05,2024-09-29,4,quantile,0.1,1144.8500638521714
DE,35-59,2024-09-05,2024-09-29,4,quantile,0.25,1190.2386141611714
DE,35-59,2024-09-05,2024-09-29,4,quantile,0.5,1238.1237411192099
DE,35-59,2024-09-05,2024-09-29,4,quantile,0.75,1292.2263990677416
DE,35-59,2024-09-05,2024-09-29,4,quantile,0.9,1362.1209241568456
DE,35-59,2024-09-05,2024-09-29,4,quantile,0.975,1531.7459986870347
DE,60-79,2024-09-05,2024-09-08,1,quantile,0.025,2378.5063844733036
DE,60-79,2024-09-05,2024-09-08,1,quantile,0.1,2415.211960850117
DE,60-79,2024-09-05,2024-09-08,1,quantile,0.25,2458.828469843504
DE,60-79,2024-09-05,2024-09-08,1,quantile,0.5,2510.351075016293
DE,60-79,2024-09-05,2024-09-08,1,quantile,0.75,2561.3651405649393
DE,60-79,2024-09-05,2024-09-08,1,quantile,0.9,2643.194689032103
DE,60-79,2024-09-05,2024-09-08,1,quantile,0.975,3074.5045172582404
DE,60-79,2024-09-05,2024-09-15,2,quantile,0.025,2295.7855297474334
DE,60-79,2024-09-05,2024-09-15,2,quantile,0.1,2379.4988724891246
DE,60-79,2024-09-05,2024-09-15,2,quantile,0.25,2466.980082772154
DE,60-79,2024-09-05,2024-09-15,2,quantile,0.5,2516.7286642901895
DE,60-79,2024-09-05,2024-09-15,2,quantile,0.75,2569.1079353974706
DE,60-79,2024-09-05,2024-09-15,2,quantile,0.9,2685.1926179904362
DE,60-79,2024-09-05,2024-09-15,2,quantile,0.975,2939.3478725401965
DE,60-79,2024-09-05,2024-09-22,3,quantile,0.025,2292.3234411734975
DE,60-79,2024-09-05,2024-09-22,3,quantile,0.1,2366.910032169145
DE,60-79,2024-09-05,2024-09-22,3,quantile,0.25,2446.7299382556403
DE,60-79,2024-09-05,2024-09-22,3,quantile,0.5,2539.4350331038595
DE,60-79,2024-09-05,2024-09-22,3,quantile,0.75,2617.989371680709
DE,60-79,2024-09-05,2024-09-22,3,quantile,0.9,2701.8399549894984
DE,60-79,2024-09-05,2024-09-22,3,quantile,0.975,3099.059078036165
DE,60-79,2024-09-05,2024-09-29,4,quantile,0.025,2184.753528935543
DE,60-79,2024-09-05,2024-09-29,4,quantile,0.1,2238.0258978984884
DE,60-79,2024-09-05,2024-09-29,4,quantile,0.25,2319.6580632326986
DE,60-79,2024-09-05,2024-09-29,4,quantile,0.5,2468.56516111594
DE,60-79,2024-09-05,2024-09-29,4,quantile,0.75,2638.757387651184
DE,60-79,2024-09-05,2024-09-29,4,quantile,0.9,2765.3812323923917
DE,60-79,2024-09-05,2024-09-29,4,quantile,0.975,2993.7962963022887
DE,80+,2024-09-05,2024-09-08,1,quantile,0.025,2339.972745965885
DE,80+,2024-09-05,2024-09-08,1,quantile,0.1,2386.9967522712
DE,80+,2024-09-05,2024-09-08,1,quantile,0.25,2453.5157381877307
DE,80+,2024-09-05,2024-09-08,1,quantile,0.5,2534.6180711160205
DE,80+,2024-09-05,2024-09-08,1,quantile,0.75,2623.3267593322616
DE,80+,2024-09-05,2024-09-08,1,quantile,0.9,2756.332402611152
DE,80+,2024-09-05,2024-09-08,1,quantile,0.975,3143.127805567862
DE,80+,2024-09-05,2024-09-15,2,quantile,0.025,2406.9766470304244
DE,80+,2024-09-05,2024-09-15,2,quantile,0.1,2449.9570241309393
DE,80+,2024-09-05,2024-09-15,2,quantile,0.25,2519.247107412956
DE,80+,2024-09-05,2024-09-15,2,quantile,0.5,2668.1220224290437
DE,80+,2024-09-05,2024-09-15,2,quantile,0.75,2784.6436201109923
DE,80+,2024-09-05,2024-09-15,2,quantile,0.9,2861.436887621053
DE,80+,2024-09-05,2024-09-15,2,quantile,0.975,3280.524366763161
DE,80+,2024-09-05,2024-09-22,3,quantile,0.025,2335.60764301013
DE,80+,2024-09-05,2024-09-22,3,quantile,0.1,2450.0464322181556
DE,80+,2024-09-05,2024-09-22,3,quantile,0.25,2538.1618978649626
DE,80+,2024-09-05,2024-09-22,3,quantile,0.5,2657.0216519181376
DE,80+,2024-09-05,2024-09-22,3,quantile,0.75,2772.2113238131524
DE,80+,2024-09-05,2024-09-22,3,quantile,0.9,2900.7965588265342
DE,80+,2024-09-05,2024-09-22,3,quantile,0.975,3498.757060075178
DE,80+,2024-09-05,2024-09-29,4,quantile,0.025,2410.2502807874107
DE,80+,2024-09-05,2024-09-29,4,quantile,0.1,2491.1466416825715
DE,80+,2024-09-05,2024-09-29,4,quantile,0.25,2574.520909907441
DE,80+,2024-09-05,2024-09-29,4,quantile,0.5,2744.3650484869354
DE,80+,2024-09-05,2024-09-29,4,quantile,0.75,2864.1124725593263
DE,80+,2024-09-05,2024-09-29,4,quantile,0.9,2973.077096226693
DE,80+,2024-09-05,2024-09-29,4,quantile,0.975,3717.606599792626
