location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-05-02,2024-05-05,1,quantile,0.025,9122.84058512902
DE,00+,2024-05-02,2024-05-05,1,quantile,0.1,10295.379610264612
DE,00+,2024-05-02,2024-05-05,1,quantile,0.25,10717.93498271858
DE,00+,2024-05-02,2024-05-05,1,quantile,0.5,10953.01334506053
DE,00+,2024-05-02,2024-05-05,1,quantile,0.75,11792.841925873498
DE,00+,2024-05-02,2024-05-05,1,quantile,0.9,13196.66319456274
DE,00+,2024-05-02,2024-05-05,1,quantile,0.975,13490.616150008622
DE,00+,2024-05-02,2024-05-12,2,quantile,0.025,8043.123473204001
DE,00+,2024-05-02,2024-05-12,2,quantile,0.1,9559.2801160509
DE,00+,2024-05-02,2024-05-12,2,quantile,0.25,10334.553576167451
DE,00+,2024-05-02,2024-05-12,2,quantile,0.5,10865.758461914167
DE,00+,2024-05-02,2024-05-12,2,quantile,0.75,11493.809827614788
DE,00+,2024-05-02,2024-05-12,2,quantile,0.9,12778.005962243555
DE,00+,2024-05-02,2024-05-12,2,quantile,0.975,14119.051265598619
DE,00+,2024-05-02,2024-05-19,3,quantile,0.025,7993.1198095765485
DE,00+,2024-05-02,2024-05-19,3,quantile,0.1,8778.520422557152
DE,00+,2024-05-02,2024-05-19,3,quantile,0.25,10220.657073507253
DE,00+,2024-05-02,2024-05-19,3,quantile,0.5,10609.879156605703
DE,00+,2024-05-02,2024-05-19,3,quantile,0.75,11540.565881764707
DE,00+,2024-05-02,2024-05-19,3,quantile,0.9,12638.70547788484
DE,00+,2024-05-02,2024-05-19,3,quantile,0.975,15649.66381267547
DE,00+,2024-05-02,2024-05-26,4,quantile,0.025,7431.812814643027
DE,00+,2024-05-02,2024-05-26,4,quantile,0.1,8277.131706739492
DE,00+,2024-05-02,2024-05-26,4,quantile,0.25,9580.946488790198
DE,00+,2024-05-02,2024-05-26,4,quantile,0.5,9917.891003890367
DE,00+,2024-05-02,2024-05-26,4,quantile,0.75,10605.177504230312
DE,00+,2024-05-02,2024-05-26,4,quantile,0.9,12528.445620023038
DE,00+,2024-05-02,2024-05-26,4,quantile,0.975,16012.654356198726
DE,00-04,2024-05-02,2024-05-05,1,quantile,0.025,885.1471007599099
DE,00-04,2024-05-02,2024-05-05,1,quantile,0.1,1221.9138818722972
DE,00-04,2024-05-02,2024-05-05,1,quantile,0.25,1325.6449435139916
DE,00-04,2024-05-02,2024-05-05,1,quantile,0.5,1438.9197533987324
DE,00-04,2024-05-02,2024-05-05,1,quantile,0.75,1505.870274198111
DE,00-04,2024-05-02,2024-05-05,1,quantile,0.9,1705.8724669854378
DE,00-04,2024-05-02,2024-05-05,1,quantile,0.975,1884.4527966641097
DE,00-04,2024-05-02,2024-05-12,2,quantile,0.025,765.4925545814215
DE,00-04,2024-05-02,2024-05-12,2,quantile,0.1,1243.469857555047
DE,00-04,2024-05-02,2024-05-12,2,quantile,0.25,1396.4564439633646
DE,00-04,2024-05-02,2024-05-12,2,quantile,0.5,1433.2501566880587
DE,00-04,2024-05-02,2024-05-12,2,quantile,0.75,1493.0142550046999
DE,00-04,2024-05-02,2024-05-12,2,quantile,0.9,1918.9842651042643
DE,00-04,2024-05-02,2024-05-12,2,quantile,0.975,1986.6599549482012
DE,00-04,2024-05-02,2024-05-19,3,quantile,0.025,491.03214253597764
