location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-02-01,2024-02-04,1,quantile,0.025,8927.198874311947
DE,00+,2024-02-01,2024-02-04,1,quantile,0.1,13043.732223672076
DE,00+,2024-02-01,2024-02-04,1,quantile,0.25,16972.22812808366
DE,00+,2024-02-01,2024-02-04,1,quantile,0.5,22231.077674864202
DE,00+,2024-02-01,2024-02-04,1,quantile,0.75,24115.879864517505
DE,00+,2024-02-01,2024-02-04,1,quantile,0.9,26501.05839147012
DE,00+,2024-02-01,2024-02-04,1,quantile,0.975,28128.231908102178
DE,00+,2024-02-01,2024-02-11,2,quantile,0.025,8577.604124527028
DE,00+,2024-02-01,2024-02-11,2,quantile,0.1,12061.065850936775
DE,00+,2024-02-01,2024-02-11,2,quantile,0.25,16600.312262657983
DE,00+,2024-02-01,2024-02-11,2,quantile,0.5,20601.80225323234
DE,00+,2024-02-01,2024-02-11,2,quantile,0.75,22826.335423344222
DE,00+,2024-02-01,2024-02-11,2,quantile,0.9,27302.502573070833
DE,00+,2024-02-01,2024-02-11,2,quantile,0.975,29384.892435268546
DE,00+,2024-02-01,2024-02-18,3,quantile,0.025,8273.737138145676
DE,00+,2024-02-01,2024-02-18,3,quantile,0.1,10910.659446216214
DE,00+,2024-02-01,2024-02-18,3,quantile,0.25,14514.640878700291
DE,00+,2024-02-01,2024-02-18,3,quantile,0.5,17954.18050476865
DE,00+,2024-02-01,2024-02-18,3,quantile,0.75,20600.396416641604
DE,00+,2024-02-01,2024-02-18,3,quantile,0.9,25044.072859162658
DE,00+,2024-02-01,2024-02-18,3,quantile,0.975,28350.160233049664
DE,00+,2024-02-01,2024-02-25,4,quantile,0.025,8356.621231586812
DE,00+,2024-02-01,2024-02-25,4,quantile,0.1,10117.706856068573
DE,00+,2024-02-01,2024-02-25,4,quantile,0.25,12849.762977076995
DE,00+,2024-02-01,2024-02-25,4,quantile,0.5,15529.005110820372
DE,00+,2024-02-01,2024-02-25,4,quantile,0.75,17747.159172919295
DE,00+,2024-02-01,2024-02-25,4,quantile,0.9,21807.95340204533
DE,00+,2024-02-01,2024-02-25,4,quantile,0.975,27283.975028805435
DE,00-04,2024-02-01,2024-02-04,1,quantile,0.025,886.1279255608617
DE,00-04,2024-02-01,2024-02-04,1,quantile,0.1,2364.6734771352612
DE,00-04,2024-02-01,2024-02-04,1,quantile,0.25,3711.337188572824
DE,00-04,2024-02-01,2024-02-04,1,quantile,0.5,4351.822938180671
DE,00-04,2024-02-01,2024-02-04,1,quantile,0.75,4722.014909747251
DE,00-04,2024-02-01,2024-02-04,1,quantile,0.9,5585.45034403667
DE,00-04,2024-02-01,2024-02-04,1,quantile,0.975,6604.310631225773
DE,00-04,2024-02-01,2024-02-11,2,quantile,0.025,757.8125068926795
DE,00-04,2024-02-01,2024-02-11,2,quantile,0.1,1995.3306550666177
DE,00-04,2024-02-01,2024-02-11,2,quantile,0.25,3038.8364508059226
DE,00-04,2024-02-01,2024-02-11,2,quantile,0.5,3525.575391675776
DE,00-04,2024-02-01,2024-02-11,2,quantile,0.75,3698.223223565441
DE,00-04,2024-02-01,2024-02-11,2,quantile,0.9,4581.78013005432
DE,00-04,2024-02-01,2024-02-11,2,quantile,0.975,6252.58415443335
DE,00-04,2024-02-01,2024-02-18,3,quantile,0.025,574.7679083491732
DE,00-04,2024-02-01,2024-02-18,3,quantile,0.1,1736.9803286976742
DE,00-04,2024-02-01,2024-02-18,3,quantile,0.25,2614.5865788727233
DE,00-04,2024-02-01,2024-02-18,3,quantile,0.5,2931.6905265673513
DE,00-04,2024-02-01,2024-02-18,3,quantile,0.75,3274.8243854461543
DE,00-04,2024-02-01,2024-02-18,3,quantile,0.9,3900.0058395547894
DE,00-04,2024-02-01,2024-02-18,3,quantile,0.975,5591.602285619952
DE,00-04,2024-02-01,2024-02-25,4,quantile,0.025,545.438362101634
DE,00-04,2024-02-01,2024-02-25,4,quantile,0.1,1481.0155313415257
DE,00-04,2024-02-01,2024-02-25,4,quantile,0.25,2056.2440322367934
DE,00-04,2024-02-01,2024-02-25,4,quantile,0.5,2213.5793757895344
DE,00-04,2024-02-01,2024-02-25,4,quantile,0.75,2588.2278860231954
DE,00-04,2024-02-01,2024-02-25,4,quantile,0.9,3409.101812936265
DE,00-04,2024-02-01,2024-02-25,4,quantile,0.975,5333.095446836106
DE,05-14,2024-02-01,2024-02-04,1,quantile,0.025,167.13103821538002
DE,05-14,2024-02-01,2024-02-04,1,quantile,0.1,442.80857098497864
DE,05-14,2024-02-01,2024-02-04,1,quantile,0.25,687.7726663393535
DE,05-14,2024-02-01,2024-02-04,1,quantile,0.5,934.8484577505167
DE,05-14,2024-02-01,2024-02-04,1,quantile,0.75,1055.4710754649093
DE,05-14,2024-02-01,2024-02-04,1,quantile,0.9,1175.340606025509
DE,05-14,2024-02-01,2024-02-04,1,quantile,0.975,1351.5437642207758
DE,05-14,2024-02-01,2024-02-11,2,quantile,0.025,147.4101120774522
DE,05-14,2024-02-01,2024-02-11,2,quantile,0.1,319.79464538707737
DE,05-14,2024-02-01,2024-02-11,2,quantile,0.25,441.213390391739
DE,05-14,2024-02-01,2024-02-11,2,quantile,0.5,683.9210670441737
DE,05-14,2024-02-01,2024-02-11,2,quantile,0.75,783.2688758520687
DE,05-14,2024-02-01,2024-02-11,2,quantile,0.9,995.2803918503402
DE,05-14,2024-02-01,2024-02-11,2,quantile,0.975,1228.547650683354
DE,05-14,2024-02-01,2024-02-18,3,quantile,0.025,133.26658952750583
DE,05-14,2024-02-01,2024-02-18,3,quantile,0.1,263.303621978417
