location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-08-01,2024-08-04,1,quantile,0.025,6698.520934440698
DE,00+,2024-08-01,2024-08-04,1,quantile,0.1,7260.000958808167
DE,00+,2024-08-01,2024-08-04,1,quantile,0.25,7634.909105358002
DE,00+,2024-08-01,2024-08-04,1,quantile,0.5,8322.125622005573
DE,00+,2024-08-01,2024-08-04,1,quantile,0.75,8470.397862102513
DE,00+,2024-08-01,2024-08-04,1,quantile,0.9,9009.036298639476
DE,00+,2024-08-01,2024-08-04,1,quantile,0.975,12159.202487795272
DE,00+,2024-08-01,2024-08-11,2,quantile,0.025,6923.161404565335
DE,00+,2024-08-01,2024-08-11,2,quantile,0.1,7317.027678273575
DE,00+,2024-08-01,2024-08-11,2,quantile,0.25,7752.513095833424
DE,00+,2024-08-01,2024-08-11,2,quantile,0.5,8108.097325050677
DE,00+,2024-08-01,2024-08-11,2,quantile,0.75,8332.424953903208
DE,00+,2024-08-01,2024-08-11,2,quantile,0.9,9051.569213322062
DE,00+,2024-08-01,2024-08-11,2,quantile,0.975,11857.142416188344
DE,00+,2024-08-01,2024-08-18,3,quantile,0.025,6710.817439049929
DE,00+,2024-08-01,2024-08-18,3,quantile,0.1,7675.249519410916
DE,00+,2024-08-01,2024-08-18,3,quantile,0.25,8084.863152848091
DE,00+,2024-08-01,2024-08-18,3,quantile,0.5,8202.962095761803
DE,00+,2024-08-01,2024-08-18,3,quantile,0.75,8789.630468829717
DE,00+,2024-08-01,2024-08-18,3,quantile,0.9,9190.882006873402
DE,00+,2024-08-01,2024-08-18,3,quantile,0.975,12662.00112352073
DE,00+,2024-08-01,2024-08-25,4,quantile,0.025,6601.283691798104
DE,00+,2024-08-01,2024-08-25,4,quantile,0.1,7689.74153264051
DE,00+,2024-08-01,2024-08-25,4,quantile,0.25,8233.861859087414
DE,00+,2024-08-01,2024-08-25,4,quantile,0.5,8531.461066252861
DE,00+,2024-08-01,2024-08-25,4,quantile,0.75,9013.598951715863
DE,00+,2024-08-01,2024-08-25,4,quantile,0.9,9824.251184415038
DE,00+,2024-08-01,2024-08-25,4,quantile,0.975,13746.128917076343
DE,00-04,2024-08-01,2024-08-04,1,quantile,0.025,465.73562637238194
DE,00-04,2024-08-01,2024-08-04,1,quantile,0.1,556.7905940541779
DE,00-04,2024-08-01,2024-08-04,1,quantile,0.25,605.9087532748922
DE,00-04,2024-08-01,2024-08-04,1,quantile,0.5,704.3151452032596
DE,00-04,2024-08-01,2024-08-04,1,quantile,0.75,730.2088330199203
DE,00-04,2024-08-01,2024-08-04,1,quantile,0.9,977.6594134310169
DE,00-04,2024-08-01,2024-08-04,1,quantile,0.975,1683.7829584829371
DE,00-04,2024-08-01,2024-08-11,2,quantile,0.025,519.5797862631463
DE,00-04,2024-08-01,2024-08-11,2,quantile,0.1,627.7181376596764
DE,00-04,2024-08-01,2024-08-11,2,quantile,0.25,649.7878161553896
DE,00-04,2024-08-01,2024-08-11,2,quantile,0.5,708.2144593462444
DE,00-04,2024-08-01,2024-08-11,2,quantile,0.75,788.6089799977565
DE,00-04,2024-08-01,2024-08-11,2,quantile,0.9,1036.1165874434091
DE,00-04,2024-08-01,2024-08-11,2,quantile,0.975,1673.244630372678
DE,00-04,2024-08-01,2024-08-18,3,quantile,0.025,527.7823928808131
DE,00-04,2024-08-01,2024-08-18,3,quantile,0.1,568.86874431878
DE,00-04,2024-08-01,2024-08-18,3,quantile,0.25,590.6756172248118
DE,00-04,2024-08-01,2024-08-18,3,quantile,0.5,642.7915752305282
DE,00-04,2024-08-01,2024-08-18,3,quantile,0.75,744.0020761135181
DE,00-04,2024-08-01,2024-08-18,3,quantile,0.9,1147.2109339543283
