location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2023-11-16,2023-11-19,1,quantile,0.025,9117.070392949681
DE,00+,2023-11-16,2023-11-19,1,quantile,0.1,12648.306564406752
DE,00+,2023-11-16,2023-11-19,1,quantile,0.25,13436.274319988064
DE,00+,2023-11-16,2023-11-19,1,quantile,0.5,14040.77332600491
DE,00+,2023-11-16,2023-11-19,1,quantile,0.75,14633.898513927601
DE,00+,2023-11-16,2023-11-19,1,quantile,0.9,15513.660773862654
DE,00+,2023-11-16,2023-11-19,1,quantile,0.975,16548.089022571414
DE,00+,2023-11-16,2023-11-26,2,quantile,0.025,8287.217085917147
DE,00+,2023-11-16,2023-11-26,2,quantile,0.1,12121.18726740436
DE,00+,2023-11-16,2023-11-26,2,quantile,0.25,13332.972032039008
DE,00+,2023-11-16,2023-11-26,2,quantile,0.5,14164.586233927548
DE,00+,2023-11-16,2023-11-26,2,quantile,0.75,14803.03949568047
DE,00+,2023-11-16,2023-11-26,2,quantile,0.9,15694.083353013786
DE,00+,2023-11-16,2023-11-26,2,quantile,0.975,17075.145290874687
DE,00+,2023-11-16,2023-12-03,3,quantile,0.025,8037.551355938545
DE,00+,2023-11-16,2023-12-03,3,quantile,0.1,11807.951472309423
DE,00+,2023-11-16,2023-12-03,3,quantile,0.25,14388.279503323673
DE,00+,2023-11-16,2023-12-03,3,quantile,0.5,15635.961593032727
DE,00+,2023-11-16,2023-12-03,3,quantile,0.75,16571.68452335785
DE,00+,2023-11-16,2023-12-03,3,quantile,0.9,17243.62483878597
DE,00+,2023-11-16,2023-12-03,3,quantile,0.975,17958.55117013974
DE,00+,2023-11-16,2023-12-10,4,quantile,0.025,7906.474426867489
DE,00+,2023-11-16,2023-12-10,4,quantile,0.1,11049.911755941053
DE,00+,2023-11-16,2023-12-10,4,quantile,0.25,14645.607760098073
DE,00+,2023-11-16,2023-12-10,4,quantile,0.5,16602.595573140403
DE,00+,2023-11-16,2023-12-10,4,quantile,0.75,17506.978246191917
DE,00+,2023-11-16,2023-12-10,4,quantile,0.9,18051.292848640293
DE,00+,2023-11-16,2023-12-10,4,quantile,0.975,20204.376652946125
DE,00-04,2023-11-16,2023-11-19,1,quantile,0.025,1169.1037252476222
DE,00-04,2023-11-16,2023-11-19,1,quantile,0.1,1762.5164238322875
DE,00-04,2023-11-16,2023-11-19,1,quantile,0.25,1954.476214978411
DE,00-04,2023-11-16,2023-11-19,1,quantile,0.5,2080.8880392207443
DE,00-04,2023-11-16,2023-11-19,1,quantile,0.75,2190.470367606408
DE,00-04,2023-11-16,2023-11-19,1,quantile,0.9,2261.8402080913124
DE,00-04,2023-11-16,2023-11-19,1,quantile,0.975,2377.340103154443
DE,00-04,2023-11-16,2023-11-26,2,quantile,0.025,1006.1618504838455
DE,00-04,2023-11-16,2023-11-26,2,quantile,0.1,1780.569545270581
DE,00-04,2023-11-16,2023-11-26,2,quantile,0.25,2160.694386191798
DE,00-04,2023-11-16,2023-11-26,2,quantile,0.5,2394.8214877061923
DE,00-04,2023-11-16,2023-11-26,2,quantile,0.75,2587.017989328787
DE,00-04,2023-11-16,2023-11-26,2,quantile,0.9,2720.1423574322584
DE,00-04,2023-11-16,2023-11-26,2,quantile,0.975,2910.291516712953
DE,00-04,2023-11-16,2023-12-03,3,quantile,0.025,826.1907594262259
DE,00-04,2023-11-16,2023-12-03,3,quantile,0.1,1693.7906771659486
DE,00-04,2023-11-16,2023-12-03,3,quantile,0.25,2392.490056303242
DE,00-04,2023-11-16,2023-12-03,3,quantile,0.5,2756.0466879206997
