location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-03-07,2024-03-10,1,quantile,0.025,9945.798989174325
DE,00+,2024-03-07,2024-03-10,1,quantile,0.1,12903.8665756015
DE,00+,2024-03-07,2024-03-10,1,quantile,0.25,14105.854222478485
DE,00+,2024-03-07,2024-03-10,1,quantile,0.5,15195.95461768351
DE,00+,2024-03-07,2024-03-10,1,quantile,0.75,17391.060065287427
DE,00+,2024-03-07,2024-03-10,1,quantile,0.9,20032.069120061515
DE,00+,2024-03-07,2024-03-10,1,quantile,0.975,22985.66936575768
DE,00+,2024-03-07,2024-03-17,2,quantile,0.025,8916.052276292257
DE,00+,2024-03-07,2024-03-17,2,quantile,0.1,11137.381695793249
DE,00+,2024-03-07,2024-03-17,2,quantile,0.25,11896.942920201396
DE,00+,2024-03-07,2024-03-17,2,quantile,0.5,13720.395697379932
DE,00+,2024-03-07,2024-03-17,2,quantile,0.75,16073.505410757742
DE,00+,2024-03-07,2024-03-17,2,quantile,0.9,19419.830970788847
DE,00+,2024-03-07,2024-03-17,2,quantile,0.975,21804.801801015397
DE,00+,2024-03-07,2024-03-24,3,quantile,0.025,8072.742069252685
DE,00+,2024-03-07,2024-03-24,3,quantile,0.1,10544.833787655627
DE,00+,2024-03-07,2024-03-24,3,quantile,0.25,10933.612801398813
DE,00+,2024-03-07,2024-03-24,3,quantile,0.5,11757.673798468162
DE,00+,2024-03-07,2024-03-24,3,quantile,0.75,15131.165740789287
DE,00+,2024-03-07,2024-03-24,3,quantile,0.9,20050.47400455258
DE,00+,2024-03-07,2024-03-24,3,quantile,0.975,23727.283403123896
DE,00+,2024-03-07,2024-03-31,4,quantile,0.025,7537.065350737901
DE,00+,2024-03-07,2024-03-31,4,quantile,0.1,9567.667616966395
DE,00+,2024-03-07,2024-03-31,4,quantile,0.25,9968.274287732063
DE,00+,2024-03-07,2024-03-31,4,quantile,0.5,10578.880604983136
DE,00+,2024-03-07,2024-03-31,4,quantile,0.75,13217.40492450199
DE,00+,2024-03-07,2024-03-31,4,quantile,0.9,18440.380393976247
DE,00+,2024-03-07,2024-03-31,4,quantile,0.975,22651.65867598078
DE,00-04,2024-03-07,2024-03-10,1,quantile,0.025,1086.480049081201
DE,00-04,2024-03-07,2024-03-10,1,quantile,0.1,2177.1214452215327
DE,00-04,2024-03-07,2024-03-10,1,quantile,0.25,2392.614958044179
DE,00-04,2024-03-07,2024-03-10,1,quantile,0.5,2685.0004394043394
DE,00-04,2024-03-07,2024-03-10,1,quantile,0.75,2974.729826030095
DE,00-04,2024-03-07,2024-03-10,1,quantile,0.9,3429.6818197447124
DE,00-04,2024-03-07,2024-03-10,1,quantile,0.975,4446.204315829682
DE,00-04,2024-03-07,2024-03-17,2,quantile,0.025,478.2173054080491
DE,00-04,2024-03-07,2024-03-17,2,quantile,0.1,1671.4189433881315
DE,00-04,2024-03-07,2024-03-17,2,quantile,0.25,2117.286475017541
DE,00-04,2024-03-07,2024-03-17,2,quantile,0.5,2560.9363183721753
DE,00-04,2024-03-07,2024-03-17,2,quantile,0.75,2912.206064588184
DE,00-04,2024-03-07,2024-03-17,2,quantile,0.9,3301.323040690163
DE,00-04,2024-03-07,2024-03-17,2,quantile,0.975,3889.209284841235
DE,00-04,2024-03-07,2024-03-24,3,quantile,0.025,340.30186788573627
DE,00-04,2024-03-07,2024-03-24,3,quantile,0.1,1197.6811303159332
DE,00-04,2024-03-07,2024-03-24,3,quantile,0.25,1799.2193383609306
DE,00-04,2024-03-07,2024-03-24,3,quantile,0.5,2266.9127393222234
DE,00-04,2024-03-07,2024-03-24,3,quantile,0.75,2774.0695089064834
DE,00-04,2024-03-07,2024-03-24,3,quantile,0.9,3102.5690633713743
DE,00-04,2024-03-07,2024-03-24,3,quantile,0.975,3865.2193403044284
DE,00-04,2024-03-07,2024-03-31,4,quantile,0.025,148.96856307506425
DE,00-04,2024-03-07,2024-03-31,4,quantile,0.1,661.6197699791912
DE,00-04,2024-03-07,2024-03-31,4,quantile,0.25,1391.7283843145522
DE,00-04,2024-03-07,2024-03-31,4,quantile,0.5,1901.27152005428
DE,00-04,2024-03-07,2024-03-31,4,quantile,0.75,2300.9913176622504
DE,00-04,2024-03-07,2024-03-31,4,quantile,0.9,2784.9157158093685
DE,00-04,2024-03-07,2024-03-31,4,quantile,0.975,3872.194275476114
DE,05-14,2024-03-07,2024-03-10,1,quantile,0.025,224.64303427528495
DE,05-14,2024-03-07,2024-03-10,1,quantile,0.1,424.4354951498557
DE,05-14,2024-03-07,2024-03-10,1,quantile,0.25,559.4486026506455
DE,05-14,2024-03-07,2024-03-10,1,quantile,0.5,694.7786947748185
DE,05-14,2024-03-07,2024-03-10,1,quantile,0.75,885.8588361602999
DE,05-14,2024-03-07,2024-03-10,1,quantile,0.9,1034.9665349180118
DE,05-14,2024-03-07,2024-03-10,1,quantile,0.975,1181.8111158350407
DE,05-14,2024-03-07,2024-03-17,2,quantile,0.025,116.76446864299108
DE,05-14,2024-03-07,2024-03-17,2,quantile,0.1,246.21233812260022
DE,05-14,2024-03-07,2024-03-17,2,quantile,0.25,394.96881646752485
DE,05-14,2024-03-07,2024-03-17,2,quantile,0.5,588.5790736761182
DE,05-14,2024-03-07,2024-03-17,2,quantile,0.75,729.5750313115851
DE,05-14,2024-03-07,2024-03-17,2,quantile,0.9,930.4162383375669
DE,05-14,2024-03-07,2024-03-17,2,quantile,0.975,1127.200938747925
DE,05-14,2024-03-07,2024-03-24,3,quantile,0.025,75.46277017058539
DE,05-14,2024-03-07,2024-03-24,3,quantile,0.1,176.44040987499773
DE,05-14,2024-03-07,2024-03-24,3,quantile,0.25,317.63261448170954
DE,05-14,2024-03-07,2024-03-24,3,quantile,0.5,429.9609144068621
DE,05-14,2024-03-07,2024-03-24,3,quantile,0.75,542.3273780487718
DE,05-14,2024-03-07,2024-03-24,3,quantile,0.9,768.0324524282931
DE,05-14,2024-03-07,2024-03-24,3,quantile,0.975,1066.1275332135956
DE,05-14,2024-03-07,2024-03-31,4,quantile,0.025,78.22539103603891
DE,05-14,2024-03-07,2024-03-31,4,quantile,0.1,140.31671299477665
DE,05-14,2024-03-07,2024-03-31,4,quantile,0.25,253.57936880867183
DE,05-14,2024-03-07,2024-03-31,4,quantile,0.5,307.76085604624603
DE,05-14,2024-03-07,2024-03-31,4,quantile,0.75,403.72132292550197
DE,05-14,2024-03-07,2024-03-31,4,quantile,0.9,579.1773314020395
DE,05-14,2024-03-07,2024-03-31,4,quantile,0.975,1037.3941495631514
DE,15-34,2024-03-07,2024-03-10,1,quantile,0.025,316.47143329858113
DE,15-34,2024-03-07,2024-03-10,1,quantile,0.1,422.9190704331265
DE,15-34,2024-03-07,2024-03-10,1,quantile,0.25,499.21192596515436
DE,15-34,2024-03-07,2024-03-10,1,quantile,0.5,638.3383179511023
DE,15-34,2024-03-07,2024-03-10,1,quantile,0.75,823.4129276773998
DE,15-34,2024-03-07,2024-03-10,1,quantile,0.9,953.8090047433716
DE,15-34,2024-03-07,2024-03-10,1,quantile,0.975,1055.0459036624757
DE,15-34,2024-03-07,2024-03-17,2,quantile,0.025,295.70823628471646
DE,15-34,2024-03-07,2024-03-17,2,quantile,0.1,345.7842952155027
DE,15-34,2024-03-07,2024-03-17,2,quantile,0.25,420.98093717252743
DE,15-34,2024-03-07,2024-03-17,2,quantile,0.5,562.4567432087277
DE,15-34,2024-03-07,2024-03-17,2,quantile,0.75,791.772808178247
DE,15-34,2024-03-07,2024-03-17,2,quantile,0.9,985.4700012923046
DE,15-34,2024-03-07,2024-03-17,2,quantile,0.975,1155.072577349543
DE,15-34,2024-03-07,2024-03-24,3,quantile,0.025,292.553094011207
DE,15-34,2024-03-07,2024-03-24,3,quantile,0.1,356.3868057170806
DE,15-34,2024-03-07,2024-03-24,3,quantile,0.25,409.34344842640894
DE,15-34,2024-03-07,2024-03-24,3,quantile,0.5,477.3010234656657
DE,15-34,2024-03-07,2024-03-24,3,quantile,0.75,635.084211093388
DE,15-34,2024-03-07,2024-03-24,3,quantile,0.9,860.976407823285
DE,15-34,2024-03-07,2024-03-24,3,quantile,0.975,1059.343159994242
DE,15-34,2024-03-07,2024-03-31,4,quantile,0.025,254.9697157730364
DE,15-34,2024-03-07,2024-03-31,4,quantile,0.1,322.5179189272231
DE,15-34,2024-03-07,2024-03-31,4,quantile,0.25,382.9852367167354
DE,15-34,2024-03-07,2024-03-31,4,quantile,0.5,452.51745180086937
DE,15-34,2024-03-07,2024-03-31,4,quantile,0.75,588.78776063653
DE,15-34,2024-03-07,2024-03-31,4,quantile,0.9,770.1819422146127
DE,15-34,2024-03-07,2024-03-31,4,quantile,0.975,951.4220139092564
DE,35-59,2024-03-07,2024-03-10,1,quantile,0.025,1036.9167675571994
DE,35-59,2024-03-07,2024-03-10,1,quantile,0.1,1544.7630104479244
DE,35-59,2024-03-07,2024-03-10,1,quantile,0.25,1679.911422562695
DE,35-59,2024-03-07,2024-03-10,1,quantile,0.5,1790.5331083258127
DE,35-59,2024-03-07,2024-03-10,1,quantile,0.75,2155.1589931092044
DE,35-59,2024-03-07,2024-03-10,1,quantile,0.9,2716.66228492312
DE,35-59,2024-03-07,2024-03-10,1,quantile,0.975,3069.6178965130307
DE,35-59,2024-03-07,2024-03-17,2,quantile,0.025,961.4899337473458
DE,35-59,2024-03-07,2024-03-17,2,quantile,0.1,1324.9475266269524
DE,35-59,2024-03-07,2024-03-17,2,quantile,0.25,1425.7797422749254
DE,35-59,2024-03-07,2024-03-17,2,quantile,0.5,1623.8065464319573
DE,35-59,2024-03-07,2024-03-17,2,quantile,0.75,2114.955769959104
DE,35-59,2024-03-07,2024-03-17,2,quantile,0.9,2505.0348702400797
DE,35-59,2024-03-07,2024-03-17,2,quantile,0.975,2701.8146807646335
DE,35-59,2024-03-07,2024-03-24,3,quantile,0.025,943.5405637176667
DE,35-59,2024-03-07,2024-03-24,3,quantile,0.1,1183.727944352147
DE,35-59,2024-03-07,2024-03-24,3,quantile,0.25,1330.783543993962
DE,35-59,2024-03-07,2024-03-24,3,quantile,0.5,1513.5646683505875
DE,35-59,2024-03-07,2024-03-24,3,quantile,0.75,1752.171185346389
DE,35-59,2024-03-07,2024-03-24,3,quantile,0.9,2241.201745810397
DE,35-59,2024-03-07,2024-03-24,3,quantile,0.975,2952.138739256756
DE,35-59,2024-03-07,2024-03-31,4,quantile,0.025,884.8284508336408
DE,35-59,2024-03-07,2024-03-31,4,quantile,0.1,1078.9507228876541
DE,35-59,2024-03-07,2024-03-31,4,quantile,0.25,1151.767625853116
DE,35-59,2024-03-07,2024-03-31,4,quantile,0.5,1339.171578005688
DE,35-59,2024-03-07,2024-03-31,4,quantile,0.75,1535.4646441369784
DE,35-59,2024-03-07,2024-03-31,4,quantile,0.9,2089.404805707448
DE,35-59,2024-03-07,2024-03-31,4,quantile,0.975,2918.646205143775
DE,60-79,2024-03-07,2024-03-10,1,quantile,0.025,2728.4927225200468
DE,60-79,2024-03-07,2024-03-10,1,quantile,0.1,3239.5959521309856
DE,60-79,2024-03-07,2024-03-10,1,quantile,0.25,3726.757346174675
DE,60-79,2024-03-07,2024-03-10,1,quantile,0.5,4046.2690665334485
DE,60-79,2024-03-07,2024-03-10,1,quantile,0.75,4595.029580130867
DE,60-79,2024-03-07,2024-03-10,1,quantile,0.9,5176.061417534051
DE,60-79,2024-03-07,2024-03-10,1,quantile,0.975,5761.272454617878
DE,60-79,2024-03-07,2024-03-17,2,quantile,0.025,2572.188471645236
DE,60-79,2024-03-07,2024-03-17,2,quantile,0.1,3023.571008066395
DE,60-79,2024-03-07,2024-03-17,2,quantile,0.25,3346.4517131254497
DE,60-79,2024-03-07,2024-03-17,2,quantile,0.5,3710.137463641745
DE,60-79,2024-03-07,2024-03-17,2,quantile,0.75,4267.220940546564
DE,60-79,2024-03-07,2024-03-17,2,quantile,0.9,5017.691148408432
DE,60-79,2024-03-07,2024-03-17,2,quantile,0.975,5890.442249626203
DE,60-79,2024-03-07,2024-03-24,3,quantile,0.025,2396.4271087411444
DE,60-79,2024-03-07,2024-03-24,3,quantile,0.1,2854.2577373967893
DE,60-79,2024-03-07,2024-03-24,3,quantile,0.25,3135.989389710737
DE,60-79,2024-03-07,2024-03-24,3,quantile,0.5,3401.5980542090538
DE,60-79,2024-03-07,2024-03-24,3,quantile,0.75,3832.9457979898934
DE,60-79,2024-03-07,2024-03-24,3,quantile,0.9,4948.039157709315
DE,60-79,2024-03-07,2024-03-24,3,quantile,0.975,6089.88019926017
DE,60-79,2024-03-07,2024-03-31,4,quantile,0.025,2268.7276386868502
DE,60-79,2024-03-07,2024-03-31,4,quantile,0.1,2641.357098650649
DE,60-79,2024-03-07,2024-03-31,4,quantile,0.25,2771.5349616379644
DE,60-79,2024-03-07,2024-03-31,4,quantile,0.5,3004.041814519048
DE,60-79,2024-03-07,2024-03-31,4,quantile,0.75,3403.1933008982537
DE,60-79,2024-03-07,2024-03-31,4,quantile,0.9,4867.572658407781
DE,60-79,2024-03-07,2024-03-31,4,quantile,0.975,6367.3492439868805
DE,80+,2024-03-07,2024-03-10,1,quantile,0.025,2638.8060195423654
DE,80+,2024-03-07,2024-03-10,1,quantile,0.1,3206.807963747179
DE,80+,2024-03-07,2024-03-10,1,quantile,0.25,3551.367611141925
DE,80+,2024-03-07,2024-03-10,1,quantile,0.5,4033.079759843548
DE,80+,2024-03-07,2024-03-10,1,quantile,0.75,4734.02218062239
