location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-06-13,2024-06-16,1,quantile,0.025,8296.806697550262
DE,00+,2024-06-13,2024-06-16,1,quantile,0.1,8472.635511603457
DE,00+,2024-06-13,2024-06-16,1,quantile,0.25,8688.238938963166
DE,00+,2024-06-13,2024-06-16,1,quantile,0.5,9030.763797095313
DE,00+,2024-06-13,2024-06-16,1,quantile,0.75,9387.64623083119
DE,00+,2024-06-13,2024-06-16,1,quantile,0.9,9989.383762185831
DE,00+,2024-06-13,2024-06-16,1,quantile,0.975,13930.331497856396
DE,00+,2024-06-13,2024-06-23,2,quantile,0.025,7962.991642551501
DE,00+,2024-06-13,2024-06-23,2,quantile,0.1,8325.87665000214
DE,00+,2024-06-13,2024-06-23,2,quantile,0.25,8538.778176555981
DE,00+,2024-06-13,2024-06-23,2,quantile,0.5,8776.302376372716
DE,00+,2024-06-13,2024-06-23,2,quantile,0.75,9131.802338008047
DE,00+,2024-06-13,2024-06-23,2,quantile,0.9,9728.598135029128
DE,00+,2024-06-13,2024-06-23,2,quantile,0.975,13022.234031299857
DE,00+,2024-06-13,2024-06-30,3,quantile,0.025,7996.064170297114
DE,00+,2024-06-13,2024-06-30,3,quantile,0.1,8288.282786124644
DE,00+,2024-06-13,2024-06-30,3,quantile,0.25,8548.277799005908
DE,00+,2024-06-13,2024-06-30,3,quantile,0.5,8948.367729399288
DE,00+,2024-06-13,2024-06-30,3,quantile,0.75,9385.59159015764
DE,00+,2024-06-13,2024-06-30,3,quantile,0.9,9933.138563166412
DE,00+,2024-06-13,2024-06-30,3,quantile,0.975,13808.397021903618
DE,00+,2024-06-13,2024-07-07,4,quantile,0.025,7673.259261958517
DE,00+,2024-06-13,2024-07-07,4,quantile,0.1,8289.61501735193
DE,00+,2024-06-13,2024-07-07,4,quantile,0.25,8627.232811146052
DE,00+,2024-06-13,2024-07-07,4,quantile,0.5,9036.079018074706
DE,00+,2024-06-13,2024-07-07,4,quantile,0.75,9540.780765031694
DE,00+,2024-06-13,2024-07-07,4,quantile,0.9,10322.290857909968
