location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-02-29,2024-03-03,1,quantile,0.025,9349.213348583178
DE,00+,2024-02-29,2024-03-03,1,quantile,0.1,13585.531106144084
DE,00+,2024-02-29,2024-03-03,1,quantile,0.25,15958.05274864517
DE,00+,2024-02-29,2024-03-03,1,quantile,0.5,16787.96385376885
DE,00+,2024-02-29,2024-03-03,1,quantile,0.75,17087.689716769666
DE,00+,2024-02-29,2024-03-03,1,quantile,0.9,18093.820849978838
DE,00+,2024-02-29,2024-03-03,1,quantile,0.975,19276.95531342893
DE,00+,2024-02-29,2024-03-10,2,quantile,0.025,8795.399406710396
DE,00+,2024-02-29,2024-03-10,2,quantile,0.1,11819.785839454156
DE,00+,2024-02-29,2024-03-10,2,quantile,0.25,13053.334175602939
DE,00+,2024-02-29,2024-03-10,2,quantile,0.5,13672.587790122046
DE,00+,2024-02-29,2024-03-10,2,quantile,0.75,14781.083240880278
DE,00+,2024-02-29,2024-03-10,2,quantile,0.9,17047.514127916005
DE,00+,2024-02-29,2024-03-10,2,quantile,0.975,19033.38277655906
DE,00+,2024-02-29,2024-03-17,3,quantile,0.025,8560.13136110603
DE,00+,2024-02-29,2024-03-17,3,quantile,0.1,10585.26915857781
DE,00+,2024-02-29,2024-03-17,3,quantile,0.25,11139.173384077783
DE,00+,2024-02-29,2024-03-17,3,quantile,0.5,12432.707005130911
DE,00+,2024-02-29,2024-03-17,3,quantile,0.75,12799.959357105772
DE,00+,2024-02-29,2024-03-17,3,quantile,0.9,16839.552885245845
DE,00+,2024-02-29,2024-03-17,3,quantile,0.975,20729.97038711753
DE,00+,2024-02-29,2024-03-24,4,quantile,0.025,8283.206366640921
DE,00+,2024-02-29,2024-03-24,4,quantile,0.1,9723.85135002071
DE,00+,2024-02-29,2024-03-24,4,quantile,0.25,10184.362770553398
DE,00+,2024-02-29,2024-03-24,4,quantile,0.5,10753.063144965774
DE,00+,2024-02-29,2024-03-24,4,quantile,0.75,12268.096618574287
DE,00+,2024-02-29,2024-03-24,4,quantile,0.9,15708.0675532119
DE,00+,2024-02-29,2024-03-24,4,quantile,0.975,20565.535283399622
DE,00-04,2024-02-29,2024-03-03,1,quantile,0.025,888.0923619596135
DE,00-04,2024-02-29,2024-03-03,1,quantile,0.1,2040.2831276452011
DE,00-04,2024-02-29,2024-03-03,1,quantile,0.25,2609.076132053832
DE,00-04,2024-02-29,2024-03-03,1,quantile,0.5,2824.632341184122
DE,00-04,2024-02-29,2024-03-03,1,quantile,0.75,3268.3550767669944
DE,00-04,2024-02-29,2024-03-03,1,quantile,0.9,3756.789223172781
DE,00-04,2024-02-29,2024-03-03,1,quantile,0.975,4183.638811912833
DE,00-04,2024-02-29,2024-03-10,2,quantile,0.025,603.1858697284601
DE,00-04,2024-02-29,2024-03-10,2,quantile,0.1,1418.8113766268439
DE,00-04,2024-02-29,2024-03-10,2,quantile,0.25,2034.9420710840604
DE,00-04,2024-02-29,2024-03-10,2,quantile,0.5,2425.9853837671076
DE,00-04,2024-02-29,2024-03-10,2,quantile,0.75,2722.2093565297578
DE,00-04,2024-02-29,2024-03-10,2,quantile,0.9,3409.3550334680026
DE,00-04,2024-02-29,2024-03-10,2,quantile,0.975,4727.279820990628
DE,00-04,2024-02-29,2024-03-17,3,quantile,0.025,404.89508204915364
DE,00-04,2024-02-29,2024-03-17,3,quantile,0.1,1087.009010423653
DE,00-04,2024-02-29,2024-03-17,3,quantile,0.25,1512.6521281063601
DE,00-04,2024-02-29,2024-03-17,3,quantile,0.5,2086.435412012756
DE,00-04,2024-02-29,2024-03-17,3,quantile,0.75,2562.1308018637064
DE,00-04,2024-02-29,2024-03-17,3,quantile,0.9,3338.873475454234
DE,00-04,2024-02-29,2024-03-17,3,quantile,0.975,4642.959200937733
DE,00-04,2024-02-29,2024-03-24,4,quantile,0.025,460.2315473890233
DE,00-04,2024-02-29,2024-03-24,4,quantile,0.1,815.1094382695308
DE,00-04,2024-02-29,2024-03-24,4,quantile,0.25,1187.6071927472126
DE,00-04,2024-02-29,2024-03-24,4,quantile,0.5,1772.55598092617
DE,00-04,2024-02-29,2024-03-24,4,quantile,0.75,2450.6403661063914
DE,00-04,2024-02-29,2024-03-24,4,quantile,0.9,3038.6858346992494
DE,00-04,2024-02-29,2024-03-24,4,quantile,0.975,5109.959408051052
DE,05-14,2024-02-29,2024-03-03,1,quantile,0.025,167.306131527449
DE,05-14,2024-02-29,2024-03-03,1,quantile,0.1,415.2213962686231
DE,05-14,2024-02-29,2024-03-03,1,quantile,0.25,560.2404477368203
DE,05-14,2024-02-29,2024-03-03,1,quantile,0.5,639.4846090678043
DE,05-14,2024-02-29,2024-03-03,1,quantile,0.75,708.2385587973122
DE,05-14,2024-02-29,2024-03-03,1,quantile,0.9,748.3050500260222
DE,05-14,2024-02-29,2024-03-03,1,quantile,0.975,883.6869263602588
DE,05-14,2024-02-29,2024-03-10,2,quantile,0.025,119.89427468575738
DE,05-14,2024-02-29,2024-03-10,2,quantile,0.1,289.30568289313135
DE,05-14,2024-02-29,2024-03-10,2,quantile,0.25,433.9331206193606
DE,05-14,2024-02-29,2024-03-10,2,quantile,0.5,556.2373917914367
DE,05-14,2024-02-29,2024-03-10,2,quantile,0.75,642.4967443907232
DE,05-14,2024-02-29,2024-03-10,2,quantile,0.9,734.5668681559139
DE,05-14,2024-02-29,2024-03-10,2,quantile,0.975,1000.9006983235306
DE,05-14,2024-02-29,2024-03-17,3,quantile,0.025,92.62210429832211
DE,05-14,2024-02-29,2024-03-17,3,quantile,0.1,220.92936606287313
DE,05-14,2024-02-29,2024-03-17,3,quantile,0.25,347.9364716472005
DE,05-14,2024-02-29,2024-03-17,3,quantile,0.5,473.92908030423143
DE,05-14,2024-02-29,2024-03-17,3,quantile,0.75,561.4320545197999
DE,05-14,2024-02-29,2024-03-17,3,quantile,0.9,587.4705380276392
DE,05-14,2024-02-29,2024-03-17,3,quantile,0.975,840.9243630194284
DE,05-14,2024-02-29,2024-03-24,4,quantile,0.025,80.34476961466109
DE,05-14,2024-02-29,2024-03-24,4,quantile,0.1,170.902970559552
DE,05-14,2024-02-29,2024-03-24,4,quantile,0.25,266.06018227189196
DE,05-14,2024-02-29,2024-03-24,4,quantile,0.5,348.3322191717979
DE,05-14,2024-02-29,2024-03-24,4,quantile,0.75,453.74775172839156
DE,05-14,2024-02-29,2024-03-24,4,quantile,0.9,525.7656109709843
DE,05-14,2024-02-29,2024-03-24,4,quantile,0.975,804.0210602461099
DE,15-34,2024-02-29,2024-03-03,1,quantile,0.025,332.8625459000814
DE,15-34,2024-02-29,2024-03-03,1,quantile,0.1,444.65348749115884
DE,15-34,2024-02-29,2024-03-03,1,quantile,0.25,623.5842009349801
DE,15-34,2024-02-29,2024-03-03,1,quantile,0.5,688.2835838496077
DE,15-34,2024-02-29,2024-03-03,1,quantile,0.75,756.8693787816607
DE,15-34,2024-02-29,2024-03-03,1,quantile,0.9,856.6721506898523
DE,15-34,2024-02-29,2024-03-03,1,quantile,0.975,931.9736586458539
DE,15-34,2024-02-29,2024-03-10,2,quantile,0.025,291.0212193973127
DE,15-34,2024-02-29,2024-03-10,2,quantile,0.1,378.74813436903247
DE,15-34,2024-02-29,2024-03-10,2,quantile,0.25,426.00124551381106
DE,15-34,2024-02-29,2024-03-10,2,quantile,0.5,502.19139727290246
DE,15-34,2024-02-29,2024-03-10,2,quantile,0.75,596.1239723794639
DE,15-34,2024-02-29,2024-03-10,2,quantile,0.9,801.3729436806882
DE,15-34,2024-02-29,2024-03-10,2,quantile,0.975,1000.632308870075
DE,15-34,2024-02-29,2024-03-17,3,quantile,0.025,293.1356387733226
DE,15-34,2024-02-29,2024-03-17,3,quantile,0.1,375.60438586951904
DE,15-34,2024-02-29,2024-03-17,3,quantile,0.25,451.94777488331084
DE,15-34,2024-02-29,2024-03-17,3,quantile,0.5,504.4909562360729
DE,15-34,2024-02-29,2024-03-17,3,quantile,0.75,541.0483741208121
DE,15-34,2024-02-29,2024-03-17,3,quantile,0.9,683.7224131853619
DE,15-34,2024-02-29,2024-03-17,3,quantile,0.975,923.0736383668839
DE,15-34,2024-02-29,2024-03-24,4,quantile,0.025,260.95367786076423
DE,15-34,2024-02-29,2024-03-24,4,quantile,0.1,338.9630202368804
DE,15-34,2024-02-29,2024-03-24,4,quantile,0.25,405.8327950580028
DE,15-34,2024-02-29,2024-03-24,4,quantile,0.5,477.78995993299804
DE,15-34,2024-02-29,2024-03-24,4,quantile,0.75,546.5363149345978
DE,15-34,2024-02-29,2024-03-24,4,quantile,0.9,643.7198510000774
DE,15-34,2024-02-29,2024-03-24,4,quantile,0.975,924.0384851790857
