location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2023-11-16,2023-11-12,0,quantile,0.025,9023.18387343504
DE,00+,2023-11-16,2023-11-12,0,quantile,0.1,12308.76900472371
DE,00+,2023-11-16,2023-11-12,0,quantile,0.25,12882.464175872858
DE,00+,2023-11-16,2023-11-12,0,quantile,0.5,13428.917362040618
DE,00+,2023-11-16,2023-11-12,0,quantile,0.75,14079.657773713849
DE,00+,2023-11-16,2023-11-12,0,quantile,0.9,14645.879450584724
DE,00+,2023-11-16,2023-11-12,0,quantile,0.975,15293.624807823548
DE,00+,2023-11-16,2023-11-19,1,quantile,0.025,8228.181499518963
DE,00+,2023-11-16,2023-11-19,1,quantile,0.1,11719.66284718206
DE,00+,2023-11-16,2023-11-19,1,quantile,0.25,12781.944688893635
DE,00+,2023-11-16,2023-11-19,1,quantile,0.5,13956.725006450277
DE,00+,2023-11-16,2023-11-19,1,quantile,0.75,14727.823791480081
DE,00+,2023-11-16,2023-11-19,1,quantile,0.9,15837.906235642353
DE,00+,2023-11-16,2023-11-19,1,quantile,0.975,17553.64676582346
DE,00+,2023-11-16,2023-11-26,2,quantile,0.025,7930.055285942408
DE,00+,2023-11-16,2023-11-26,2,quantile,0.1,11196.233288004729
DE,00+,2023-11-16,2023-11-26,2,quantile,0.25,14331.9738823491
DE,00+,2023-11-16,2023-11-26,2,quantile,0.5,15584.979532857265
DE,00+,2023-11-16,2023-11-26,2,quantile,0.75,16383.406135797817
DE,00+,2023-11-16,2023-11-26,2,quantile,0.9,17313.405764484203
DE,00+,2023-11-16,2023-11-26,2,quantile,0.975,18328.607581112712
DE,00+,2023-11-16,2023-12-03,3,quantile,0.025,7713.782526085316
DE,00+,2023-11-16,2023-12-03,3,quantile,0.1,10967.060781410004
DE,00+,2023-11-16,2023-12-03,3,quantile,0.25,14311.282304559576
DE,00+,2023-11-16,2023-12-03,3,quantile,0.5,16582.212914644413
DE,00+,2023-11-16,2023-12-03,3,quantile,0.75,17837.11898765561
DE,00+,2023-11-16,2023-12-03,3,quantile,0.9,18951.346379339735
DE,00+,2023-11-16,2023-12-03,3,quantile,0.975,21513.555875861843
DE,00-04,2023-11-16,2023-11-12,0,quantile,0.025,1078.7525766489164
DE,00-04,2023-11-16,2023-11-12,0,quantile,0.1,1427.7099280800592
DE,00-04,2023-11-16,2023-11-12,0,quantile,0.25,1554.2317933025947
DE,00-04,2023-11-16,2023-11-12,0,quantile,0.5,1712.0990913495614
DE,00-04,2023-11-16,2023-11-12,0,quantile,0.75,1832.6426711738925
DE,00-04,2023-11-16,2023-11-12,0,quantile,0.9,2078.330436848896
DE,00-04,2023-11-16,2023-11-12,0,quantile,0.975,2373.875097134946
DE,00-04,2023-11-16,2023-11-19,1,quantile,0.025,894.6760724231408
DE,00-04,2023-11-16,2023-11-19,1,quantile,0.1,1414.839250713502
DE,00-04,2023-11-16,2023-11-19,1,quantile,0.25,1663.7068780299207
DE,00-04,2023-11-16,2023-11-19,1,quantile,0.5,1871.987518506173
DE,00-04,2023-11-16,2023-11-19,1,quantile,0.75,2038.1559335097525
DE,00-04,2023-11-16,2023-11-19,1,quantile,0.9,2204.2641291425516
DE,00-04,2023-11-16,2023-11-19,1,quantile,0.975,2344.3405644714126
DE,00-04,2023-11-16,2023-11-26,2,quantile,0.025,763.2948748724241
DE,00-04,2023-11-16,2023-11-26,2,quantile,0.1,1532.122775304992
DE,00-04,2023-11-16,2023-11-26,2,quantile,0.25,1994.1902197364852
DE,00-04,2023-11-16,2023-11-26,2,quantile,0.5,2229.657910609816
DE,00-04,2023-11-16,2023-11-26,2,quantile,0.75,2442.5834690652914
DE,00-04,2023-11-16,2023-11-26,2,quantile,0.9,2630.0962805181593
DE,00-04,2023-11-16,2023-11-26,2,quantile,0.975,2875.9367397610686
DE,00-04,2023-11-16,2023-12-03,3,quantile,0.025,659.002562300112
DE,00-04,2023-11-16,2023-12-03,3,quantile,0.1,1465.9629047835883
DE,00-04,2023-11-16,2023-12-03,3,quantile,0.25,2112.109723786664
DE,00-04,2023-11-16,2023-12-03,3,quantile,0.5,2480.0678639678504
DE,00-04,2023-11-16,2023-12-03,3,quantile,0.75,2773.8507080260756
DE,00-04,2023-11-16,2023-12-03,3,quantile,0.9,3003.0016218538067
DE,00-04,2023-11-16,2023-12-03,3,quantile,0.975,3179.150281131452
DE,05-14,2023-11-16,2023-11-12,0,quantile,0.025,205.05755918720578
DE,05-14,2023-11-16,2023-11-12,0,quantile,0.1,383.34895252697294
DE,05-14,2023-11-16,2023-11-12,0,quantile,0.25,592.6771918309371
DE,05-14,2023-11-16,2023-11-12,0,quantile,0.5,720.7241334083121
DE,05-14,2023-11-16,2023-11-12,0,quantile,0.75,808.8333183376765
DE,05-14,2023-11-16,2023-11-12,0,quantile,0.9,916.5472132101162
DE,05-14,2023-11-16,2023-11-12,0,quantile,0.975,966.8687095718145
DE,05-14,2023-11-16,2023-11-19,1,quantile,0.025,161.88014526398618
DE,05-14,2023-11-16,2023-11-19,1,quantile,0.1,351.20793176611096
DE,05-14,2023-11-16,2023-11-19,1,quantile,0.25,528.3245290836935
DE,05-14,2023-11-16,2023-11-19,1,quantile,0.5,740.2422644996611
DE,05-14,2023-11-16,2023-11-19,1,quantile,0.75,798.4524195590537
DE,05-14,2023-11-16,2023-11-19,1,quantile,0.9,928.6681090293669
DE,05-14,2023-11-16,2023-11-19,1,quantile,0.975,1045.1363474760387
DE,05-14,2023-11-16,2023-11-26,2,quantile,0.025,151.0564935501098
DE,05-14,2023-11-16,2023-11-26,2,quantile,0.1,335.28315980542294
DE,05-14,2023-11-16,2023-11-26,2,quantile,0.25,507.80813960555554
DE,05-14,2023-11-16,2023-11-26,2,quantile,0.5,689.2793417183657
DE,05-14,2023-11-16,2023-11-26,2,quantile,0.75,766.6961320311982
DE,05-14,2023-11-16,2023-11-26,2,quantile,0.9,819.1572131307288
DE,05-14,2023-11-16,2023-11-26,2,quantile,0.975,853.2854507345077
DE,05-14,2023-11-16,2023-12-03,3,quantile,0.025,145.08140791981242
DE,05-14,2023-11-16,2023-12-03,3,quantile,0.1,338.9247800476561
DE,05-14,2023-11-16,2023-12-03,3,quantile,0.25,542.0284104251107
DE,05-14,2023-11-16,2023-12-03,3,quantile,0.5,693.9225922098533
DE,05-14,2023-11-16,2023-12-03,3,quantile,0.75,770.7207261970722
DE,05-14,2023-11-16,2023-12-03,3,quantile,0.9,808.2133756528267
DE,05-14,2023-11-16,2023-12-03,3,quantile,0.975,840.505959371442
DE,15-34,2023-11-16,2023-11-12,0,quantile,0.025,289.467663350439
DE,15-34,2023-11-16,2023-11-12,0,quantile,0.1,408.3743932500599
DE,15-34,2023-11-16,2023-11-12,0,quantile,0.25,506.3785146453785
DE,15-34,2023-11-16,2023-11-12,0,quantile,0.5,606.217700200862
DE,15-34,2023-11-16,2023-11-12,0,quantile,0.75,694.8948382485813
DE,15-34,2023-11-16,2023-11-12,0,quantile,0.9,777.6494325971792
DE,15-34,2023-11-16,2023-11-12,0,quantile,0.975,853.0572417507614
DE,15-34,2023-11-16,2023-11-19,1,quantile,0.025,275.2940884883857
DE,15-34,2023-11-16,2023-11-19,1,quantile,0.1,405.43672606648795
DE,15-34,2023-11-16,2023-11-19,1,quantile,0.25,552.8904821161268
DE,15-34,2023-11-16,2023-11-19,1,quantile,0.5,704.0729813117729
DE,15-34,2023-11-16,2023-11-19,1,quantile,0.75,779.353637908547
DE,15-34,2023-11-16,2023-11-19,1,quantile,0.9,904.7267008822122
DE,15-34,2023-11-16,2023-11-19,1,quantile,0.975,959.5845210962121
DE,15-34,2023-11-16,2023-11-26,2,quantile,0.025,239.02693821895
DE,15-34,2023-11-16,2023-11-26,2,quantile,0.1,394.74102567073214
DE,15-34,2023-11-16,2023-11-26,2,quantile,0.25,506.4738747098862
DE,15-34,2023-11-16,2023-11-26,2,quantile,0.5,597.0610995283764
DE,15-34,2023-11-16,2023-11-26,2,quantile,0.75,652.8643800668386
DE,15-34,2023-11-16,2023-11-26,2,quantile,0.9,780.0192525776705
DE,15-34,2023-11-16,2023-11-26,2,quantile,0.975,843.2739208825913
DE,15-34,2023-11-16,2023-12-03,3,quantile,0.025,246.63233563158374
DE,15-34,2023-11-16,2023-12-03,3,quantile,0.1,402.58029333238466
DE,15-34,2023-11-16,2023-12-03,3,quantile,0.25,536.1166858954114
DE,15-34,2023-11-16,2023-12-03,3,quantile,0.5,597.9457544454178
DE,15-34,2023-11-16,2023-12-03,3,quantile,0.75,632.299934588333
DE,15-34,2023-11-16,2023-12-03,3,quantile,0.9,668.3885990939177
DE,15-34,2023-11-16,2023-12-03,3,quantile,0.975,783.0631256640144
DE,35-59,2023-11-16,2023-11-12,0,quantile,0.025,1018.80025356801
DE,35-59,2023-11-16,2023-11-12,0,quantile,0.1,1288.4893670023057
DE,35-59,2023-11-16,2023-11-12,0,quantile,0.25,1387.0170809710603
