location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-09-12,2024-09-15,1,quantile,0.025,8439.002509176174
DE,00+,2024-09-12,2024-09-15,1,quantile,0.1,8986.635930749868
DE,00+,2024-09-12,2024-09-15,1,quantile,0.25,9236.520757219752
DE,00+,2024-09-12,2024-09-15,1,quantile,0.5,9655.178548858663
DE,00+,2024-09-12,2024-09-15,1,quantile,0.75,9872.925080840816
DE,00+,2024-09-12,2024-09-15,1,quantile,0.9,10073.529414326744
DE,00+,2024-09-12,2024-09-15,1,quantile,0.975,10432.86720730834
DE,00+,2024-09-12,2024-09-22,2,quantile,0.025,7826.702610595373
DE,00+,2024-09-12,2024-09-22,2,quantile,0.1,8718.086949517707
DE,00+,2024-09-12,2024-09-22,2,quantile,0.25,9228.701005960325
DE,00+,2024-09-12,2024-09-22,2,quantile,0.5,9459.864573128234
DE,00+,2024-09-12,2024-09-22,2,quantile,0.75,9746.036726197277
DE,00+,2024-09-12,2024-09-22,2,quantile,0.9,10053.4493758873
DE,00+,2024-09-12,2024-09-22,2,quantile,0.975,10829.483970608264
DE,00+,2024-09-12,2024-09-29,3,quantile,0.025,7989.470114932298
DE,00+,2024-09-12,2024-09-29,3,quantile,0.1,8852.089669986148
DE,00+,2024-09-12,2024-09-29,3,quantile,0.25,9434.899372842421
DE,00+,2024-09-12,2024-09-29,3,quantile,0.5,10027.231315324132
DE,00+,2024-09-12,2024-09-29,3,quantile,0.75,10660.238619961261
DE,00+,2024-09-12,2024-09-29,3,quantile,0.9,11284.540542452398
DE,00+,2024-09-12,2024-09-29,3,quantile,0.975,12515.325529537444
DE,00+,2024-09-12,2024-10-06,4,quantile,0.025,7651.364605440687
DE,00+,2024-09-12,2024-10-06,4,quantile,0.1,8832.645180408483
DE,00+,2024-09-12,2024-10-06,4,quantile,0.25,9823.592542085367
DE,00+,2024-09-12,2024-10-06,4,quantile,0.5,10877.188831570618
DE,00+,2024-09-12,2024-10-06,4,quantile,0.75,11953.314184366647
DE,00+,2024-09-12,2024-10-06,4,quantile,0.9,12620.76173536912
DE,00+,2024-09-12,2024-10-06,4,quantile,0.975,13737.936961151408
DE,00-04,2024-09-12,2024-09-15,1,quantile,0.025,792.6769457166658
