"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2024-01-11,2024-01-14,1,"mean",NA,32639
"DE","00+",2024-01-11,2024-01-14,1,"quantile",0.025,13610
"DE","00+",2024-01-11,2024-01-14,1,"quantile",0.1,15199
"DE","00+",2024-01-11,2024-01-14,1,"quantile",0.25,16723
"DE","00+",2024-01-11,2024-01-14,1,"quantile",0.5,18534
"DE","00+",2024-01-11,2024-01-14,1,"quantile",0.75,20471
"DE","00+",2024-01-11,2024-01-14,1,"quantile",0.9,22324
"DE","00+",2024-01-11,2024-01-14,1,"quantile",0.975,24522
"DE","00+",2024-01-11,2024-01-21,2,"mean",NA,38874
"DE","00+",2024-01-11,2024-01-21,2,"quantile",0.025,11589
"DE","00+",2024-01-11,2024-01-21,2,"quantile",0.1,13701
"DE","00+",2024-01-11,2024-01-21,2,"quantile",0.25,15802
"DE","00+",2024-01-11,2024-01-21,2,"quantile",0.5,18380
"DE","00+",2024-01-11,2024-01-21,2,"quantile",0.75,21224
"DE","00+",2024-01-11,2024-01-21,2,"quantile",0.9,24020
"DE","00+",2024-01-11,2024-01-21,2,"quantile",0.975,27417
"DE","00+",2024-01-11,2024-01-28,3,"mean",NA,38791
"DE","00+",2024-01-11,2024-01-28,3,"quantile",0.025,10156
"DE","00+",2024-01-11,2024-01-28,3,"quantile",0.1,12589
"DE","00+",2024-01-11,2024-01-28,3,"quantile",0.25,15082
"DE","00+",2024-01-11,2024-01-28,3,"quantile",0.5,18223
"DE","00+",2024-01-11,2024-01-28,3,"quantile",0.75,21774
"DE","00+",2024-01-11,2024-01-28,3,"quantile",0.9,25335
"DE","00+",2024-01-11,2024-01-28,3,"quantile",0.975,29739
"DE","00+",2024-01-11,2024-02-04,4,"mean",NA,39373
"DE","00+",2024-01-11,2024-02-04,4,"quantile",0.025,8817
"DE","00+",2024-01-11,2024-02-04,4,"quantile",0.1,11504
"DE","00+",2024-01-11,2024-02-04,4,"quantile",0.25,14348
"DE","00+",2024-01-11,2024-02-04,4,"quantile",0.5,18032
"DE","00+",2024-01-11,2024-02-04,4,"quantile",0.75,22300
"DE","00+",2024-01-11,2024-02-04,4,"quantile",0.9,26667
"DE","00+",2024-01-11,2024-02-04,4,"quantile",0.975,32161
"DE","00-04",2024-01-11,2024-01-14,1,"mean",NA,6459
"DE","00-04",2024-01-11,2024-01-14,1,"quantile",0.025,2688
"DE","00-04",2024-01-11,2024-01-14,1,"quantile",0.1,3004
"DE","00-04",2024-01-11,2024-01-14,1,"quantile",0.25,3308
"DE","00-04",2024-01-11,2024-01-14,1,"quantile",0.5,3668
"DE","00-04",2024-01-11,2024-01-14,1,"quantile",0.75,4053
"DE","00-04",2024-01-11,2024-01-14,1,"quantile",0.9,4421
"DE","00-04",2024-01-11,2024-01-14,1,"quantile",0.975,4858
"DE","00-04",2024-01-11,2024-01-21,2,"mean",NA,8416
"DE","00-04",2024-01-11,2024-01-21,2,"quantile",0.025,2290
"DE","00-04",2024-01-11,2024-01-21,2,"quantile",0.1,2709
"DE","00-04",2024-01-11,2024-01-21,2,"quantile",0.25,3126
"DE","00-04",2024-01-11,2024-01-21,2,"quantile",0.5,3637
"DE","00-04",2024-01-11,2024-01-21,2,"quantile",0.75,4201
"DE","00-04",2024-01-11,2024-01-21,2,"quantile",0.9,4756
"DE","00-04",2024-01-11,2024-01-21,2,"quantile",0.975,5430
"DE","00-04",2024-01-11,2024-01-28,3,"mean",NA,8558
"DE","00-04",2024-01-11,2024-01-28,3,"quantile",0.025,2007
"DE","00-04",2024-01-11,2024-01-28,3,"quantile",0.1,2489
"DE","00-04",2024-01-11,2024-01-28,3,"quantile",0.25,2984
"DE","00-04",2024-01-11,2024-01-28,3,"quantile",0.5,3606
"DE","00-04",2024-01-11,2024-01-28,3,"quantile",0.75,4310
"DE","00-04",2024-01-11,2024-01-28,3,"quantile",0.9,5016
"DE","00-04",2024-01-11,2024-01-28,3,"quantile",0.975,5888
"DE","00-04",2024-01-11,2024-02-04,4,"mean",NA,8040
"DE","00-04",2024-01-11,2024-02-04,4,"quantile",0.025,1743
"DE","00-04",2024-01-11,2024-02-04,4,"quantile",0.1,2275
"DE","00-04",2024-01-11,2024-02-04,4,"quantile",0.25,2839
"DE","00-04",2024-01-11,2024-02-04,4,"quantile",0.5,3568
"DE","00-04",2024-01-11,2024-02-04,4,"quantile",0.75,4414
"DE","00-04",2024-01-11,2024-02-04,4,"quantile",0.9,5279
"DE","00-04",2024-01-11,2024-02-04,4,"quantile",0.975,6367
"DE","05-14",2024-01-11,2024-01-14,1,"mean",NA,1418
"DE","05-14",2024-01-11,2024-01-14,1,"quantile",0.025,586
"DE","05-14",2024-01-11,2024-01-14,1,"quantile",0.1,657
"DE","05-14",2024-01-11,2024-01-14,1,"quantile",0.25,725
"DE","05-14",2024-01-11,2024-01-14,1,"quantile",0.5,805
"DE","05-14",2024-01-11,2024-01-14,1,"quantile",0.75,892
"DE","05-14",2024-01-11,2024-01-14,1,"quantile",0.9,974
"DE","05-14",2024-01-11,2024-01-14,1,"quantile",0.975,1072
"DE","05-14",2024-01-11,2024-01-21,2,"mean",NA,1381
"DE","05-14",2024-01-11,2024-01-21,2,"quantile",0.025,500
"DE","05-14",2024-01-11,2024-01-21,2,"quantile",0.1,593
"DE","05-14",2024-01-11,2024-01-21,2,"quantile",0.25,685
"DE","05-14",2024-01-11,2024-01-21,2,"quantile",0.5,799
"DE","05-14",2024-01-11,2024-01-21,2,"quantile",0.75,924
"DE","05-14",2024-01-11,2024-01-21,2,"quantile",0.9,1047
"DE","05-14",2024-01-11,2024-01-21,2,"quantile",0.975,1196
"DE","05-14",2024-01-11,2024-01-28,3,"mean",NA,1726
"DE","05-14",2024-01-11,2024-01-28,3,"quantile",0.025,438
"DE","05-14",2024-01-11,2024-01-28,3,"quantile",0.1,545
"DE","05-14",2024-01-11,2024-01-28,3,"quantile",0.25,654
"DE","05-14",2024-01-11,2024-01-28,3,"quantile",0.5,792
"DE","05-14",2024-01-11,2024-01-28,3,"quantile",0.75,947
"DE","05-14",2024-01-11,2024-01-28,3,"quantile",0.9,1103
"DE","05-14",2024-01-11,2024-01-28,3,"quantile",0.975,1296
"DE","05-14",2024-01-11,2024-02-04,4,"mean",NA,1546
"DE","05-14",2024-01-11,2024-02-04,4,"quantile",0.025,381
"DE","05-14",2024-01-11,2024-02-04,4,"quantile",0.1,498
"DE","05-14",2024-01-11,2024-02-04,4,"quantile",0.25,623
"DE","05-14",2024-01-11,2024-02-04,4,"quantile",0.5,784
"DE","05-14",2024-01-11,2024-02-04,4,"quantile",0.75,970
"DE","05-14",2024-01-11,2024-02-04,4,"quantile",0.9,1161
"DE","05-14",2024-01-11,2024-02-04,4,"quantile",0.975,1401
"DE","15-34",2024-01-11,2024-01-14,1,"mean",NA,883
"DE","15-34",2024-01-11,2024-01-14,1,"quantile",0.025,363
"DE","15-34",2024-01-11,2024-01-14,1,"quantile",0.1,407
"DE","15-34",2024-01-11,2024-01-14,1,"quantile",0.25,450
"DE","15-34",2024-01-11,2024-01-14,1,"quantile",0.5,501
"DE","15-34",2024-01-11,2024-01-14,1,"quantile",0.75,556
"DE","15-34",2024-01-11,2024-01-14,1,"quantile",0.9,608
"DE","15-34",2024-01-11,2024-01-14,1,"quantile",0.975,670
"DE","15-34",2024-01-11,2024-01-21,2,"mean",NA,1167
"DE","15-34",2024-01-11,2024-01-21,2,"quantile",0.025,310
"DE","15-34",2024-01-11,2024-01-21,2,"quantile",0.1,368
"DE","15-34",2024-01-11,2024-01-21,2,"quantile",0.25,426
"DE","15-34",2024-01-11,2024-01-21,2,"quantile",0.5,497
"DE","15-34",2024-01-11,2024-01-21,2,"quantile",0.75,576
"DE","15-34",2024-01-11,2024-01-21,2,"quantile",0.9,653
"DE","15-34",2024-01-11,2024-01-21,2,"quantile",0.975,747
"DE","15-34",2024-01-11,2024-01-28,3,"mean",NA,940
"DE","15-34",2024-01-11,2024-01-28,3,"quantile",0.025,272
"DE","15-34",2024-01-11,2024-01-28,3,"quantile",0.1,339
"DE","15-34",2024-01-11,2024-01-28,3,"quantile",0.25,407
"DE","15-34",2024-01-11,2024-01-28,3,"quantile",0.5,493
"DE","15-34",2024-01-11,2024-01-28,3,"quantile",0.75,590
"DE","15-34",2024-01-11,2024-01-28,3,"quantile",0.9,688
"DE","15-34",2024-01-11,2024-01-28,3,"quantile",0.975,809
"DE","15-34",2024-01-11,2024-02-04,4,"mean",NA,1185
"DE","15-34",2024-01-11,2024-02-04,4,"quantile",0.025,236
