"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2024-07-04,2024-07-07,1,"quantile",0.025,7880
"DE","00+",2024-07-04,2024-07-07,1,"quantile",0.1,8570
"DE","00+",2024-07-04,2024-07-07,1,"quantile",0.25,9210
"DE","00+",2024-07-04,2024-07-07,1,"quantile",0.5,9950
"DE","00+",2024-07-04,2024-07-07,1,"quantile",0.75,10730
"DE","00+",2024-07-04,2024-07-07,1,"quantile",0.9,11470
"DE","00+",2024-07-04,2024-07-07,1,"quantile",0.975,12330
"DE","00+",2024-07-04,2024-07-07,1,"mean",NA,9998.97456943788
"DE","00+",2024-07-04,2024-07-14,2,"quantile",0.025,6600
"DE","00+",2024-07-04,2024-07-14,2,"quantile",0.1,7420
"DE","00+",2024-07-04,2024-07-14,2,"quantile",0.25,8210
"DE","00+",2024-07-04,2024-07-14,2,"quantile",0.5,9140
"DE","00+",2024-07-04,2024-07-14,2,"quantile",0.75,10150
"DE","00+",2024-07-04,2024-07-14,2,"quantile",0.9,11110
"DE","00+",2024-07-04,2024-07-14,2,"quantile",0.975,12260
"DE","00+",2024-07-04,2024-07-14,2,"mean",NA,9223.35297596752
"DE","00+",2024-07-04,2024-07-21,3,"quantile",0.025,5820
"DE","00+",2024-07-04,2024-07-21,3,"quantile",0.1,6690
"DE","00+",2024-07-04,2024-07-21,3,"quantile",0.25,7520
"DE","00+",2024-07-04,2024-07-21,3,"quantile",0.5,8540
"DE","00+",2024-07-04,2024-07-21,3,"quantile",0.75,9640
"DE","00+",2024-07-04,2024-07-21,3,"quantile",0.9,10710
"DE","00+",2024-07-04,2024-07-21,3,"quantile",0.975,12010
"DE","00+",2024-07-04,2024-07-21,3,"mean",NA,8640.39233929373
"DE","00+",2024-07-04,2024-07-28,4,"quantile",0.025,5310
"DE","00+",2024-07-04,2024-07-28,4,"quantile",0.1,6180
"DE","00+",2024-07-04,2024-07-28,4,"quantile",0.25,7040
"DE","00+",2024-07-04,2024-07-28,4,"quantile",0.5,8090
"DE","00+",2024-07-04,2024-07-28,4,"quantile",0.75,9250
"DE","00+",2024-07-04,2024-07-28,4,"quantile",0.9,10380
"DE","00+",2024-07-04,2024-07-28,4,"quantile",0.975,11740
"DE","00+",2024-07-04,2024-07-28,4,"mean",NA,8210.34379754988
"DE","00-04",2024-07-04,2024-07-07,1,"quantile",0.025,630
"DE","00-04",2024-07-04,2024-07-07,1,"quantile",0.1,780
"DE","00-04",2024-07-04,2024-07-07,1,"quantile",0.25,920
"DE","00-04",2024-07-04,2024-07-07,1,"quantile",0.5,1110
"DE","00-04",2024-07-04,2024-07-07,1,"quantile",0.75,1320
